start,end,duration
1621586521033,1621586521113,80
1621586522123,1621586522153,30
1621586523292,1621586523392,100
1621586524192,1621586524212,20
1621586524591,1621586524701,110
1621586525351,1621586525461,110
1621586526100,1621586526490,390
1621586526680,1621586526790,110
1621586527010,1621586527020,10
1621586527140,1621586527170,30
1621586527699,1621586527929,230
1621586528489,1621586528499,10
1621586531407,1621586531467,60
1621586534795,1621586534805,10
1621586534925,1621586535025,100
1621586535345,1621586535485,140
1621586535944,1621586536094,150
1621586536314,1621586536374,60
1621586537514,1621586537524,10
1621586538823,1621586538993,170
1621586540472,1621586540552,80
1621586542061,1621586542071,10
1621586542221,1621586542491,270
1621586544219,1621586544319,100
1621586552095,1621586552175,80
1621586552524,1621586552534,10
1621586555513,1621586555633,120
1621586557781,1621586558011,230
1621586558841,1621586558851,10
1621586559071,1621586559520,449
1621586561219,1621586561359,140
1621586562109,1621586562129,20
1621586563728,1621586563998,270
1621586565976,1621586566086,110
1621586567555,1621586567565,10
1621586567825,1621586568065,240
1621586569844,1621586569884,40
1621586570614,1621586570624,10
1621586571423,1621586571433,10
1621586576520,1621586576690,170
1621586577419,1621586577479,60
1621586578029,1621586578039,10
1621586579098,1621586579388,290
1621586579488,1621586579578,90
1621586579668,1621586579688,20
1621586579808,1621586580028,220
1621586580178,1621586580238,60
1621586580458,1621586580488,30
1621586581027,1621586581057,30
1621586582756,1621586582818,62
1621586585535,1621586585654,119
1621586586514,1621586586584,70
1621586588373,1621586588643,270
1621586591471,1621586591531,60
1621586591621,1621586591631,10
1621586592800,1621586593040,240
1621586594539,1621586594549,10
1621586596038,1621586596048,10
1621586597467,1621586597547,80
1621586597807,1621586597817,10
1621586598647,1621586598767,120
1621586600785,1621586600925,140
1621586603494,1621586603574,80
1621586603684,1621586603813,129
1621586604483,1621586604543,60
1621586606612,1621586606622,10
1621586608900,1621586608980,80
1621586610380,1621586610479,99
1621586611639,1621586611799,160
1621586612258,1621586612338,80
1621586614577,1621586614687,110
1621586619044,1621586619094,50
1621586619394,1621586619534,140
1621586620593,1621586620603,10
1621586623871,1621586623921,50
1621586624311,1621586624531,220
1621586624931,1621586625061,130
1621586626410,1621586626530,120
1621586632846,1621586632866,20
1621586637113,1621586637363,250
1621586637443,1621586637583,140
1621586640741,1621586640961,220
1621586642000,1621586642020,20
1621586642150,1621586642220,70
1621586649896,1621586649916,20
1621586653783,1621586653993,210
1621586654103,1621586654183,80
1621586655652,1621586655692,40
1621586661868,1621586661968,100
1621586662498,1621586662718,220
1621586672422,1621586672732,310
1621586673172,1621586673192,20
1621586674261,1621586674331,70
1621586675560,1621586675730,170
1621586675810,1621586675950,140
1621586677429,1621586677439,10
1621586678658,1621586678718,60
1621586680917,1621586680977,60
1621586681237,1621586681427,190
1621586681556,1621586681586,30
1621586689252,1621586689362,110
1621586690571,1621586690621,50
1621586691690,1621586691770,80
1621586694768,1621586694918,150
1621586696927,1621586697037,110
1621586697487,1621586697567,80
1621586700545,1621586700555,10
1621586701045,1621586701105,60
1621586704662,1621586704742,80
1621586705412,1621586705502,90
1621586706441,1621586706531,90
1621586707321,1621586707381,60
1621586711538,1621586711638,100
1621586712018,1621586712048,30
1621586713537,1621586713547,10
1621586715216,1621586715326,110
1621586715976,1621586716145,169
1621586719354,1621586719394,40
1621586719973,1621586720073,100
1621586727629,1621586727738,109
1621586728158,1621586728168,10
1621586729887,1621586730047,160
1621586731736,1621586731746,10
1621586732586,1621586732596,10
1621586733295,1621586733365,70
1621586734384,1621586734494,110
1621586738282,1621586738512,230
1621586741620,1621586741650,30
1621586746657,1621586746667,10
1621586748116,1621586748236,120
1621586748886,1621586749295,409
1621586749435,1621586749445,10
1621586749725,1621586749735,10
1621586750595,1621586750665,70
1621586751114,1621586751164,50
1621586751624,1621586751634,10
1621586753823,1621586753833,10
1621586754522,1621586754532,10
1621586755452,1621586755512,60
1621586756031,1621586756131,100
1621586760149,1621586760263,114
1621586762188,1621586762297,109
1621586762407,1621586762827,420
1621586764176,1621586764266,90
1621586768883,1621586768943,60
1621586771442,1621586771562,120
1621586772281,1621586772381,100
1621586773641,1621586773691,50
1621586774090,1621586774400,310
1621586774610,1621586774620,10
1621586775939,1621586776119,180
1621586776289,1621586776299,10
1621586776439,1621586776589,150
1621586779817,1621586779937,120
1621586782105,1621586782115,10
1621586782995,1621586783095,100
1621586785104,1621586785134,30
1621586785313,1621586785603,290
1621586786023,1621586786243,220
1621586786443,1621586786483,40
1621586786743,1621586786783,40
1621586787242,1621586787282,40
1621586787392,1621586787472,80
1621586789851,1621586790011,160
1621586790390,1621586790770,380
1621586791550,1621586791600,50
1621586793858,1621586793948,90
