start,end,duration
1622101949584,1622101949744,160
1622101949834,1622101950024,190
1622101950144,1622101950174,30
1622101950284,1622101950314,30
1622101950433,1622101950593,160
1622101950833,1622101950883,50
1622101950983,1622101951143,160
1622101951223,1622101951283,60
1622101951383,1622101951393,10
1622101951513,1622101951543,30
1622101951663,1622101951693,30
1622101951833,1622101951843,10
1622101951933,1622101951963,30
1622101952082,1622101952242,160
1622101952342,1622101952392,50
1622101952482,1622101952512,30
1622101952632,1622101952662,30
1622101952772,1622101952912,140
1622101953012,1622101953062,50
1622101953162,1622101953332,170
1622101953432,1622101953462,30
1622101953582,1622101953741,159
1622101953851,1622101954301,450
1622101954381,1622101954391,10
1622101954561,1622101954591,30
1622101954681,1622101954691,10
1622101954821,1622101954981,160
1622101955101,1622101955111,10
1622101955231,1622101955261,30
1622101955360,1622101955680,320
1622101955780,1622101955790,10
1622101955900,1622101955930,30
1622101956050,1622101956080,30
1622101956190,1622101956240,50
1622101956340,1622101956350,10
1622101956500,1622101956510,10
1622101956640,1622101956650,10
1622101956750,1622101956760,10
1622101956840,1622101956910,70
1622101957159,1622101957209,50
1622101957319,1622101957329,10
1622101957449,1622101957499,50
1622101957579,1622101957609,30
1622101957789,1622101958009,220
1622101958139,1622101958149,10
1622101958259,1622101958309,50
1622101958489,1622101958499,10
1622101958579,1622101958609,30
1622101958698,1622101958748,50
1622101958828,1622101958878,50
1622101958998,1622101959028,30
1622101959138,1622101959178,40
1622101959268,1622101959278,10
1622101959398,1622101959428,30
1622101959528,1622101959558,30
1622101959698,1622101959848,150
1622101960078,1622101960108,30
1622101960238,1622101960397,159
1622101960497,1622101960527,30
1622101960647,1622101960847,200
1622101960937,1622101960947,10
1622101961067,1622101961097,30
1622101961217,1622101961377,160
1622101961497,1622101961507,10
1622101961627,1622101961677,50
1622101961767,1622101961797,30
1622101961897,1622101962096,199
1622101962216,1622101962226,10
1622101962356,1622101962366,10
1622101962486,1622101962516,30
1622101962616,1622101962946,330
1622101963046,1622101963076,30
1622101963166,1622101963376,210
1622101963486,1622101963496,10
1622101963615,1622101963665,50
1622101963745,1622101963775,30
1622101963865,1622101964065,200
1622101964195,1622101964225,30
1622101964315,1622101964325,10
1622101964445,1622101964765,320
1622101964885,1622101965025,140
1622101965145,1622101965294,149
1622101965434,1622101965444,10
1622101965564,1622101965594,30
1622101965684,1622101965714,30
1622101965824,1622101965874,50
1622101965984,1622101966014,30
1622101966134,1622101966294,160
1622101966414,1622101966424,10
1622101966514,1622101966544,30
1622101966664,1622101966674,10
1622101966814,1622101966844,30
1622101966953,1622101967093,140
1622101967233,1622101967243,10
1622101967363,1622101967523,160
1622101967623,1622101967843,220
1622101967923,1622101967963,40
1622101968073,1622101968113,40
1622101968203,1622101968233,30
1622101968353,1622101968383,30
1622101968503,1622101968533,30
1622101968652,1622101968682,30
1622101968912,1622101968942,30
1622101969022,1622101969082,60
1622101969182,1622101969282,100
1622101969362,1622101969392,30
1622101969522,1622101969692,170
1622101969812,1622101969992,180
1622101970102,1622101970132,30
1622101970231,1622101970241,10
1622101970361,1622101970391,30
1622101970551,1622101970691,140
1622101970781,1622101970811,30
1622101970921,1622101970961,40
1622101971051,1622101971081,30
1622101971331,1622101971361,30
1622101971501,1622101971631,130
1622101971900,1622101971910,10
1622101972030,1622101972040,10
1622101972120,1622101972260,140
1622101972370,1622101972380,10
1622101972500,1622101972560,60
1622101972650,1622101972680,30
1622101972800,1622101972940,140
1622101973120,1622101973210,90
1622101973350,1622101973380,30
1622101973470,1622101973500,30
1622101973609,1622101973679,70
1622101973769,1622101973799,30
1622101973909,1622101973959,50
1622101974069,1622101974229,160
1622101974309,1622101974649,340
1622101974749,1622101974779,30
1622101974889,1622101974899,10
1622101975029,1622101975059,30
1622101975188,1622101975448,260
1622101975568,1622101975598,30
1622101975718,1622101975748,30
1622101975848,1622101975898,50
1622101976967,1622101977127,160
1622101977217,1622101977257,40
1622101977347,1622101977397,50
1622101977497,1622101977527,30
1622101977667,1622101977677,10
1622101977777,1622101977807,30
1622101977917,1622101977947,30
1622101978047,1622101978377,330
1622101978467,1622101978526,59
1622101978616,1622101978926,310
1622101979016,1622101979086,70
1622101979186,1622101979346,160
1622101979466,1622101979496,30
1622101980545,1622101980675,130
1622101980765,1622101980835,70
1622101980915,1622101981175,260
1622101981385,1622101981415,30
1622101981535,1622101981575,40
1622101981705,1622101981715,10
1622101981834,1622101981864,30
1622101982694,1622101983144,450
1622101983244,1622101983274,30
1622101983384,1622101983414,30
1622101983513,1622101983543,30
1622101983643,1622101983673,30
1622101983793,1622101983983,190
1622101984083,1622101984243,160
1622101984383,1622101984833,450
1622101984953,1622101984983,30
1622101985083,1622101985093,10
1622101985212,1622101985242,30
1622101985362,1622101985432,70
1622101985532,1622101985542,10
