start,end,duration
1621841986222,1621841986232,10
1621841986692,1621841986732,40
1621841988950,1621841989130,180
1621841989220,1621841989230,10
1621841989400,1621841989480,80
1621841990470,1621841990609,139
1621841991019,1621841991049,30
1621841991359,1621841991409,50
1621841991489,1621841991679,190
1621841991789,1621841992228,439
1621841992308,1621841992558,250
1621841994147,1621841994217,70
1621841996826,1621841996856,30
1621841998005,1621841998015,10
1621841998155,1621841998165,10
1621842000074,1621842000223,149
1621842000423,1621842000773,350
1621842000883,1621842000893,10
1621842001463,1621842001703,240
1621842002022,1621842002092,70
1621842002592,1621842002746,154
1621842003481,1621842003541,60
1621842004091,1621842004101,10
1621842004381,1621842004501,120
1621842004791,1621842004851,60
1621842005620,1621842005630,10
1621842005890,1621842005900,10
1621842006020,1621842006100,80
1621842006200,1621842006310,110
1621842006460,1621842006520,60
1621842007019,1621842007149,130
1621842007539,1621842007589,50
1621842008248,1621842008298,50
1621842008718,1621842008778,60
1621842008928,1621842009148,220
1621842009268,1621842009328,60
1621842009528,1621842009668,140
1621842010187,1621842010197,10
1621842010287,1621842010297,10
1621842010867,1621842010877,10
1621842010987,1621842010997,10
1621842011307,1621842011317,10
1621842011666,1621842011676,10
1621842011896,1621842011966,70
1621842012056,1621842012066,10
1621842012236,1621842012266,30
1621842012806,1621842012816,10
1621842013255,1621842013295,40
1621842013485,1621842013495,10
1621842013655,1621842013665,10
1621842014135,1621842014165,30
1621842014734,1621842014744,10
1621842015934,1621842016114,180
1621842016493,1621842016543,50
1621842018032,1621842018102,70
1621842018612,1621842018652,40
1621842018832,1621842018912,80
1621842019252,1621842019262,10
1621842019432,1621842019681,249
1621842021900,1621842021910,10
1621842022000,1621842022080,80
1621842022340,1621842022350,10
1621842022450,1621842022610,160
1621842023409,1621842023559,150
1621842023699,1621842023799,100
1621842024169,1621842024279,110
1621842024568,1621842024608,40
1621842025058,1621842025248,190
1621842028946,1621842029006,60
1621842030555,1621842030944,389
1621842031064,1621842031164,100
1621842032014,1621842032094,80
1621842032583,1621842032593,10
1621842032723,1621842032733,10
1621842033023,1621842033033,10
