start,end,duration
1621845055502,1621845055512,10
1621845055632,1621845055772,140
1621845055892,1621845056062,170
1621845056182,1621845056211,29
1621845056351,1621845056361,10
1621845056481,1621845056511,30
1621845056651,1621845056661,10
1621845056761,1621845056811,50
1621845056951,1621845056961,10
1621845057041,1621845057071,30
1621845057331,1621845057361,30
1621845057461,1621845057471,10
1621845057591,1621845057621,30
1621845057731,1621845057870,139
1621845058010,1621845058020,10
1621845058130,1621845058140,10
1621845058260,1621845058290,30
1621845058410,1621845058420,10
1621845058560,1621845058590,30
1621845059509,1621845059589,80
1621845059669,1621845059679,10
1621845059789,1621845059839,50
1621845059949,1621845059979,30
1621845060079,1621845060089,10
1621845060199,1621845060229,30
1621845060479,1621845060529,50
1621845060619,1621845060629,10
1621845061478,1621845061508,30
1621845061618,1621845061628,10
1621845061768,1621845061778,10
1621845061878,1621845061908,30
1621845062298,1621845062458,160
1621845062578,1621845062588,10
1621845062708,1621845062763,55
1621845062847,1621845063027,180
1621845063167,1621845063177,10
1621845063277,1621845063347,70
1621845063427,1621845063457,30
1621845063697,1621845063707,10
1621845063827,1621845063837,10
1621845063957,1621845063987,30
1621845064117,1621845064127,10
1621845064247,1621845064277,30
1621845064397,1621845064426,29
1621845064526,1621845064556,30
1621845064676,1621845064686,10
1621845064806,1621845064836,30
1621845064946,1621845064956,10
1621845065066,1621845065096,30
1621845065216,1621845065226,10
1621845065346,1621845065376,30
1621845065496,1621845065526,30
1621845065746,1621845065846,100
1621845065946,1621845065956,10
1621845066065,1621845066095,30
1621845066325,1621845066375,50
1621845066545,1621845066625,80
1621845066765,1621845066775,10
1621845066895,1621845066905,10
1621845067025,1621845067055,30
1621845067175,1621845067205,30
1621845067295,1621845067345,50
1621845067465,1621845067475,10
1621845067575,1621845067605,30
1621845067734,1621845067894,160
1621845068144,1621845068154,10
1621845068294,1621845068324,30
1621845068444,1621845068474,30
1621845068594,1621845068604,10
1621845068744,1621845068874,130
1621845068984,1621845068994,10
1621845069114,1621845069124,10
1621845069264,1621845069294,30
1621845069493,1621845069573,80
1621845069693,1621845069703,10
1621845069813,1621845069843,30
1621845069943,1621845069973,30
1621845070113,1621845070293,180
1621845070513,1621845070603,90
1621845070793,1621845070823,30
1621845071003,1621845071013,10
1621845071232,1621845071242,10
1621845071592,1621845071642,50
1621845071762,1621845071792,30
1621845071882,1621845071892,10
1621845072032,1621845072062,30
1621845072162,1621845072212,50
1621845072332,1621845072472,140
1621845072731,1621845072741,10
1621845072861,1621845072871,10
1621845072981,1621845073011,30
1621845073151,1621845073161,10
1621845073251,1621845073341,90
1621845073461,1621845073471,10
1621845073571,1621845073621,50
1621845073731,1621845073891,160
1621845074131,1621845074161,30
1621845074710,1621845074870,160
1621845074960,1621845074990,30
1621845075080,1621845075120,40
1621845075260,1621845075310,50
1621845075420,1621845075540,120
1621845075979,1621845075989,10
1621845076079,1621845076359,280
1621845076499,1621845076529,30
1621845076649,1621845076659,10
1621845076779,1621845076829,50
1621845077059,1621845077089,30
1621845077229,1621845077239,10
1621845077369,1621845077379,10
1621845077499,1621845077509,10
1621845077778,1621845077828,50
1621845077978,1621845078058,80
1621845078388,1621845078438,50
1621845078598,1621845078608,10
1621845078708,1621845078738,30
1621845078948,1621845079028,80
1621845079267,1621845079337,70
1621845079427,1621845079457,30
1621845079577,1621845079587,10
