start,end,duration
1621844310691,1621844310721,30
1621844310801,1621844310831,30
1621844310951,1621844310981,30
1621844311521,1621844311531,10
1621844312071,1621844312081,10
1621844312181,1621844312230,49
1621844312360,1621844312370,10
1621844312450,1621844312510,60
1621844312620,1621844312630,10
1621844312750,1621844312780,30
1621844312910,1621844312920,10
1621844313320,1621844313330,10
1621844313450,1621844313480,30
1621844313730,1621844313780,50
1621844314019,1621844314329,310
1621844315249,1621844315299,50
1621844315409,1621844315439,30
1621844315558,1621844315848,290
1621844315988,1621844316038,50
1621844316238,1621844316268,30
1621844316518,1621844316548,30
1621844316678,1621844316688,10
1621844316778,1621844316818,40
1621844316958,1621844316968,10
1621844317138,1621844317367,229
1621844317557,1621844317637,80
1621844318077,1621844318087,10
1621844318227,1621844318237,10
1621844318357,1621844318367,10
1621844318547,1621844318647,100
1621844318926,1621844318936,10
1621844319056,1621844319066,10
1621844319186,1621844319196,10
1621844319596,1621844319646,50
1621844319756,1621844319916,160
1621844320156,1621844320186,30
1621844320426,1621844320495,69
1621844320575,1621844320585,10
1621844320695,1621844320705,10
1621844320995,1621844321005,10
1621844321115,1621844321165,50
1621844321255,1621844321305,50
1621844321425,1621844321435,10
1621844321555,1621844321585,30
1621844321795,1621844321865,70
1621844322354,1621844322414,60
1621844322664,1621844322714,50
1621844322804,1621844322814,10
1621844322924,1621844322954,30
1621844323074,1621844323084,10
1621844323194,1621844323304,110
1621844327541,1621844327551,10
1621844327931,1621844327971,40
1621844328071,1621844328081,10
1621844328201,1621844328231,30
1621844329610,1621844329630,20
1621844329720,1621844329750,30
1621844329870,1621844329880,10
1621844330000,1621844330030,30
1621844330160,1621844330170,10
1621844330260,1621844330320,60
1621844330419,1621844330449,30
1621844330569,1621844330599,30
1621844330719,1621844330849,130
1621844330989,1621844331049,60
1621844331279,1621844331289,10
1621844331389,1621844331399,10
1621844331579,1621844331589,10
1621844331699,1621844331749,50
1621844331839,1621844331869,30
1621844331989,1621844332148,159
1621844332278,1621844332288,10
1621844332408,1621844332418,10
1621844332558,1621844332568,10
1621844332688,1621844332718,30
1621844333218,1621844333538,320
1621844333648,1621844333797,149
1621844333927,1621844334087,160
1621844334457,1621844334537,80
1621844334617,1621844335067,450
1621844335257,1621844335337,80
1621844335556,1621844335636,80
1621844335886,1621844335916,30
1621844336186,1621844336196,10
1621844336326,1621844336336,10
1621844336456,1621844336616,160
1621844336776,1621844336786,10
1621844336906,1621844336916,10
1621844337545,1621844337605,60
1621844337735,1621844337915,180
1621844338055,1621844338185,130
1621844338325,1621844338335,10
1621844338415,1621844338465,50
1621844338595,1621844338605,10
1621844338724,1621844339014,290
1621844339104,1621844339164,60
1621844339274,1621844339304,30
1621844339424,1621844339864,440
1621844339994,1621844340004,10
1621844340124,1621844340154,30
1621844340383,1621844340413,30
1621844340673,1621844340683,10
1621844340803,1621844340833,30
1621844340973,1621844341003,30
1621844341123,1621844341263,140
1621844341393,1621844341403,10
1621844341523,1621844341683,160
1621844341923,1621844341933,10
1621844342092,1621844342402,310
1621844342652,1621844342682,30
1621844342842,1621844343072,230
1621844343342,1621844343372,30
1621844343641,1621844343651,10
1621844343791,1621844343821,30
1621844343911,1621844343951,40
1621844344071,1621844344081,10
1621844344201,1621844344251,50
1621844344351,1621844344381,30
1621844344571,1621844344781,210
1621844344901,1621844344931,30
1621844345171,1621844345320,149
1621844346320,1621844346330,10
1621844346590,1621844346600,10
1621844346720,1621844346750,30
1621844346999,1621844347029,30
1621844347149,1621844347479,330
1621844347589,1621844348019,430
1621844348269,1621844348369,100
1621844348608,1621844348698,90
1621844348858,1621844348868,10
1621844349108,1621844349138,30
1621844349268,1621844349298,30
1621844349578,1621844349848,270
1621844349938,1621844349968,30
1621844350108,1621844350118,10
1621844350238,1621844350248,10
1621844350367,1621844350397,30
1621844350847,1621844350897,50
1621844351157,1621844351187,30
1621844351757,1621844351767,10
1621844351877,1621844351887,10
1621844352006,1621844352036,30
1621844352956,1621844353246,290
1621844353446,1621844353546,100
1621844353745,1621844353805,60
1621844353905,1621844354065,160
1621844354195,1621844354335,140
1621844354455,1621844354545,90
1621844354625,1621844354635,10
1621844354725,1621844354755,30
1621844354895,1621844355055,160
1621844355324,1621844355334,10
1621844355624,1621844355634,10
1621844355774,1621844355784,10
1621844356154,1621844356164,10
1621844356294,1621844356304,10
1621844356494,1621844356504,10
1621844356854,1621844357013,159
1621844357283,1621844357313,30
1621844357553,1621844357753,200
1621844357833,1621844357863,30
1621844358023,1621844358033,10
1621844358153,1621844358163,10
1621844358253,1621844358353,100
1621844358572,1621844358912,340
1621844359072,1621844359152,80
1621844359392,1621844359402,10
1621844359522,1621844359572,50
1621844359672,1621844359832,160
1621844359962,1621844359972,10
1621844360092,1621844360122,30
1621844360211,1621844360531,320
1621844361741,1621844361900,159
1621844362070,1621844362100,30
1621844362630,1621844362680,50
1621844362760,1621844362930,170
1621844363050,1621844363360,310
1621844363470,1621844363629,159
1621844363809,1621844363879,70
1621844363969,1621844363979,10
1621844364139,1621844364279,140
1621844364419,1621844364879,460
1621844364959,1621844364989,30
1621844365109,1621844365119,10
1621844365258,1621844365268,10
1621844365388,1621844365398,10
1621844365578,1621844365648,70
1621844365788,1621844365818,30
1621844365918,1621844365948,30
1621844366258,1621844366348,90
1621844366508,1621844366648,140
1621844366887,1621844366897,10
1621844367157,1621844367187,30
1621844367307,1621844367317,10
1621844367477,1621844367487,10
1621844367717,1621844368017,300
1621844368556,1621844368566,10
1621844368836,1621844368846,10
1621844368986,1621844368996,10
1621844369116,1621844369296,180
1621844369426,1621844369436,10
1621844369556,1621844369586,30
1621844369686,1621844369696,10
1621844369836,1621844369846,10
1621844369976,1621844370076,100
1621844370235,1621844370245,10
1621844370385,1621844370435,50
1621844370555,1621844370715,160
1621844370825,1621844370855,30
1621844370955,1621844370985,30
1621844371105,1621844371115,10
1621844371205,1621844371415,210
1621844371655,1621844371685,30
1621844371944,1621844371954,10
1621844372224,1621844372384,160
1621844372624,1621844372704,80
1621844372904,1621844372934,30
1621844373044,1621844373054,10
1621844373304,1621844373314,10
1621844373443,1621844373453,10
1621844373573,1621844373583,10
1621844373713,1621844373863,150
1621844373953,1621844374003,50
1621844374093,1621844374153,60
1621844374243,1621844374363,120
1621844375972,1621844375982,10
1621844376072,1621844376082,10
1621844376342,1621844376352,10
1621844376512,1621844376522,10
1621844376741,1621844376821,80
1621844377051,1621844377081,30
1621844377171,1621844377181,10
1621844377341,1621844377351,10
1621844377451,1621844377481,30
1621844377771,1621844377781,10
1621844378011,1621844378081,70
1621844378211,1621844378351,140
1621844378460,1621844378630,170
1621844378770,1621844378780,10
1621844379040,1621844379370,330
1621844379460,1621844379470,10
1621844379580,1621844379630,50
1621844379720,1621844379750,30
1621844379870,1621844379900,30
1621844380000,1621844380199,199
1621844380309,1621844380319,10
1621844380409,1621844380469,60
1621844380589,1621844380599,10
1621844380689,1621844380769,80
1621844380859,1621844380869,10
1621844380989,1621844381049,60
1621844381149,1621844381369,220
1621844381449,1621844381519,70
1621844381609,1621844381798,189
1621844381928,1621844381998,70
1621844382088,1621844382118,30
1621844382218,1621844382398,180
1621844382518,1621844382868,350
1621844382978,1621844383038,60
1621844383158,1621844383168,10
1621844383587,1621844383597,10
1621844383837,1621844383867,30
1621844383987,1621844383997,10
1621844384177,1621844384337,160
1621844384457,1621844384567,110
1621844384827,1621844384837,10
1621844384957,1621844384987,30
1621844385106,1621844385206,100
1621844385386,1621844385396,10
1621844385526,1621844385536,10
1621844385706,1621844385816,110
1621844386016,1621844386046,30
1621844386336,1621844386456,120
1621844386855,1621844386865,10
1621844387285,1621844387295,10
1621844387405,1621844387415,10
1621844387545,1621844387555,10
1621844387665,1621844387795,130
1621844387955,1621844387985,30
1621844388275,1621844388285,10
1621844388734,1621844388834,100
1621844388954,1621844388964,10
1621844389084,1621844389114,30
1621844389624,1621844389784,160
1621844389904,1621844389934,30
1621844390193,1621844390353,160
1621844390453,1621844390463,10
1621844390623,1621844390753,130
1621844390883,1621844390913,30
1621844391353,1621844391363,10
1621844391493,1621844391583,90
1621844391752,1621844391762,10
1621844391902,1621844391932,30
1621844392142,1621844392242,100
1621844392322,1621844392332,10
1621844392702,1621844392752,50
1621844392852,1621844392862,10
1621844393072,1621844393082,10
1621844393301,1621844393331,30
1621844393411,1621844393451,40
1621844393671,1621844393701,30
1621844393821,1621844393831,10
1621844394561,1621844394841,280
1621844394950,1621844394980,30
1621844395110,1621844395120,10
1621844395200,1621844395230,30
1621844395360,1621844395370,10
1621844395570,1621844395800,230
1621844395920,1621844395950,30
1621844396070,1621844396080,10
1621844396210,1621844396220,10
1621844396340,1621844396350,10
1621844396490,1621844396520,30
1621844396639,1621844396669,30
1621844397509,1621844397519,10
1621844397769,1621844397779,10
1621844397909,1621844397919,10
1621844398059,1621844398069,10
1621844398488,1621844398498,10
1621844399288,1621844399318,30
1621844399438,1621844399448,10
1621844399588,1621844399937,349
1621844400057,1621844400367,310
1621844400487,1621844400517,30
1621844400637,1621844400647,10
1621844400767,1621844400817,50
1621844401047,1621844401097,50
1621844401287,1621844401367,80
1621844401606,1621844401636,30
1621844401736,1621844401786,50
1621844402026,1621844402036,10
1621844402176,1621844402186,10
1621844402286,1621844402446,160
1621844402526,1621844402746,220
1621844402976,1621844403036,60
1621844403265,1621844403295,30
1621844403685,1621844403745,60
1621844403875,1621844403885,10
1621844404125,1621844404435,310
1621844404555,1621844404585,30
1621844404705,1621844404715,10
1621844404914,1621844405044,130
1621844405234,1621844405264,30
1621844405504,1621844405514,10
1621844405794,1621844405804,10
1621844405924,1621844405934,10
1621844406144,1621844406214,70
1621844406474,1621844406484,10
1621844406753,1621844406883,130
1621844407053,1621844407113,60
1621844407273,1621844407653,380
1621844407773,1621844407783,10
1621844408043,1621844408053,10
1621844408172,1621844408182,10
1621844408282,1621844408312,30
1621844408552,1621844408582,30
1621844408722,1621844409172,450
1621844409272,1621844409282,10
1621844409552,1621844409562,10
1621844409742,1621844409851,109
1621844409951,1621844410101,150
1621844410331,1621844410371,40
1621844410511,1621844410521,10
1621844410621,1621844410851,230
1621844410961,1621844411051,90
1621844411301,1621844411351,50
1621844411610,1621844411620,10
1621844411880,1621844411930,50
1621844412020,1621844412030,10
1621844412170,1621844412180,10
1621844412460,1621844412470,10
1621844412590,1621844412600,10
1621844412720,1621844412750,30
1621844412920,1621844413030,110
1621844413259,1621844413319,60
1621844413569,1621844413599,30
1621844413719,1621844413729,10
1621844413989,1621844414019,30
1621844414269,1621844414389,120
1621844414609,1621844414699,90
1621844414818,1621844414828,10
1621844414968,1621844414978,10
1621844415168,1621844415248,80
1621844415518,1621844415528,10
1621844415758,1621844415838,80
1621844415958,1621844415968,10
1621844416068,1621844416098,30
1621844416238,1621844416248,10
1621844416388,1621844416547,159
1621844416657,1621844416667,10
1621844416787,1621844416817,30
1621844416957,1621844416967,10
1621844417077,1621844417087,10
1621844417257,1621844417267,10
1621844417357,1621844417387,30
1621844418376,1621844418386,10
1621844418636,1621844418646,10
1621844418806,1621844418836,30
1621844418916,1621844418946,30
1621844419066,1621844419096,30
1621844419336,1621844419346,10
1621844419486,1621844419765,279
1621844419865,1621844419935,70
1621844420155,1621844420345,190
1621844420585,1621844420615,30
1621844420855,1621844420915,60
1621844421005,1621844421015,10
1621844421285,1621844421315,30
1621844421554,1621844421584,30
1621844421724,1621844422134,410
1621844422234,1621844422264,30
1621844422394,1621844422404,10
1621844422804,1621844422864,60
1621844423223,1621844423363,140
1621844423493,1621844423503,10
1621844423643,1621844423653,10
1621844423773,1621844423823,50
1621844423923,1621844423933,10
1621844424073,1621844424203,130
1621844424353,1621844424363,10
1621844424473,1621844424483,10
1621844424573,1621844424663,90
1621844424752,1621844424832,80
1621844424952,1621844424962,10
1621844425092,1621844425102,10
1621844425222,1621844425232,10
1621844426581,1621844426661,80
1621844426871,1621844426881,10
1621844427311,1621844427321,10
1621844427461,1621844427471,10
1621844427571,1621844427601,30
1621844427721,1621844427751,30
1621844427841,1621844427871,30
1621844427981,1621844428030,49
1621844428160,1621844428170,10
1621844428290,1621844428306,16
1621844428420,1621844428430,10
1621844428570,1621844428580,10
1621844429190,1621844429570,380
1621844429709,1621844429869,160
1621844429949,1621844429999,50
1621844430209,1621844430219,10
1621844430789,1621844430819,30
1621844431059,1621844431219,160
1621844431588,1621844431618,30
1621844432148,1621844432178,30
1621844434407,1621844434417,10
1621844434537,1621844434567,30
1621844434686,1621844434996,310
1621844435086,1621844435096,10
1621844435236,1621844435386,150
1621844435516,1621844435546,30
1621844435656,1621844435666,10
1621844436096,1621844436345,249
1621844436455,1621844436515,60
1621844436625,1621844436635,10
1621844436765,1621844436795,30
1621844436905,1621844436915,10
1621844437325,1621844437335,10
1621844437435,1621844437445,10
1621844437565,1621844437615,50
1621844437875,1621844437885,10
1621844438134,1621844438164,30
1621844439004,1621844439014,10
1621844439304,1621844439314,10
1621844439573,1621844439713,140
1621844440603,1621844440663,60
1621844440803,1621844440813,10
1621844440943,1621844440953,10
1621844441232,1621844441362,130
1621844441442,1621844441652,210
1621844441772,1621844441782,10
1621844441902,1621844442082,180
1621844442162,1621844442232,70
1621844442342,1621844442392,50
1621844442632,1621844442662,30
