start,end,duration
1622102974254,1622102974454,200
1622102974544,1622102974554,10
1622102984288,1622102984338,50
1622102984428,1622102984857,429
1622102984937,1622102985057,120
1622102985227,1622102985307,80
1622102985507,1622102985587,80
1622102985687,1622102985717,30
1622102986676,1622102986866,190
1622102986956,1622102986986,30
1622102987106,1622102987256,150
1622102987396,1622102987566,170
1622102987676,1622102987686,10
1622102987776,1622102987856,80
1622102987945,1622102988015,70
1622102988145,1622102988155,10
1622102988245,1622102988305,60
1622102988405,1622102988415,10
1622102988525,1622102988705,180
1622102988825,1622102988965,140
1622102989095,1622102989125,30
1622102989365,1622102989504,139
1622102989624,1622102989634,10
1622102989724,1622102989804,80
1622102989904,1622102989934,30
1622102990064,1622102990074,10
1622102990194,1622102990224,30
1622102990304,1622102990354,50
1622102990594,1622102990774,180
1622102990874,1622102991054,180
1622102991283,1622102991343,60
1622102991443,1622102991483,40
1622102991573,1622102991763,190
1622102991863,1622102991873,10
1622102991973,1622102992033,60
1622102992233,1622102992553,320
1622102992653,1622102992703,50
1622102992792,1622102992822,30
1622102992922,1622102992972,50
1622102993072,1622102993082,10
1622102993222,1622102993252,30
1622102993332,1622102993412,80
1622102993492,1622102993832,340
1622102993922,1622102993972,50
1622102994092,1622102994102,10
1622102994202,1622102994252,50
1622102994491,1622102994501,10
1622102994631,1622102994641,10
1622102994721,1622102994801,80
1622102994881,1622102994921,40
1622102995081,1622102995092,11
1622102995211,1622102995221,10
1622102995341,1622102995521,180
1622102995641,1622102995651,10
1622102995741,1622102995901,160
1622102996020,1622102996050,30
1622102996140,1622102996200,60
1622102996310,1622102996340,30
1622102996440,1622102996490,50
1622102996570,1622102996600,30
1622102996720,1622102996770,50
1622102996850,1622102997050,200
1622102997160,1622102997190,30
1622102997290,1622102997450,160
1622102997560,1622102997570,10
1622102997669,1622102998149,480
1622102998249,1622102998259,10
1622102998349,1622102998519,170
1622102998639,1622102998649,10
1622102998729,1622102998819,90
1622102999049,1622102999368,319
