start,end,duration
1621932287165,1621932287224,59
1621932287464,1621932287494,30
1621932287614,1621932287644,30
1621932287874,1621932287904,30
1621932288044,1621932288154,110
1621932288314,1621932288324,10
1621932288424,1621932288504,80
1621932288684,1621932288873,189
1621932288993,1621932289023,30
1621932289143,1621932289193,50
1621932290093,1621932290273,180
1621932290392,1621932290452,60
1621932290532,1621932290842,310
1621932290982,1621932291112,130
1621932291232,1621932291242,10
1621932291342,1621932291372,30
1621932291492,1621932291522,30
1621932291662,1621932291842,180
1621932291961,1621932292091,130
1621932292231,1621932292241,10
1621932292361,1621932292531,170
1621932292641,1621932292691,50
1621932292941,1621932292971,30
1621932293081,1621932293121,40
1621932293221,1621932293271,50
1621932293361,1621932293391,30
1621932293531,1621932293890,359
1621932294110,1621932294160,50
1621932294410,1621932294420,10
1621932298248,1621932298258,10
1621932298378,1621932298418,40
1621932298527,1621932298537,10
1621932298647,1621932298707,60
1621932298797,1621932298807,10
1621932298927,1621932298957,30
1621932299047,1621932299057,10
1621932299137,1621932299407,270
1621932299547,1621932299657,110
1621932299767,1621932299807,40
1621932299897,1621932300037,140
1621932300166,1621932300306,140
1621932300446,1621932300586,140
1621932300676,1621932300776,100
1621932300856,1621932301156,300
1621932301276,1621932301306,30
1621932301426,1621932301436,10
1621932301516,1621932301576,60
1621932301696,1621932301855,159
1621932301995,1621932302005,10
1621932302115,1621932302285,170
1621932302385,1621932302535,150
1621932302655,1621932302685,30
1621932302805,1621932302835,30
1621932302935,1621932302945,10
1621932303085,1621932303095,10
1621932303215,1621932303225,10
1621932303345,1621932303374,29
1621932303464,1621932303524,60
1621932303644,1621932303824,180
1621932303904,1621932303964,60
1621932304044,1621932304474,430
1621932304594,1621932304624,30
1621932304724,1621932304754,30
1621932304864,1621932304874,10
1621932305963,1621932305993,30
1621932306093,1621932306143,50
1621932306243,1621932306273,30
1621932306393,1621932306423,30
1621932306543,1621932306553,10
1621932306642,1621932306752,110
1621932306892,1621932306902,10
1621932307012,1621932307072,60
1621932307162,1621932307172,10
1621932307292,1621932307322,30
1621932307442,1621932307472,30
1621932307592,1621932307602,10
1621932307722,1621932307752,30
1621932307892,1621932308022,130
1621932308162,1621932308441,279
1621932308541,1621932308751,210
1621932308861,1621932308871,10
1621932309011,1621932309341,330
1621932309551,1621932309761,210
1621932309900,1621932310320,420
1621932310440,1621932310490,50
1621932310580,1621932310990,410
1621932311080,1621932311160,80
1621932311250,1621932311320,70
1621932311410,1621932311869,459
1621932312809,1621932312819,10
1621932312929,1621932312989,60
1621932313079,1621932313089,10
1621932313178,1621932313268,90
1621932313468,1621932313518,50
1621932313738,1621932313788,50
1621932314048,1621932314208,160
1621932314348,1621932314458,110
1621932314568,1621932314578,10
1621932314668,1621932315007,339
1621932315127,1621932315157,30
1621932315267,1621932315277,10
1621932315417,1621932315427,10
1621932315567,1621932315727,160
1621932315817,1621932315827,10
1621932315947,1621932315957,10
1621932316047,1621932316127,80
1621932316227,1621932316237,10
1621932316327,1621932316486,159
1621932316626,1621932316936,310
1621932317046,1621932317056,10
1621932317186,1621932317236,50
1621932317366,1621932317526,160
1621932317636,1621932317676,40
1621932318625,1621932319035,410
1621932319115,1621932319605,490
1621932319724,1621932319734,10
1621932319864,1621932320004,140
1621932323162,1621932323402,240
1621932323492,1621932323522,30
1621932323622,1621932323652,30
1621932324472,1621932324791,319
1621932324891,1621932324921,30
1621932325021,1621932325051,30
1621932325171,1621932325491,320
1621932325581,1621932325991,410
1621932326111,1621932326300,189
1621932326490,1621932326540,50
1621932326690,1621932326890,200
1621932327010,1621932327090,80
1621932327210,1621932327220,10
1621932327360,1621932327370,10
1621932327450,1621932327520,70
1621932328329,1621932328619,290
1621932328709,1621932328769,60
1621932328879,1621932329319,440
1621932329429,1621932329439,10
1621932337574,1621932337603,29
1621932339542,1621932339552,10
1621932339672,1621932340002,330
1621932340092,1621932340122,30
1621932341291,1621932341321,30
1621932341421,1621932341601,180
1621932341711,1621932341851,140
1621932341981,1621932341991,10
1621932342111,1621932342121,10
1621932342241,1621932342251,10
1621932342381,1621932342520,139
1621932342640,1621932342790,150
1621932342930,1621932342970,40
1621932343080,1621932343110,30
1621932343190,1621932343220,30
1621932343360,1621932343390,30
1621932343490,1621932343660,170
1621932343780,1621932343810,30
1621932343930,1621932343940,10
1621932344030,1621932344090,60
1621932344229,1621932344259,30
1621932344369,1621932344519,150
1621932344679,1621932344809,130
1621932344959,1621932345069,110
1621932345229,1621932345239,10
1621932346828,1621932346858,30
1621932346958,1621932347138,180
1621932347238,1621932347268,30
1621932347348,1621932347387,39
1621932347507,1621932347517,10
1621932347657,1621932347707,50
1621932347937,1621932347967,30
1621932348207,1621932348277,70
1621932348437,1621932348777,340
1621932348917,1621932349076,159
1621932349216,1621932349256,40
1621932349346,1621932349376,30
1621932349516,1621932349526,10
1621932349646,1621932349692,46
1621932349796,1621932349806,10
1621932349946,1621932349956,10
1621932350076,1621932350086,10
1621932350166,1621932350276,110
1621932350376,1621932350386,10
1621932350506,1621932350536,30
1621932350635,1621932350805,170
1621932351925,1621932351935,10
1621932352045,1621932352225,180
1621932352344,1621932352484,140
1621932352624,1621932353034,410
1621932353114,1621932353324,210
1621932353444,1621932353474,30
1621932353574,1621932353584,10
1621932353694,1621932353727,33
1621932353864,1621932353874,10
1621932353973,1621932354023,50
1621932354123,1621932354153,30
1621932354313,1621932354323,10
1621932354443,1621932354453,10
1621932354583,1621932354623,40
1621932354703,1621932354753,50
1621932354863,1621932354873,10
1621932354993,1621932355153,160
1621932355263,1621932355423,160
1621932355542,1621932355552,10
1621932355672,1621932355802,130
1621932355942,1621932356102,160
1621932356242,1621932356422,180
1621932356542,1621932356692,150
1621932356812,1621932356842,30
1621932356952,1621932357002,50
1621932357112,1621932357122,10
1621932357221,1621932357251,30
1621932357371,1621932357401,30
1621932357651,1621932357701,50
1621932357831,1621932357971,140
1621932358081,1621932358091,10
1621932358191,1621932358241,50
1621932358341,1621932358371,30
1621932358471,1621932358521,50
1621932358611,1621932358641,30
1621932358761,1621932358791,30
1621932358890,1621932358970,80
1621932359060,1621932359090,30
1621932359190,1621932359370,180
1621932359480,1621932359540,60
1621932359630,1621932359640,10
1621932359740,1621932359776,36
1621932359900,1621932359910,10
1621932360040,1621932360070,30
1621932360190,1621932360220,30
1621932360350,1621932360509,159
1621932360639,1621932360669,30
1621932360749,1621932360789,40
1621932360889,1621932360939,50
1621932361029,1621932361059,30
1621932361179,1621932361209,30
1621932361309,1621932361339,30
1621932361459,1621932361469,10
1621932361589,1621932361619,30
1621932361739,1621932361769,30
1621932361879,1621932361939,60
1621932362118,1621932362318,200
1621932362438,1621932362508,70
1621932362588,1621932362738,150
1621932362828,1621932362908,80
1621932363008,1621932363038,30
1621932363158,1621932363188,30
1621932363308,1621932363318,10
1621932363438,1621932363508,70
1621932363807,1621932363867,60
1621932364077,1621932364287,210
1621932364407,1621932364437,30
1621932364527,1621932364537,10
1621932364687,1621932364717,30
1621932364837,1621932364887,50
1621932364977,1621932364987,10
1621932365127,1621932365277,150
1621932365396,1621932365426,30
1621932365506,1621932365556,50
1621932365666,1621932365726,60
1621932365806,1621932365836,30
1621932365946,1621932365976,30
1621932366096,1621932366106,10
1621932366226,1621932366236,10
1621932366496,1621932366506,10
1621932366626,1621932366636,10
1621932366736,1621932366936,200
1621932367055,1621932367085,30
1621932367175,1621932367205,30
1621932367325,1621932367355,30
1621932367475,1621932367505,30
1621932367695,1621932367775,80
1621932367895,1621932367905,10
1621932368045,1621932368055,10
1621932368135,1621932368185,50
1621932368295,1621932368305,10
1621932368425,1621932368455,30
1621932368574,1621932368874,300
1621932368994,1621932369024,30
1621932369144,1621932369174,30
1621932369294,1621932369324,30
1621932369444,1621932369454,10
1621932369574,1621932369604,30
1621932369704,1621932369734,30
1621932369844,1621932369854,10
1621932369984,1621932370034,50
1621932370144,1621932370303,159
1621932370423,1621932370433,10
1621932370513,1621932370743,230
1621932370943,1621932371123,180
1621932371213,1621932371293,80
1621932371393,1621932371403,10
1621932371523,1621932371573,50
1621932371673,1621932371703,30
1621932371813,1621932371852,39
1621932371942,1621932371952,10
1621932372072,1621932372102,30
1621932372342,1621932372372,30
1621932372492,1621932372642,150
1621932372742,1621932372922,180
1621932373022,1621932373092,70
1621932373182,1621932373192,10
1621932373302,1621932373352,50
1621932373481,1621932373491,10
1621932373591,1621932373621,30
1621932373721,1621932373771,50
1621932373881,1621932373897,16
1621932374011,1621932374041,30
1621932374141,1621932374151,10
1621932374241,1621932374721,480
1621932374841,1621932374871,30
1621932374971,1621932375001,30
1621932375130,1621932375140,10
1621932375410,1621932375420,10
1621932375520,1621932375550,30
1621932375650,1621932375700,50
1621932375790,1621932375820,30
1621932375980,1621932375990,10
1621932376070,1621932376520,450
1621932376660,1621932376670,10
1621932376759,1621932376819,60
1621932376909,1621932376923,14
1621932377039,1621932377089,50
1621932377189,1621932377219,30
1621932377329,1621932377469,140
1621932377629,1621932377639,10
1621932377729,1621932377759,30
1621932377879,1621932377889,10
1621932378009,1621932378039,30
1621932378159,1621932378169,10
1621932378279,1621932378468,189
1621932378558,1621932378758,200
1621932378858,1621932378868,10
1621932378948,1621932379008,60
1621932379128,1621932379138,10
1621932379268,1621932379438,170
1621932379558,1621932379868,310
1621932379987,1621932380027,40
1621932380127,1621932380157,30
1621932380277,1621932380337,60
1621932380447,1621932380457,10
1621932380577,1621932380737,160
1621932380877,1621932381057,180
1621932381227,1621932381307,80
1621932381427,1621932381437,10
1621932381527,1621932381607,80
1621932381706,1621932381866,160
1621932381966,1621932382006,40
1621932382096,1621932382126,30
1621932382226,1621932382256,30
1621932382366,1621932382406,40
1621932382526,1621932382556,30
1621932382646,1621932382676,30
1621932382796,1621932382826,30
1621932382946,1621932383086,140
1621932383176,1621932383275,99
1621932383365,1621932383375,10
1621932383475,1621932383525,50
1621932383645,1621932383675,30
1621932383795,1621932383805,10
1621932383905,1621932383935,30
