start,end,duration
1622101069845,1622101069855,10
1622101069975,1622101069985,10
1622101070125,1622101070175,50
1622101070794,1622101071054,260
1622101071594,1622101071604,10
1622101072843,1622101072853,10
1622101074292,1622101074342,50
1622101074422,1622101074452,30
1622101074942,1622101074952,10
1622101077031,1622101077071,40
1622101081158,1622101081178,20
1622101081368,1622101081438,70
1622101081578,1622101081658,80
1622101083457,1622101083507,50
1622101083757,1622101083867,110
1622101085905,1622101085965,60
1622101086505,1622101086515,10
1622101088174,1622101088374,200
1622101088454,1622101088494,40
1622101089074,1622101089103,29
1622101090183,1622101090493,310
1622101092801,1622101093191,390
1622101093561,1622101093971,410
1622101094660,1622101094670,10
1622101094770,1622101094840,70
1622101095460,1622101095470,10
1622101096039,1622101096049,10
1622101096559,1622101096739,180
1622101096869,1622101097039,170
1622101097289,1622101097299,10
1622101098428,1622101098438,10
1622101098698,1622101098708,10
1622101098928,1622101099128,200
1622101108072,1622101108112,40
1622101108212,1622101108412,200
1622101108592,1622101108842,250
1622101110141,1622101110451,310
1622101110701,1622101110721,20
1622101110801,1622101110921,120
1622101111710,1622101111840,130
1622101111920,1622101111930,10
1622101112250,1622101112280,30
1622101113369,1622101113449,80
1622101113799,1622101113839,40
1622101116198,1622101116297,99
1622101116437,1622101116467,30
1622101117497,1622101117537,40
1622101118686,1622101118756,70
1622101119406,1622101119416,10
1622101119815,1622101119945,130
1622101121494,1622101121584,90
1622101122414,1622101122564,150
1622101124243,1622101124253,10
1622101124792,1622101124812,20
1622101127211,1622101127301,90
1622101127451,1622101127491,40
1622101127951,1622101128001,50
1622101128420,1622101128470,50
1622101132168,1622101132208,40
1622101132878,1622101133008,130
1622101133257,1622101133267,10
1622101134267,1622101134307,40
1622101134507,1622101134517,10
1622101134647,1622101134657,10
1622101136146,1622101136186,40
1622101136416,1622101136456,40
1622101137255,1622101137265,10
1622101137455,1622101137575,120
1622101137795,1622101138025,230
1622101138145,1622101138155,10
1622101138274,1622101138284,10
1622101138854,1622101139274,420
1622101139374,1622101139524,150
1622101139854,1622101140053,199
1622101140393,1622101140453,60
1622101140803,1622101140833,30
1622101141123,1622101141193,70
1622101141373,1622101141383,10
1622101141493,1622101141503,10
1622101141922,1622101141972,50
1622101142222,1622101142272,50
1622101142362,1622101142372,10
1622101142712,1622101142790,78
1622101143092,1622101143122,30
1622101144931,1622101144991,60
1622101145310,1622101145320,10
1622101146240,1622101146330,90
1622101146460,1622101146470,10
1622101147099,1622101147109,10
1622101147859,1622101147889,30
1622101147979,1622101147989,10
1622101148498,1622101148558,60
1622101148798,1622101148808,10
1622101150577,1622101150717,140
1622101151267,1622101151467,200
1622101152476,1622101152486,10
1622101153216,1622101153326,110
1622101153625,1622101153655,30
1622101153955,1622101154265,310
1622101154375,1622101154555,180
1622101154645,1622101154695,50
1622101154925,1622101155095,170
1622101155474,1622101155484,10
1622101156414,1622101156544,130
1622101156784,1622101156814,30
1622101157023,1622101157033,10
1622101157303,1622101157453,150
1622101157563,1622101157573,10
1622101161351,1622101161781,430
1622101161891,1622101161921,30
1622101162080,1622101162140,60
1622101162230,1622101162390,160
1622101162540,1622101162600,60
1622101165339,1622101165389,50
1622101165928,1622101165938,10
1622101166488,1622101166578,90
1622101166858,1622101166868,10
1622101167737,1622101167797,60
1622101168956,1622101169136,180
1622101170545,1622101170735,190
1622101170815,1622101171165,350
1622101171255,1622101171605,350
1622101171875,1622101172005,130
1622101173434,1622101173574,140
1622101173923,1622101174113,190
1622101174373,1622101174473,100
1622101174633,1622101174703,70
1622101174823,1622101175243,420
1622101175423,1622101175473,50
1622101178271,1622101178401,130
1622101179840,1622101179880,40
1622101183608,1622101183628,20
1622101183718,1622101183788,70
1622101185567,1622101185686,119
1622101185846,1622101185866,20
1622101187106,1622101187365,259
1622101187445,1622101187455,10
1622101187545,1622101187875,330
1622101188055,1622101188095,40
1622101188225,1622101188235,10
1622101188415,1622101188425,10
1622101188775,1622101188785,10
1622101189914,1622101189924,10
1622101191413,1622101191473,60
1622101192962,1622101192972,10
1622101197779,1622101198259,480
1622101198759,1622101198799,40
1622101199019,1622101199049,30
1622101201627,1622101201677,50
1622101201867,1622101201957,90
1622101202257,1622101202267,10
1622101202377,1622101202387,10
1622101202806,1622101202816,10
1622101202896,1622101202906,10
1622101204645,1622101204715,70
1622101206394,1622101206404,10
1622101206494,1622101206504,10
1622101207334,1622101207384,50
1622101207464,1622101207474,10
1622101214380,1622101214449,69
1622101214959,1622101214979,20
1622101215759,1622101215769,10
1622101217108,1622101217188,80
1622101217268,1622101217408,140
1622101217658,1622101217997,339
1622101218277,1622101218677,400
1622101218937,1622101218997,60
1622101219467,1622101219556,89
1622101220096,1622101220126,30
1622101222695,1622101222755,60
1622101223854,1622101223944,90
1622101225933,1622101226003,70
1622101228441,1622101228451,10
1622101228561,1622101228571,10
1622101228741,1622101228781,40
1622101228911,1622101228991,80
1622101229601,1622101229720,119
1622101230390,1622101230400,10
1622101230490,1622101230500,10
1622101230940,1622101230950,10
1622101231040,1622101231050,10
1622101232289,1622101232449,160
1622101233438,1622101233468,30
1622101233558,1622101233568,10
1622101233698,1622101233708,10
1622101233868,1622101233988,120
1622101234847,1622101234987,140
1622101235257,1622101235307,50
1622101236496,1622101236506,10
1622101236886,1622101236916,30
1622101237406,1622101237416,10
1622101237956,1622101238006,50
1622101238125,1622101238155,30
1622101238785,1622101238805,20
1622101238905,1622101238935,30
1622101239924,1622101239934,10
1622101240094,1622101240104,10
1622101240414,1622101240474,60
1622101241144,1622101241174,30
1622101241254,1622101241284,30
1622101241563,1622101241573,10
1622101241843,1622101241883,40
1622101242403,1622101242533,130
1622101242643,1622101242653,10
1622101242793,1622101242803,10
1622101243902,1622101243992,90
1622101244212,1622101244222,10
1622101245431,1622101245541,110
1622101246840,1622101246860,20
1622101247920,1622101247950,30
1622101248779,1622101248849,70
1622101248949,1622101249079,130
1622101249489,1622101249509,20
1622101249898,1622101250088,190
1622101250478,1622101250488,10
1622101250868,1622101250878,10
1622101250988,1622101251038,50
1622101251438,1622101251488,50
1622101252097,1622101252147,50
1622101252947,1622101252957,10
1622101253137,1622101253187,50
1622101254126,1622101254186,60
1622101254446,1622101254516,70
1622101254886,1622101254896,10
1622101255305,1622101255315,10
1622101255395,1622101255405,10
1622101255585,1622101255615,30
1622101255885,1622101256015,130
1622101257474,1622101257484,10
1622101258214,1622101258294,80
1622101258793,1622101258853,60
1622101260272,1622101260332,60
1622101260682,1622101260732,50
1622101261841,1622101261871,30
1622101262061,1622101262131,70
1622101262421,1622101262451,30
1622101262741,1622101262971,230
1622101263101,1622101263151,50
1622101263570,1622101263700,130
1622101263940,1622101263950,10
1622101264360,1622101264430,70
1622101264920,1622101264950,30
1622101265569,1622101265719,150
1622101266539,1622101266629,90
1622101266828,1622101266888,60
1622101266988,1622101266998,10
1622101267208,1622101267318,110
1622101267428,1622101267438,10
1622101267528,1622101267558,30
1622101268927,1622101268987,60
1622101269657,1622101269707,50
1622101271036,1622101271086,50
1622101272945,1622101273035,90
1622101273165,1622101273195,30
1622101273395,1622101273405,10
1622101273504,1622101273594,90
1622101275453,1622101275503,50
1622101275763,1622101275773,10
1622101275893,1622101275903,10
1622101276373,1622101276483,110
1622101276763,1622101276773,10
1622101276922,1622101277032,110
1622101277162,1622101277172,10
1622101277442,1622101277452,10
1622101277572,1622101277582,10
1622101277672,1622101277762,90
1622101278152,1622101278192,40
1622101278382,1622101278522,140
1622101278991,1622101279041,50
1622101280171,1622101280201,30
1622101282989,1622101282999,10
1622101283249,1622101283349,100
1622101284128,1622101284258,130
1622101285178,1622101285194,16
1622101285837,1622101285857,20
1622101285987,1622101286247,260
1622101286627,1622101286737,110
1622101287296,1622101287346,50
1622101287476,1622101287486,10
1622101288066,1622101288186,120
1622101288266,1622101288686,420
1622101288935,1622101288965,30
1622101289055,1622101289315,260
1622101289645,1622101289655,10
1622101291084,1622101291284,200
1622101291384,1622101291744,360
1622101292543,1622101292793,250
1622101293623,1622101293633,10
1622101293842,1622101293852,10
1622101294422,1622101294452,30
1622101294992,1622101295002,10
1622101295681,1622101295791,110
1622101296141,1622101296191,50
1622101296321,1622101296591,270
1622101297200,1622101297210,10
1622101297570,1622101297600,30
1622101297930,1622101298020,90
1622101298460,1622101298470,10
1622101298839,1622101298849,10
1622101299219,1622101299229,10
1622101299429,1622101299439,10
1622101299929,1622101299939,10
1622101300678,1622101300688,10
1622101300878,1622101300888,10
1622101301078,1622101301088,10
1622101301428,1622101301438,10
1622101302178,1622101302188,10
1622101302477,1622101302507,30
1622101302927,1622101302937,10
1622101303677,1622101303687,10
1622101303996,1622101304006,10
1622101304426,1622101304436,10
1622101306285,1622101306365,80
1622101306635,1622101307045,410
1622101307165,1622101307624,459
1622101307744,1622101307774,30
1622101307964,1622101308004,40
1622101308084,1622101308544,460
1622101310043,1622101310383,340
1622101310463,1622101310493,30
1622101311142,1622101311272,130
1622101311472,1622101311485,13
1622101311582,1622101311602,20
1622101311752,1622101311922,170
1622101312571,1622101312701,130
1622101312811,1622101312831,20
1622101314240,1622101314470,230
1622101314690,1622101314700,10
1622101314940,1622101314950,10
1622101315360,1622101315370,10
1622101315959,1622101315969,10
1622101316059,1622101316069,10
1622101317119,1622101317129,10
1622101317438,1622101317468,30
1622101318118,1622101318128,10
1622101318288,1622101318338,50
1622101319047,1622101319057,10
1622101320447,1622101320457,10
1622101320537,1622101320567,30
1622101321256,1622101321286,30
1622101321506,1622101321646,140
1622101321976,1622101322186,210
1622101322395,1622101322405,10
1622101322495,1622101322505,10
1622101322765,1622101322805,40
1622101323355,1622101323395,40
1622101325064,1622101325074,10
1622101326573,1622101326773,200
1622101326893,1622101326903,10
1622101327113,1622101327363,250
1622101327582,1622101327722,140
1622101327942,1622101328182,240
1622101328322,1622101328332,10
1622101328552,1622101328632,80
1622101328872,1622101328992,120
1622101329321,1622101329611,290
1622101330641,1622101330661,20
1622101331590,1622101331740,150
1622101332100,1622101332140,40
1622101332509,1622101332519,10
1622101332809,1622101332819,10
1622101333469,1622101333479,10
1622101333649,1622101333699,50
1622101334049,1622101334109,60
1622101334418,1622101334478,60
1622101334838,1622101334898,60
1622101335048,1622101335108,60
1622101336287,1622101336297,10
1622101337147,1622101337277,130
1622101337866,1622101337896,30
1622101339785,1622101340105,320
1622101340505,1622101340515,10
1622101340805,1622101340954,149
1622101341764,1622101341774,10
1622101342604,1622101342653,49
1622101342973,1622101343003,30
1622101344432,1622101344452,20
1622101344762,1622101344782,20
1622101345722,1622101345782,60
1622101346461,1622101346651,190
1622101347421,1622101347471,50
1622101347611,1622101347621,10
1622101347990,1622101348000,10
1622101348110,1622101348120,10
1622101348200,1622101348330,130
1622101348460,1622101348520,60
1622101348690,1622101348700,10
1622101348810,1622101348860,50
1622101348960,1622101349130,170
1622101350459,1622101350539,80
1622101350629,1622101350689,60
1622101351908,1622101351968,60
1622101352198,1622101352208,10
1622101352358,1622101352508,150
1622101352727,1622101352867,140
1622101353257,1622101353277,20
1622101354476,1622101354606,130
1622101355076,1622101355226,150
1622101355616,1622101355786,170
1622101357165,1622101357285,120
1622101358074,1622101358114,40
1622101359324,1622101359404,80
1622101361092,1622101361102,10
1622101361282,1622101361342,60
1622101361422,1622101361682,260
1622101362212,1622101362222,10
1622101362512,1622101362781,269
1622101362931,1622101363121,190
1622101363451,1622101363461,10
1622101364850,1622101364920,70
1622101365240,1622101365250,10
1622101365380,1622101365390,10
1622101365510,1622101365540,30
1622101366070,1622101366209,139
1622101366339,1622101366399,60
1622101366999,1622101367119,120
1622101370027,1622101370037,10
1622101370327,1622101370337,10
1622101371127,1622101371276,149
1622101371556,1622101371566,10
1622101373395,1622101373405,10
1622101373665,1622101373685,20
1622101373805,1622101373825,20
1622101374435,1622101374505,70
1622101374914,1622101374924,10
1622101375194,1622101375284,90
1622101375594,1622101375704,110
1622101376293,1622101376383,90
1622101376543,1622101376593,50
1622101376693,1622101376713,20
1622101376843,1622101376853,10
1622101377393,1622101377533,140
1622101377623,1622101377673,50
1622101379591,1622101379771,180
1622101380531,1622101380541,10
1622101380661,1622101380671,10
1622101381221,1622101381490,269
1622101382000,1622101382080,80
1622101382170,1622101382450,280
1622101382580,1622101382590,10
1622101382710,1622101382740,30
1622101382979,1622101382989,10
1622101383829,1622101383869,40
1622101384329,1622101384349,20
1622101384429,1622101384519,90
1622101384688,1622101384698,10
1622101384958,1622101384988,30
1622101385128,1622101385238,110
1622101387127,1622101387157,30
1622101387447,1622101387457,10
1622101387727,1622101387737,10
1622101387877,1622101387907,30
1622101387996,1622101388066,70
1622101388306,1622101388316,10
1622101388446,1622101388456,10
1622101388846,1622101389016,170
1622101390925,1622101390995,70
1622101392474,1622101392534,60
1622101392814,1622101392824,10
1622101393173,1622101393273,100
1622101394023,1622101394053,30
1622101394323,1622101394333,10
1622101394593,1622101394603,10
1622101394912,1622101394922,10
1622101395022,1622101395032,10
1622101395452,1622101395482,30
1622101395572,1622101395582,10
1622101395842,1622101396002,160
1622101396951,1622101397041,90
1622101397211,1622101397371,160
1622101397481,1622101397681,200
1622101398130,1622101398200,70
1622101398990,1622101399000,10
1622101399210,1622101399250,40
1622101399490,1622101399500,10
1622101399670,1622101399719,49
1622101399949,1622101400069,120
1622101400349,1622101400439,90
1622101402728,1622101402748,20
1622101403038,1622101403227,189
1622101403937,1622101404067,130
1622101404527,1622101404557,30
1622101404747,1622101404926,179
1622101406026,1622101406086,60
1622101406346,1622101406426,80
1622101406655,1622101407035,380
1622101407425,1622101407465,40
1622101407555,1622101407565,10
1622101408144,1622101408154,10
1622101408274,1622101408304,30
1622101409084,1622101409314,230
1622101409514,1622101409524,10
1622101411333,1622101411443,110
1622101411812,1622101411972,160
1622101412372,1622101412452,80
1622101413251,1622101413331,80
1622101413541,1622101413871,330
1622101413971,1622101414161,190
1622101415330,1622101415340,10
1622101416320,1622101416569,249
1622101418129,1622101418139,10
1622101418358,1622101418468,110
1622101419308,1622101419318,10
1622101419608,1622101419867,259
1622101420057,1622101420067,10
1622101420467,1622101420677,210
1622101420807,1622101420817,10
1622101421007,1622101421397,390
1622101421557,1622101421656,99
1622101422206,1622101422236,30
1622101423355,1622101423405,50
1622101424525,1622101424545,20
1622101425454,1622101425554,100
1622101426114,1622101426124,10
1622101426544,1622101426554,10
1622101426773,1622101426783,10
1622101427043,1622101427053,10
1622101427193,1622101427283,90
1622101427363,1622101427373,10
1622101427453,1622101427483,30
1622101428043,1622101428053,10
1622101428602,1622101428822,220
1622101429122,1622101429132,10
1622101429971,1622101429981,10
1622101430511,1622101430651,140
1622101431001,1622101431031,30
1622101431341,1622101431371,30
1622101431830,1622101431890,60
1622101432090,1622101432240,150
1622101432440,1622101432470,30
1622101432990,1622101433020,30
1622101433120,1622101433150,30
1622101434159,1622101434219,60
1622101434969,1622101435048,79
1622101436388,1622101436398,10
1622101436568,1622101436697,129
1622101436947,1622101436957,10
1622101437187,1622101437637,450
1622101438307,1622101438456,149
1622101438606,1622101438616,10
1622101439056,1622101439066,10
1622101439386,1622101439446,60
1622101439996,1622101440006,10
1622101440275,1622101440285,10
1622101440605,1622101440615,10
1622101440825,1622101440855,30
1622101441305,1622101441365,60
1622101442074,1622101442084,10
1622101442664,1622101442774,110
1622101443144,1622101443354,210
1622101443473,1622101443523,50
1622101443993,1622101444083,90
1622101446612,1622101446821,209
1622101446921,1622101447041,120
1622101447181,1622101447301,120
1622101447991,1622101448021,30
1622101448410,1622101448420,10
1622101449630,1622101449640,10
1622101449770,1622101450149,379
1622101450349,1622101450409,60
1622101450989,1622101451089,100
1622101451199,1622101451239,40
1622101451429,1622101451529,100
1622101451639,1622101451788,149
1622101451888,1622101451898,10
1622101452158,1622101452198,40
1622101452288,1622101452318,30
1622101452438,1622101452518,80
1622101452758,1622101452888,130
