start,end,duration
1621931377931,1621931377991,60
1621931378401,1621931378411,10
1621931378501,1621931378541,40
1621931378651,1621931378661,10
1621931378781,1621931379231,450
1621931379330,1621931379380,50
1621931379480,1621931379510,30
1621931379630,1621931379660,30
1621931379770,1621931379780,10
1621931379900,1621931379910,10
1621931380030,1621931380060,30
1621931380200,1621931380360,160
1621931380480,1621931380510,30
1621931380630,1621931380680,50
1621931380800,1621931380939,139
1621931381039,1621931381079,40
1621931381179,1621931381229,50
1621931381329,1621931381359,30
1621931381479,1621931381489,10
1621931381609,1621931381639,30
1621931381749,1621931381909,160
1621931382029,1621931382039,10
1621931382149,1621931382179,30
1621931382279,1621931382459,180
1621931382558,1621931382588,30
1621931382698,1621931382728,30
1621931382848,1621931382858,10
1621931383118,1621931383128,10
1621931383268,1621931383298,30
1621931383528,1621931383728,200
1621931383818,1621931383878,60
1621931383988,1621931383998,10
1621931384097,1621931384177,80
1621931384267,1621931384407,140
1621931384517,1621931384527,10
1621931384667,1621931384807,140
1621931384947,1621931384957,10
1621931385087,1621931385097,10
1621931385217,1621931385247,30
1621931385367,1621931385377,10
1621931385497,1621931385677,180
1621931385836,1621931385906,70
1621931386046,1621931386056,10
1621931386176,1621931386376,200
1621931386496,1621931386506,10
1621931386616,1621931386646,30
1621931386746,1621931386796,50
1621931386876,1621931386906,30
1621931386996,1621931387076,80
1621931387196,1621931387226,30
1621931387346,1621931387375,29
1621931387495,1621931387545,50
1621931387665,1621931387675,10
1621931387775,1621931387805,30
1621931388065,1621931388205,140
1621931388345,1621931388355,10
1621931388445,1621931388495,50
1621931388735,1621931388795,60
1621931388885,1621931388895,10
1621931389054,1621931389064,10
1621931389144,1621931389174,30
1621931389304,1621931389314,10
1621931389434,1621931389464,30
1621931389584,1621931389594,10
1621931389714,1621931389744,30
1621931389854,1621931389914,60
1621931389994,1621931390184,190
1621931390264,1621931390564,300
1621931390653,1621931390743,90
1621931390973,1621931391123,150
1621931391223,1621931391263,40
1621931391533,1621931391563,30
1621931391683,1621931391693,10
1621931391793,1621931391823,30
1621931391963,1621931391973,10
1621931392093,1621931392143,50
1621931392382,1621931392422,40
1621931392532,1621931392542,10
1621931392642,1621931392672,30
1621931392782,1621931392922,140
1621931393012,1621931393222,210
1621931393342,1621931393372,30
1621931393492,1621931393542,50
1621931393652,1621931393662,10
1621931393782,1621931393792,10
1621931393911,1621931393941,30
1621931394041,1621931394221,180
1621931394331,1621931394381,50
1621931394481,1621931394491,10
1621931395750,1621931395940,190
1621931396030,1621931396060,30
1621931396160,1621931396330,170
1621931396450,1621931396760,310
1621931396860,1621931396910,50
1621931397010,1621931397040,30
1621931397149,1621931397179,30
1621931397309,1621931397366,57
1621931397449,1621931397479,30
1621931397589,1621931397639,50
1621931397729,1621931397759,30
1621931397849,1621931398029,180
1621931398139,1621931398189,50
1621931398319,1621931398329,10
1621931398439,1621931398609,170
1621931398728,1621931399008,280
1621931399118,1621931399188,70
1621931399278,1621931399308,30
1621931399428,1621931399458,30
1621931399578,1621931399608,30
1621931399698,1621931399758,60
1621931399858,1621931399908,50
1621931400148,1621931400178,30
1621931400288,1621931400477,189
1621931400587,1621931400757,170
1621931400877,1621931400907,30
1621931401027,1621931401057,30
1621931401247,1621931401497,250
1621931401587,1621931401597,10
1621931401717,1621931401877,160
1621931401996,1621931402006,10
1621931402126,1621931402296,170
1621931402436,1621931402446,10
1621931402566,1621931402576,10
1621931402676,1621931402706,30
1621931402826,1621931403006,180
1621931403116,1621931403126,10
1621931404515,1621931404525,10
1621931404625,1621931404655,30
1621931404775,1621931404945,170
1621931405065,1621931405075,10
1621931405214,1621931405244,30
1621931405344,1621931405354,10
1621931405474,1621931405524,50
1621931405634,1621931405664,30
1621931405764,1621931405774,10
1621931405894,1621931405924,30
1621931406034,1621931406064,30
1621931406294,1621931406364,70
1621931406514,1621931406664,150
1621931406744,1621931406923,179
1621931407013,1621931407043,30
1621931407153,1621931407193,40
1621931407333,1621931407443,110
1621931407583,1621931407613,30
1621931407713,1621931407723,10
1621931407823,1621931407873,50
1621931408063,1621931408143,80
1621931408283,1621931408413,130
1621931408512,1621931408522,10
1621931408652,1621931408692,40
1621931408812,1621931408822,10
1621931409082,1621931409092,10
1621931409182,1621931409222,40
1621931409322,1621931409372,50
1621931409492,1621931409522,30
1621931409612,1621931409622,10
1621931409742,1621931409772,30
1621931409902,1621931409912,10
1621931410032,1621931410042,10
1621931410331,1621931410351,20
1621931410451,1621931410641,190
1621931411001,1621931411011,10
1621931411261,1621931411381,120
1621931411521,1621931411591,70
1621931411830,1621931411880,50
1621931412120,1621931412130,10
1621931412350,1621931412440,90
1621931412530,1621931412610,80
1621931412690,1621931412770,80
1621931412850,1621931412890,40
1621931412980,1621931413010,30
1621931413120,1621931413160,40
1621931413250,1621931413280,30
1621931413529,1621931413539,10
1621931413629,1621931413669,40
1621931413779,1621931413939,160
1621931414069,1621931414079,10
1621931414209,1621931414239,30
1621931414379,1621931414489,110
1621931414629,1621931414669,40
1621931414779,1621931414909,130
1621931415028,1621931415178,150
1621931415298,1621931415458,160
1621931415578,1621931415628,50
1621931415708,1621931415858,150
1621931415978,1621931416008,30
1621931416128,1621931416178,50
1621931416278,1621931416328,50
1621931416408,1621931416458,50
1621931416577,1621931416597,20
1621931416697,1621931416727,30
1621931416847,1621931417007,160
1621931417127,1621931417207,80
1621931417397,1621931417447,50
