start,end,duration
1622104629513,1622104629753,240
1622104630113,1622104630153,40
1622104630473,1622104630563,90
1622104632651,1622104632721,70
1622104633601,1622104633671,70
1622104634121,1622104634480,359
1622104634860,1622104635300,440
1622104635620,1622104635650,30
1622104635810,1622104635820,10
1622104635909,1622104635919,10
1622104636059,1622104636069,10
1622104636219,1622104636279,60
1622104637459,1622104637469,10
1622104637718,1622104637728,10
1622104638158,1622104638168,10
1622104638818,1622104638868,50
1622104640367,1622104640377,10
1622104640517,1622104640527,10
1622104640766,1622104640906,140
1622104643325,1622104643385,60
1622104643925,1622104643985,60
1622104644074,1622104644084,10
1622104645224,1622104645234,10
1622104645923,1622104645963,40
1622104646763,1622104646933,170
1622104647253,1622104647732,479
1622104647902,1622104648012,110
1622104650211,1622104650221,10
1622104650600,1622104650680,80
1622104650760,1622104650810,50
1622104651020,1622104651110,90
1622104651700,1622104651810,110
1622104652419,1622104652429,10
1622104652639,1622104653029,390
1622104653209,1622104653679,470
1622104654318,1622104654368,50
1622104654458,1622104654488,30
1622104655068,1622104655088,20
1622104655168,1622104655178,10
1622104655338,1622104655467,129
1622104656187,1622104656197,10
1622104656807,1622104656877,70
1622104657146,1622104657216,70
1622104657406,1622104657416,10
1622104658366,1622104658376,10
1622104658636,1622104658696,60
1622104658905,1622104658915,10
1622104659205,1622104659215,10
1622104660105,1622104660115,10
1622104661074,1622104661114,40
1622104661204,1622104661214,10
1622104661374,1622104661384,10
1622104661754,1622104661764,10
1622104661884,1622104661894,10
1622104663852,1622104663862,10
1622104664122,1622104664192,70
1622104664392,1622104664402,10
1622104664522,1622104664532,10
1622104664682,1622104664832,150
1622104665052,1622104665132,80
1622104665571,1622104665581,10
1622104665821,1622104665981,160
1622104666531,1622104667000,469
1622104667130,1622104667190,60
1622104667370,1622104667480,110
1622104667730,1622104667820,90
1622104668410,1622104668420,10
1622104668689,1622104668709,20
1622104668889,1622104668899,10
1622104669729,1622104669739,10
1622104670138,1622104670198,60
1622104670308,1622104670649,341
1622104673127,1622104673187,60
1622104674046,1622104674076,30
1622104674336,1622104674506,170
1622104674586,1622104674656,70
1622104674996,1622104675016,20
1622104675095,1622104675235,140
1622104675345,1622104675515,170
1622104675625,1622104675635,10
1622104676125,1622104676275,150
1622104676375,1622104676385,10
1622104676585,1622104677004,419
1622104677124,1622104677134,10
1622104677234,1622104677244,10
1622104677874,1622104677934,60
1622104678753,1622104678803,50
1622104679153,1622104679223,70
1622104680422,1622104680432,10
1622104681412,1622104681422,10
1622104682791,1622104682931,140
1622104683170,1622104683230,60
1622104683490,1622104683540,50
1622104684650,1622104684740,90
1622104685149,1622104685219,70
1622104685549,1622104685599,50
1622104686818,1622104686828,10
1622104688297,1622104688307,10
1622104689257,1622104689307,50
1622104689726,1622104689766,40
1622104690156,1622104690286,130
1622104691355,1622104691395,40
1622104692035,1622104692125,90
1622104692695,1622104692856,161
1622104692974,1622104692994,20
1622104693154,1622104693274,120
1622104694384,1622104694394,10
1622104695053,1622104695083,30
1622104695663,1622104695673,10
1622104695833,1622104695923,90
1622104696053,1622104696063,10
1622104696502,1622104696652,150
1622104697352,1622104697402,50
1622104699800,1622104699810,10
1622104699900,1622104700060,160
1622104700480,1622104700490,10
1622104701549,1622104701559,10
1622104703108,1622104703208,100
1622104703488,1622104703498,10
1622104705367,1622104705397,30
1622104707116,1622104707176,60
1622104707426,1622104707536,110
1622104707725,1622104707735,10
1622104708565,1622104708575,10
1622104709185,1622104709215,30
1622104709364,1622104709394,30
1622104709554,1622104709564,10
1622104709964,1622104709994,30
1622104711343,1622104711473,130
1622104711643,1622104711703,60
1622104712123,1622104712293,170
1622104713242,1622104713272,30
1622104713672,1622104713742,70
1622104714221,1622104714231,10
1622104714961,1622104715061,100
1622104718799,1622104718999,200
1622104719538,1622104719548,10
1622104719938,1622104719948,10
1622104720068,1622104720098,30
1622104721637,1622104721647,10
1622104723926,1622104723995,69
1622104724215,1622104724225,10
1622104724335,1622104724345,10
1622104724615,1622104724865,250
1622104726304,1622104726614,310
1622104726804,1622104726834,30
1622104729012,1622104729042,30
1622104730212,1622104730272,60
1622104731471,1622104731571,100
1622104731731,1622104731841,110
1622104732150,1622104732180,30
1622104732570,1622104732620,50
1622104733090,1622104733180,90
1622104733500,1622104733510,10
1622104733690,1622104733700,10
1622104733879,1622104733929,50
1622104734119,1622104734199,80
1622104735189,1622104735199,10
1622104735438,1622104735448,10
1622104735938,1622104735948,10
1622104738017,1622104738047,30
1622104738167,1622104738267,100
1622104739826,1622104739906,80
1622104740495,1622104740625,130
1622104742674,1622104742684,10
1622104743473,1622104743503,30
1622104743753,1622104743923,170
1622104744153,1622104744303,150
1622104744773,1622104744953,180
1622104745422,1622104745432,10
1622104745662,1622104745692,30
1622104746881,1622104746911,30
1622104747281,1622104747331,50
1622104748101,1622104748161,60
1622104748520,1622104748690,170
1622104748920,1622104748960,40
1622104749360,1622104749690,330
1622104749790,1622104749810,20
1622104750199,1622104750369,170
1622104750459,1622104750929,470
1622104751159,1622104751339,180
1622104751778,1622104751908,130
1622104752188,1622104752248,60
1622104753397,1622104753407,10
1622104753537,1622104753727,190
1622104753967,1622104753977,10
1622104754077,1622104754417,340
1622104754537,1622104754667,130
1622104755806,1622104755946,140
1622104756056,1622104756096,40
1622104756635,1622104756645,10
1622104756825,1622104756905,80
1622104757075,1622104757115,40
1622104757525,1622104757545,20
1622104757795,1622104757805,10
1622104758984,1622104759094,110
1622104760373,1622104760383,10
1622104760653,1622104760933,280
1622104762862,1622104762902,40
1622104763401,1622104763411,10
1622104763531,1622104763631,100
1622104763891,1622104764011,120
1622104764161,1622104764201,40
1622104764900,1622104764910,10
1622104765970,1622104766030,60
1622104766140,1622104766160,20
1622104767029,1622104767049,20
1622104767649,1622104767659,10
1622104768478,1622104768488,10
1622104769148,1622104769158,10
1622104769667,1622104770117,450
1622104770517,1622104770707,190
1622104770797,1622104770807,10
1622104770917,1622104770927,10
1622104772146,1622104772166,20
1622104773515,1622104773575,60
1622104773975,1622104774225,250
1622104774734,1622104774744,10
1622104776533,1622104776703,170
1622104777013,1622104777063,50
1622104777253,1622104777692,439
1622104777982,1622104778022,40
1622104778352,1622104778492,140
1622104778582,1622104778712,130
1622104779302,1622104779312,10
1622104780081,1622104780111,30
1622104783809,1622104784099,290
1622104785887,1622104785947,60
1622104786067,1622104786077,10
1622104786597,1622104786627,30
1622104787327,1622104787496,169
1622104787696,1622104787746,50
1622104787976,1622104788106,130
1622104788446,1622104788506,60
1622104789935,1622104789945,10
1622104790285,1622104790295,10
1622104791034,1622104791044,10
1622104791784,1622104791794,10
1622104792533,1622104792543,10
1622104792933,1622104793083,150
1622104793233,1622104793243,10
1622104795771,1622104795901,130
1622104796651,1622104796661,10
1622104798080,1622104798090,10
