start,end,duration
1622106928007,1622106928056,49
1622106928286,1622106928296,10
1622106928746,1622106928826,80
1622106928946,1622106929006,60
1622106929286,1622106929296,10
1622106929386,1622106929396,10
1622106929535,1622106929545,10
1622106929795,1622106929825,30
1622106929915,1622106930115,200
1622106930215,1622106930245,30
1622106930365,1622106930395,30
1622106930515,1622106930645,130
1622106930765,1622106930775,10
1622106930895,1622106930925,30
1622106931254,1622106931364,110
1622106931504,1622106931514,10
1622106931764,1622106931844,80
1622106931954,1622106931964,10
1622106932054,1622106932124,70
1622106932314,1622106932344,30
1622106932444,1622106932474,30
1622106932604,1622106932614,10
1622106932734,1622106932873,139
1622106933003,1622106933013,10
1622106933153,1622106933163,10
1622106933263,1622106933293,30
1622106933413,1622106933423,10
1622106933533,1622106933563,30
1622106933753,1622106933863,110
1622106934013,1622106934023,10
1622106934103,1622106934143,40
1622106934253,1622106934412,159
1622106934512,1622106934522,10
1622106934682,1622106934822,140
1622106935032,1622106935072,40
1622106935212,1622106935222,10
1622106935352,1622106935392,40
1622106935502,1622106935512,10
1622106935632,1622106935642,10
1622106935752,1622106935782,30
1622106936051,1622106936061,10
1622106936401,1622106936481,80
1622106936601,1622106936611,10
1622106936711,1622106936791,80
1622106937001,1622106937081,80
1622106937301,1622106937311,10
1622106937431,1622106937441,10
1622106937541,1622106937880,339
1622106938000,1622106938010,10
1622106938150,1622106938160,10
1622106938280,1622106938290,10
1622106938510,1622106938580,70
1622106938730,1622106938740,10
1622106938820,1622106938880,60
1622106938970,1622106938980,10
1622106939100,1622106939110,10
1622106939230,1622106939299,69
1622106939449,1622106939539,90
1622106939669,1622106939939,270
1622106940039,1622106940089,50
1622106940199,1622106940239,40
1622106940329,1622106940339,10
1622106940479,1622106940529,50
1622106940749,1622106940898,149
1622106941028,1622106941038,10
1622106941148,1622106941158,10
1622106941288,1622106941298,10
1622106941438,1622106941448,10
1622106941568,1622106941578,10
1622106941678,1622106941728,50
1622106941818,1622106941848,30
1622106941948,1622106941978,30
1622106942098,1622106942128,30
1622106942248,1622106942298,50
1622106942388,1622106942398,10
1622106942517,1622106942527,10
1622106942647,1622106942657,10
1622106942787,1622106942797,10
1622106942937,1622106943077,140
1622106943337,1622106943347,10
1622106943487,1622106943497,10
1622106943597,1622106943627,30
1622106943737,1622106943797,60
1622106943917,1622106943927,10
1622106944047,1622106944057,10
1622106944186,1622106944196,10
1622106944636,1622106944646,10
1622106944746,1622106944756,10
1622106944846,1622106944876,30
1622106944976,1622106945006,30
1622106945136,1622106945146,10
1622106945296,1622106945426,130
1622106945546,1622106945556,10
1622106945656,1622106945715,59
1622106945805,1622106945855,50
1622106946115,1622106946125,10
1622106946285,1622106946295,10
1622106946515,1622106946525,10
1622106946645,1622106946655,10
1622106946915,1622106946945,30
1622106947354,1622106947364,10
1622106947834,1622106948044,210
1622106948184,1622106948344,160
1622106948514,1622106948524,10
1622106948614,1622106948624,10
1622106948734,1622106948794,60
1622106948884,1622106948894,10
1622106949013,1622106949023,10
1622106949153,1622106949163,10
1622106949373,1622106949423,50
1622106949533,1622106949563,30
1622106949703,1622106949843,140
1622106950003,1622106950143,140
1622106950403,1622106950413,10
1622106950662,1622106950692,30
1622106950952,1622106950992,40
1622106951102,1622106951112,10
1622106951242,1622106951392,150
1622106951492,1622106951522,30
1622106951702,1622106951862,160
1622106951982,1622106952072,90
1622106952331,1622106952341,10
1622106952461,1622106952471,10
1622106952571,1622106952631,60
1622106952721,1622106952791,70
1622106952881,1622106952891,10
1622106953011,1622106953041,30
1622106953151,1622106953161,10
1622106953511,1622106953591,80
1622106953681,1622106953711,30
1622106953830,1622106953840,10
1622106953980,1622106953990,10
1622106954100,1622106954150,50
1622106954250,1622106954280,30
1622106954360,1622106954390,30
1622106954530,1622106954590,60
1622106954680,1622106954690,10
1622106954820,1622106954830,10
1622106954970,1622106955010,40
1622106955230,1622106955260,30
1622106955529,1622106955539,10
1622106955649,1622106955679,30
1622106955789,1622106955879,90
1622106955969,1622106955979,10
1622106956079,1622106956139,60
1622106956229,1622106956279,50
1622106956379,1622106956389,10
1622106956499,1622106956529,30
1622106956759,1622106956929,170
1622106957049,1622106957208,159
1622106957438,1622106957488,50
1622106957708,1622106957758,50
1622106957978,1622106958028,50
1622106958198,1622106958208,10
1622106958418,1622106958448,30
1622106958618,1622106958857,239
1622106959037,1622106959047,10
1622106959127,1622106959157,30
1622106959417,1622106959427,10
1622106959597,1622106959857,260
1622106959967,1622106959977,10
1622106960097,1622106960107,10
1622106960207,1622106960676,469
1622106960886,1622106960996,110
1622106961776,1622106961925,149
1622106962115,1622106962245,130
1622106962345,1622106962375,30
1622106962515,1622106962525,10
1622106962625,1622106962675,50
1622106962865,1622106962955,90
1622106963245,1622106963355,110
1622106963485,1622106963654,169
1622106963744,1622106963774,30
1622106963884,1622106963894,10
1622106964014,1622106964024,10
1622106964164,1622106964174,10
1622106964284,1622106964314,30
1622106964544,1622106964594,50
1622106964714,1622106964994,280
1622106965114,1622106965144,30
1622106965263,1622106965273,10
1622106965403,1622106965563,160
1622106965663,1622106965673,10
1622106965833,1622106965843,10
1622106965963,1622106965973,10
1622106966133,1622106966143,10
1622106966363,1622106966423,60
1622106966513,1622106966523,10
1622106966633,1622106966822,189
1622106966932,1622106966942,10
1622106967102,1622106967142,40
1622106967252,1622106967262,10
1622106967382,1622106967392,10
1622106967512,1622106967522,10
1622106967642,1622106967672,30
1622106967802,1622106967862,60
1622106967942,1622106967992,50
1622106968092,1622106968122,30
1622106968252,1622106968262,10
1622106968381,1622106968392,11
1622106968531,1622106968541,10
1622106968661,1622106968741,80
1622106968951,1622106968961,10
1622106969211,1622106969361,150
1622106969481,1622106969511,30
1622106969601,1622106969641,40
1622106969781,1622106969831,50
1622106969921,1622106969941,20
1622106970180,1622106970190,10
