start,end,duration
1621585516819,1621585517018,199
1621585517118,1621585517298,180
1621585517438,1621585517728,290
1621585517828,1621585517878,50
1621585517958,1621585517968,10
1621585518088,1621585518118,30
1621585518238,1621585518248,10
1621585518367,1621585518377,10
1621585518497,1621585518527,30
1621585519517,1621585519817,300
1621585520086,1621585520096,10
1621585520186,1621585520326,140
1621585520766,1621585520796,30
1621585520906,1621585521086,180
1621585521186,1621585521216,30
1621585521336,1621585521356,20
1621585521476,1621585521486,10
1621585521625,1621585521635,10
1621585521735,1621585522155,420
1621585522235,1621585522605,370
1621585522705,1621585522715,10
1621585522815,1621585522915,100
1621585523025,1621585523035,10
1621585523135,1621585523195,60
1621585523284,1621585523414,130
1621585523814,1621585523864,50
1621585523974,1621585524244,270
1621585524404,1621585524414,10
1621585524534,1621585524564,30
1621585524784,1621585525043,259
1621585525123,1621585525133,10
1621585525233,1621585525263,30
1621585525413,1621585525443,30
1621585525553,1621585525853,300
1621585525953,1621585525983,30
1621585526123,1621585526153,30
1621585526273,1621585526293,20
1621585526423,1621585526433,10
1621585526542,1621585526712,170
1621585526802,1621585526902,100
1621585527102,1621585527152,50
1621585527382,1621585527412,30
1621585527542,1621585527552,10
1621585527692,1621585527702,10
1621585527812,1621585527982,170
1621585528072,1621585528102,30
1621585528331,1621585528501,170
1621585528621,1621585528631,10
1621585528881,1621585528911,30
1621585529031,1621585529061,30
1621585529201,1621585529211,10
1621585529351,1621585529511,160
1621585529671,1621585529681,10
1621585529780,1621585529980,200
1621585530090,1621585530100,10
1621585530220,1621585530250,30
1621585530370,1621585530400,30
1621585530510,1621585530600,90
1621585530680,1621585530700,20
1621585538445,1621585538735,290
1621585538905,1621585538935,30
1621585539055,1621585539195,140
1621585539295,1621585539485,190
1621585539584,1621585539594,10
1621585539754,1621585539764,10
1621585539854,1621585539884,30
1621585540004,1621585540014,10
1621585540094,1621585540314,220
1621585541663,1621585541693,30
1621585541823,1621585541983,160
1621585542083,1621585542113,30
1621585542213,1621585542263,50
1621585543602,1621585543612,10
1621585543872,1621585543882,10
1621585544002,1621585544032,30
1621585544172,1621585544452,280
1621585544701,1621585544731,30
1621585544851,1621585544881,30
1621585544981,1621585545011,30
1621585545121,1621585545131,10
1621585545251,1621585545281,30
1621585545391,1621585545401,10
1621585545531,1621585545701,170
1621585545801,1621585546001,200
1621585546100,1621585546111,11
1621585546250,1621585546260,10
1621585546370,1621585546430,60
1621585546540,1621585546550,10
1621585546670,1621585546980,310
1621585547220,1621585547250,30
1621585547500,1621585547530,30
1621585547650,1621585548099,449
1621585548189,1621585548219,30
1621585548329,1621585548359,30
1621585548469,1621585548479,10
1621585548619,1621585548769,150
1621585548959,1621585549029,70
1621585549149,1621585549179,30
1621585549319,1621585549329,10
1621585549448,1621585549478,30
1621585549608,1621585549618,10
1621585549738,1621585549748,10
1621585549868,1621585549898,30
1621585549978,1621585550188,210
1621585550378,1621585550418,40
1621585550538,1621585550568,30
1621585569846,1621585570016,170
1621585570246,1621585570276,30
1621585570406,1621585570635,229
1621585570735,1621585570875,140
1621585570975,1621585571035,60
1621585571235,1621585571265,30
1621585571455,1621585571565,110
1621585571725,1621585571985,260
1621585572115,1621585572195,80
1621585572324,1621585572464,140
1621585572624,1621585572784,160
1621585573184,1621585573194,10
1621585573304,1621585573554,250
1621585573654,1621585573694,40
1621585573834,1621585573844,10
1621585573973,1621585574013,40
1621585574233,1621585574423,190
1621585574503,1621585574533,30
1621585575443,1621585575552,109
1621585575832,1621585575912,80
1621585576022,1621585576192,170
1621585576302,1621585576312,10
1621585576422,1621585576452,30
1621585576562,1621585576752,190
1621585576852,1621585576882,30
1621585577022,1621585577032,10
1621585577152,1621585577181,29
1621585577281,1621585577581,300
1621585577811,1621585577861,50
1621585577971,1621585577981,10
1621585578211,1621585578261,50
1621585578391,1621585578661,270
1621585578820,1621585578830,10
1621585579040,1621585579410,370
1621585579540,1621585579580,40
1621585579720,1621585580100,380
1621585580220,1621585580230,10
1621585580340,1621585580350,10
1621585580669,1621585580929,260
1621585581019,1621585581029,10
1621585582218,1621585582708,490
1621585582838,1621585582868,30
1621585583118,1621585583308,190
1621585583388,1621585583418,30
1621585583638,1621585583697,59
1621585583807,1621585583817,10
1621585583907,1621585583967,60
1621585584087,1621585584097,10
1621585584217,1621585584247,30
1621585584327,1621585584497,170
1621585584617,1621585584633,16
1621585584757,1621585584767,10
