start,end,duration
1621927882309,1621927882339,30
1621927882479,1621927882489,10
1621927882599,1621927882609,10
1621927882859,1621927882869,10
1621927883429,1621927883439,10
1621927883549,1621927883559,10
1621927883848,1621927883858,10
1621927884078,1621927884088,10
1621927884208,1621927884218,10
1621927884468,1621927884618,150
1621927884778,1621927884808,30
1621927884888,1621927884918,30
1621927885318,1621927885368,50
1621927885457,1621927885487,30
1621927885587,1621927885617,30
1621927885757,1621927885767,10
1621927885877,1621927885887,10
1621927885997,1621927886007,10
1621927886127,1621927886157,30
1621927886277,1621927886287,10
1621927886407,1621927886417,10
1621927886557,1621927886587,30
1621927886697,1621927886707,10
1621927886837,1621927886867,30
1621927887276,1621927887286,10
1621927887406,1621927887556,150
1621927887656,1621927887686,30
1621927887846,1621927887886,40
1621927888076,1621927888106,30
1621927888306,1621927888666,360
1621927888775,1621927888825,50
1621927888905,1621927888925,20
1621927889155,1621927889185,30
1621927889425,1621927889475,50
1621927889605,1621927889755,150
1621927889855,1621927889885,30
1621927890015,1621927890025,10
1621927890145,1621927890155,10
1621927890425,1621927890435,10
1621927890544,1621927890574,30
1621927890694,1621927890724,30
1621927890824,1621927890834,10
1621927891074,1621927891104,30
1621927891324,1621927891384,60
1621927891494,1621927891524,30
1621927891644,1621927891654,10
1621927891774,1621927891784,10
1621927891914,1621927891924,10
1621927892044,1621927892054,10
1621927892243,1621927892323,80
1621927892423,1621927892453,30
1621927892593,1621927892603,10
1621927892713,1621927892723,10
1621927892813,1621927892883,70
1621927893033,1621927893043,10
1621927893163,1621927893193,30
1621927893273,1621927893323,50
1621927893443,1621927893473,30
1621927893593,1621927893603,10
1621927893733,1621927893803,70
1621927894012,1621927894022,10
1621927894282,1621927894342,60
1621927894432,1621927894592,160
1621927894692,1621927894702,10
1621927894832,1621927894842,10
1621927894982,1621927894992,10
1621927895382,1621927895392,10
1621927895512,1621927895522,10
1621927895641,1621927895651,10
1621927895771,1621927895881,110
1621927896081,1621927896091,10
1621927896211,1621927896221,10
1621927896331,1621927896391,60
1621927896481,1621927896541,60
1621927896641,1621927896651,10
1621927896771,1621927896801,30
1621927896931,1621927896941,10
1621927897191,1621927897201,10
1621927897330,1621927897530,200
1621927897640,1621927897740,100
1621927897860,1621927897870,10
1621927897990,1621927898000,10
1621927898140,1621927898150,10
1621927898260,1621927898270,10
1621927898360,1621927898420,60
1621927898810,1621927898860,50
1621927899059,1621927899089,30
1621927899359,1621927899389,30
1621927899539,1621927899569,30
1621927899679,1621927899689,10
1621927899809,1621927899819,10
1621927899939,1621927899989,50
1621927900349,1621927900409,60
1621927900649,1621927900659,10
1621927900798,1621927900808,10
1621927901358,1621927901388,30
1621927901508,1621927901518,10
1621927901628,1621927902078,450
1621927902158,1621927902188,30
1621927902348,1621927902517,169
1621927902707,1621927902737,30
1621927903557,1621927903587,30
1621927903857,1621927903867,10
1621927904296,1621927904306,10
1621927904416,1621927904426,10
1621927904536,1621927904606,70
1621927904696,1621927904706,10
1621927904826,1621927904876,50
1621927904976,1621927905006,30
1621927905126,1621927905136,10
1621927905266,1621927905386,120
1621927905656,1621927905686,30
1621927905925,1621927905955,30
1621927906225,1621927906235,10
1621927906345,1621927906425,80
1621927906525,1621927906535,10
1621927906625,1621927906735,110
1621927906815,1621927906825,10
1621927906945,1621927906955,10
1621927907095,1621927907105,10
1621927907185,1621927907485,300
1621927907594,1621927907654,60
1621927907794,1621927907834,40
1621927907914,1621927907924,10
1621927908044,1621927908054,10
1621927908174,1621927908184,10
1621927908304,1621927908334,30
1621927908454,1621927908484,30
1621927908614,1621927908624,10
1621927908764,1621927908774,10
1621927909004,1621927909034,30
1621927909154,1621927909184,30
