start,end,duration
1621841245001,1621841245061,60
1621841247179,1621841247349,170
1621841249338,1621841249478,140
1621841251727,1621841251757,30
1621841252346,1621841252376,30
1621841254005,1621841254085,80
1621841254325,1621841254355,30
1621841256264,1621841256274,10
1621841256364,1621841256374,10
1621841259202,1621841259252,50
1621841262810,1621841262910,100
1621841264359,1621841264389,30
1621841264499,1621841264509,10
1621841265838,1621841265888,50
1621841266967,1621841267027,60
1621841267797,1621841267807,10
1621841269835,1621841269935,100
1621841270315,1621841270375,60
1621841270945,1621841270985,40
1621841273303,1621841273323,20
1621841273763,1621841273893,130
1621841274313,1621841274323,10
1621841274493,1621841274503,10
1621841275842,1621841275852,10
1621841275992,1621841276002,10
1621841276112,1621841276127,15
1621841276212,1621841276301,89
1621841276471,1621841276481,10
1621841277381,1621841277391,10
1621841277591,1621841277661,70
1621841277930,1621841277940,10
1621841278060,1621841278070,10
1621841279699,1621841279769,70
1621841283047,1621841283057,10
1621841283787,1621841283937,150
1621841284626,1621841284736,110
1621841286035,1621841286095,60
1621841286295,1621841286435,140
1621841286585,1621841286645,60
1621841286955,1621841286985,30
1621841287175,1621841287185,10
1621841287904,1621841287984,80
1621841288214,1621841288224,10
1621841291112,1621841291132,20
1621841291492,1621841291622,130
1621841294380,1621841294390,10
1621841294670,1621841294800,130
1621841295380,1621841295390,10
1621841295650,1621841295739,89
1621841296989,1621841297009,20
1621841297279,1621841297328,49
1621841297658,1621841297688,30
1621841298138,1621841298168,30
1621841299337,1621841299407,70
1621841299917,1621841299927,10
1621841300716,1621841300846,130
1621841301636,1621841301706,70
1621841301796,1621841301806,10
1621841303575,1621841303605,30
1621841304294,1621841304464,170
1621841304544,1621841304584,40
1621841304894,1621841304904,10
1621841306413,1621841306423,10
1621841306893,1621841307003,110
1621841308112,1621841308182,70
1621841309331,1621841309421,90
1621841310800,1621841310900,100
1621841311270,1621841311300,30
1621841312359,1621841312449,90
1621841312539,1621841312549,10
1621841312829,1621841312839,10
1621841313359,1621841313389,30
1621841313738,1621841313768,30
1621841313888,1621841313918,30
1621841314888,1621841314898,10
1621841315098,1621841315177,79
1621841315837,1621841315867,30
1621841316806,1621841316946,140
1621841318395,1621841318405,10
1621841318485,1621841318585,100
1621841320224,1621841320274,50
1621841320364,1621841320374,10
1621841320504,1621841320534,30
1621841320894,1621841320904,10
1621841321544,1621841321554,10
1621841322963,1621841322993,30
1621841323572,1621841323692,120
1621841325971,1621841326071,100
1621841327370,1621841327400,30
1621841327480,1621841327490,10
1621841327910,1621841327940,30
1621841329179,1621841329189,10
1621841329309,1621841329439,130
1621841330008,1621841330018,10
1621841330108,1621841330138,30
1621841330328,1621841330458,130
1621841331347,1621841331397,50
1621841333866,1621841333876,10
1621841334126,1621841334136,10
1621841334506,1621841334546,40
1621841335065,1621841335135,70
1621841335315,1621841335405,90
1621841337254,1621841337314,60
1621841337564,1621841337574,10
1621841339392,1621841339422,30
1621841340702,1621841340742,40
1621841340912,1621841340922,10
1621841341921,1621841342101,180
1621841342800,1621841342840,40
1621841343400,1621841343530,130
1621841343700,1621841343750,50
1621841343980,1621841344140,160
1621841344609,1621841344619,10
1621841345139,1621841345369,230
1621841345629,1621841345639,10
1621841345839,1621841345849,10
1621841345988,1621841346108,120
1621841346378,1621841346488,110
1621841346838,1621841346848,10
1621841347218,1621841347358,140
1621841347597,1621841347677,80
1621841348157,1621841348167,10
1621841348257,1621841348407,150
1621841349017,1621841349047,30
1621841350216,1621841350276,60
1621841350476,1621841350486,10
1621841350576,1621841350646,70
1621841351005,1621841351025,20
1621841351855,1621841351865,10
1621841352484,1621841352544,60
1621841354173,1621841354183,10
1621841355353,1621841355423,70
1621841355842,1621841355852,10
1621841356092,1621841356102,10
1621841356212,1621841356222,10
1621841357281,1621841357481,200
1621841357931,1621841358181,250
1621841358271,1621841358321,50
1621841360320,1621841360400,80
1621841360689,1621841360699,10
1621841361329,1621841361409,80
1621841361549,1621841361949,400
1621841363388,1621841363458,70
1621841363558,1621841363568,10
1621841363717,1621841364037,320
1621841364447,1621841364457,10
1621841364957,1621841365017,60
1621841365097,1621841365127,30
1621841365876,1621841366076,200
1621841366476,1621841366606,130
1621841366925,1621841366935,10
1621841367925,1621841367935,10
1621841368185,1621841368215,30
1621841368475,1621841368485,10
1621841368724,1621841368884,160
1621841370104,1621841370134,30
1621841370243,1621841370253,10
1621841370403,1621841370463,60
1621841370773,1621841370923,150
1621841372052,1621841372112,60
1621841372342,1621841372362,20
1621841373102,1621841373112,10
1621841373441,1621841373551,110
1621841373921,1621841374021,100
1621841374411,1621841374421,10
1621841374951,1621841375040,89
1621841375130,1621841375140,10
1621841375230,1621841375240,10
1621841376629,1621841376679,50
1621841376949,1621841376959,10
1621841377189,1621841377399,210
1621841377909,1621841378019,110
1621841378588,1621841378618,30
1621841379128,1621841379138,10
1621841379288,1621841379298,10
1621841379857,1621841379867,10
1621841379967,1621841380077,110
1621841380227,1621841380237,10
1621841380487,1621841380497,10
1621841381576,1621841381606,30
1621841382276,1621841382286,10
1621841383006,1621841383016,10
1621841383645,1621841383655,10
1621841383765,1621841383775,10
1621841383885,1621841383935,50
1621841384565,1621841384675,110
1621841385344,1621841385354,10
1621841385724,1621841385814,90
1621841386773,1621841386783,10
1621841387673,1621841387733,60
1621841388212,1621841388272,60
1621841389062,1621841389072,10
1621841389312,1621841389322,10
1621841389821,1621841389831,10
1621841390081,1621841390131,50
1621841390371,1621841390381,10
1621841391220,1621841391280,60
1621841391890,1621841391900,10
1621841393359,1621841393489,130
1621841393989,1621841394019,30
1621841394708,1621841394718,10
1621841394958,1621841395248,290
1621841395488,1621841395498,10
1621841395948,1621841396097,149
1621841396357,1621841396367,10
1621841396457,1621841396487,30
1621841397087,1621841397097,10
1621841397547,1621841397696,149
1621841397836,1621841397846,10
1621841397956,1621841397996,40
1621841398086,1621841398176,90
1621841399625,1621841399635,10
1621841400205,1621841400275,70
1621841400805,1621841401024,219
1621841401324,1621841401404,80
1621841401524,1621841401534,10
1621841402543,1621841402593,50
1621841402753,1621841402893,140
1621841403253,1621841403263,10
1621841404172,1621841404202,30
1621841404622,1621841404732,110
1621841405412,1621841405422,10
1621841406111,1621841406241,130
1621841406831,1621841406981,150
1621841407790,1621841407960,170
1621841408440,1621841408450,10
1621841409249,1621841409299,50
1621841409919,1621841409949,30
1621841410339,1621841410349,10
1621841411408,1621841411438,30
1621841413017,1621841413147,130
1621841413257,1621841413337,80
1621841413657,1621841413747,90
1621841413856,1621841413866,10
1621841414576,1621841414586,10
1621841415475,1621841415545,70
1621841415855,1621841415945,90
1621841416155,1621841416265,110
1621841416405,1621841416415,10
1621841416495,1621841416535,40
1621841416645,1621841416655,10
1621841418474,1621841418484,10
1621841418893,1621841418903,10
1621841418983,1621841419013,30
1621841419353,1621841419433,80
1621841419973,1621841420033,60
1621841420382,1621841420412,30
1621841421922,1621841421932,10
1621841422041,1621841422051,10
1621841422361,1621841422371,10
1621841423720,1621841423730,10
1621841423850,1621841424120,270
1621841424320,1621841424330,10
1621841424460,1621841424580,120
1621841425959,1621841426049,90
1621841426399,1621841426429,30
1621841426639,1621841426649,10
1621841427358,1621841427368,10
1621841427718,1621841427828,110
1621841427958,1621841428068,110
1621841428417,1621841428487,70
1621841428797,1621841429087,290
1621841430866,1621841431036,170
1621841431655,1621841431665,10
1621841431995,1621841432155,160
1621841432895,1621841433045,150
1621841433454,1621841433554,100
1621841433924,1621841433954,30
1621841435413,1621841435463,50
1621841436942,1621841436952,10
1621841437152,1621841437472,320
1621841437752,1621841437882,130
1621841438571,1621841438601,30
1621841438981,1621841439031,50
1621841439990,1621841440000,10
1621841441769,1621841441799,30
1621841442339,1621841442359,20
1621841443148,1621841443178,30
1621841444967,1621841445027,60
1621841445417,1621841445567,150
