start,end,duration
1621840563987,1621840564017,30
1621840564177,1621840564197,20
1621840564457,1621840564507,50
1621840564676,1621840564816,140
1621840575830,1621840576119,289
1621840576199,1621840576459,260
1621840576609,1621840576809,200
1621840577179,1621840577289,110
1621840577888,1621840578148,260
1621840578608,1621840578728,120
1621840578928,1621840578988,60
1621840579268,1621840579387,119
1621840580057,1621840580097,40
1621840580187,1621840580207,20
1621840580397,1621840580697,300
1621840580986,1621840580996,10
1621840581846,1621840582026,180
1621840582725,1621840582805,80
1621840583345,1621840583765,420
1621840586803,1621840586883,80
1621840587303,1621840587323,20
1621840587602,1621840587622,20
1621840588112,1621840588382,270
1621840588682,1621840588822,140
1621840588902,1621840588962,60
1621840600554,1621840600594,40
1621840600734,1621840600904,170
1621840601394,1621840601414,20
1621840601744,1621840601765,21
1621840602553,1621840602713,160
1621840602933,1621840603013,80
1621840603333,1621840603503,170
1621840603992,1621840604032,40
1621840606031,1621840606041,10
1621840606631,1621840606806,175
1621840606891,1621840607041,150
1621840607140,1621840607350,210
1621840607680,1621840607750,70
1621840608430,1621840608440,10
1621840609189,1621840609199,10
1621840609529,1621840609609,80
1621840609939,1621840609949,10
1621840610588,1621840610798,210
1621840610938,1621840610988,50
1621840611908,1621840612087,179
1621840612207,1621840612237,30
1621840615575,1621840615605,30
1621840615695,1621840615715,20
1621840616435,1621840616475,40
1621840616555,1621840616565,10
1621840616735,1621840616745,10
1621840617184,1621840617314,130
1621840617484,1621840617804,320
1621840618034,1621840618074,40
1621840618454,1621840618603,149
1621840618773,1621840618833,60
1621840619963,1621840620093,130
1621840625089,1621840625339,250
1621840625439,1621840625479,40
1621840625639,1621840625689,50
1621840626748,1621840626808,60
1621840628497,1621840628527,30
1621840628667,1621840628677,10
1621840628807,1621840628897,90
1621840629217,1621840629227,10
1621840629737,1621840629777,40
1621840631286,1621840631296,10
1621840631555,1621840631565,10
1621840631655,1621840631755,100
1621840631835,1621840631845,10
1621840631975,1621840632035,60
1621840633035,1621840633045,10
1621840633274,1621840633314,40
1621840633674,1621840633684,10
1621840634334,1621840634574,240
1621840634704,1621840634714,10
1621840635543,1621840635603,60
1621840635703,1621840635713,10
1621840635843,1621840635893,50
1621840635993,1621840636023,30
1621840636103,1621840636562,459
1621840636702,1621840636712,10
1621840637122,1621840637132,10
1621840637512,1621840637542,30
1621840638201,1621840638211,10
1621840638881,1621840639151,270
1621840639431,1621840639441,10
1621840640440,1621840640540,100
1621840640720,1621840640730,10
1621840640850,1621840640890,40
1621840641359,1621840641419,60
1621840642239,1621840642349,110
1621840643158,1621840643198,40
1621840643518,1621840643528,10
1621840643788,1621840643818,30
1621840643938,1621840644098,160
1621840644567,1621840644627,60
1621840646716,1621840646726,10
1621840647216,1621840647276,60
1621840647796,1621840647885,89
1621840648035,1621840648045,10
1621840648355,1621840648365,10
1621840648465,1621840648475,10
1621840649484,1621840649574,90
1621840650964,1621840651063,99
1621840651373,1621840651413,40
1621840653202,1621840653212,10
1621840653772,1621840653812,40
1621840653952,1621840653962,10
1621840654122,1621840654212,90
1621840654701,1621840654711,10
1621840655201,1621840655621,420
1621840655701,1621840655721,20
1621840655801,1621840655841,40
1621840655980,1621840656250,270
1621840657370,1621840657380,10
1621840658859,1621840658889,30
1621840659848,1621840659998,150
1621840660078,1621840660108,30
1621840661417,1621840661437,20
1621840661597,1621840661607,10
1621840661867,1621840661897,30
1621840662606,1621840662896,290
1621840663046,1621840663296,250
1621840668113,1621840668223,110
1621840668423,1621840668573,150
1621840668713,1621840668753,40
1621840668843,1621840668963,120
1621840669422,1621840669482,60
1621840670182,1621840670262,80
1621840670681,1621840670991,310
1621840671601,1621840671661,60
1621840671861,1621840672131,270
1621840672530,1621840672540,10
1621840672750,1621840672840,90
1621840674229,1621840674319,90
1621840674959,1621840675319,360
1621840676448,1621840676458,10
1621840676538,1621840677008,470
1621840677127,1621840677187,60
1621840677337,1621840677347,10
1621840677427,1621840677467,40
1621840678737,1621840678796,59
1621840680206,1621840680216,10
1621840681105,1621840681225,120
1621840681305,1621840681465,160
1621840684243,1621840684303,60
1621840684443,1621840684483,40
1621840684783,1621840684923,140
1621840685003,1621840685043,40
1621840685123,1621840685342,219
1621840685822,1621840685942,120
1621840686582,1621840686642,60
1621840687161,1621840687181,20
1621840687281,1621840687341,60
1621840688001,1621840688141,140
1621840689140,1621840689160,20
1621840689620,1621840689810,190
1621840689900,1621840690219,319
1621840690339,1621840690389,50
1621840690479,1621840690499,20
1621840690579,1621840690799,220
1621840690999,1621840691139,140
1621840691519,1621840691559,40
1621840691758,1621840691798,40
1621840691878,1621840691978,100
1621840692158,1621840692338,180
1621840692598,1621840692618,20
1621840692698,1621840692978,280
1621840693078,1621840693158,80
1621840694917,1621840695296,379
1621840695386,1621840695406,20
1621840695576,1621840695596,20
1621840695736,1621840695796,60
1621840696176,1621840696596,420
1621840696815,1621840696835,20
1621840697295,1621840697355,60
1621840697555,1621840697855,300
1621840698255,1621840698504,249
1621840699214,1621840699374,160
1621840699534,1621840699714,180
1621840699993,1621840700053,60
1621840700453,1621840700633,180
1621840700733,1621840700813,80
1621840700913,1621840700923,10
1621840701742,1621840701932,190
1621840702012,1621840702032,20
1621840703691,1621840703731,40
1621840703811,1621840703831,20
1621840703911,1621840704131,220
1621840706370,1621840706409,39
1621840706529,1621840706599,70
1621840707139,1621840707149,10
1621840707459,1621840707679,220
1621840707769,1621840707809,40
1621840708598,1621840709058,460
1621840712886,1621840712905,19
1621840712995,1621840713005,10
1621840713375,1621840713565,190
1621840715374,1621840715414,40
1621840718602,1621840718612,10
1621840719402,1621840719461,59
1621840722180,1621840722370,190
1621840722580,1621840722719,139
1621840724868,1621840725108,240
1621840725278,1621840725408,130
