start,end,duration
1621935693207,1621935693237,30
1621935693357,1621935693437,80
1621935693547,1621935693687,140
1621935693917,1621935693947,30
1621935694227,1621935694237,10
1621935694387,1621935694497,110
1621935694606,1621935694636,30
1621935694756,1621935694766,10
1621935694886,1621935694896,10
1621935695006,1621935695036,30
1621935695156,1621935695166,10
1621935695286,1621935695296,10
1621935695436,1621935695446,10
1621935695576,1621935695586,10
1621935695706,1621935695736,30
1621935695846,1621935695896,50
1621935696026,1621935696036,10
1621935696116,1621935696145,29
1621935696255,1621935696345,90
1621935696425,1621935696465,40
1621935696705,1621935696715,10
1621935696885,1621935696915,30
1621935697025,1621935697035,10
1621935697135,1621935697145,10
1621935697235,1621935697265,30
1621935697385,1621935697415,30
1621935697505,1621935697535,30
1621935697755,1621935697814,59
1621935697924,1621935697954,30
1621935698204,1621935698234,30
1621935698474,1621935698504,30
1621935698734,1621935698764,30
1621935698904,1621935698954,50
1621935699054,1621935699064,10
1621935699174,1621935699214,40
1621935699324,1621935699334,10
1621935699493,1621935699503,10
1621935699723,1621935699733,10
1621935699993,1621935700003,10
1621935700233,1621935700283,50
1621935700403,1621935700413,10
1621935700503,1621935700663,160
1621935700793,1621935700803,10
1621935700943,1621935701082,139
1621935701342,1621935701352,10
1621935701502,1621935701512,10
1621935701622,1621935701652,30
1621935701802,1621935701962,160
1621935702072,1621935702102,30
1621935702232,1621935702282,50
1621935702392,1621935702412,20
1621935702542,1621935702552,10
1621935702652,1621935702682,30
1621935702821,1621935702831,10
1621935702931,1621935702961,30
1621935703141,1621935703231,90
1621935703401,1621935703551,150
1621935703671,1621935703681,10
1621935703791,1621935703821,30
1621935703941,1621935703951,10
1621935704071,1621935704231,160
1621935704450,1621935704480,30
1621935704610,1621935704620,10
1621935704760,1621935704770,10
1621935704860,1621935704930,70
1621935705150,1621935705220,70
1621935705440,1621935705478,38
1621935705590,1621935705620,30
1621935705740,1621935705750,10
1621935705950,1621935706279,329
1621935706389,1621935706729,340
1621935706989,1621935707049,60
1621935707269,1621935707299,30
1621935707559,1621935707569,10
1621935707718,1621935707748,30
1621935707858,1621935708248,390
1621935708368,1621935708398,30
1621935708498,1621935708528,30
1621935708618,1621935708648,30
1621935708928,1621935708938,10
1621935709038,1621935709048,10
1621935709188,1621935709198,10
1621935709387,1621935709617,230
1621935709737,1621935709747,10
1621935709887,1621935709937,50
1621935710037,1621935710047,10
1621935710167,1621935710187,20
1621935710557,1621935710587,30
1621935710886,1621935711016,130
1621935711156,1621935711166,10
1621935711286,1621935711316,30
1621935711436,1621935711446,10
1621935711706,1621935711716,10
1621935711836,1621935711986,150
1621935712236,1621935712246,10
1621935712346,1621935712436,90
1621935712525,1621935712541,16
1621935712685,1621935712695,10
1621935712855,1621935712865,10
1621935712945,1621935712965,20
1621935713895,1621935713945,50
1621935714174,1621935714214,40
1621935714304,1621935714314,10
1621935714454,1621935714504,50
1621935714724,1621935714734,10
1621935714854,1621935714864,10
1621935715963,1621935716013,50
1621935716243,1621935716383,140
1621935716643,1621935716703,60
1621935717093,1621935717173,80
1621935717293,1621935717303,10
1621935717392,1621935717402,10
1621935717622,1621935717632,10
1621935717772,1621935717852,80
1621935718052,1621935718062,10
1621935718192,1621935718202,10
1621935718342,1621935718352,10
1621935718452,1621935718482,30
1621935718702,1621935718752,50
1621935718872,1621935718932,60
1621935719031,1621935719061,30
1621935719181,1621935719211,30
1621935719341,1621935719351,10
1621935719691,1621935719821,130
1621935719921,1621935720031,110
1621935720171,1621935720181,10
1621935720271,1621935720301,30
1621935720421,1621935720431,10
1621935720561,1621935720571,10
1621935720670,1621935720680,10
1621935720790,1621935720840,50
1621935720950,1621935720980,30
1621935721240,1621935721320,80
1621935721400,1621935721430,30
1621935721640,1621935721670,30
1621935721870,1621935721930,60
1621935722070,1621935722080,10
1621935722190,1621935722220,30
