start,end,duration
1621934315137,1621934315167,30
1621934315387,1621934315417,30
1621934315707,1621934315717,10
1621934315816,1621934315846,30
1621934323562,1621934323882,320
1621934324172,1621934324182,10
1621934324281,1621934324311,30
1621934324391,1621934324441,50
1621934324731,1621934324861,130
1621934324971,1621934324981,10
1621934325211,1621934325401,190
1621934325511,1621934325541,30
1621934325821,1621934325831,10
1621934326070,1621934326290,220
1621934326500,1621934326530,30
1621934326900,1621934326910,10
1621934327250,1621934327260,10
1621934327340,1621934327460,120
1621934327540,1621934327899,359
1621934328169,1621934328181,12
1621934328269,1621934328419,150
1621934328589,1621934328629,40
1621934328739,1621934328749,10
1621934329319,1621934329329,10
1621934331337,1621934331347,10
1621934331467,1621934331477,10
1621934332267,1621934332347,80
1621934332866,1621934332896,30
1621934332996,1621934333026,30
1621934333126,1621934333616,490
1621934333736,1621934333766,30
1621934333866,1621934334016,150
1621934334116,1621934334176,60
1621934337624,1621934337634,10
1621934337714,1621934337734,20
1621934337873,1621934337883,10
1621934338113,1621934338413,300
1621934338553,1621934338813,260
1621934338893,1621934339133,240
1621934339253,1621934339263,10
1621934339353,1621934339383,30
1621934339612,1621934339642,30
1621934339802,1621934339892,90
1621934340162,1621934340192,30
1621934340452,1621934340462,10
1621934340542,1621934340672,130
1621934340752,1621934340762,10
1621934340852,1621934340882,30
1621934341171,1621934341181,10
1621934341291,1621934341391,100
1621934341561,1621934341731,170
1621934341871,1621934341881,10
1621934342001,1621934342011,10
1621934342131,1621934342331,200
1621934342431,1621934342441,10
1621934342621,1621934342631,10
1621934342830,1621934342910,80
1621934343180,1621934343450,270
1621934343600,1621934343680,80
1621934343760,1621934343850,90
1621934343970,1621934343980,10
1621934344250,1621934344310,60
1621934344390,1621934344400,10
1621934344519,1621934344529,10
1621934344629,1621934344659,30
1621934344919,1621934344929,10
1621934345119,1621934345129,10
1621934345339,1621934345349,10
1621934345489,1621934345499,10
1621934345699,1621934345809,110
1621934345949,1621934346079,130
1621934346298,1621934346328,30
1621934346488,1621934346608,120
1621934346738,1621934346748,10
1621934347018,1621934347028,10
1621934347148,1621934347158,10
1621934347278,1621934347353,75
1621934347448,1621934347458,10
1621934347588,1621934347748,160
1621934347867,1621934347877,10
1621934347997,1621934348327,330
1621934348417,1621934348427,10
1621934348567,1621934348607,40
1621934348827,1621934348967,140
1621934349117,1621934349147,30
1621934349267,1621934349297,30
1621934349487,1621934349576,89
1621934349706,1621934349896,190
1621934350086,1621934350096,10
1621934350266,1621934350276,10
1621934350366,1621934350381,15
1621934350656,1621934350666,10
1621934351186,1621934351355,169
1621934351495,1621934351875,380
1621934352255,1621934352315,60
1621934352465,1621934352475,10
1621934352605,1621934352615,10
1621934352715,1621934352725,10
1621934352855,1621934352865,10
1621934352984,1621934352994,10
1621934353244,1621934353274,30
1621934353384,1621934353394,10
1621934353534,1621934353544,10
1621934353664,1621934353694,30
1621934353814,1621934353824,10
1621934354104,1621934354114,10
1621934354214,1621934354244,30
1621934354364,1621934354394,30
1621934354574,1621934354673,99
1621934354773,1621934354963,190
1621934355083,1621934355093,10
1621934355193,1621934355283,90
1621934355373,1621934355383,10
1621934355503,1621934355513,10
1621934355653,1621934355663,10
1621934355903,1621934355933,30
1621934356183,1621934356193,10
1621934356282,1621934356362,80
1621934356552,1621934356642,90
1621934356772,1621934356782,10
1621934357022,1621934357192,170
1621934357302,1621934357332,30
1621934357452,1621934357462,10
1621934357562,1621934357592,30
1621934357732,1621934357892,160
1621934357982,1621934358011,29
1621934358131,1621934358141,10
1621934358251,1621934358281,30
1621934358381,1621934358441,60
1621934358531,1621934358541,10
1621934358671,1621934358681,10
1621934358811,1621934359001,190
1621934359081,1621934359091,10
1621934359221,1621934359411,190
1621934359521,1621934359790,269
1621934359890,1621934359960,70
1621934360050,1621934360060,10
1621934360150,1621934360200,50
1621934360300,1621934360350,50
1621934360470,1621934360510,40
1621934360650,1621934360660,10
1621934360750,1621934360800,50
1621934360890,1621934360900,10
1621934361040,1621934361050,10
1621934361150,1621934361180,30
1621934361320,1621934361330,10
1621934361449,1621934361486,37
1621934361739,1621934361749,10
1621934361959,1621934362009,50
1621934362119,1621934362149,30
