start,end,duration
1621596593913,1621596593963,50
1621596595452,1621596595462,10
1621596599779,1621596599869,90
1621596600069,1621596600079,10
1621596601059,1621596601169,110
1621596602168,1621596602288,120
1621596602628,1621596602688,60
1621596604337,1621596604397,60
1621596604827,1621596604916,89
1621596605316,1621596605326,10
1621596610413,1621596610423,10
1621596611243,1621596611323,80
1621596611962,1621596612042,80
1621596613611,1621596613751,140
1621596613861,1621596614071,210
1621596614981,1621596615031,50
1621596615200,1621596615300,100
1621596615760,1621596615840,80
1621596616140,1621596616470,330
1621596617549,1621596617639,90
1621596618449,1621596618499,50
1621596622456,1621596622606,150
1621596623066,1621596623076,10
1621596623226,1621596623376,150
1621596625375,1621596625434,59
1621596627593,1621596627663,70
1621596629482,1621596629552,70
1621596630072,1621596630262,190
1621596630581,1621596630781,200
1621596631081,1621596631201,120
1621596633800,1621596633850,50
1621596635319,1621596635439,120
1621596636948,1621596637028,80
1621596638287,1621596638377,90
1621596639017,1621596639116,99
1621596639986,1621596640126,140
1621596644024,1621596644114,90
1621596644953,1621596645013,60
1621596646072,1621596646132,60
1621596648141,1621596648181,40
1621596649351,1621596649370,19
1621596649750,1621596649820,70
1621596652269,1621596652339,70
1621596653648,1621596653698,50
1621596653998,1621596654008,10
1621596656406,1621596656496,90
1621596657446,1621596657516,70
1621596659984,1621596659994,10
1621596660104,1621596660174,70
1621596660724,1621596660774,50
1621596661234,1621596661303,69
1621596663182,1621596663222,40
1621596663302,1621596663362,60
1621596664112,1621596664222,110
1621596664821,1621596664901,80
1621596665191,1621596665411,220
1621596665851,1621596665891,40
1621596666231,1621596666331,100
1621596667560,1621596667630,70
1621596669689,1621596669749,60
1621596669848,1621596669868,20
1621596670168,1621596670208,40
1621596670678,1621596670748,70
1621596671468,1621596671528,60
1621596672167,1621596672227,60
1621596674786,1621596674975,189
1621596676465,1621596676545,80
1621596682021,1621596682151,130
1621596685529,1621596685619,90
1621596686269,1621596686459,190
1621596688418,1621596688498,80
1621596689207,1621596689297,90
1621596690626,1621596690736,110
1621596691356,1621596691376,20
1621596692255,1621596692305,50
1621596692845,1621596693005,160
1621596693904,1621596694024,120
1621596694114,1621596694134,20
1621596695493,1621596695593,100
1621596697172,1621596697332,160
1621596699381,1621596699561,180
1621596701500,1621596701590,90
1621596702679,1621596702809,130
1621596703939,1621596704068,129
1621596705328,1621596705448,120
1621596706187,1621596706197,10
1621596706827,1621596706947,120
1621596707686,1621596707696,10
1621596708436,1621596708446,10
1621596709036,1621596709195,159
1621596709935,1621596709945,10
1621596710205,1621596710365,160
1621596710685,1621596710695,10
1621596711344,1621596711444,100
1621596712184,1621596712194,10
1621596712563,1621596712653,90
1621596712933,1621596712943,10
1621596713703,1621596713783,80
1621596715012,1621596715092,80
1621596715452,1621596715482,30
1621596715662,1621596715742,80
1621596718320,1621596718410,90
1621596721658,1621596721758,100
1621596723457,1621596723527,70
1621596725076,1621596725186,110
1621596725316,1621596725326,10
1621596726505,1621596726585,80
1621596727695,1621596727775,80
1621596729204,1621596729334,130
1621596729943,1621596730023,80
1621596730463,1621596730573,110
1621596732142,1621596732222,80
1621596733591,1621596733671,80
1621596734191,1621596734271,80
1621596736200,1621596736240,40
1621596736429,1621596736509,80
1621596737599,1621596737689,90
1621596740747,1621596740827,80
1621596742136,1621596742216,80
1621596744065,1621596744175,110
1621596746454,1621596746663,209
1621596746863,1621596746953,90
1621596748882,1621596748972,90
1621596749482,1621596749562,80
1621596750031,1621596750041,10
1621596750461,1621596750531,70
1621596751680,1621596751900,220
1621596753020,1621596753030,10
1621596754069,1621596754079,10
1621596755398,1621596755468,70
1621596755918,1621596755978,60
1621596758307,1621596758387,80
1621596758966,1621596759086,120
1621596759466,1621596759486,20
1621596760126,1621596760345,219
1621596762554,1621596762694,140
1621596763633,1621596763713,80
1621596764863,1621596764993,130
1621596768880,1621596768960,80
1621596770959,1621596771009,50
1621596771579,1621596771639,60
1621596772039,1621596772228,189
1621596773777,1621596773867,90
1621596775486,1621596775546,60
1621596778335,1621596778445,110
1621596778645,1621596778665,20
1621596786490,1621596786620,130
1621596789298,1621596789398,100
1621596789478,1621596789488,10
1621596790638,1621596790857,219
1621596794325,1621596794375,50
1621596796764,1621596796834,70
1621596800592,1621596800712,120
1621596802611,1621596802730,119
1621596805189,1621596805309,120
1621596809057,1621596809127,70
1621596816063,1621596816203,140
1621596816772,1621596816862,90
1621596816962,1621596816992,30
1621596818671,1621596818771,100
1621596822029,1621596822099,70
1621596823628,1621596823828,200
1621596826107,1621596826227,120
1621596827536,1621596827606,70
1621596829145,1621596829215,70
1621596829515,1621596829525,10
1621596829974,1621596830014,40
1621596831404,1621596831474,70
1621596832863,1621596832933,70
1621596833422,1621596833512,90
1621596833592,1621596833632,40
1621596834072,1621596834212,140
1621596834302,1621596834332,30
1621596835011,1621596835241,230
1621596836071,1621596836151,80
1621596836870,1621596836930,60
1621596838699,1621596838874,175
1621596839999,1621596840028,29
1621596840168,1621596840268,100
1621596840348,1621596840368,20
1621596842927,1621596843017,90
1621596843187,1621596843197,10
1621596844356,1621596844536,180
1621596846695,1621596846805,110
1621596848094,1621596848174,80
1621596848973,1621596849143,170
1621596850262,1621596850352,90
1621596851662,1621596851762,100
1621596852301,1621596852501,200
1621596853291,1621596853361,70
1621596854180,1621596854270,90
1621596855489,1621596855719,230
1621596856479,1621596856649,170
1621596857028,1621596857108,80
1621596857948,1621596858128,180
1621596860976,1621596861146,170
1621596864794,1621596864894,100
1621596866663,1621596866763,100
1621596868022,1621596868122,100
1621596869521,1621596869611,90
1621596871650,1621596871730,80
1621596873039,1621596873109,70
1621596874058,1621596874138,80
1621596874428,1621596874538,110
1621596875138,1621596875238,100
1621596876037,1621596876137,100
1621596879745,1621596879835,90
1621596881324,1621596881424,100
1621596881734,1621596881864,130
1621596882204,1621596882304,100
1621596883953,1621596884053,100
1621596886201,1621596886311,110
1621596887550,1621596887660,110
1621596888020,1621596888050,30
1621596888170,1621596888260,90
1621596888710,1621596888810,100
1621596889279,1621596889359,80
1621596890309,1621596890369,60
1621596890469,1621596890739,270
1621596892038,1621596892128,90
1621596892917,1621596893037,120
1621596893717,1621596893777,60
1621596894876,1621596895116,240
1621596895196,1621596895336,140
1621596896365,1621596896485,120
1621596897395,1621596897485,90
1621596900013,1621596900043,30
1621596900173,1621596900183,10
1621596900633,1621596900713,80
1621596902012,1621596902092,80
1621596903611,1621596903691,80
1621596904381,1621596904480,99
1621596905650,1621596905740,90
1621596907908,1621596907988,80
1621596909637,1621596909777,140
1621596910747,1621596910867,120
1621596911596,1621596911966,370
1621596913995,1621596914045,50
1621596915554,1621596915914,360
1621596916004,1621596916363,359
1621596916493,1621596916673,180
1621596917523,1621596917603,80
1621596920981,1621596921071,90
1621596922450,1621596922532,82
1621596923909,1621596923999,90
1621596924898,1621596924978,80
1621596925588,1621596925688,100
1621596927057,1621596927067,10
1621596927937,1621596928027,90
1621596929206,1621596929216,10
1621596929326,1621596929436,110
1621596929795,1621596929975,180
1621596930055,1621596930065,10
1621596931005,1621596931135,130
1621596932704,1621596932884,180
1621596936172,1621596936262,90
1621596938280,1621596938370,90
1621596939050,1621596939060,10
1621596944996,1621596945046,50
1621596948764,1621596948964,200
1621596951503,1621596951593,90
1621596952552,1621596952562,10
1621596955260,1621596955320,60
1621596960297,1621596960307,10
1621596960937,1621596961017,80
1621596961097,1621596961127,30
1621596961567,1621596961577,10
1621596962746,1621596962846,100
1621596965744,1621596965844,100
1621596971411,1621596971481,70
1621596975688,1621596975768,80
1621596975998,1621596976008,10
1621596976498,1621596976568,70
1621596977207,1621596977297,90
1621596978527,1621596978607,80
1621596980076,1621596980166,90
1621596981485,1621596981575,90
1621596984113,1621596984223,110
1621596984693,1621596984783,90
1621596985313,1621596985363,50
1621596985712,1621596985762,50
1621596986032,1621596986042,10
1621596986452,1621596986462,10
1621596988291,1621596988341,50
1621596988571,1621596988661,90
