start,end,duration
1621849821178,1621849821277,99
1621849824675,1621849824865,190
1621849825685,1621849825895,210
1621849831342,1621849831452,110
1621849838188,1621849838278,90
1621849843814,1621849843834,20
1621849844394,1621849844454,60
1621849849001,1621849849041,40
1621849849131,1621849849231,100
1621849849941,1621849849951,10
1621849851700,1621849851910,210
1621849852130,1621849852250,120
1621849853479,1621849853519,40
1621849854198,1621849854288,90
1621849854748,1621849854826,78
1621849856607,1621849856807,200
1621849857906,1621849858116,210
1621849858346,1621849858486,140
1621849858776,1621849859016,240
1621849859395,1621849859525,130
1621849860915,1621849861154,239
1621849861584,1621849861624,40
1621849861754,1621849861877,123
1621849862244,1621849862434,190
1621849863973,1621849864163,190
1621849864722,1621849864822,100
1621849866151,1621849866221,70
1621849867281,1621849867291,10
1621849867511,1621849867581,70
1621849869200,1621849869260,60
1621849871269,1621849871279,10
1621849871668,1621849871708,40
1621849872028,1621849872038,10
1621849872778,1621849872788,10
1621849877515,1621849877525,10
1621849878135,1621849878234,99
1621849882502,1621849882512,10
1621849883222,1621849883242,20
1621849884871,1621849884881,10
1621849885160,1621849885340,180
1621849885710,1621849885800,90
1621849886829,1621849886939,110
1621849887689,1621849887739,50
1621849892096,1621849892436,340
1621849896304,1621849896364,60
1621849898153,1621849898233,80
1621849899292,1621849899342,50
1621849901471,1621849901611,140
1621849915453,1621849915513,60
1621849916632,1621849916782,150
1621849917422,1621849917582,160
1621849918861,1621849918881,20
1621849921989,1621849922009,20
1621849923358,1621849923458,100
1621849927036,1621849927096,60
1621849931204,1621849931254,50
1621849932433,1621849932443,10
1621849936641,1621849936671,30
1621849938430,1621849938499,69
1621849940119,1621849940168,49
1621849941758,1621849941828,70
1621849943217,1621849943277,60
1621849944906,1621849944916,10
1621849947384,1621849947534,150
1621849947974,1621849948284,310
1621849954780,1621849954870,90
1621849956269,1621849956379,110
1621849956849,1621849956929,80
1621849958628,1621849958738,110
1621849959377,1621849959457,80
1621849960397,1621849960447,50
1621849963395,1621849963525,130
1621849964374,1621849964574,200
1621849966533,1621849966673,140
1621849968232,1621849968252,20
1621849968562,1621849968802,240
1621849975348,1621849975418,70
1621849976267,1621849976327,60
1621849977627,1621849977667,40
1621849978486,1621849978576,90
1621849982064,1621849982154,90
1621849984703,1621849984783,80
1621849987221,1621849987421,200
1621849989540,1621849989740,200
1621849991029,1621849991139,110
1621849992958,1621849993108,150
1621849993258,1621849993268,10
1621849994757,1621849994767,10
1621849996126,1621849996156,30
