start,end,duration
1621849161556,1621849161686,130
1621849162225,1621849162235,10
1621849162535,1621849162585,50
1621849162675,1621849162765,90
1621849163015,1621849163055,40
1621849163375,1621849163565,190
1621849163994,1621849164074,80
1621849164194,1621849164304,110
1621849165154,1621849165204,50
1621849165394,1621849165404,10
1621849165503,1621849165533,30
1621849165703,1621849165803,100
1621849166073,1621849166103,30
1621849166463,1621849166553,90
1621849166753,1621849166763,10
1621849167332,1621849167382,50
1621849167692,1621849167702,10
1621849168062,1621849168072,10
1621849168592,1621849168722,130
1621849169261,1621849169351,90
1621849169471,1621849169541,70
1621849170321,1621849170331,10
1621849170431,1621849170470,39
1621849170560,1621849170570,10
1621849170670,1621849170700,30
1621849171360,1621849171580,220
1621849172649,1621849172699,50
1621849172859,1621849172909,50
1621849173199,1621849173269,70
1621849174148,1621849174208,60
1621849174758,1621849174768,10
1621849175677,1621849175757,80
1621849176927,1621849176996,69
1621849177426,1621849177766,340
1621849178036,1621849178216,180
1621849178326,1621849178476,150
1621849179185,1621849179215,30
1621849179375,1621849179485,110
1621849179575,1621849179585,10
1621849179905,1621849179985,80
1621849180245,1621849180255,10
1621849180484,1621849180834,350
1621849182113,1621849182233,120
1621849182693,1621849182703,10
1621849182823,1621849182833,10
1621849182923,1621849182933,10
1621849183033,1621849183083,50
1621849183872,1621849184032,160
1621849184302,1621849184312,10
1621849184862,1621849184872,10
1621849185271,1621849185281,10
1621849185391,1621849185401,10
1621849185821,1621849185831,10
1621849186781,1621849187060,279
1621849187400,1621849187700,300
1621849188360,1621849188370,10
1621849188589,1621849188599,10
1621849188709,1621849188719,10
1621849188899,1621849189139,240
1621849189589,1621849189599,10
1621849189919,1621849189969,50
1621849190298,1621849190498,200
1621849190628,1621849190638,10
1621849191278,1621849191348,70
1621849191478,1621849191488,10
1621849191727,1621849191737,10
1621849192307,1621849192317,10
1621849192717,1621849192767,50
1621849192977,1621849193167,190
1621849193416,1621849193446,30
1621849193686,1621849193696,10
1621849194656,1621849194666,10
1621849194746,1621849194796,50
1621849194876,1621849194936,60
1621849195775,1621849195785,10
1621849196145,1621849196265,120
1621849196455,1621849196465,10
1621849197424,1621849197434,10
1621849197694,1621849197704,10
1621849198294,1621849198343,49
1621849198703,1621849198733,30
1621849199323,1621849199403,80
1621849200412,1621849200542,130
1621849200652,1621849200682,30
1621849200802,1621849200812,10
1621849201921,1621849202041,120
1621849202241,1621849202251,10
1621849202341,1621849202351,10
1621849202561,1621849202651,90
1621849203111,1621849203280,169
1621849203780,1621849203830,50
1621849204060,1621849204140,80
1621849204340,1621849204370,30
1621849204460,1621849204540,80
1621849205049,1621849205119,70
1621849205769,1621849205779,10
1621849205999,1621849206059,60
1621849206319,1621849206349,30
1621849206449,1621849206481,32
1621849206998,1621849207028,30
1621849207718,1621849207748,30
1621849208237,1621849208287,50
1621849208697,1621849208757,60
1621849208917,1621849209157,240
1621849209237,1621849209287,50
1621849209966,1621849210016,50
1621849210776,1621849210786,10
1621849210876,1621849210946,70
1621849211505,1621849211515,10
1621849211895,1621849211955,60
1621849212185,1621849212465,280
1621849212635,1621849212645,10
1621849212785,1621849212795,10
1621849213134,1621849213214,80
1621849213804,1621849213874,70
1621849214264,1621849214344,80
1621849215413,1621849215653,240
1621849216492,1621849216772,280
1621849217312,1621849217352,40
1621849217482,1621849217961,479
1621849218231,1621849218261,30
1621849218361,1621849218441,80
1621849218521,1621849218531,10
1621849219720,1621849219950,230
1621849220460,1621849220470,10
1621849220610,1621849220620,10
1621849221269,1621849221419,150
1621849221539,1621849221549,10
1621849221689,1621849221699,10
1621849222369,1621849222529,160
1621849222659,1621849222799,140
1621849223088,1621849223098,10
1621849223198,1621849223248,50
1621849224238,1621849224318,80
1621849224887,1621849224897,10
1621849225537,1621849225567,30
1621849225837,1621849225847,10
1621849226186,1621849226246,60
1621849226356,1621849226406,50
1621849227476,1621849227546,70
1621849227676,1621849227765,89
1621849228735,1621849228815,80
1621849228895,1621849228935,40
1621849229375,1621849229385,10
1621849229474,1621849229484,10
1621849229754,1621849229894,140
1621849230054,1621849230284,230
1621849230554,1621849230564,10
1621849230654,1621849230704,50
1621849230934,1621849230984,50
1621849231453,1621849231543,90
1621849231743,1621849231803,60
1621849233242,1621849233252,10
1621849234042,1621849234102,60
1621849234341,1621849234551,210
1621849234691,1621849234771,80
1621849235891,1621849235931,40
1621849237030,1621849237090,60
1621849237390,1621849237540,150
1621849237669,1621849237779,110
1621849237999,1621849238179,180
1621849238359,1621849238369,10
1621849239238,1621849239248,10
1621849239338,1621849239348,10
1621849239608,1621849239618,10
1621849239808,1621849239888,80
1621849240268,1621849240298,30
1621849240798,1621849240828,30
1621849242107,1621849242167,60
1621849242786,1621849242816,30
1621849243906,1621849243936,30
1621849244205,1621849244215,10
1621849244325,1621849244405,80
1621849244655,1621849244665,10
1621849245225,1621849245485,260
1621849246704,1621849246734,30
1621849247463,1621849247543,80
1621849247793,1621849247809,16
1621849249003,1621849249042,39
1621849250741,1621849250891,150
1621849251321,1621849251331,10
1621849251571,1621849251901,330
1621849252440,1621849252450,10
1621849252740,1621849252750,10
1621849254239,1621849254629,390
1621849254759,1621849254879,120
1621849255009,1621849255019,10
1621849255139,1621849255149,10
1621849255309,1621849255319,10
1621849256248,1621849256278,30
1621849256458,1621849256538,80
1621849257267,1621849257297,30
1621849257487,1621849257727,240
1621849258976,1621849258986,10
1621849259076,1621849259186,110
1621849259796,1621849259876,80
1621849260266,1621849260296,30
1621849260705,1621849260835,130
1621849261785,1621849261795,10
1621849262035,1621849262085,50
1621849262734,1621849262744,10
1621849263124,1621849263194,70
1621849263284,1621849263364,80
1621849263853,1621849264003,150
1621849264173,1621849264333,160
1621849264523,1621849264683,160
1621849264783,1621849264833,50
1621849264943,1621849264983,40
1621849265213,1621849265253,40
1621849265902,1621849265912,10
1621849266232,1621849266292,60
1621849266472,1621849266482,10
1621849266992,1621849267002,10
1621849267451,1621849267501,50
1621849267731,1621849267761,30
1621849268311,1621849268391,80
1621849269490,1621849269540,50
1621849269770,1621849269780,10
1621849270639,1621849270709,70
1621849270839,1621849270849,10
1621849270969,1621849271002,33
1621849271139,1621849271149,10
1621849271709,1621849271719,10
1621849272258,1621849272268,10
1621849272418,1621849272698,280
1621849272888,1621849272898,10
1621849274607,1621849274617,10
1621849275306,1621849275316,10
1621849275436,1621849275516,80
1621849281253,1621849281263,10
1621849281353,1621849281483,130
1621849282472,1621849282482,10
1621849282772,1621849282942,170
1621849283152,1621849283162,10
1621849283302,1621849283312,10
1621849283621,1621849283711,90
1621849283981,1621849284001,20
1621849284271,1621849284601,330
1621849284691,1621849284701,10
1621849285090,1621849285100,10
1621849285200,1621849285240,40
1621849285390,1621849285400,10
1621849285520,1621849285590,70
1621849285690,1621849285810,120
1621849286120,1621849286200,80
1621849287259,1621849287269,10
1621849287619,1621849287679,60
1621849288189,1621849288318,129
1621849288958,1621849288968,10
1621849289598,1621849289708,110
1621849290217,1621849290247,30
1621849290557,1621849290647,90
1621849290787,1621849290797,10
1621849290907,1621849290917,10
1621849291037,1621849291067,30
1621849291716,1621849291796,80
1621849303199,1621849303249,50
1621849303639,1621849303649,10
1621849303809,1621849303819,10
1621849304239,1621849304255,16
1621849304419,1621849304489,70
1621849305458,1621849305468,10
1621849305568,1621849305578,10
1621849305748,1621849305808,60
1621849306138,1621849306148,10
1621849308316,1621849308326,10
1621849308466,1621849308616,150
1621849308736,1621849308816,80
1621849309775,1621849309785,10
1621849310005,1621849310035,30
1621849311354,1621849311384,30
1621849311904,1621849311914,10
1621849312064,1621849312124,60
1621849313283,1621849313403,120
1621849314542,1621849314582,40
1621849315882,1621849315972,90
1621849316331,1621849316361,30
1621849318220,1621849318390,170
1621849318820,1621849318960,140
1621849319499,1621849319509,10
1621849319669,1621849319679,10
1621849320199,1621849320379,180
1621849320869,1621849320879,10
1621849320969,1621849321038,69
1621849322098,1621849322158,60
1621849322398,1621849322528,130
1621849322687,1621849322797,110
1621849322907,1621849322917,10
1621849323037,1621849323067,30
1621849323267,1621849323347,80
1621849323627,1621849323697,70
1621849324736,1621849324876,140
1621849325336,1621849325346,10
1621849325856,1621849325866,10
1621849326155,1621849326325,170
1621849326415,1621849326445,30
1621849326755,1621849326765,10
1621849327255,1621849327265,10
1621849327734,1621849327874,140
1621849327954,1621849327964,10
1621849328524,1621849328534,10
1621849328784,1621849328894,110
1621849329054,1621849329064,10
1621849329183,1621849329343,160
1621849329523,1621849329533,10
1621849329623,1621849329943,320
1621849330053,1621849330063,10
1621849331702,1621849331732,30
1621849332062,1621849332222,160
1621849332302,1621849332332,30
1621849332441,1621849332531,90
1621849332721,1621849332731,10
1621849333151,1621849333161,10
1621849333451,1621849333701,250
1621849333801,1621849333851,50
1621849334650,1621849334780,130
1621849335170,1621849335270,100
1621849335350,1621849335360,10
1621849335490,1621849335504,14
1621849335819,1621849335839,20
1621849336029,1621849336199,170
1621849336369,1621849336629,260
1621849337458,1621849337528,70
1621849338268,1621849338278,10
1621849338378,1621849338458,80
1621849338728,1621849338778,50
1621849339527,1621849339597,70
1621849340956,1621849341036,80
1621849341306,1621849341316,10
1621849342645,1621849342725,80
1621849343235,1621849343245,10
1621849343954,1621849344174,220
1621849344324,1621849344334,10
