start,end,duration
1622114440212,1622114440302,90
1622114440412,1622114440422,10
1622114440582,1622114440592,10
1622114440692,1622114440742,50
1622114440881,1622114441041,160
1622114441261,1622114441441,180
1622114441561,1622114441571,10
1622114441671,1622114441701,30
1622114441831,1622114441841,10
1622114441961,1622114441991,30
1622114442121,1622114442251,130
1622114442371,1622114442440,69
1622114442520,1622114442570,50
1622114442690,1622114442720,30
1622114442840,1622114442890,50
1622114442990,1622114443300,310
1622114443380,1622114443720,340
1622114443820,1622114443900,80
1622114443980,1622114444019,39
1622114444119,1622114444169,50
1622114444299,1622114444309,10
1622114444399,1622114444469,70
1622114444569,1622114444809,240
1622114444999,1622114445219,220
1622114445319,1622114445469,150
1622114445589,1622114445619,30
1622114445738,1622114445768,30
1622114445908,1622114446368,460
1622114446478,1622114446508,30
1622114446638,1622114446688,50
1622114446788,1622114446838,50
1622114446928,1622114446958,30
1622114447078,1622114447088,10
1622114447208,1622114447237,29
1622114447327,1622114447407,80
1622114447637,1622114447667,30
1622114447797,1622114447807,10
1622114447927,1622114448117,190
1622114448197,1622114448267,70
1622114449216,1622114449696,480
1622114449776,1622114449786,10
1622114449896,1622114449926,30
1622114450046,1622114450056,10
1622114450176,1622114450226,50
1622114450346,1622114450356,10
1622114450475,1622114450485,10
1622114450575,1622114450605,30
1622114450745,1622114450855,110
1622114450995,1622114451025,30
1622114451145,1622114451305,160
1622114451415,1622114451425,10
1622114451535,1622114451595,60
1622114451705,1622114451875,170
1622114452104,1622114452134,30
1622114452264,1622114452274,10
1622114452374,1622114452534,160
1622114452644,1622114452674,30
1622114452794,1622114452834,40
1622114452944,1622114452954,10
1622114453044,1622114453104,60
1622114453224,1622114453384,160
1622114453524,1622114453534,10
1622114453644,1622114453703,59
1622114453843,1622114453853,10
1622114454193,1622114454383,190
1622114454573,1622114454583,10
1622114454693,1622114454703,10
1622114454803,1622114454833,30
1622114454993,1622114455073,80
1622114455213,1622114455432,219
1622114455592,1622114455672,80
1622114455782,1622114455792,10
1622114455932,1622114455942,10
1622114456062,1622114456072,10
1622114456212,1622114456372,160
1622114456522,1622114456812,290
1622114456892,1622114456941,49
1622114457171,1622114457201,30
1622114457461,1622114457491,30
1622114457611,1622114457621,10
1622114457741,1622114457751,10
1622114457861,1622114457891,30
1622114458031,1622114458041,10
1622114458161,1622114458341,180
1622114458461,1622114458471,10
1622114458560,1622114458590,30
1622114458680,1622114458870,190
1622114459010,1622114459020,10
1622114459140,1622114459150,10
1622114459280,1622114459290,10
1622114459390,1622114459570,180
1622114459730,1622114459740,10
1622114459860,1622114459870,10
1622114459990,1622114460040,50
1622114460140,1622114460299,159
1622114460449,1622114460769,320
1622114461679,1622114461689,10
1622114461788,1622114461818,30
1622114461948,1622114462308,360
1622114462458,1622114462518,60
1622114462708,1622114462868,160
1622114463977,1622114464047,70
1622114464187,1622114464367,180
1622114464577,1622114464587,10
1622114464677,1622114464757,80
1622114464897,1622114464907,10
1622114465136,1622114465326,190
1622114465536,1622114465566,30
1622114465706,1622114465766,60
1622114465856,1622114465886,30
1622114465996,1622114466036,40
1622114466136,1622114466166,30
1622114466256,1622114466306,50
1622114466426,1622114466625,199
1622114466705,1622114466865,160
1622114466995,1622114467005,10
1622114467095,1622114467345,250
1622114467465,1622114467475,10
1622114467595,1622114467605,10
1622114467715,1622114467785,70
1622114467875,1622114467885,10
1622114468025,1622114468284,259
1622114468424,1622114468604,180
1622114468684,1622114468734,50
1622114468944,1622114469304,360
1622114469394,1622114469424,30
1622114469544,1622114469724,180
1622114469824,1622114469853,29
1622114470123,1622114470153,30
1622114470253,1622114470403,150
1622114470523,1622114470533,10
1622114470653,1622114470703,50
1622114470823,1622114470833,10
1622114470963,1622114471033,70
1622114471243,1622114471273,30
1622114471622,1622114471632,10
1622114471922,1622114471932,10
1622114472152,1622114472242,90
1622114472332,1622114472532,200
1622114472612,1622114472622,10
1622114472862,1622114472972,110
1622114473052,1622114473101,49
1622114473181,1622114473251,70
1622114473341,1622114473371,30
1622114473481,1622114473651,170
1622114473741,1622114473941,200
1622114474021,1622114474051,30
1622114474181,1622114474321,140
1622114474461,1622114474491,30
1622114474591,1622114474621,30
1622114474740,1622114474890,150
1622114474990,1622114475050,60
1622114475160,1622114475320,160
1622114475440,1622114475590,150
1622114475690,1622114475700,10
1622114475840,1622114475990,150
1622114476110,1622114476170,60
1622114476260,1622114476439,179
1622114476529,1622114476589,60
1622114476709,1622114477099,390
1622114477209,1622114477269,60
1622114477379,1622114477389,10
1622114477509,1622114477559,50
1622114477659,1622114477689,30
1622114477809,1622114477819,10
1622114477938,1622114478008,70
1622114478088,1622114478148,60
1622114478338,1622114478368,30
1622114478508,1622114478668,160
1622114478778,1622114478808,30
1622114478928,1622114478938,10
1622114479058,1622114479118,60
1622114479198,1622114479338,140
1622114479478,1622114479617,139
1622114479697,1622114479767,70
1622114479887,1622114480037,150
1622114480157,1622114480207,50
1622114480287,1622114480337,50
1622114480567,1622114480617,50
1622114480727,1622114480907,180
1622114480997,1622114481037,40
1622114481136,1622114481316,180
1622114481436,1622114481466,30
1622114481596,1622114481606,10
1622114481706,1622114481736,30
1622114481856,1622114481886,30
1622114482006,1622114482026,20
1622114482126,1622114482136,10
1622114482256,1622114482286,30
1622114482396,1622114482536,140
1622114482656,1622114482706,50
1622114482795,1622114482835,40
1622114482945,1622114482987,42
1622114483185,1622114483235,50
1622114483475,1622114483525,50
1622114483625,1622114483635,10
1622114483725,1622114483805,80
1622114484035,1622114484085,50
1622114484205,1622114484235,30
1622114484325,1622114484524,199
1622114484644,1622114484654,10
1622114484774,1622114484784,10
1622114484894,1622114484924,30
1622114485044,1622114485074,30
1622114485164,1622114485224,60
1622114485324,1622114485334,10
1622114485474,1622114485484,10
1622114485634,1622114485774,140
1622114485974,1622114486053,79
1622114486263,1622114486333,70
1622114486613,1622114486623,10
1622114486743,1622114486753,10
1622114486873,1622114486923,50
1622114487003,1622114487033,30
1622114487173,1622114487303,130
1622114487453,1622114487483,30
1622114487603,1622114487632,29
1622114487762,1622114487772,10
1622114488002,1622114488032,30
1622114488192,1622114488322,130
1622114488572,1622114488602,30
1622114488722,1622114488772,50
1622114488882,1622114489056,174
1622114489162,1622114489192,30
1622114489311,1622114489341,30
1622114489481,1622114489491,10
1622114489611,1622114489621,10
1622114489761,1622114489771,10
1622114489881,1622114489891,10
1622114490031,1622114490041,10
1622114490161,1622114490321,160
1622114490461,1622114490471,10
1622114490571,1622114490621,50
1622114490731,1622114490741,10
