start,end,duration
1622113723896,1622113723985,89
1622113724175,1622113724215,40
1622113724325,1622113724355,30
1622113724495,1622113724625,130
1622113724765,1622113724775,10
1622113724895,1622113724905,10
1622113725025,1622113725065,40
1622113725275,1622113725305,30
1622113725444,1622113725454,10
1622113725554,1622113725604,50
1622113725854,1622113725904,50
1622113726034,1622113726304,270
1622113726404,1622113726454,50
1622113726594,1622113726604,10
1622113726694,1622113726724,30
1622113726834,1622113726864,30
1622113727133,1622113727143,10
1622113727263,1622113727273,10
1622113727413,1622113727623,210
1622113727713,1622113727723,10
1622113727843,1622113727893,50
1622113727983,1622113727993,10
1622113728113,1622113728163,50
1622113728283,1622113728293,10
1622113728413,1622113728423,10
1622113728543,1622113728573,30
1622113728683,1622113729122,439
1622113729262,1622113729672,410
1622113729812,1622113729972,160
1622113730102,1622113730112,10
1622113730242,1622113730272,30
1622113730481,1622113730711,230
1622113730811,1622113730841,30
1622113730961,1622113730991,30
1622113731111,1622113731121,10
1622113731221,1622113731271,50
1622113731541,1622113731601,60
1622113731711,1622113731721,10
1622113731831,1622113731861,30
1622113731980,1622113732120,140
1622113732260,1622113732270,10
1622113732390,1622113732590,200
1622113732680,1622113732860,180
1622113732980,1622113732990,10
1622113733100,1622113733163,63
1622113733410,1622113733709,299
1622113733799,1622113733879,80
1622113733979,1622113733989,10
1622113734129,1622113734139,10
1622113734249,1622113734279,30
1622113734399,1622113734409,10
1622113734509,1622113734559,50
1622113734669,1622113734679,10
1622113734759,1622113734939,180
1622113735049,1622113735129,80
1622113735228,1622113735238,10
1622113735318,1622113735378,60
1622113735498,1622113735508,10
1622113735598,1622113735778,180
1622113735868,1622113735928,60
1622113736068,1622113736078,10
1622113736198,1622113736228,30
1622113736348,1622113736358,10
1622113736478,1622113736658,180
1622113736877,1622113737037,160
1622113737157,1622113737195,38
1622113737327,1622113737377,50
1622113737467,1622113737477,10
1622113737587,1622113737757,170
1622113737867,1622113738077,210
1622113738167,1622113738207,40
1622113738297,1622113738327,30
1622113738437,1622113738447,10
1622113738586,1622113738746,160
1622113738876,1622113738926,50
1622113739016,1622113739046,30
1622113739186,1622113739209,23
1622113739296,1622113739326,30
1622113739556,1622113739606,50
1622113739696,1622113739726,30
1622113739866,1622113739876,10
1622113739986,1622113739996,10
1622113740115,1622113740255,140
1622113740395,1622113740425,30
1622113740545,1622113740555,10
1622113740665,1622113740765,100
1622113740845,1622113740875,30
1622113740965,1622113741025,60
1622113741125,1622113741155,30
1622113741275,1622113741305,30
1622113741445,1622113741625,180
1622113741744,1622113741774,30
1622113741914,1622113742044,130
1622113742144,1622113742174,30
1622113742314,1622113742324,10
1622113742444,1622113742454,10
1622113743154,1622113743453,299
1622113743573,1622113743603,30
1622113743753,1622113743793,40
1622113743893,1622113743923,30
1622113744043,1622113744093,50
1622113744183,1622113744363,180
1622113744483,1622113744493,10
1622113744613,1622113744663,50
1622113744743,1622113744793,50
1622113744903,1622113744913,10
1622113745032,1622113745042,10
1622113745132,1622113745162,30
1622113745312,1622113745342,30
1622113745432,1622113745462,30
1622113746282,1622113746292,10
1622113746562,1622113746711,149
1622113746841,1622113746871,30
1622113746981,1622113747011,30
1622113747131,1622113747161,30
1622113747241,1622113747291,50
1622113747411,1622113747421,10
1622113747541,1622113747571,30
1622113747691,1622113747721,30
1622113747841,1622113747891,50
1622113747971,1622113748011,40
1622113748201,1622113748290,89
1622113748480,1622113748590,110
1622113748800,1622113748910,110
1622113749080,1622113749140,60
1622113749230,1622113749240,10
1622113749380,1622113749390,10
1622113749650,1622113749660,10
1622113749750,1622113749859,109
1622113750059,1622113750129,70
1622113750229,1622113750239,10
1622113750349,1622113750489,140
1622113750629,1622113750639,10
1622113750739,1622113750939,200
1622113751069,1622113751189,120
1622113751329,1622113751359,30
1622113751459,1622113751738,279
1622113751858,1622113751888,30
1622113751998,1622113752028,30
1622113752148,1622113752158,10
1622113752248,1622113752508,260
1622113752598,1622113752608,10
1622113752708,1622113752738,30
1622113752938,1622113753157,219
1622113753267,1622113753277,10
1622113753387,1622113753437,50
1622113753547,1622113753577,30
1622113753697,1622113753707,10
1622113753827,1622113753837,10
1622113753957,1622113754007,50
1622113754227,1622113754687,460
1622113755676,1622113755706,30
1622113755836,1622113755846,10
1622113755926,1622113756126,200
1622113756246,1622113756256,10
1622113756346,1622113756375,29
1622113756585,1622113756675,90
1622113756765,1622113756795,30
1622113756875,1622113756905,30
1622113757025,1622113757055,30
1622113757185,1622113757195,10
1622113757295,1622113757305,10
1622113757445,1622113757645,200
1622113757865,1622113757945,80
1622113758034,1622113758204,170
1622113758324,1622113758664,340
1622113758744,1622113758754,10
1622113758864,1622113758894,30
1622113758994,1622113759174,180
1622113759294,1622113759304,10
1622113759394,1622113759454,60
1622113759564,1622113759574,10
1622113759733,1622113759873,140
1622113759993,1622113760023,30
1622113760283,1622113760353,70
1622113760543,1622113760673,130
1622113760833,1622113760843,10
1622113760983,1622113760993,10
1622113761113,1622113761143,30
1622113761352,1622113761412,60
1622113761822,1622113761872,50
1622113761952,1622113761992,40
1622113762112,1622113762142,30
1622113762232,1622113762262,30
1622113762382,1622113762412,30
1622113762522,1622113762572,50
1622113762662,1622113762692,30
1622113762812,1622113762822,10
1622113762912,1622113763021,109
1622113763151,1622113763161,10
1622113763241,1622113763291,50
1622113763411,1622113763421,10
1622113763571,1622113763891,320
1622113763991,1622113764041,50
1622113764151,1622113764161,10
1622113764281,1622113764311,30
1622113764431,1622113764441,10
1622113764560,1622113764570,10
1622113764830,1622113764840,10
1622113764940,1622113765140,200
1622113765260,1622113765290,30
1622113765390,1622113765420,30
1622113765530,1622113765540,10
1622113765660,1622113765690,30
1622113765790,1622113765820,30
1622113765940,1622113766179,239
1622113766329,1622113766519,190
1622113766619,1622113766789,170
1622113766979,1622113767139,160
1622113767299,1622113767309,10
1622113767549,1622113767709,160
1622113767818,1622113768038,220
1622113768328,1622113768458,130
1622113768568,1622113768578,10
1622113768698,1622113768728,30
1622113768828,1622113768858,30
1622113768978,1622113768988,10
1622113769068,1622113769138,70
1622113769268,1622113769278,10
1622113769378,1622113769408,30
1622113769507,1622113769707,200
1622113769797,1622113769827,30
1622113769907,1622113769987,80
1622113770097,1622113770377,280
1622113771796,1622113772106,310
1622113772196,1622113772246,50
1622113772346,1622113772356,10
1622113772496,1622113772955,459
1622113773045,1622113773505,460
1622113773645,1622113773655,10
1622113773785,1622113773795,10
1622113773915,1622113773945,30
1622113774075,1622113774105,30
1622113774215,1622113774304,89
1622113774464,1622113774574,110
1622113774714,1622113774724,10
1622113774834,1622113774874,40
1622113775114,1622113775124,10
1622113775244,1622113775254,10
1622113775384,1622113775394,10
1622113775524,1622113775594,70
1622113775834,1622113775844,10
1622113775973,1622113776003,30
1622113776123,1622113776153,30
1622113776243,1622113776293,50
1622113776533,1622113776543,10
1622113776663,1622113776973,310
1622113777083,1622113777143,60
1622113777283,1622113777293,10
1622113777413,1622113777423,10
1622113778452,1622113778692,240
1622113778932,1622113778962,30
1622113779201,1622113779271,70
1622113779381,1622113779391,10
1622113779531,1622113779541,10
1622113779631,1622113779641,10
1622113779801,1622113779921,120
1622113780081,1622113780111,30
1622113780211,1622113780241,30
1622113780481,1622113780511,30
1622113780711,1622113780920,209
1622113781030,1622113781060,30
1622113781180,1622113781190,10
1622113781280,1622113781310,30
1622113781570,1622113781620,50
1622113781750,1622113781880,130
1622113782000,1622113782010,10
1622113782200,1622113782290,90
1622113782519,1622113782689,170
1622113782819,1622113782869,50
1622113782999,1622113783139,140
1622113783259,1622113783429,170
1622113783529,1622113783559,30
1622113783699,1622113783859,160
1622113784128,1622113784158,30
1622113784278,1622113784308,30
1622113784408,1622113784438,30
1622113784598,1622113784608,10
1622113784718,1622113784728,10
1622113784838,1622113785138,300
1622113785248,1622113785408,160
1622113785568,1622113785586,18
1622113785668,1622113785678,10
1622113785947,1622113786127,180
1622113786217,1622113786377,160
