start,end,duration
1621593163872,1621593163882,10
1621593163962,1621593164032,70
1621593164122,1621593164152,30
1621593164272,1621593164302,30
1621593164402,1621593164451,49
1621593164571,1621593164621,50
1621593164701,1621593164731,30
1621593164981,1621593165031,50
1621593165271,1621593165321,50
1621593165421,1621593165431,10
1621593165561,1621593165621,60
1621593165701,1621593165731,30
1621593165871,1621593165901,30
1621593166011,1621593166051,40
1621593166190,1621593166200,10
1621593166290,1621593166300,10
1621593166420,1621593166580,160
1621593166710,1621593166720,10
1621593166930,1621593166980,50
1621593167170,1621593167420,250
1621593167500,1621593167530,30
1621593167650,1621593167680,30
1621593167789,1621593167799,10
1621593167899,1621593167949,50
1621593168189,1621593168199,10
1621593168319,1621593168329,10
1621593168419,1621593168479,60
1621593168609,1621593168619,10
1621593168739,1621593168749,10
1621593168869,1621593169019,150
1621593169159,1621593169189,30
1621593169309,1621593169338,29
1621593169458,1621593169468,10
1621593169588,1621593169598,10
1621593169678,1621593169748,70
1621593169868,1621593169898,30
1621593170028,1621593170188,160
1621593170308,1621593170468,160
1621593170718,1621593170748,30
1621593170838,1621593170868,30
1621593170987,1621593171147,160
1621593171277,1621593171287,10
1621593171407,1621593171437,30
1621593171557,1621593171567,10
1621593171687,1621593171717,30
1621593171807,1621593172037,230
1621593172127,1621593172137,10
1621593172257,1621593172287,30
1621593172367,1621593172417,50
1621593172646,1621593172696,50
1621593172786,1621593172816,30
1621593172936,1621593173286,350
1621593173466,1621593173496,30
1621593173616,1621593173646,30
1621593173756,1621593173786,30
1621593173906,1621593173916,10
1621593174006,1621593174066,60
1621593174225,1621593174315,90
1621593174455,1621593174485,30
1621593174605,1621593174615,10
1621593174735,1621593174915,180
1621593175005,1621593175035,30
1621593175155,1621593175335,180
1621593175435,1621593175485,50
1621593175585,1621593175615,30
1621593175725,1621593175884,159
1621593176004,1621593176034,30
1621593176134,1621593176164,30
1621593176274,1621593176304,30
1621593176414,1621593176464,50
1621593176574,1621593176604,30
1621593176724,1621593176864,140
1621593176994,1621593177154,160
1621593177274,1621593177284,10
1621593177374,1621593177453,79
1621593177573,1621593177583,10
1621593177683,1621593177733,50
1621593177853,1621593178033,180
1621593178123,1621593178133,10
1621593178253,1621593178303,50
1621593178403,1621593178413,10
1621593178543,1621593178703,160
1621593178813,1621593178863,50
1621593178973,1621593179003,30
1621593179122,1621593179152,30
1621593179262,1621593179312,50
1621593179392,1621593179462,70
1621593179582,1621593179612,30
1621593179732,1621593179782,50
1621593179892,1621593180032,140
1621593180172,1621593180202,30
1621593180322,1621593180332,10
1621593180412,1621593180472,60
1621593180592,1621593180731,139
1621593180841,1621593180871,30
1621593180991,1621593181031,40
1621593181111,1621593181121,10
1621593181251,1621593181391,140
1621593181491,1621593181571,80
1621593181691,1621593181721,30
1621593181801,1621593181831,30
1621593181931,1621593181981,50
1621593182111,1621593182121,10
1621593182241,1621593182251,10
1621593182370,1621593182400,30
1621593182520,1621593182650,130
1621593182790,1621593182800,10
1621593182920,1621593182950,30
1621593183070,1621593183080,10
1621593183170,1621593183350,180
1621593183460,1621593183530,70
1621593183620,1621593183949,329
1621593184069,1621593184079,10
1621593184199,1621593184229,30
1621593184359,1621593184499,140
1621593184639,1621593184649,10
1621593184739,1621593184799,60
1621593184919,1621593185049,130
1621593185169,1621593185199,30
1621593185299,1621593185349,50
1621593185439,1621593185499,60
1621593185608,1621593185638,30
1621593185738,1621593186198,460
1621593186308,1621593186368,60
1621593186488,1621593186538,50
1621593186628,1621593186638,10
1621593186758,1621593186788,30
1621593186908,1621593186938,30
1621593187018,1621593187048,30
1621593187167,1621593187197,30
1621593187307,1621593187337,30
1621593187427,1621593187497,70
1621593188407,1621593188467,60
1621593188637,1621593188767,130
1621593188886,1621593188896,10
1621593188976,1621593189046,70
1621593189176,1621593189186,10
1621593189306,1621593189346,40
1621593189436,1621593189486,50
1621593189586,1621593189616,30
1621593189716,1621593189766,50
1621593190625,1621593190635,10
1621593190755,1621593190765,10
1621593190865,1621593190895,30
1621593191015,1621593191045,30
1621593191205,1621593191215,10
1621593191315,1621593191465,150
1621593191575,1621593191605,30
1621593191715,1621593191765,50
1621593191985,1621593192015,30
1621593192114,1621593192164,50
1621593192274,1621593192284,10
1621593192404,1621593192434,30
1621593192514,1621593192704,190
1621593193004,1621593193034,30
1621593193154,1621593193164,10
1621593193294,1621593193434,140
1621593193554,1621593193564,10
1621593193693,1621593193703,10
1621593193843,1621593193853,10
1621593193973,1621593194113,140
1621593194243,1621593194253,10
1621593194363,1621593194433,70
1621593194543,1621593194553,10
1621593194663,1621593194713,50
1621593194823,1621593194863,40
1621593195093,1621593195133,40
1621593195253,1621593195402,149
1621593195632,1621593195802,170
1621593195902,1621593196102,200
1621593196232,1621593196262,30
1621593196352,1621593196382,30
1621593196502,1621593196512,10
1621593196602,1621593196682,80
1621593196941,1621593196971,30
1621593197191,1621593197441,250
1621593197651,1621593197681,30
1621593197821,1621593197971,150
1621593198071,1621593198101,30
1621593198201,1621593198251,50
1621593198481,1621593198531,50
1621593198790,1621593198820,30
1621593198920,1621593198970,50
1621593199070,1621593199080,10
1621593199390,1621593199400,10
1621593199560,1621593199570,10
1621593199660,1621593199670,10
1621593199800,1621593199950,150
1621593200110,1621593200120,10
1621593200239,1621593200269,30
1621593200389,1621593200569,180
1621593200689,1621593200699,10
1621593200789,1621593200849,60
1621593200949,1621593200979,30
1621593201099,1621593201129,30
1621593201239,1621593201269,30
1621593201419,1621593201429,10
1621593201519,1621593201549,30
1621593201669,1621593201679,10
1621593202638,1621593202668,30
1621593202768,1621593202798,30
1621593202918,1621593203048,130
1621593203168,1621593203198,30
1621593203318,1621593203467,149
1621593203567,1621593203597,30
1621593203687,1621593203767,80
1621593203877,1621593203887,10
1621593203997,1621593204167,170
1621593204287,1621593204447,160
1621593204557,1621593204567,10
1621593204687,1621593204737,50
1621593204857,1621593204887,30
1621593204967,1621593204997,30
1621593205116,1621593205166,50
1621593205286,1621593205296,10
1621593205406,1621593205566,160
1621593205666,1621593205696,30
1621593205786,1621593205846,60
1621593205956,1621593205986,30
1621593206086,1621593206236,150
1621593206376,1621593206386,10
1621593206466,1621593206546,80
1621593206656,1621593206685,29
1621593206795,1621593207135,340
1621593207235,1621593207245,10
1621593207375,1621593207415,40
1621593207505,1621593207535,30
1621593207775,1621593207785,10
1621593207865,1621593208085,220
1621593208804,1621593208834,30
1621593208934,1621593208984,50
1621593209094,1621593209104,10
1621593209224,1621593209254,30
1621593209354,1621593209404,50
