start,end,duration
1621591832882,1621591832892,10
1621591832972,1621591833072,100
1621591833162,1621591833172,10
1621591833282,1621591833482,200
1621591833611,1621591833771,160
1621591833881,1621591833891,10
1621591834001,1621591834191,190
1621591834281,1621591834351,70
1621591834461,1621591834471,10
1621591834611,1621591834641,30
1621591834871,1621591834921,50
1621591835021,1621591835071,50
1621591835190,1621591835220,30
1621591835330,1621591835370,40
1621591835530,1621591835620,90
1621591835730,1621591835740,10
1621591835860,1621591836050,190
1621591836140,1621591836190,50
1621591836270,1621591836300,30
1621591836420,1621591836660,240
1621591836740,1621591836909,169
1621591837019,1621591837069,50
1621591837179,1621591837189,10
1621591837309,1621591837339,30
1621591837479,1621591837509,30
1621591837589,1621591837619,30
1621591837759,1621591837789,30
1621591837889,1621591838069,180
1621591838169,1621591838239,70
1621591838329,1621591838369,40
1621591838458,1621591838468,10
1621591838578,1621591838588,10
1621591838728,1621591838908,180
1621591838988,1621591839018,30
1621591839148,1621591839158,10
1621591839288,1621591839758,470
1621591839878,1621591840038,160
1621591840157,1621591840187,30
1621591840307,1621591840357,50
1621591840477,1621591840487,10
1621591840607,1621591840637,30
1621591840757,1621591840767,10
1621591841107,1621591841117,10
1621591841287,1621591841337,50
1621591841437,1621591841467,30
1621591841577,1621591841607,30
1621591841727,1621591841737,10
1621591841856,1621591842016,160
1621591842126,1621591842136,10
1621591842276,1621591842306,30
1621591842416,1621591842576,160
1621591842696,1621591842706,10
1621591842866,1621591842876,10
1621591842986,1621591843036,50
1621591843126,1621591843136,10
1621591843226,1621591843306,80
1621591843416,1621591843426,10
1621591843575,1621591843585,10
1621591843715,1621591843935,220
1621591844065,1621591844155,90
1621591844255,1621591844305,50
1621591844405,1621591844435,30
1621591844545,1621591844575,30
1621591844685,1621591844840,155
1621591844955,1621591845104,149
1621591845244,1621591845254,10
1621591845364,1621591845434,70
1621591845674,1621591845704,30
1621591845804,1621591845904,100
1621591845984,1621591846034,50
1621591846124,1621591846154,30
1621591846274,1621591846324,50
1621591846404,1621591846584,180
1621591846674,1621591846684,10
1621591846823,1621591847133,310
1621591847243,1621591847273,30
1621591847373,1621591847423,50
1621591847503,1621591847553,50
1621591847723,1621591847823,100
1621591847993,1621591848003,10
1621591848093,1621591848103,10
1621591848233,1621591848402,169
1621591848492,1621591848502,10
1621591848632,1621591848672,40
1621591848762,1621591848772,10
1621591848912,1621591849072,160
1621591849182,1621591849192,10
1621591849312,1621591849342,30
1621591849442,1621591849472,30
1621591849572,1621591849602,30
1621591849712,1621591849742,30
1621591849862,1621591849875,13
1621591849972,1621591850141,169
1621591850241,1621591850271,30
1621591850361,1621591850701,340
1621591850891,1621591851001,110
1621591851191,1621591851221,30
1621591851341,1621591851501,160
1621591851611,1621591851641,30
1621591851740,1621591851800,60
1621591851910,1621591852050,140
1621591852170,1621591852320,150
1621591852570,1621591852600,30
1621591852780,1621591852790,10
1621591852910,1621591853050,140
1621591853290,1621591853339,49
1621591853439,1621591853469,30
1621591853649,1621591853739,90
1621591853839,1621591854019,180
1621591854109,1621591854139,30
1621591854279,1621591854289,10
1621591854409,1621591854439,30
1621591854559,1621591854569,10
1621591854689,1621591854719,30
1621591854859,1621591854969,110
1621591855108,1621591855118,10
1621591855228,1621591855288,60
1621591855378,1621591855388,10
1621591855508,1621591855538,30
1621591855768,1621591855818,50
1621591855948,1621591856118,170
1621591856228,1621591856268,40
1621591856358,1621591856558,200
1621591856657,1621591856837,180
1621591856957,1621591856987,30
1621591857067,1621591857117,50
1621591857227,1621591857237,10
1621591857337,1621591857517,180
1621591857647,1621591857657,10
1621591857757,1621591857787,30
1621591857907,1621591858087,180
1621591858297,1621591858356,59
1621591858456,1621591858736,280
1621591858856,1621591859036,180
1621591859126,1621591859306,180
1621591859396,1621591859436,40
1621591859566,1621591859726,160
1621591859846,1621591859876,30
1621591859956,1621591860325,369
1621591860425,1621591860585,160
1621591860695,1621591860725,30
1621591860815,1621591860985,170
1621591861105,1621591861275,170
1621591861395,1621591861425,30
1621591862204,1621591862234,30
1621591862354,1621591862424,70
1621591862514,1621591862524,10
1621591862914,1621591862924,10
1621591863024,1621591863084,60
1621591863194,1621591863204,10
1621591863343,1621591863483,140
1621591863613,1621591863753,140
1621591863873,1621591864023,150
1621591864163,1621591864323,160
1621591864443,1621591864473,30
1621591864553,1621591864583,30
1621591864703,1621591864733,30
1621591864853,1621591864923,70
1621591865012,1621591865042,30
1621591865162,1621591865192,30
1621591865392,1621591865412,20
1621591865592,1621591865602,10
1621591865882,1621591865892,10
1621591865972,1621591866022,50
1621591866242,1621591866292,50
1621591866442,1621591866701,259
1621591866841,1621591866991,150
1621591867111,1621591867271,160
1621591867411,1621591867571,160
1621591867821,1621591868021,200
1621591868221,1621591868270,49
1621591868350,1621591868400,50
1621591868530,1621591868540,10
1621591868660,1621591868670,10
1621591870069,1621591870099,30
1621591870219,1621591870539,320
1621591870639,1621591870669,30
1621591870779,1621591870809,30
1621591871059,1621591871089,30
1621591871319,1621591871369,50
1621591871628,1621591871638,10
1621591871878,1621591872038,160
1621591872178,1621591872308,130
1621591872428,1621591872738,310
1621591873108,1621591873118,10
1621591873347,1621591873407,60
1621591873657,1621591873687,30
1621591873827,1621591874017,190
1621591874107,1621591874145,38
1621591874247,1621591874287,40
1621591874397,1621591874407,10
1621591874507,1621591874537,30
1621591874657,1621591874687,30
1621591874807,1621591874817,10
1621591874956,1621591875016,60
1621591875096,1621591875106,10
1621591875216,1621591875416,200
1621591875506,1621591875556,50
1621591875676,1621591875686,10
1621591875806,1621591875986,180
1621591876096,1621591876106,10
1621591876206,1621591876236,30
1621591876376,1621591876386,10
1621591876466,1621591876536,70
1621591876755,1621591876785,30
1621591877075,1621591877085,10
1621591877175,1621591877225,50
1621591877315,1621591877375,60
1621591877495,1621591877505,10
1621591877645,1621591877805,160
1621591877965,1621591878085,120
1621591878254,1621591878504,250
1621591878624,1621591878654,30
1621591878754,1621591878784,30
1621591878914,1621591878924,10
1621591879024,1621591879074,50
1621591879174,1621591879184,10
1621591879324,1621591879374,50
1621591879464,1621591879474,10
1621591879594,1621591879624,30
1621591879714,1621591879823,109
1621591879913,1621591880053,140
1621591880133,1621591880183,50
1621591880303,1621591880353,50
1621591880443,1621591880473,30
1621591880613,1621591880623,10
1621591880723,1621591881153,430
1621591881293,1621591881303,10
1621591881403,1621591881722,319
1621591881812,1621591881872,60
1621591881972,1621591882002,30
1621591882092,1621591882152,60
1621591882242,1621591882272,30
1621591882372,1621591882402,30
1621591882522,1621591882552,30
1621591882682,1621591882722,40
1621591882802,1621591882992,190
1621591883072,1621591883391,319
1621591883531,1621591883651,120
1621591883781,1621591883791,10
1621591883911,1621591883941,30
1621591884061,1621591884091,30
1621591884181,1621591884229,48
1621591884341,1621591884351,10
1621591884431,1621591884501,70
1621591884631,1621591884751,120
1621591884870,1621591884900,30
1621591884980,1621591885420,440
1621591885520,1621591885550,30
1621591885690,1621591885700,10
1621591885820,1621591885850,30
1621591885960,1621591885990,30
1621591886080,1621591886150,70
1621591886270,1621591886300,30
1621591886390,1621591886849,459
1621591886939,1621591886949,10
1621591887039,1621591887099,60
1621591887279,1621591887289,10
1621591887379,1621591887419,40
1621591887509,1621591887519,10
1621591887629,1621591887659,30
1621591887769,1621591887819,50
1621591887909,1621591887919,10
1621591888009,1621591888089,80
1621591888198,1621591888238,40
1621591888358,1621591888388,30
1621591888508,1621591888518,10
1621591888608,1621591888758,150
1621591888888,1621591888918,30
1621591888998,1621591889068,70
1621591889248,1621591889438,190
1621591889598,1621591889608,10
1621591889728,1621591889757,29
1621591890577,1621591890617,40
1621591890707,1621591890907,200
1621591891007,1621591891167,160
1621591891267,1621591891317,50
1621591891446,1621591891456,10
1621591891576,1621591891606,30
1621591891726,1621591891736,10
1621591891826,1621591891986,160
1621591892106,1621591892156,50
1621591892256,1621591892289,33
1621591892406,1621591892556,150
1621591892696,1621591892706,10
1621591892786,1621591892866,80
1621591893026,1621591893125,99
1621591893225,1621591893255,30
1621591893375,1621591893525,150
1621591893645,1621591893785,140
1621591893935,1621591894075,140
1621591894215,1621591894355,140
1621591894475,1621591894485,10
1621591894615,1621591894655,40
1621591894884,1621591895074,190
1621591895214,1621591895224,10
1621591895344,1621591895404,60
