timestamp,x,y,duration
1621586519319,935,299,599
1621586519929,948,293,1059
1621586521228,949,289,2019
1621586523507,958,284,640
1621586525056,771,1008,90
1621586525156,791,1002,80
1621586527215,1099,149,80
1621586527305,1095,169,200
1621586528064,1005,621,90
1621586528274,1165,692,140
1621586528454,1232,658,230
1621586530073,841,259,210
1621586530313,796,296,80
1621586530513,865,627,380
1621586531062,1274,418,110
1621586531262,837,317,100
1621586531562,814,265,280
1621586532422,889,302,279
1621586532781,957,168,60
1621586532921,993,165,80
1621586533171,1013,342,850
1621586534111,1028,108,259
1621586534490,1077,282,230
1621586535070,1003,603,230
1621586535330,951,621,160
1621586535510,960,582,70
1621586535650,952,564,309
1621586536139,1658,351,200
1621586536449,1141,613,170
1621586536689,933,571,710
1621586537548,1613,177,60
1621586537678,1649,114,270
1621586538018,1357,413,110
1621586538208,1010,600,140
1621586538388,933,593,200
1621586538598,939,564,190
1621586539038,939,562,529
1621586539617,912,720,270
1621586539927,910,628,340
1621586540597,1052,630,110
1621586540817,1482,502,109
1621586540966,1507,405,210
1621586541356,1050,654,260
1621586541706,970,311,220
1621586541976,949,262,150
1621586542406,1687,117,90
1621586542685,1381,403,70
1621586542835,987,668,120
1621586543005,874,621,120
1621586543165,867,544,520
1621586543965,869,272,200
1621586544364,1618,256,100
1621586544484,1632,281,100
1621586544684,1084,654,250
1621586545004,908,586,90
1621586546663,801,638,130
1621586546863,778,345,290
1621586547173,746,300,220
1621586547443,799,224,359
1621586547832,761,216,60
1621586548072,1282,231,80
1621586548342,1281,260,140
1621586548542,1461,210,80
1621586549032,1054,725,90
1621586549491,892,638,150
1621586549661,907,630,1239
1621586550920,919,631,290
1621586551260,807,640,180
1621586551520,906,629,380
1621586552330,730,633,289
1621586552669,891,632,150
1621586552969,1099,877,70
1621586553089,1046,797,270
1621586553439,1095,707,130
1621586553609,1091,747,230
1621586553939,1235,524,70
1621586554168,1292,516,149
1621586554358,1215,539,540
1621586555008,1376,588,90
1621586555228,1366,557,90
1621586555678,891,642,90
1621586555778,888,619,139
1621586556087,920,765,190
1621586556327,934,737,110
1621586556497,923,651,410
1621586556947,848,675,230
1621586557227,953,687,230
1621586557646,981,616,90
1621586557886,1203,554,130
1621586558386,968,254,190
1621586558666,947,164,130
1621586558946,855,511,90
1621586559625,928,327,80
1621586561914,969,431,100
1621586562224,917,412,60
1621586562463,860,366,60
1621586562563,936,340,260
1621586562893,699,417,90
1621586563003,714,394,90
1621586564532,1113,344,130
1621586564862,1181,298,80
1621586565102,1350,285,90
1621586565232,1303,348,240
1621586565492,1281,372,90
1621586565752,1248,521,79
1621586565851,1242,557,80
1621586566481,896,289,80
1621586566721,1239,575,100
1621586566831,1237,553,70
1621586566981,1496,462,60
1621586567171,1116,485,90
1621586567281,1049,475,509
1621586568700,462,236,100
1621586569469,982,622,140
1621586569649,830,465,160
1621586570079,1259,612,150
1621586570409,1114,569,479
1621586570948,1204,530,130
1621586571178,1029,230,140
1621586571468,1148,247,70
1621586571738,1210,543,430
1621586572218,1133,638,249
1621586572487,1142,623,90
1621586572627,1229,557,280
1621586573097,1199,570,200
1621586574466,241,452,90
1621586574586,201,431,80
1621586574706,73,428,390
1621586575196,789,541,100
1621586575366,964,608,110
1621586575506,984,618,239
1621586575795,986,484,210
1621586576055,989,599,320
1621586576405,966,550,90
1621586576775,184,290,70
1621586576885,217,404,170
1621586577065,212,380,70
1621586577145,170,380,180
1621586577654,1392,632,80
1621586577754,1387,613,60
1621586578024,1340,650,100
1621586578364,1236,295,230
1621586578674,1308,645,359
1621586579603,92,346,200
1621586579813,102,369,110
1621586580513,1313,640,60
1621586580593,1200,635,609
1621586581232,1133,675,140
1621586581392,1135,653,130
1621586581642,962,309,90
1621586582112,754,514,190
1621586582371,776,448,190
1621586582571,758,460,120
1621586582921,1386,664,60
1621586583071,1353,654,90
1621586583181,1281,639,160
1621586583551,1118,606,140
1621586583721,1132,619,409
1621586584180,1086,621,140
1621586584340,1062,637,100
1621586584490,1127,657,90
1621586584870,848,361,70
1621586584950,874,360,110
1621586585769,585,108,110
1621586586029,618,206,70
1621586586109,564,231,360
1621586586699,468,242,350
1621586587059,495,252,60
1621586587149,452,274,179
1621586588058,1107,788,60
1621586588148,1081,790,110
1621586588658,164,18,110
1621586589187,532,369,80
1621586589377,514,250,70
1621586589867,624,306,60
1621586589947,638,327,70
1621586590397,1044,597,60
1621586590676,1051,847,60
1621586590756,1046,835,290
1621586591156,920,755,90
1621586591296,1011,785,90
1621586592066,810,848,150
1621586592315,824,838,60
1621586593375,1350,115,390
1621586593825,1382,251,80
1621586593934,1477,230,70
1621586594064,1406,166,60
1621586594164,1374,153,210
1621586594504,1445,223,60
1621586594684,1480,235,100
1621586595184,1485,259,379
1621586595613,1569,196,100
1621586595903,1446,299,260
1621586596573,1351,554,100
1621586596693,1308,543,60
1621586597003,1144,591,80
1621586597123,1144,568,189
1621586597612,1124,316,100
1621586599031,1424,143,60
1621586599121,1342,147,220
1621586599691,1394,174,70
1621586599771,1409,165,80
1621586599871,1477,143,330
1621586601620,963,385,160
1621586601820,1018,373,100
1621586602130,677,353,69
1621586602419,1086,551,70
1621586602589,1028,614,90
1621586603219,926,814,70
1621586603299,915,823,110
1621586603439,894,863,100
1621586604138,1036,744,190
1621586605198,918,760,60
1621586605318,938,751,209
1621586605617,975,579,140
1621586606337,1089,875,100
1621586606467,1046,827,110
1621586606597,1010,810,60
1621586606677,1022,816,459
1621586607176,1039,801,60
1621586607266,1049,784,170
1621586607456,1077,803,60
1621586607556,1080,822,80
1621586607736,1120,866,90
1621586607846,1112,827,60
1621586608036,1017,818,130
1621586608416,1031,820,270
1621586608736,1121,730,79
1621586609035,1068,799,80
1621586609135,1010,804,190
1621586609405,930,763,60
1621586609485,922,770,70
1621586609795,863,288,130
1621586609955,856,255,60
1621586610215,806,419,120
1621586610564,992,889,170
1621586611004,920,603,110
1621586611144,931,618,60
1621586611344,933,805,180
1621586611854,1069,199,80
1621586611944,1076,226,279
1621586612453,1018,748,160
1621586613473,991,750,100
1621586613593,1001,767,219
1621586613842,992,772,60
1621586613952,959,772,190
1621586614152,978,742,130
1621586614422,899,725,80
1621586615062,755,356,150
1621586615272,906,490,269
1621586615561,931,581,370
1621586616101,912,771,210
1621586616931,999,795,259
1621586617240,1009,832,70
1621586617750,1020,849,70
1621586617980,944,810,300
1621586618350,886,779,160
1621586618560,871,780,70
1621586618700,1053,539,309
1621586619219,855,677,130
1621586619789,1430,127,60
1621586620019,898,413,60
1621586620468,986,788,80
