timestamp,x,y,duration
1622101949499,1020,226,350
1622101949929,1017,225,599
1622101950608,1012,236,190
1622101950908,1009,244,170
1622101951158,1010,257,909
1622101952407,1005,237,590
1622101953077,1000,254,70
1622101953397,1002,255,389
1622101954346,1080,86,170
1622101954706,988,271,210
1622101954996,998,288,349
1622101955655,987,276,520
1622101956255,990,284,889
1622101957224,985,283,340
1622101957624,990,293,200
1622101958054,980,304,190
1622101958324,983,306,359
1622101958903,999,276,610
1622101959573,1007,260,490
1622101960123,1004,271,100
1622101960552,1002,265,210
1622101960862,987,274,190
1622101961112,985,292,200
1622101961392,983,288,220
1622101961692,983,282,339
1622101962111,981,286,480
1622101963091,987,313,70
1622101963251,986,310,80
1622101963391,998,310,120
1622101963570,1005,265,259
1622101964090,994,272,90
1622101964290,982,291,410
1622101964830,994,271,150
1622101965040,988,283,289
1622101965359,1009,259,140
1622101965529,959,248,140
1622101965889,989,277,610
1622101966559,989,292,220
1622101966789,989,261,129
1622101966938,986,282,380
1622101967868,986,271,769
1622101968697,991,253,80
1622101968787,988,272,180
1622101968977,991,246,220
1622101969407,986,260,240
1622101969707,981,274,90
1622101970157,1002,255,449
1622101970706,997,264,60
1622101970826,991,255,170
1622101971016,988,270,300
1622101971376,985,256,609
1622101971995,981,278,110
1622101972275,987,268,620
1622101972955,986,286,490
1622101973524,989,265,70
1622101973694,1000,254,200
1622101973974,1003,258,210
1622101974814,995,253,140
1622101975074,985,299,169
1622101975343,1002,258,490
1622101985527,923,226,80
1622101985707,900,218,70
1622101985827,888,236,60
1622101985977,911,195,170
1622101986507,971,128,90
1622101986657,977,138,179
1622101986966,967,178,210
1622101987266,976,134,250
1622101987566,1028,133,310
1622101987956,993,110,210
1622101989065,1008,259,70
1622101989215,1092,226,80
1622101989525,1134,51,160
1622101989775,1162,77,80
1622101990234,1199,275,250
1622101990974,1032,264,140
1622101991504,774,45,150
1622101991793,1024,100,110
1622101992203,1068,183,510
1622101993003,811,91,60
1622101993462,1049,132,270
1622101994982,1065,295,109
1622101995411,1003,272,180
1622101995921,805,107,160
1622101996591,1049,132,199
1622101997280,1120,269,70
1622101998909,970,88,140
1622101999109,956,71,90
1622102003736,996,249,140
1622102004006,1187,184,100
1622102004316,985,230,130
1622102004506,1014,224,120
1622102004646,1029,249,90
1622102005115,1017,361,60
1622102005255,1012,374,170
1622102005505,1077,320,70
1622102005955,1083,437,100
1622102006065,1075,432,210
1622102006345,1218,507,190
1622102006585,1126,506,109
1622102006904,1140,420,90
1622102007054,1093,430,180
1622102007364,1030,423,110
1622102007534,1006,361,180
1622102007774,1013,348,60
1622102008044,1016,395,70
1622102008234,900,440,159
1622102008463,878,439,110
1622102008653,986,378,160
1622102008873,1001,401,200
1622102009163,1006,409,200
1622102009443,973,394,180
1622102010032,851,447,160
1622102010242,998,381,350
1622102010742,760,240,90
1622102011052,883,113,80
1622102011831,1118,68,350
1622102012861,897,160,310
1622102013201,842,194,269
1622102013530,853,208,70
1622102013660,866,210,220
1622102013940,875,218,150
1622102014240,986,231,120
1622102015349,956,179,60
1622102020156,1257,50,120
1622102024254,589,301,150
1622102024484,577,229,160
1622102025833,1000,273,110
1622102026053,1068,203,140
1622102026393,959,202,169
1622102027312,1050,466,90
1622102027462,1062,443,130
1622102027602,1081,445,60
1622102028561,938,64,60
1622102032599,922,791,90
1622102035317,1236,728,100
1622102035627,1143,628,110
1622102037576,846,466,170
1622102037886,790,495,60
1622102039455,1019,487,60
1622102040044,1050,136,100
1622102040204,1069,150,110
1622102040494,1100,154,170
1622102040724,1096,166,210
1622102041314,1087,290,189
1622102041523,1071,288,100
1622102041713,1066,300,200
1622102042263,1106,292,190
1622102042713,1045,324,100
1622102044312,1124,174,230
1622102047610,1190,312,60
1622102049209,977,370,100
1622102050398,1074,497,90
1622102051657,1007,479,180
1622102051917,1026,576,90
1622102052087,1062,621,60
1622102054246,1129,503,180
1622102054506,1132,524,149
1622102054805,1109,557,190
1622102055315,1094,828,90
1622102059283,989,687,120
1622102059522,949,724,60
1622102059652,973,724,60
1622102059772,992,719,90
1622102059922,991,731,230
1622102060642,1018,523,80
1622102060822,1053,506,170
1622102061201,1125,608,100
1622102061321,1090,633,100
1622102061521,1029,675,70
1622102063370,1050,882,60
1622102063580,1043,808,100
1622102063880,1094,650,60
1622102064589,1010,905,90
1622102067038,1191,159,80
1622102067178,1173,175,60
1622102067428,1012,218,110
1622102067618,996,260,60
1622102068047,826,342,90
1622102068467,738,360,170
1622102070256,1210,314,70
1622102070406,1210,307,60
1622102070666,1107,242,70
1622102070796,1113,194,180
1622102071355,800,813,70
1622102071535,826,745,150
1622102072525,869,726,100
1622102072804,727,697,70
1622102073644,1301,187,60
1622102075083,944,773,200
1622102076352,1065,856,140
1622102076792,1049,748,120
1622102077422,982,752,60
1622102077562,1006,733,60
1622102078091,1081,630,70
1622102078301,1089,564,190
1622102078681,1034,507,170
1622102080610,873,80,170
1622102081169,899,146,70
1622102081339,896,143,80
1622102081619,713,155,70
1622102082189,1011,106,90
1622102082658,880,179,150
1622102083048,977,94,90
1622102083208,893,128,220
1622102083698,1151,45,130
1622102084557,1053,72,100
1622102085247,846,99,90
1622102086066,1063,169,160
1622102086456,853,164,60
1622102086866,987,259,80
1622102087076,798,225,70
1622102087166,805,207,80
1622102089135,938,384,70
1622102089354,952,282,150
1622102090154,1328,28,60
1622102090294,1362,28,120
