timestamp,x,y,duration
1621841985747,882,242,250
1621841986197,955,19,230
1621841986497,825,368,140
1621841986917,935,370,180
1621841987187,1027,205,329
1621841987546,1038,218,250
1621841987856,911,318,80
1621841988636,959,465,90
1621841990994,1057,160,150
1621841993533,887,84,90
1621841993962,949,237,140
1621841994282,916,194,470
1621841994782,847,216,300
1621841995092,836,187,309
1621841995411,833,136,120
1621841995581,827,224,150
1621841995781,826,122,240
1621841996031,883,159,740
1621841996931,911,197,449
1621841997430,940,287,160
1621841997610,947,260,70
1621841997700,945,299,140
1621841997850,959,325,90
1621841998140,728,232,190
1621841998380,752,237,309
1621841998699,798,248,150
1621841999239,1153,264,80
1621841999399,1086,236,190
1621842000268,759,46,60
1621842000788,898,2,80
1621842000948,972,275,320
1621842001328,1037,359,80
1621842001867,1126,215,60
1621842002897,899,235,120
1621842003157,1203,337,60
1621842003666,1103,435,60
1621842003916,1068,350,100
1621842004126,1068,293,80
1621842004216,1058,306,90
1621842004576,1033,308,180
1621842004956,844,298,109
1621842005195,922,164,80
1621842005335,688,236,120
1621842005475,712,198,120
1621842005605,765,182,260
1621842005875,787,194,110
1621842006684,1071,291,400
1621842008034,846,110,80
1621842009173,1249,15,60
1621842009343,1207,22,90
1621842010042,942,243,240
1621842010302,944,224,150
1621842010902,817,103,110
1621842011022,850,146,150
1621842011721,1137,207,120
1621842012051,752,242,90
1621842012221,848,234,190
1621842012511,841,527,190
1621842012791,1107,361,110
1621842012951,1136,309,179
1621842013150,1116,284,70
1621842013390,927,260,180
1621842013620,1145,288,130
1621842013770,1125,297,60
1621842013940,1109,372,150
1621842014240,1095,276,180
1621842014660,822,350,489
1621842015209,711,270,530
1621842015749,727,269,90
1621842016968,1015,210,210
1621842017538,1198,247,80
1621842017688,1162,173,179
1621842018157,764,149,70
1621842018267,786,144,60
1621842018467,891,283,110
1621842018977,1008,167,150
1621842019167,1104,190,170
1621842019766,1151,195,410
1621842020266,810,236,210
1621842020706,894,258,100
1621842020866,719,118,569
1621842021445,692,129,120
1621842021665,754,82,140
1621842021815,739,65,80
1621842021915,745,84,70
1621842022025,696,69,160
1621842022395,680,255,110
1621842022724,781,11,70
1621842022864,837,97,180
1621842023104,920,86,240
1621842023884,1028,111,250
1621842024413,894,269,100
1621842024703,860,249,240
1621842025053,773,204,80
1621842025223,771,84,250
1621842025513,636,9,60
1621842031789,1057,207,80
1621842032319,1003,265,99
1621842032938,898,498,140
1621842033198,984,437,240
1621842033698,882,558,60
1621842034007,1037,276,60
1621842034467,934,385,70
1621842034557,950,384,150
1621842034907,1065,272,330
1621842035267,1115,231,220
1621842035986,1029,191,460
1621842037036,1032,100,289
1621842037635,1221,172,160
1621842038065,761,343,80
1621842038595,929,813,70
1621842039444,1196,308,110
1621842040853,1054,668,90
1621842041483,1192,83,340
1621842042032,706,287,109
1621842043931,1133,86,80
1621842044021,1101,91,420
1621842044861,1135,10,200
1621842045270,1248,47,720
1621842046200,754,191,210
1621842046420,748,204,90
1621842046520,715,210,140
1621842046680,663,232,279
1621842046969,681,211,100
1621842047329,1339,68,60
1621842047439,1287,112,100
1621842047559,1262,142,250
1621842047819,1302,152,180
1621842048119,1258,91,180
1621842048758,1169,72,90
1621842048928,1185,49,60
1621842049028,1197,58,110
1621842049618,1150,138,170
1621842049848,1158,57,70
1621842050087,1228,126,89
1621842050187,1255,100,70
1621842050367,1249,65,130
1621842050857,1166,141,140
1621842051007,1155,126,110
1621842051597,1175,174,159
1621842051826,1234,436,200
1621842053315,1188,324,300
1621842054385,1100,159,430
1621842055024,1209,18,160
1621842055554,851,299,230
1621842056583,771,702,230
1621842057553,1434,310,100
1621842058172,1110,426,100
1621842058422,1139,202,110
1621842058542,1155,194,90
1621842058642,1162,176,130
1621842058822,1140,160,60
1621842059272,1030,190,250
1621842059532,1026,140,299
1621842059861,1099,68,110
1621842061330,1178,9,110
1621842061470,1128,36,310
