timestamp,x,y,duration
1621845056366,926,254,90
1621845056526,978,303,190
1621845056836,907,396,80
1621845057086,910,675,110
1621845057206,947,644,100
1621845057506,1265,440,70
1621845057925,1197,199,60
1621845058445,994,125,200
1621845059245,841,2,60
1621845060614,1273,240,70
1621845061753,964,181,60
1621845061923,885,189,300
1621845063182,748,102,60
1621845063502,724,86,140
1621845063882,980,152,60
1621845064012,978,177,70
1621845065251,879,324,70
1621845065391,913,278,90
1621845065541,935,267,140
1621845065691,922,249,90
1621845065941,899,216,90
1621845066110,858,260,190
1621845066420,940,244,160
1621845066660,962,230,60
1621845066950,967,319,60
1621845067070,957,310,210
1621845067380,928,266,180
1621845067620,914,235,209
1621845067939,956,257,200
1621845068179,947,203,100
1621845068399,921,211,130
1621845068569,883,287,140
1621845068849,853,269,200
1621845069109,1052,245,130
1621845069528,1178,211,70
1621845069988,761,195,100
1621845070698,936,84,80
1621845070928,811,97,159
1621845071117,854,97,140
1621845071287,827,148,270
1621845071867,923,227,150
1621845072077,916,218,70
1621845072227,916,214,200
1621845072487,887,193,479
1621845073026,860,159,190
1621845073706,945,308,140
1621845073906,902,337,200
1621845074176,893,300,149
1621845074725,1079,527,80
1621845075065,926,501,220
1621845075575,779,285,180
1621845075815,826,315,399
1621845076274,842,300,210
1621845076544,833,310,200
1621845077104,786,109,230
1621845077444,781,247,139
1621845077593,812,224,160
1621845077843,871,180,170
1621845078073,932,177,170
1621845078583,739,116,70
1621845078753,767,127,210
1621845079472,984,184,120
1621845079622,915,189,200
1621845080042,837,202,140
1621845080472,1253,201,60
1621845080642,1336,145,159
1621845081181,1507,193,60
1621845081961,816,158,519
1621845082560,883,179,190
1621845082820,848,321,190
1621845083140,985,160,260
1621845083580,1205,333,180
1621845083870,1145,300,140
1621845084239,950,209,100
1621845084359,929,201,90
1621845084509,917,198,200
1621845084769,931,184,340
1621845085189,920,148,100
1621845085309,897,142,100
1621845085469,887,148,70
1621845085758,847,111,70
1621845085888,847,97,340
1621845086288,874,77,240
1621845086638,977,87,170
1621845086908,927,86,80
1621845087128,892,108,150
1621845087337,864,143,410
1621845090126,1315,56,220
1621845090366,1298,57,130
1621845090546,1329,23,129
1621845090935,1242,78,290
1621845091265,1212,78,110
1621845091625,877,17,170
1621845092954,713,29,70
1621845093464,694,5,70
1621845093634,709,7,60
1621845093714,735,36,90
1621845093874,771,21,99
1621845093983,768,39,280
1621845094493,1193,142,70
1621845094583,1159,179,60
1621845094703,1142,181,80
1621845094943,1057,98,100
1621845095612,893,219,70
1621845095792,953,267,80
1621845096052,1007,261,150
1621845096762,993,249,459
1621845097291,1007,240,170
1621845097481,972,223,290
1621845097851,960,219,70
1621845098131,983,284,130
1621845098451,871,195,60
1621845098551,814,173,319
1621845098960,743,106,90
1621845099190,651,104,70
1621845099400,609,100,130
1621845099600,481,237,100
1621845099910,563,54,140
1621845100200,574,9,60
1621845100360,582,6,189
1621845100609,592,36,230
1621845100919,594,55,70
1621845101179,642,140,340
1621845101879,1290,114,190
1621845102578,1500,47,90
1621845102728,1434,76,80
1621845103098,1120,96,100
1621845103368,1033,91,729
1621845104227,1337,164,250
1621845104527,1382,180,130
1621845105506,536,374,140
1621845105666,548,322,280
1621845105986,604,322,310
1621845106896,1126,189,479
1621845107425,1233,235,190
1621845108125,1208,99,100
1621845109654,1134,70,190
1621845109964,1083,133,369
1621845110343,1073,157,90
1621845110513,997,173,200
1621845110793,1047,181,350
1621845111493,1157,303,100
1621845112542,1117,235,230
1621845113262,1244,135,90
1621845113851,1082,321,160
1621845114101,1048,336,80
1621845114491,937,415,70
1621845115790,989,499,70
1621845115940,890,620,210
1621845116520,913,510,180
1621845116829,927,600,100
1621845116999,915,536,250
1621845117349,1110,413,130
1621845117549,1059,394,120
1621845117829,992,291,60
1621845118578,1257,216,80
1621845118668,1213,238,190
1621845118868,1114,240,910
1621845120048,1183,197,129
1621845120237,1169,193,70
1621845120367,1147,203,230
1621845120657,1133,231,200
1621845121697,980,392,309
1621845122446,1094,206,70
1621845122596,1046,199,150
1621845122876,1115,201,190
1621845123086,1118,180,80
1621845123905,1127,116,150
1621845124165,720,203,80
1621845124415,1155,164,80
1621845124585,1112,115,190
1621845124855,1092,111,80
1621845125614,1202,292,150
1621845126134,1206,232,140
1621845126444,1127,109,140
1621845126793,944,327,90
1621845126993,1023,361,180
1621845127673,1075,213,190
1621845127953,1079,218,210
1621845128183,1083,151,809
1621845129052,1145,169,180
1621845129352,1160,191,110
1621845130011,701,114,130
1621845130291,799,40,290
1621845130601,782,69,190
1621845130901,779,104,70
1621845130991,737,102,599
1621845131650,726,76,210
1621845131920,761,72,330
1621845132260,751,83,150
1621845132470,719,75,150
1621845132630,702,99,190
1621845132900,707,96,120
1621845133869,1248,157,60
1621845134019,1366,150,100
1621845134569,1001,377,70
1621845134719,1226,338,169
1621845134918,1213,300,110
1621845135468,953,398,130
1621845135858,1309,146,70
1621845136028,1273,176,60
1621845136178,1192,229,100
1621845136338,1166,204,80
1621845137227,1176,313,60
1621845137697,1731,293,90
1621845138406,1274,89,70
1621845138486,1252,72,160
1621845138666,1235,99,130
1621845139046,1182,30,230
1621845139406,1261,62,90
1621845139516,1275,37,239
1621845139975,1261,121,90
1621845140185,1291,116,70
1621845140265,1321,98,340
1621845140885,1237,135,70
1621845141135,1283,66,200
1621845141774,1009,284,130
1621845141914,1052,300,70
1621845142044,1114,284,60
1621845142784,1004,305,80
1621845143493,882,182,60
1621845143603,906,121,210
1621845144003,871,158,230
1621845144293,834,140,270
1621845144602,897,111,210
1621845144872,872,102,100
1621845145552,844,211,100
1621845145702,805,191,60
1621845145822,775,183,210
1621845146092,762,195,160
1621845146261,772,217,179
1621845146501,687,229,330
1621845146891,673,204,160
1621845147071,694,229,60
1621845147191,694,264,180
1621845147411,758,211,150
1621845147631,731,156,140
1621845147900,752,129,89
1621845148050,795,157,220
1621845148450,681,147,60
1621845148600,770,119,480
1621845149140,755,118,639
1621845149839,744,151,470
1621845150389,745,156,210
1621845150669,805,188,210
1621845150939,818,184,60
1621845151928,1171,263,160
1621845152188,1139,390,280
1621845152518,1050,333,120
1621845153177,1039,235,120
1621845153627,1287,270,230
1621845154247,759,139,60
1621845154387,763,133,219
1621845154716,699,107,70
1621845154866,696,97,180
1621845155156,873,79,290
1621845155506,896,94,110
1621845155676,905,100,80
1621845155836,900,73,209
1621845156285,340,48,160
1621845157035,1042,235,300
1621845158704,974,435,90
1621845158874,1033,443,170
1621845159214,982,522,80
1621845159703,1046,706,90
1621845159873,1052,682,170
1621845160103,1041,685,140
1621845160383,1004,599,290
1621845160703,1013,627,469
1621845161242,1002,619,520
1621845161822,1016,611,60
1621845161942,1025,589,70
1621845162032,1037,540,410
1621845162661,1034,484,140
1621845162821,1000,463,90
1621845162961,1016,357,90
1621845163481,957,600,110
1621845163641,945,665,80
1621845163791,923,638,150
1621845163991,950,733,120
1621845164121,927,716,139
1621845164340,920,688,180
1621845164620,955,618,180
1621845164910,916,642,70
1621845165020,993,737,210
1621845165330,943,737,220
1621845165590,993,762,289
1621845165919,1046,744,250
1621845166389,1120,657,220
1621845166649,1066,651,80
1621845166789,1055,659,210
1621845167069,1006,623,100
1621845167179,1008,590,120
1621845167389,1180,595,110
1621845167768,980,639,230
1621845168058,982,650,90
1621845168218,959,764,430
1621845168678,1035,740,170
1621845168908,1028,731,220
1621845169187,1025,706,60
1621845169257,1013,698,150
1621845169467,1015,709,260
1621845169777,946,728,310
1621845170257,1039,705,90
1621845170457,1015,794,60
1621845170527,1008,761,249
1621845170906,939,662,150
1621845171236,1015,649,150
1621845171526,971,526,110
1621845173635,972,623,60
1621845174274,808,364,80
1621845174584,902,469,90
1621845175973,1043,613,90
1621845176133,1003,527,150
1621845177073,999,655,100
1621845177332,1039,634,290
1621845177972,982,799,70
1621845178662,971,798,130
1621845178892,1003,804,139
1621845179141,1024,774,90
1621845179301,1163,779,170
1621845179871,852,667,160
1621845180161,917,636,60
1621845180900,1021,266,120
1621845181340,849,304,110
1621845181540,1012,276,220
1621845181860,1034,356,230
1621845182100,1029,318,229
1621845182389,1036,296,70
1621845182699,952,270,190
1621845182969,1049,253,140
1621845183129,1061,254,380
1621845183519,1062,266,699
1621845184398,1025,154,140
1621845184648,1099,183,160
1621845185018,1076,246,470
1621845185607,1108,256,220
1621845185907,1132,237,200
1621845186427,732,90,100
1621845186587,743,73,140
1621845186937,591,4,100
1621845188606,216,384,140
1621845195152,1574,244,60
1621845196521,1018,533,60
1621845196641,1020,511,200
1621845196901,1008,515,489
1621845198999,1061,152,340
1621845199909,1092,214,160
1621845200238,1080,232,370
1621845202907,780,235,150
1621845203117,772,224,80
1621845203337,1161,110,269
1621845203636,1091,116,420
1621845204406,853,182,100
1621845204686,478,228,70
1621845205655,1204,28,180
1621845208144,978,311,80
1621845208284,996,332,239
1621845209523,912,559,360
1621845209943,950,607,99
1621845210122,974,592,100
1621845210522,974,394,220
1621845210802,966,370,150
1621845210972,951,308,240
1621845211232,939,262,60
1621845211372,957,300,100
1621845212141,1467,144,140
1621845213510,1003,420,260
1621845214410,1097,200,300
1621845214999,1161,213,60
1621845215149,1105,193,100
1621845215559,1002,244,130
1621845215859,1158,193,180
1621845216169,1179,238,60
1621845216938,1021,300,370
1621845217678,888,196,160
1621845217988,1037,381,70
1621845218827,965,144,310
1621845220086,1045,294,140
1621845220856,931,348,190
1621845221126,1020,367,60
1621845221386,957,405,89
1621845221805,1035,101,90
1621845222255,680,146,60
1621845222405,730,179,90
1621845223484,1019,619,120
1621845223684,1062,694,440
1621845224154,1064,742,240
1621845224404,1035,715,409
1621845224923,1017,681,480
1621845225473,1006,624,160
1621845225663,1010,539,200
1621845225923,1020,541,90
1621845226502,953,10,220
1621845226822,1018,235,170
1621845227132,875,340,230
1621845227712,1262,185,250
1621845228011,1206,136,260
1621845228371,1204,155,470
1621845228901,1187,164,290
1621845230140,1016,757,70
1621845230430,961,830,150
1621845230600,995,832,190
1621845230920,996,827,60
1621845231060,1017,845,60
1621845231220,989,784,109
1621845231439,959,666,70
1621845231869,925,317,210
1621845232139,927,298,220
1621845232439,942,279,60
1621845232519,962,267,290
1621845233018,962,253,620
1621845233718,960,297,60
1621845233878,976,322,80
1621845233968,977,342,70
1621845234058,957,361,80
1621845234697,1095,199,140
1621845235227,972,266,80
1621845235377,968,237,120
1621845236196,1009,235,180
1621845236396,1019,236,200
1621845236756,967,378,90
1621845236906,980,393,200
1621845237326,994,255,60
1621845237875,969,317,80
1621845238155,775,347,70
1621845238535,983,276,70
1621845239265,1063,245,239
1621845239574,1001,395,60
1621845239674,990,444,80
1621845240144,958,402,150
1621845240484,1088,225,120
1621845240684,1031,251,150
1621845241053,827,230,220
1621845241403,1142,90,190
1621845241713,1102,174,150
1621845241923,1085,152,160
1621845242762,1111,588,70
1621845242962,1102,616,70
1621845243222,986,644,200
1621845243472,1069,608,80
1621845243982,1036,574,280
1621845244481,860,212,210
1621845244751,883,223,90
1621845244901,802,202,220
1621845245181,814,230,190
1621845245471,1111,215,140
1621845246150,1124,806,60
1621845246320,1126,762,80
1621845246520,1046,788,110
1621845246730,1016,710,80
1621845246870,1005,708,60
1621845247090,1092,683,100
1621845247729,1209,649,190
1621845248339,1075,535,380
1621845249578,833,48,210
1621845249938,1072,193,190
1621845250648,1215,83,170
1621845250897,1196,96,60
1621845252277,1089,636,70
1621845252447,1132,615,219
1621845252756,1167,626,170
1621845254135,494,58,100
1621845254255,512,66,400
1621845256074,882,303,90
1621845257084,174,246,80
1621845257224,147,253,70
1621845257354,112,238,69
1621845257963,1061,273,60
1621845258153,691,52,340
1621845258543,527,66,190
1621845258743,504,10,60
1621845261261,1055,425,90
1621845261531,1109,459,100
1621845261921,1070,38,250
1621845262300,1083,121,70
1621845262870,1022,652,160
1621845263180,1057,490,60
1621845264949,956,664,60
1621845265099,1002,726,150
1621845265588,905,400,140
1621845265788,907,376,180
1621845266088,891,421,100
1621845266438,732,292,100
1621845267347,1011,771,200
1621845267647,981,707,110
1621845268087,784,465,220
1621845268387,777,448,80
1621845269706,1130,648,150
1621845269936,1174,662,190
1621845271055,1000,402,60
1621845271215,949,458,190
1621845271465,925,489,60
1621845271555,859,472,60
1621845271915,889,444,169
1621845272164,911,445,80
1621845272604,1010,507,160
1621845272904,1155,550,100
1621845273264,1034,509,180
1621845273454,1067,497,150
1621845273664,1078,506,89
1621845273903,971,462,320
1621845274503,1086,454,60
1621845274883,1148,526,280
1621845275183,1122,508,249
1621845275472,1018,567,70
1621845275602,1038,571,70
1621845275742,910,572,90
1621845276002,936,661,180
1621845276302,967,494,90
1621845276432,975,460,160
1621845277011,865,618,180
1621845277291,861,470,110
1621845277571,1042,424,140
1621845277761,892,460,130
1621845278401,1063,643,190
1621845278650,1018,361,120
1621845279230,892,475,280
1621845279560,1048,506,180
1621845279750,1030,521,110
