timestamp,x,y,duration
1621928820361,1114,287,70
1621928820441,1138,297,130
1621928820661,1069,255,60
1621928820911,1096,272,159
1621928821840,1172,554,90
1621928821950,1176,518,80
1621928822080,1198,451,200
1621928822520,1293,443,239
1621928822809,1376,527,250
1621928824209,992,302,119
1621928824338,987,289,80
1621928824528,1036,251,90
1621928824858,1050,206,110
1621928824978,1043,198,450
1621928825448,1068,191,70
1621928825548,1027,224,90
1621928825798,1018,163,110
1621928825958,1024,146,229
1621928826777,1050,166,110
1621928826967,1033,165,70
1621928827047,1031,186,140
1621928827327,974,278,120
1621928827467,972,250,150
1621928827666,934,273,149
1621928828066,1192,268,60
1621928828746,1062,405,430
1621928829395,862,257,130
1621928829865,1032,193,190
1621928831834,1266,343,70
1621928832324,1133,301,110
1621928832793,1073,293,120
1621928833033,1123,312,100
1621928834133,1116,531,140
1621928834313,1061,421,249
1621928834572,1078,392,120
1621928834752,906,427,230
1621928835462,1192,310,70
1621928835642,1174,311,60
1621928835971,907,194,99
1621928837441,1223,302,110
1621928839180,951,252,149
1621928839589,1195,344,130
1621928848594,822,347,60
1621928849783,962,285,260
1621928850143,1029,278,110
1621928850463,1121,461,110
1621928850623,1078,383,80
1621928851182,993,320,140
1621928851432,987,341,150
1621928852142,982,440,90
1621928852601,1244,376,90
1621928852831,1237,377,70
1621928852951,1270,481,60
1621928854191,779,227,99
1621928854370,1307,610,60
1621928855230,754,64,140
1621928858988,890,117,60
1621928863245,792,8,60
1621928864384,912,34,60
1621928865664,819,577,70
1621928866633,751,232,130
1621928868522,862,121,80
1621928870491,1469,628,80
1621928871090,1043,478,110
1621928871440,1198,378,60
1621928872090,1016,479,150
1621928873489,847,633,130
1621928875018,1149,422,110
1621928875178,1140,469,90
1621928877696,894,260,60
1621928878216,844,352,90
1621928878526,872,355,60
1621928879955,1090,614,80
1621928881354,914,492,70
1621928882204,989,460,100
1621928882314,972,476,60
1621928882573,812,448,130
1621928883153,723,411,100
1621928883653,1236,262,60
1621928883863,1210,259,80
1621928884013,1180,175,60
1621928884912,817,539,140
1621928885602,1356,189,60
1621928887381,707,628,70
1621928887610,741,517,100
1621928887750,723,591,80
1621928887880,736,534,90
1621928888020,815,416,60
1621928888840,1183,576,180
1621928889239,1436,194,80
1621928890579,842,406,60
1621928890838,1070,467,190
1621928891378,844,400,120
1621928891618,769,510,110
1621928893337,778,485,70
1621928893847,774,449,200
1621928894057,771,466,79
1621928894336,714,472,90
1621928895006,1383,368,110
1621928895216,1351,338,60
1621928897744,820,576,120
1621928897884,812,547,60
1621928898094,1074,458,100
1621928898344,768,496,140
1621928900523,1343,273,90
1621928900643,1288,303,199
1621928901032,1281,287,70
1621928901292,1103,583,70
1621928901382,1129,592,70
1621928901852,951,592,190
1621928902581,1012,490,260
1621928902861,996,495,60
1621928902931,983,499,60
1621928903861,1065,526,259
1621928905120,1296,400,80
1621928905520,1240,365,90
1621928905779,1275,396,280
1621928906149,1335,383,100
1621928906269,1309,354,260
1621928907319,864,536,199
1621928908008,742,609,70
1621928908618,579,408,100
1621928908738,586,437,130
1621928909917,966,216,130
