timestamp,x,y,duration
1621844310626,955,318,780
1621844311436,906,327,979
1621844312545,952,288,530
1621844313085,1001,308,80
1621844313355,1116,384,60
1621844313525,1076,462,300
1621844313835,1103,502,139
1621844315244,1001,443,60
1621844316103,1110,510,100
1621844316403,1222,461,200
1621844316633,1183,410,110
1621844316863,674,363,200
1621844317103,633,343,99
1621844317412,724,335,90
1621844317962,711,227,60
1621844318052,772,198,100
1621844318162,791,203,350
1621844318672,1044,498,219
1621844319161,936,211,410
1621844319581,918,244,80
1621844319731,634,276,80
1621844319831,692,285,140
1621844320151,804,228,210
1621844320560,882,258,70
1621844320660,921,231,220
1621844321050,643,251,120
1621844321250,776,231,60
1621844321330,756,235,60
1621844321480,816,528,120
1621844321610,830,520,100
1621844321740,789,520,180
1621844322000,823,258,719
1621844322749,794,183,420
1621844323379,1070,854,150
1621844327606,1133,497,240
1621844328256,1230,376,150
1621844328556,720,425,150
1621844329775,1094,551,110
1621844330155,758,138,60
1621844330295,827,168,90
1621844331124,867,347,90
1621844331264,947,350,280
1621844331614,887,455,190
1621844331874,957,339,80
1621844331984,997,338,60
1621844332083,923,327,570
1621844332753,956,357,420
1621844333832,1070,379,110
1621844335172,1387,398,299
1621844336111,1119,370,130
1621844336271,1078,412,140
1621844337320,1170,135,70
1621844337720,929,625,100
1621844338010,903,549,110
1621844338140,910,500,60
1621844338210,928,480,90
1621844338500,1032,479,130
1621844339089,1269,437,80
1621844340029,740,415,60
1621844340438,887,395,60
1621844340518,934,389,190
1621844340748,922,458,130
1621844341038,1066,548,130
1621844341298,1041,204,170
1621844341478,1022,184,270
1621844341838,1012,179,239
1621844342347,1404,29,70
1621844342437,1381,62,60
1621844342537,1304,68,80
1621844342817,1307,31,80
1621844343157,1069,417,160
1621844343467,1225,515,120
1621844344146,994,461,120
1621844344406,913,494,130
1621844344836,870,406,120
1621844344996,921,308,499
1621844346785,1469,614,80
1621844348104,905,350,90
1621844348264,954,383,80
1621844348893,1158,398,210
1621844349163,1162,380,430
1621844349783,1117,375,100
1621844349993,1097,376,819
1621844351222,1030,464,120
1621844351422,1303,531,160
1621844351802,1037,377,469
1621844352291,1001,431,180
1621844352481,1009,452,320
1621844353251,1033,525,70
1621844354320,902,668,60
1621844355209,1261,431,140
1621844355409,1176,487,70
1621844355739,1199,586,60
1621844355879,1197,570,140
1621844356029,1190,549,90
1621844356219,1196,543,180
1621844356509,1215,528,90
1621844356619,1228,533,190
1621844357088,1208,756,70
1621844357218,1187,827,60
1621844358138,1035,310,60
1621844359047,917,526,220
1621844362135,927,501,90
1621844362625,1433,384,60
1621844364054,919,291,170
1621844365004,958,335,199
1621844365213,949,354,240
1621844365693,892,338,70
1621844365773,830,325,790
1621844366663,766,312,199
1621844366872,779,304,250
1621844367142,836,358,380
1621844367692,880,232,210
1621844368042,843,240,230
1621844368302,820,285,60
1621844368432,823,368,149
1621844368611,809,329,170
1621844368801,839,308,270
1621844369661,1137,452,140
1621844370470,1233,437,70
1621844371789,818,507,120
1621844371979,863,493,340
1621844372419,1124,446,120
1621844373199,1067,452,180
1621844373409,951,575,269
1621844376017,839,410,80
1621844376287,840,185,80
1621844376467,890,276,60
1621844376567,753,311,80
1621844376866,806,262,170
1621844377126,799,250,70
1621844377216,773,193,210
1621844377506,804,122,110
1621844377666,855,165,330
1621844378106,869,215,160
1621844378755,1071,523,250
1621844379575,885,644,60
1621844379695,972,637,60
1621844379815,1016,686,90
1621844380504,550,445,70
1621844381114,1014,625,90
1621844381753,883,626,60
1621844381823,885,601,90
1621844382833,971,591,70
1621844382973,876,622,80
1621844383063,868,628,110
1621844383253,1153,601,259
1621844384052,1142,431,140
1621844384502,670,720,70
1621844384672,776,659,120
1621844384812,818,678,80
1621844385661,816,607,100
1621844385841,844,544,70
1621844385921,869,543,310
1621844386740,1077,436,90
1621844386840,1037,417,90
1621844386940,1013,367,230
1621844387200,1090,364,180
1621844388080,749,626,449
1621844388629,835,617,60
1621844388989,912,620,160
1621844389269,721,616,170
1621844389459,703,638,150
1621844389938,1046,415,179
1621844390148,981,396,650
1621844390828,1008,399,220
1621844391078,951,394,1029
