timestamp,x,y,duration
1621588449235,928,315,210
1621588449645,912,327,180
1621588449975,924,320,150
1621588450725,1004,556,269
1621588451024,1063,598,190
1621588451364,1000,630,70
1621588451524,1056,546,60
1621588457630,814,485,60
1621588457790,856,452,90
1621588457910,807,488,160
1621588458150,783,254,80
1621588458260,783,202,220
1621588459789,892,568,100
1621588460009,792,578,130
1621588460179,758,546,150
1621588460988,1494,704,60
1621588464806,783,42,80
1621588465665,564,442,260
1621588466115,1027,407,70
1621588466465,874,620,80
1621588467105,755,643,119
1621588467244,774,654,70
1621588467644,779,637,220
1621588468034,982,578,80
1621588468324,1006,562,60
1621588468484,1308,405,120
1621588468624,1277,382,289
1621588468963,1156,522,130
1621588469303,763,599,70
1621588469423,764,584,60
1621588469523,732,560,100
1621588469643,737,535,210
1621588470063,951,544,110
1621588470303,750,474,179
1621588470522,712,455,140
1621588471942,1122,793,60
1621588472281,888,594,70
1621588472881,1240,68,510
1621588474620,974,98,140
1621588474890,911,191,80
1621588475150,933,211,200
1621588475409,946,177,710
1621588476289,970,171,130
1621588477248,177,517,100
1621588479177,704,335,90
1621588479287,732,330,260
1621588480147,1056,468,60
1621588481296,351,62,90
1621588482215,1193,20,80
1621588482325,1134,12,90
1621588482535,999,324,90
1621588482885,976,412,180
1621588483095,983,455,170
1621588483385,750,399,100
1621588483664,708,337,110
1621588484114,1059,288,170
1621588484304,1050,268,190
1621588484974,631,236,180
1621588485683,774,365,90
1621588487302,639,1070,100
1621588487642,987,336,230
1621588488172,664,937,90
1621588488312,981,312,90
1621588488641,455,150,120
1621588489341,514,161,120
1621588490220,823,606,70
1621588490740,649,107,150
1621588490900,682,146,100
1621588491500,498,81,110
1621588491859,541,73,210
1621588495837,531,152,60
1621588496157,806,165,350
1621588498325,1295,383,260
1621588498665,1239,360,160
1621588498995,1177,533,80
1621588499745,996,304,60
1621588499934,920,261,70
1621588500234,944,279,160
1621588500554,1034,337,290
1621588501823,1102,386,60
1621588502053,1040,341,60
1621588502183,1208,387,280
1621588503452,1183,549,110
1621588503652,1286,573,150
1621588503832,1217,523,140
1621588503982,1179,534,150
1621588504242,1202,559,300
1621588504792,725,413,269
1621588505361,1121,343,90
1621588506081,1116,366,60
1621588506820,753,484,100
1621588506960,708,431,290
1621588507380,721,503,110
1621588507560,808,401,60
1621588508000,884,458,90
1621588508199,781,414,190
1621588508539,846,385,70
1621588509329,1102,380,110
1621588509519,1157,355,309
1621588510098,786,426,70
1621588510828,803,394,140
1621588511318,1080,400,109
1621588512407,716,199,80
1621588512907,762,186,80
1621588513966,621,224,230
1621588514236,525,258,60
1621588515235,1097,294,60
1621588515815,1070,312,210
1621588516095,1082,374,80
1621588516544,1180,548,150
1621588517034,1125,269,90
1621588517394,1048,359,90
1621588517574,1041,307,60
1621588518133,1127,349,90
1621588518333,728,414,160
1621588518523,760,366,170
1621588519073,1120,273,60
1621588519233,1176,418,90
1621588519762,799,381,110
1621588520712,816,525,70
1621588521871,1048,344,110
1621588522281,852,403,70
1621588522890,806,461,120
1621588524869,1254,409,110
1621588525369,1172,363,110
1621588525709,1218,371,180
1621588526088,805,533,60
1621588526228,773,408,80
1621588526548,996,521,130
1621588527178,1274,251,80
1621588528067,882,379,150
1621588528917,718,380,70
1621588529067,832,431,70
1621588529566,895,385,70
1621588529866,1026,539,100
1621588530006,948,455,70
1621588531355,744,347,100
1621588531515,709,321,60
1621588532794,765,383,100
1621588532914,784,394,170
1621588533194,764,366,180
1621588533884,753,398,110
1621588534303,1284,414,90
1621588535123,975,607,180
1621588535323,989,589,60
1621588535743,762,330,60
1621588535853,758,357,69
1621588536022,765,429,90
1621588536132,768,412,130
1621588536302,692,370,80
1621588536462,676,376,80
1621588536652,805,380,80
1621588536772,770,375,140
1621588537162,709,400,90
1621588537661,764,405,110
1621588538131,989,396,210
1621588538391,1126,444,140
1621588538891,1038,402,70
1621588539370,716,381,60
1621588539770,633,92,440
1621588540240,595,83,599
1621588541729,1248,540,70
1621588541869,1164,560,140
1621588542149,912,429,180
1621588542568,894,399,110
1621588542898,1128,511,150
1621588543068,1136,522,210
1621588543358,882,429,110
1621588543498,842,386,250
1621588543918,878,425,90
1621588544018,870,413,139
1621588544307,817,573,110
1621588544547,1128,556,60
1621588545217,1310,350,330
1621588545617,1332,379,259
1621588546326,1219,321,60
1621588546766,810,450,60
1621588546856,811,397,150
1621588547096,1022,547,140
1621588547326,830,446,159
1621588547525,800,432,70
1621588548045,1315,312,70
1621588548145,1314,259,60
1621588548295,1300,354,70
1621588549044,1013,477,180
1621588549604,655,439,100
1621588549814,647,468,90
1621588549974,557,445,110
1621588550224,618,490,120
1621588550404,665,371,399
1621588550853,593,400,150
1621588551173,741,412,60
1621588552093,1042,532,80
1621588552282,807,398,210
1621588552552,830,437,170
1621588552742,804,443,100
1621588552862,799,421,120
1621588553012,782,545,140
1621588553182,778,504,90
1621588553602,854,527,60
1621588553752,811,433,469
1621588554261,872,464,290
1621588554591,808,406,180
1621588555031,805,403,120
1621588555171,806,443,150
1621588555331,791,451,169
1621588555690,828,458,320
1621588556790,936,429,70
1621588557159,1226,406,70
1621588557719,966,560,260
1621588559008,789,1068,90
1621588561817,566,587,60
1621588562096,665,538,70
1621588567073,838,376,90
1621588567253,771,374,80
1621588568373,1054,1071,140
1621588570441,1154,377,170
1621588575578,1033,795,160
1621588575988,1002,868,160
1621588576368,1013,771,70
1621588576608,634,384,90
1621588577367,1041,734,60
1621588577757,760,521,60
1621588577847,730,506,320
1621588578526,982,707,110
1621588579086,908,831,60
1621588579316,956,855,100
1621588580165,1096,812,60
1621588580245,1070,789,70
1621588580655,967,655,640
1621588581405,939,765,200
1621588581615,945,754,149
1621588581784,963,767,340
1621588582284,958,831,120
1621588582484,977,876,380
1621588582944,981,855,60
1621588585252,1168,489,130
1621588587861,1007,503,100
1621588588031,889,356,169
1621588588260,923,335,100
1621588588690,940,319,90
1621588588800,927,308,360
1621588589230,978,372,240
1621588589510,960,301,250
1621588589779,932,296,159
1621588590119,929,388,90
1621588590229,919,428,380
1621588590669,1175,443,120
1621588591049,1123,456,90
1621588591169,1099,477,70
1621588591359,812,393,129
1621588591688,847,391,70
1621588591768,861,393,100
1621588592228,625,450,80
1621588592488,857,352,210
1621588592848,837,288,80
1621588593087,759,199,70
1621588593167,765,216,90
1621588593327,446,258,120
1621588593547,441,280,80
