timestamp,x,y,duration
1621931377656,1025,251,1070
1621931380325,1004,248,70
1621931380415,1007,268,100
1621931380535,1030,308,70
1621931380615,1031,333,140
1621931381084,1020,77,200
1621931381384,880,381,70
1621931381594,925,568,110
1621931382314,685,339,70
1621931382613,857,505,60
1621931382773,834,415,170
1621931383253,865,289,250
1621931383733,855,233,60
1621931384842,870,371,60
1621931385312,1048,179,270
1621931385612,1023,154,429
1621931386061,1015,162,170
1621931386251,1002,197,60
1621931386421,984,231,160
1621931386831,934,413,300
1621931387680,724,494,170
1621931387910,721,643,230
1621931388330,725,482,60
1621931388440,860,252,60
1621931388650,1149,293,180
1621931388959,1038,331,249
1621931389239,1048,370,110
1621931389419,717,404,60
1621931392088,1091,318,70
1621931392217,1014,309,60
1621931392447,939,284,80
1621931394326,661,226,60
1621931396935,1063,160,110
1621931397304,1056,417,350
1621931397674,1045,398,160
1621931398054,766,228,60
1621931398224,712,155,70
1621931398374,735,156,120
1621931398564,1101,357,149
1621931398823,1169,376,90
1621931399033,1115,433,70
1621931399243,972,344,220
1621931399523,1051,428,260
1621931399823,951,442,290
1621931400183,846,431,60
1621931400762,1101,261,80
1621931400872,1116,279,120
1621931401082,1132,478,80
1621931402011,983,78,100
1621931402251,991,47,210
1621931403101,865,235,90
1621931404500,823,98,80
1621931405399,728,202,70
1621931405589,747,177,90
1621931406029,1083,584,70
1621931406149,1003,523,60
1621931406459,1071,487,210
1621931406998,1024,398,70
1621931407208,975,360,150
1621931407468,1109,395,190
1621931407748,982,263,150
1621931407968,989,284,70
1621931408348,1014,396,79
1621931408437,1010,382,90
1621931408867,1117,292,80
1621931409297,1067,350,80
1621931409467,1337,462,60
1621931409727,1049,290,60
1621931409867,903,224,189
1621931411645,924,386,159
1621931411915,1034,412,110
1621931412175,1025,329,110
1621931412555,1029,386,110
1621931412835,1017,360,250
1621931413185,1002,329,99
1621931413994,945,390,180
1621931414244,1052,403,180
1621931414454,1115,413,90
1621931414943,1286,201,120
1621931415833,920,297,210
1621931416073,929,283,270
1621931416363,904,290,140
1621931416622,884,270,180
1621931416832,871,340,70
1621931417032,855,239,140
1621931417182,840,209,100
1621931417332,807,226,150
1621931417612,791,200,120
1621931417852,703,437,120
1621931419271,814,197,80
1621931419401,774,306,340
1621931419920,663,247,190
1621931420510,758,422,70
1621931420790,755,291,60
1621931421330,661,298,169
1621931421819,700,126,130
1621931422089,856,271,60
1621931422819,659,292,70
1621931422919,678,229,329
1621931423308,665,191,250
1621931423618,674,218,80
1621931423748,693,189,280
1621931424058,727,257,60
1621931424308,680,212,499
1621931424947,631,154,570
1621931427246,717,237,60
1621931427366,731,211,90
1621931427546,741,202,130
1621931427756,708,164,60
1621931428235,735,182,140
1621931428765,726,165,60
1621931428985,725,149,170
1621931429195,679,158,70
1621931429285,675,138,249
1621931429594,755,121,60
1621931430014,761,133,120
1621931430154,730,158,160
1621931431543,871,587,180
1621931432513,673,564,70
1621931432663,853,537,149
1621931432862,990,658,90
1621931433672,1106,419,300
1621931434002,1069,409,60
1621931434571,1128,424,220
1621931436370,1033,394,260
1621931436690,739,543,60
1621931436980,915,484,80
1621931437390,1112,519,140
1621931437889,1143,378,60
1621931438499,1015,427,100
1621931438749,1088,481,60
1621931438929,1130,396,240
1621931439718,1186,244,90
1621931440867,1333,181,60
1621931441727,869,383,70
1621931441887,870,442,80
1621931442217,960,392,60
1621931442816,1084,857,100
1621931443376,901,804,60
1621931443826,915,756,80
1621931443976,964,837,60
1621931444805,1038,760,110
1621931444925,1037,743,90
1621931445175,972,790,60
1621931445275,907,827,180
1621931445565,878,794,229
1621931447134,906,251,170
1621931447993,1044,930,400
1621931451061,1093,862,60
1621931451191,861,652,110
1621931451311,871,676,70
1621931451451,854,670,100
1621931451851,960,1006,60
1621931451931,941,968,309
1621931452530,1081,855,150
1621931452960,925,783,180
1621931453200,966,775,60
1621931454389,1051,621,360
1621931455279,792,701,80
1621931455638,1022,863,160
1621931456048,911,904,70
1621931456178,852,826,130
1621931456328,847,790,120
1621931456748,861,437,140
1621931457117,840,752,60
1621931457577,1140,454,80
1621931457687,1081,430,80
1621931458487,826,343,180
1621931458956,888,459,60
1621931459516,916,796,60
1621931459676,891,805,100
1621931459816,901,802,130
1621931460226,928,711,149
1621931460605,920,829,150
1621931460825,885,755,70
1621931460925,865,752,110
1621931461075,865,670,180
1621931461275,861,642,190
1621931461505,841,654,110
1621931461675,849,695,180
1621931462044,930,655,70
1621931462284,849,636,300
1621931462964,825,1029,70
1621931463763,834,224,190
1621931463973,776,259,240
1621931464443,699,196,240
1621931464693,714,212,100
1621931464863,748,163,80
1621931465272,753,58,140
1621931465692,730,96,160
1621931466412,740,28,70
1621931466871,762,47,200
1621931467361,708,319,100
1621931467511,716,362,180
1621931467701,742,389,60
1621931467831,706,431,300
1621931468281,659,418,149
1621931468460,727,387,190
1621931469050,867,325,60
