timestamp,x,y,duration
1621842901650,858,321,90
1621842901790,1062,331,80
1621842902060,1171,162,100
1621842902200,1045,127,200
1621842902510,1113,86,110
1621842902650,1102,105,80
1621842903020,1331,206,199
1621842903889,960,206,420
1621842904349,1029,124,200
1621842904609,1209,341,110
1621842904729,1199,344,70
1621842904809,1190,329,219
1621842905058,1215,351,340
1621842905478,836,143,480
1621842905978,852,132,120
1621842906108,864,139,100
1621842906358,972,361,469
1621842907187,736,184,120
1621842907337,724,135,460
1621842907877,1069,269,849
1621842908766,928,306,440
1621842909436,1240,376,80
1621842909916,1191,279,1369
1621842911545,955,427,579
1621842912204,804,398,90
1621842912354,680,268,120
1621842912524,706,180,120
1621842912724,768,150,250
1621842912984,747,167,1009
1621842914043,791,284,400
1621842914493,787,222,450
1621842914983,870,232,120
1621842915283,1074,316,79
1621842915392,1090,372,160
1621842915582,1052,387,310
1621842915942,1083,189,250
1621842916502,1390,313,320
1621842916882,1235,310,130
1621842917061,1016,226,170
1621842917271,1023,121,400
1621842917701,1059,106,60
1621842918061,908,18,240
1621842918411,1053,234,349
1621842918800,1079,320,630
1621842919460,1017,375,330
1621842919880,1305,433,70
1621842920030,1266,444,160
1621842920460,1192,464,159
1621842920669,1281,444,280
1621842921119,1140,340,160
1621842921359,1195,290,190
1621842921709,1153,213,210
1621842921999,939,253,219
1621842922268,1147,169,200
1621842922478,1130,162,750
1621842923378,937,261,929
1621842924377,1339,317,90
1621842924507,1331,304,80
1621842924907,1243,381,100
1621842925147,915,269,719
1621842926536,1112,287,90
1621842926976,1016,315,310
1621842927336,1022,262,189
1621842927755,850,142,90
1621842927895,869,157,90
1621842928115,888,150,70
1621842928545,1171,215,150
1621842928705,1135,220,60
1621842928825,1030,277,150
1621842929005,1060,226,279
1621842929384,987,233,490
1621842929924,1049,355,260
1621842930234,1110,449,300
1621842930584,1113,320,359
1621842930993,982,315,260
1621842931293,1068,312,200
1621842931533,1179,183,950
1621842932622,844,365,180
1621842932872,1070,298,160
1621842933112,1186,208,170
1621842933382,1110,292,230
1621842933642,1117,324,370
1621842934032,1148,293,659
1621842934731,1099,333,240
1621842935011,990,315,330
1621842935451,859,96,90
1621842935551,851,75,839
1621842936410,835,74,200
1621842936710,1104,249,250
1621842937010,984,240,350
1621842937410,1133,302,260
1621842937699,1100,299,449
1621842939878,741,548,150
1621842940118,667,425,90
1621842940218,694,439,70
1621842940318,740,484,210
1621842941018,953,299,80
1621842941547,1198,332,210
1621842942067,852,278,270
1621842942377,876,335,130
1621842942687,869,256,229
1621842943436,863,149,170
1621842943806,879,131,100
1621842944026,949,250,70
1621842944276,842,152,60
1621842944516,757,196,219
1621842944765,704,198,300
1621842945105,743,264,70
1621842945725,924,381,60
1621842946035,992,386,170
1621842946544,1333,531,100
1621842946834,1162,325,180
1621842947064,1215,450,130
1621842947224,1219,494,230
1621842947494,1102,446,170
1621842948593,866,126,240
1621842949503,1278,511,80
1621842949643,1222,532,149
1621842949882,1221,329,140
1621842950082,1178,333,140
1621842950262,1077,263,270
1621842950542,1110,259,150
1621842950892,766,293,190
1621842951142,1050,445,190
1621842951362,1005,435,139
1621842951631,1251,490,80
1621842951761,1233,479,230
1621842952051,1291,276,210
1621842952391,948,318,140
1621842952761,708,361,90
1621842952861,762,363,130
1621842953350,732,154,190
1621842953550,695,134,270
1621842953850,730,141,310
1621842954200,611,113,80
1621842954480,674,142,350
1621842955079,566,55,110
1621842955259,662,128,340
1621842955639,598,94,70
1621842955839,674,136,100
1621842956089,711,144,490
1621842956609,690,132,229
1621842956858,645,126,310
1621842957198,621,123,200
1621842957428,688,134,210
1621842958188,1514,565,190
1621842958607,598,172,150
1621842958937,624,50,320
1621842959287,659,94,110
1621842959437,735,24,70
1621842959657,777,110,210
1621842959887,759,138,869
1621842961206,1374,491,80
1621842961596,1095,448,549
1621842966013,484,6,70
1621842966683,1075,941,140
1621842967022,1057,688,80
1621842967192,1049,628,210
1621842967472,993,474,430
1621842967952,1062,525,260
1621842968262,1257,616,340
1621842968662,1221,419,79
1621842968751,1210,433,60
1621842968861,1058,318,90
1621842968981,1012,366,180
1621842969201,877,351,210
1621842969481,957,570,230
1621842969761,876,429,90
1621842969871,881,472,80
1621842970191,968,515,120
1621842970470,1221,550,60
1621842970970,724,351,760
1621842972799,917,670,70
1621842972889,870,670,70
1621842973059,1148,344,210
1621842973299,1220,358,320
1621842973689,1108,583,90
1621842973789,1078,563,69
1621842973898,984,618,360
1621842974328,1058,266,620
1621842975058,1106,234,200
1621842975358,997,150,160
1621842975528,997,191,229
1621842976037,916,378,320
1621842976387,888,323,200
1621842976907,1114,187,80
1621842977007,1108,231,70
1621842977157,1140,250,409
1621842977606,1092,192,340
1621842977986,1188,166,180
1621842978176,1175,210,120
1621842978306,1167,235,200
1621842978546,1082,278,210
1621842978816,776,354,180
1621842979016,799,363,299
1621842979475,825,424,90
1621842979615,764,559,110
1621842979735,771,530,150
1621842979895,781,501,70
1621842980065,1171,230,150
1621842980245,1211,194,470
1621842980734,1196,194,399
1621842981284,838,324,390
1621842981734,923,428,290
1621842982044,894,432,210
1621842982294,988,430,159
1621842983003,672,590,60
1621842983133,1023,428,100
1621842983423,1346,379,90
1621842983843,1116,408,1389
1621842985702,1368,317,70
1621842985961,1371,318,150
1621842986121,1385,311,60
1621842986191,1392,295,90
1621842986311,1336,294,320
1621842986691,1370,286,100
1621842986931,1290,301,590
1621842987720,823,362,160
1621842987910,913,370,540
1621842988930,1447,269,170
1621842989250,914,486,89
1621842989499,1129,510,190
1621842989749,963,587,360
1621842990159,1003,480,260
1621842990599,866,505,80
1621842990799,990,428,110
1621842991178,886,523,70
1621842991278,892,489,100
1621842991698,807,569,190
1621842991958,949,758,80
1621842992168,1267,472,140
1621842992508,1111,373,160
1621842992698,1040,360,109
1621842993017,1405,184,70
1621842993097,1382,201,60
1621842993167,1368,195,620
1621842993857,893,370,130
1621842994017,877,358,260
1621842994327,1068,455,120
1621842994676,974,423,90
1621842994806,1018,357,240
1621842997025,1032,571,110
1621842997465,1054,456,160
1621842997675,967,680,60
1621842997845,935,692,90
1621842998234,800,839,150
1621842998544,1044,716,210
1621842998804,1033,547,120
1621842998944,1045,586,80
1621842999424,1323,225,269
1621842999723,1355,220,180
1621842999943,1308,227,170
