timestamp,x,y,duration
1621843596649,1103,365,90
1621843596819,1113,297,130
1621843597309,1193,336,80
1621843597409,1183,364,100
1621843597639,1144,286,120
1621843597789,1156,284,260
1621843598248,1133,274,770
1621843599188,1139,282,110
1621843599308,1124,265,350
1621843599668,1074,256,499
1621843600207,1071,271,230
1621843600707,759,374,60
1621843600777,788,360,80
1621843600917,859,257,290
1621843601227,951,227,289
1621843601586,967,238,110
1621843601866,950,243,590
1621843602616,949,278,520
1621843603275,942,299,670
1621843604015,815,393,190
1621843604225,839,368,260
1621843604515,804,386,200
1621843605434,1297,248,70
1621843605754,976,308,200
1621843606004,902,167,210
1621843607493,1342,349,110
1621843607623,1284,331,360
1621843609212,1263,329,100
1621843609372,1307,305,100
1621843610481,910,323,70
1621843610601,906,432,80
1621843610721,1006,259,60
1621843610951,985,264,380
1621843611391,855,334,140
1621843611730,892,426,180
1621843612400,1119,392,60
1621843612480,1123,409,210
1621843613549,1067,172,360
1621843614049,962,130,60
1621843614299,1025,374,150
1621843614479,1061,340,180
1621843614679,1041,361,180
1621843615108,1102,460,130
1621843619766,1056,421,100
1621843620555,925,249,90
1621843620775,939,228,120
1621843620965,1099,363,170
1621843621485,1068,102,90
1621843621615,1073,166,219
1621843624143,1001,213,80
1621843624423,1043,198,60
1621843624493,1036,211,130
1621843624703,1020,352,350
1621843625122,1071,404,90
1621843625362,1073,225,180
1621843625592,1053,360,230
1621843625902,894,331,200
1621843626162,947,107,80
1621843626382,900,131,90
1621843627151,984,290,210
1621843627631,1048,345,70
1621843627791,928,314,230
1621843628311,883,202,229
1621843628560,904,212,160
1621843629010,1113,135,60
1621843629120,1085,185,70
1621843629210,1070,229,120
1621843629420,1074,136,190
1621843630040,998,216,159
1621843630249,842,225,80
1621843630399,850,292,90
1621843630629,1099,293,100
1621843631399,1181,114,140
1621843631569,1113,138,90
1621843631719,1094,122,199
1621843632208,765,335,170
1621843632678,730,230,60
1621843632768,753,315,90
1621843633128,718,229,100
1621843633907,754,207,70
1621843634167,773,241,120
1621843634447,793,299,440
1621843635007,694,350,159
1621843635386,833,355,800
1621843636196,852,338,350
1621843636566,794,355,769
1621843637455,804,331,480
1621843638355,791,148,70
1621843638544,761,92,70
