timestamp,x,y,duration
1621585517813,753,276,70
1621585518073,839,414,140
1621585518303,806,568,159
1621585518592,930,581,70
1621585518702,952,628,70
1621585519981,1113,357,129
1621585520821,1038,218,60
1621585521590,890,274,110
1621585523749,840,362,120
1621585523899,787,416,70
1621585524799,906,379,79
1621585525078,894,354,100
1621585525208,890,384,120
1621585525448,927,399,140
1621585526038,1062,314,200
1621585526937,1112,350,140
1621585527257,1233,443,100
1621585527367,1194,450,60
1621585527507,1087,469,290
1621585528126,1070,261,189
1621585528736,1159,408,130
1621585528976,951,331,130
1621585529316,594,317,70
1621585529925,1250,232,60
1621585530215,1385,320,90
1621585536012,774,104,60
1621585536082,756,92,70
1621585536681,754,67,60
1621585536901,802,152,100
1621585537501,810,151,120
1621585538810,515,291,180
1621585539520,1126,271,109
1621585539669,1064,355,70
1621585541588,1145,443,130
1621585541938,1265,230,90
1621585542148,1221,216,60
1621585542638,1074,228,70
1621585543857,1244,260,180
1621585544107,1108,321,110
1621585544976,1199,225,120
1621585545236,1265,297,80
1621585545356,1196,296,130
1621585546066,1125,242,409
1621585546485,1124,254,150
1621585546925,952,274,70
1621585547035,966,219,100
1621585547195,1294,312,260
1621585548184,1411,292,130
1621585549064,1150,507,70
1621585549523,1402,366,60
1621585549663,1443,312,90
1621585549773,1407,290,170
1621585571190,1199,241,80
1621585571350,1223,277,70
1621585572010,1086,267,70
1621585572549,846,360,60
1621585572809,860,345,60
1621585573039,1135,320,360
1621585573599,1126,294,449
1621585574478,869,431,140
1621585575737,838,236,70
1621585575887,1113,280,90
1621585576247,1143,326,70
1621585576717,876,342,110
1621585577057,1171,329,299
1621585577646,1167,293,90
1621585577806,1143,303,60
1621585577906,1076,409,120
1621585578086,906,438,200
1621585578306,876,460,130
1621585578795,828,476,70
1621585578895,803,431,110
1621585580275,1186,264,110
1621585580864,909,359,80
1621585581054,904,488,90
1621585581284,838,513,60
1621585582143,919,502,60
1621585582783,1194,390,200
1621585583343,900,433,270
1621585583633,856,431,669
1621585584662,1099,538,150
1621585585202,1364,376,229
1621585585491,1375,430,70
1621585585681,969,358,250
1621585587700,1100,337,60
1621585589109,945,593,120
1621585589359,972,590,70
1621585589449,985,616,100
1621585590418,709,301,280
1621585590708,727,256,320
1621585592097,734,148,220
1621585592777,1107,403,90
1621585593526,759,239,60
1621585594076,1093,374,90
1621585594556,1359,338,120
1621585597074,1261,171,70
1621585599423,1135,460,80
1621585599523,1229,872,60
1621585600682,1123,617,60
1621585602741,1379,319,120
1621585605889,1047,792,60
1621585606019,1089,901,80
1621585606119,1081,914,100
