timestamp,x,y,duration
1621584731093,1057,491,1020
1621584732602,1014,553,120
1621584733662,1128,472,430
1621584734671,1144,522,80
1621584734871,870,477,140
1621584735191,1308,807,60
1621584735271,1262,802,160
1621584735731,789,490,60
1621584735801,797,502,109
1621584736150,825,502,210
1621584736390,889,531,290
1621584736780,1015,398,150
1621584737210,1057,473,220
1621584737450,1022,469,169
1621584737699,1289,469,190
1621584737979,1273,501,160
1621584738169,1237,517,120
1621584738379,947,492,330
1621584739178,1183,513,90
1621584739278,1172,511,60
1621584739918,1165,404,70
1621584740048,1124,365,60
1621584740138,1099,401,60
1621584741297,1012,436,290
1621584741937,1199,307,90
1621584742237,868,210,100
1621584742347,892,180,109
1621584742556,990,190,90
1621584742976,1160,267,130
1621584743166,1293,238,130
1621584744015,779,188,170
1621584744365,923,383,60
1621584744535,1011,300,200
1621584744935,945,363,70
1621584745664,1072,279,99
1621584745784,1065,263,100
1621584745904,1026,221,280
1621584747274,1206,405,89
1621584747443,1216,412,70
1621584748013,719,342,60
1621584748163,968,237,70
1621584748243,962,247,240
1621584748843,1186,292,60
1621584748982,926,284,60
1621584749402,1262,378,90
1621584749562,1293,338,100
1621584749702,1213,367,220
1621584750262,1081,368,130
1621584750422,1107,362,139
1621584750761,1085,380,190
1621584751071,1243,291,80
1621584751561,1304,339,150
1621584752480,1286,352,80
1621584752720,1276,357,110
1621584752890,1238,457,240
1621584753280,1159,434,629
1621584753999,1146,459,310
1621584754349,1190,427,150
1621584754569,915,480,280
1621584754929,1176,445,180
1621584755149,1214,386,160
1621584755399,1198,373,209
1621584755708,1227,364,90
1621584755818,1197,371,130
1621584756108,1099,470,170
1621584756308,1127,497,220
1621584756578,1270,372,70
1621584756778,1298,370,130
1621584757257,1266,326,200
1621584757887,929,395,160
1621584758766,1229,392,99
1621584758876,1189,398,80
1621584759156,1124,395,60
1621584759436,988,513,80
1621584759576,826,493,190
1621584759856,1027,401,100
1621584759976,1041,427,240
1621584760256,1204,408,100
1621584760505,843,507,200
1621584760735,901,549,160
1621584761055,1179,402,460
1621584761585,1220,397,90
1621584761865,1252,388,60
1621584762174,1306,421,210
1621584762544,1283,415,140
1621584763683,1116,143,69
1621584763813,1078,227,80
1621584763953,1075,143,110
1621584764143,1068,233,90
1621584767241,1049,320,60
