timestamp,x,y,duration
1621583988949,1022,548,150
1621583989179,1046,591,170
1621583989409,1041,568,80
1621583989639,1036,569,80
1621583989769,1038,580,140
1621583989929,1036,600,90
1621583990119,1097,614,70
1621583991788,947,399,90
1621583991898,942,311,79
1621583992347,1051,673,180
1621583992617,1328,572,210
1621583993127,1166,303,90
1621583993317,663,437,60
1621583994316,842,605,90
1621583995076,1710,551,60
1621583995256,1679,584,69
1621583995665,1070,310,60
1621583995965,1228,538,110
1621583996105,1283,556,60
1621584005040,1058,305,80
1621584005280,1065,321,319
1621584008368,1057,28,110
1621584008498,1056,103,70
1621584008588,1033,119,79
1621584009947,1011,1032,100
1621584011516,914,387,60
1621584011586,926,389,439
1621584012335,1041,424,170
1621584012835,1133,320,120
1621584013035,1286,319,60
1621584013165,1393,469,70
1621584013505,1366,415,120
1621584014534,757,82,80
1621584014904,865,23,120
1621584015104,787,107,110
1621584015733,1047,473,60
1621584017332,1123,323,100
1621584018072,990,190,60
1621584019551,1139,385,230
1621584021090,960,407,60
1621584023459,1022,536,469
1621584023978,967,542,100
1621584024818,1034,517,110
1621584025357,1166,496,60
1621584025637,1072,534,240
1621584027806,1249,585,90
1621584029615,1003,512,210
1621584029885,1007,459,90
1621584030095,1032,501,70
1621584030175,1047,499,100
1621584030734,1198,578,70
1621584030934,1139,473,110
1621584031384,1122,558,330
1621584031884,1164,716,110
1621584032783,1226,548,60
1621584033083,1199,473,70
1621584033163,1189,461,160
1621584033822,1293,476,110
1621584033972,1214,505,70
1621584034152,1296,528,60
1621584034232,1310,531,60
1621584034412,1283,580,230
1621584034652,1303,603,90
1621584035501,452,24,60
1621584037160,935,578,60
1621584037810,838,610,100
1621584038130,747,986,150
1621584038370,716,870,140
1621584039219,950,63,60
1621584040768,817,370,60
1621584040978,736,275,60
1621584041098,697,323,70
1621584042207,757,438,60
1621584042347,878,484,80
1621584043087,1090,336,60
1621584043197,1051,330,70
1621584043337,1072,254,150
1621584043816,1088,368,60
1621584044446,798,346,60
1621584044536,793,368,70
1621584047354,1275,517,70
1621584047434,1289,507,70
1621584047784,1074,168,60
1621584047874,1045,240,60
1621584048034,1086,235,120
1621584048204,892,639,170
1621584048544,1050,480,179
1621584049783,960,618,60
1621584050033,1017,631,70
1621584050712,570,884,80
1621584052022,1102,245,89
1621584053720,1250,421,120
1621584054930,776,631,300
1621584055260,760,619,679
1621584057508,633,861,170
1621584058008,612,829,70
1621584058168,552,757,420
1621584059437,1049,324,100
1621584059697,1174,481,110
1621584059997,1102,353,90
1621584060686,539,757,150
1621584060856,596,750,140
1621584061086,705,723,60
1621584061166,719,748,90
1621584061266,686,762,70
1621584061346,660,770,80
1621584061686,514,850,110
1621584061826,493,794,150
1621584065703,924,909,110
1621584065913,940,696,120
1621584066323,807,526,270
1621584066633,823,578,70
1621584067202,1155,221,140
1621584067642,1151,265,90
1621584067752,1188,334,170
1621584068442,1160,108,60
1621584069091,742,743,80
1621584069401,777,490,60
1621584069681,837,328,120
1621584069851,978,319,140
1621584070301,800,729,89
1621584070860,914,724,60
1621584070990,830,721,130
1621584071220,856,692,90
1621584072999,772,540,130
1621584075058,849,775,100
1621584075557,946,533,70
1621584075847,876,211,80
1621584078246,1040,450,70
1621584078516,1257,436,60
1621584078596,1236,432,100
1621584080325,892,768,89
1621584080464,845,760,90
1621584081744,653,143,60
1621584082913,943,413,80
1621584083183,964,505,140
1621584083393,911,372,160
1621584083762,943,443,100
1621584084572,683,62,80
1621584085122,678,55,120
1621584085781,1050,445,80
1621584086371,934,603,130
1621584088230,862,487,150
1621584090688,825,748,90
1621584090828,827,793,500
1621584091618,757,980,100
1621584091798,739,950,100
1621584092247,988,439,80
1621584092607,908,552,80
1621584092707,915,580,60
1621584092927,873,588,80
1621584093477,836,931,110
1621584093916,867,730,90
1621584094246,830,720,80
1621584094856,900,604,60
1621584095156,882,562,60
1621584097784,800,756,90
1621584097994,754,822,70
1621584098973,785,509,120
1621584099353,711,708,110
1621584099643,717,790,60
1621584099763,732,808,140
1621584099963,795,522,120
1621584100153,968,247,130
1621584100682,717,781,60
1621584100772,737,770,180
1621584101432,948,785,110
1621584101802,793,661,70
1621584101942,862,714,80
1621584102331,1019,841,80
1621584103740,1104,633,120
1621584103980,1038,365,110
1621584104220,947,580,60
1621584104310,983,592,120
1621584105020,1040,288,120
1621584105469,1075,335,60
1621584106249,1028,356,110
