timestamp,x,y,duration
1621841244036,1146,276,130
1621841245126,994,199,679
1621841245865,971,395,280
1621841246165,985,361,80
1621841247614,1128,363,130
1621841247954,1050,410,180
1621841248214,1008,487,100
1621841248354,1096,530,489
1621841248873,1120,525,350
1621841249253,1056,491,130
1621841249723,1077,351,300
1621841250193,1085,134,70
1621841250642,1069,170,1010
1621841252411,869,436,90
1621841252551,878,371,540
1621841253141,777,436,270
1621841253531,625,161,139
1621841253680,617,183,160
1621841254200,1319,138,160
1621841254400,1238,135,360
1621841254940,1137,472,190
1621841255169,1093,548,450
1621841255679,1109,325,150
1621841255899,1220,142,100
1621841256409,735,521,60
1621841256978,795,323,110
1621841257278,637,252,80
1621841257578,677,27,140
1621841257728,684,17,290
1621841258028,673,29,350
1621841258477,858,203,260
1621841258807,702,95,90
1621841259627,1149,298,200
1621841259937,1102,479,489
1621841260486,1148,250,150
1621841260766,1092,270,340
1621841261506,704,330,140
1621841261685,759,318,90
1621841261915,1242,268,160
1621841262105,1181,220,130
1621841262245,1162,204,180
1621841262485,1097,479,160
1621841262675,1095,527,80
1621841262955,1168,351,80
1621841263554,890,268,80
1621841263684,818,383,170
1621841263934,828,445,60
1621841264963,889,195,290
1621841265263,868,226,80
1621841265423,853,178,250
1621841265833,1155,222,180
1621841266063,1003,266,110
1621841266263,846,310,110
1621841266423,848,370,239
1621841266682,885,372,170
1621841267142,891,188,410
1621841267912,1227,275,110
1621841268102,824,291,69
1621841268361,795,219,70
1621841268521,656,198,110
1621841268641,678,181,130
1621841268781,660,208,180
1621841269521,723,435,130
1621841269721,715,398,69
1621841270440,1067,359,110
1621841270560,1046,353,70
1621841270760,1009,291,170
1621841271350,1151,338,129
1621841271579,1154,454,170
1621841272029,867,338,60
1621841272279,949,285,220
1621841272509,969,250,190
1621841272709,971,217,220
1621841272989,820,232,189
1621841273538,1315,390,80
1621841274268,1357,208,60
1621841274338,1333,233,150
1621841274558,1311,183,109
1621841274727,1152,493,280
1621841275037,1107,520,420
1621841275687,1011,341,110
1621841275937,1010,176,70
1621841276027,998,142,100
1621841276177,1101,147,60
1621841276246,1043,184,1618
1621841277905,955,331,470
1621841278435,882,354,120
1621841278605,985,273,60
1621841278745,1134,151,70
1621841278875,1061,139,140
