timestamp,x,y,duration
1622111398300,858,261,60
1622111399799,888,180,60
1622111400549,789,218,80
1622111401728,918,289,100
1622111401848,922,253,390
1622111405686,802,359,70
1622111405885,799,155,70
1622111407614,1004,176,70
1622111407984,1023,278,90
1622111408494,1013,198,80
1622111409593,992,218,110
1622111409893,956,137,60
1622111411362,1304,403,60
1622111411462,1290,352,80
1622111411882,1329,196,120
1622111412062,1290,244,110
1622111412301,1117,362,70
1622111412381,1103,361,90
1622111413641,757,223,60
1622111414140,856,289,70
1622111414380,856,323,70
1622111416059,1046,391,70
1622111416609,878,601,140
1622111416839,194,430,100
1622111419747,1489,353,140
1622111420496,1195,886,60
1622111423175,769,861,240
1622111423754,870,960,60
1622111424114,902,989,60
1622111424964,1466,97,120
1622111425164,1260,338,89
1622111426583,1314,176,80
1622111426783,924,363,119
1622111427292,974,363,130
1622111427962,888,220,130
1622111428921,1105,937,130
1622111429491,1075,382,160
1622111429701,1058,402,110
1622111429921,1195,384,90
1622111430031,1226,352,219
1622111430920,814,434,60
1622111434308,714,252,220
1622111438855,936,539,70
1622111439395,668,1061,70
1622111439635,1042,719,60
1622111440334,1090,713,60
1622111444122,1099,203,220
1622111446780,1095,496,100
1622111446950,901,265,90
1622111447610,1259,358,90
1622111447829,1259,291,159
1622111448909,985,334,70
1622111449718,1153,561,60
1622111450338,958,492,100
1622111450548,814,513,100
1622111450898,817,330,60
1622111452227,1148,102,90
1622111452946,1154,160,60
1622111453496,1172,86,60
1622111454216,1104,138,70
1622111454685,1093,140,70
1622111455105,883,374,80
1622111455235,886,358,120
1622111455485,895,365,90
1622111455615,893,286,160
1622111456134,862,742,60
1622111456974,898,475,100
1622111457124,1082,466,210
1622111457474,853,506,80
1622111457623,864,535,180
1622111458843,1184,141,80
1622111460152,1293,47,60
1622111460362,599,919,100
1622111460532,809,524,110
1622111461811,781,295,100
1622111461921,811,237,130
1622111462810,1203,103,80
1622111463940,1151,449,219
1622111464229,892,320,190
1622111464739,1459,323,70
1622111465179,1294,103,80
1622111466758,1042,355,150
1622111466958,1139,367,210
1622111467297,812,354,230
1622111467837,885,350,100
1622111468037,857,348,70
1622111468237,650,320,170
1622111468497,659,331,100
1622111468876,775,301,89
1622111469326,1158,348,190
1622111469546,1193,391,90
1622111469726,1135,446,90
1622111469906,1138,389,130
1622111470136,1133,422,70
1622111470316,1226,414,130
1622111470575,993,485,150
1622111471125,1023,432,140
1622111471285,993,488,80
1622111471735,990,597,120
1622111472015,925,659,229
1622111472764,961,713,80
1622111472994,936,630,100
1622111473144,957,628,100
1622111473254,914,624,160
1622111474183,914,465,90
1622111474283,939,498,410
1622111474723,993,500,210
1622111476312,961,683,60
1622111476382,970,690,80
1622111476512,947,725,140
1622111477311,961,640,160
1622111477971,970,736,80
1622111478401,821,546,130
1622111478710,939,650,70
1622111478920,875,639,110
1622111479520,881,715,80
1622111480319,908,622,140
1622111480479,898,630,100
1622111480659,920,641,160
1622111481509,729,321,80
1622111482128,1083,619,250
1622111482398,1070,621,120
1622111482768,952,566,80
1622111483098,966,521,529
1622111483667,1018,551,220
1622111483897,992,528,420
1622111484327,947,545,120
1622111484727,982,595,130
1622111484987,1003,621,109
1622111485106,987,635,880
1622111485996,977,629,210
1622111486226,1027,634,1049
1622111487365,1154,580,220
1622111487715,1106,612,539
1622111488264,1106,636,70
1622111488414,1006,653,60
1622111488514,971,673,130
1622111489454,1081,851,90
1622111490173,564,238,90
1622111490583,798,613,70
1622111490723,811,556,470
1622111491682,878,466,130
1622111491872,870,428,70
1622111492772,1014,375,100
1622111493111,1135,499,170
1622111493421,1015,545,70
1622111493951,1009,383,100
1622111494081,982,433,150
1622111494721,1008,550,69
1622111494810,987,526,140
1622111495000,978,549,960
1622111496010,870,494,160
1622111496769,1003,549,260
1622111497059,961,569,240
1622111497329,952,512,190
1622111497559,952,593,350
1622111497929,984,583,639
1622111498598,986,595,70
1622111498698,968,589,450
1622111499188,1016,658,200
1622111499428,1042,619,339
1622111500397,898,532,80
1622111500587,885,299,80
1622111500727,794,204,70
1622111500807,795,235,70
1622111500907,786,278,60
1622111501176,1088,703,69
1622111501356,979,688,110
1622111501526,931,580,150
1622111501696,903,515,230
1622111501956,946,539,180
1622111502486,961,609,150
1622111502736,1015,610,129
1622111502915,1030,640,300
1622111503745,860,271,110
1622111504514,957,22,60
1622111504904,1189,286,180
1622111506233,1150,110,150
1622111506753,1112,115,90
1622111507243,1212,81,210
1622111507712,1072,38,80
1622111508382,1254,4,70
1622111509691,1156,116,180
1622111510411,1232,58,70
1622111512270,1302,124,60
1622111513209,849,1015,80
1622111515528,678,156,90
1622111515717,532,51,119
1622111516357,927,786,60
1622111516767,1005,715,70
1622111516857,1035,715,160
1622111517187,1008,462,110
1622111517327,1012,520,159
1622111517836,1054,564,100
1622111518216,1069,482,90
1622111520075,1011,382,160
1622111520245,1008,355,150
1622111520445,934,404,199
1622111520724,983,291,270
1622111521584,952,692,60
1622111521654,939,673,70
1622111521744,933,623,250
1622111522144,1170,730,79
1622111522303,935,617,260
1622111523743,962,595,79
1622111524962,1027,469,220
1622111525222,924,474,269
1622111525551,658,495,480
1622111526341,581,513,110
1622111526461,587,499,220
1622111526781,535,466,90
1622111526981,798,343,209
1622111527220,886,327,220
1622111527450,890,352,210
1622111527720,572,482,240
1622111528060,659,481,190
1622111528310,871,392,170
1622111528699,611,487,250
1622111528959,610,475,160
1622111529539,786,789,60
1622111529989,800,435,70
1622111530109,664,439,140
1622111530258,651,454,169
1622111530478,755,428,300
1622111530908,752,451,80
1622111531068,625,380,120
1622111531808,940,727,349
1622111532167,968,698,170
1622111532357,986,706,140
1622111532637,1002,587,240
1622111534256,1035,257,90
1622111535365,922,438,230
1622111535625,963,472,130
1622111536085,1071,467,120
1622111536255,1052,536,60
1622111536725,1021,350,189
1622111537574,1014,518,160
1622111537744,1023,495,240
1622111539073,915,263,100
1622111539233,1183,368,210
1622111539493,907,279,210
1622111540952,786,365,130
1622111541092,796,348,190
1622111542331,910,637,80
1622111542511,903,211,70
1622111542931,1206,296,150
1622111543850,720,562,210
1622111544110,894,542,140
1622111544600,743,405,60
1622111544730,746,417,189
1622111544949,700,402,100
1622111545629,374,372,80
1622111546039,291,462,130
1622111546229,323,490,80
1622111547098,694,406,90
1622111547218,661,417,110
1622111547338,608,354,779
1622111548417,564,349,70
1622111549137,954,652,90
1622111549936,880,613,90
1622111550036,902,641,120
1622111550406,978,613,90
1622111550506,988,613,120
1622111550666,975,620,340
1622111551046,878,595,210
1622111551305,984,582,290
1622111551655,827,598,490
1622111552195,998,553,130
1622111552405,1112,520,180
1622111552655,788,517,699
1622111553414,971,587,180
1622111553664,1059,659,80
1622111554004,930,617,60
1622111554104,932,681,130
1622111554294,1167,656,329
1622111554643,1150,673,130
1622111554843,932,617,250
1622111555443,1053,509,130
1622111555733,941,677,80
1622111555843,940,651,160
1622111556023,952,590,509
1622111556612,1039,465,260
1622111556932,811,572,140
1622111557122,776,472,140
1622111557512,1088,699,150
1622111557751,1049,693,60
1622111557891,1053,541,200
1622111558131,1040,560,270
1622111558441,1083,643,110
1622111558691,1017,431,330
1622111559061,994,583,349
1622111559470,949,441,140
1622111559690,989,460,70
1622111559770,973,492,90
1622111559900,1032,557,350
1622111560310,836,549,120
1622111561069,909,290,70
1622111561299,897,342,90
1622111561839,1013,672,90
1622111561979,1019,620,699
1622111562698,1033,624,60
1622111563098,964,732,150
1622111563368,874,621,100
1622111564088,923,681,60
1622111564287,911,567,100
1622111564427,935,542,80
1622111564607,928,539,60
1622111564697,956,549,260
1622111565007,862,497,590
1622111565637,932,593,179
1622111565856,981,496,60
1622111566106,1000,506,430
1622111566586,873,477,70
1622111567725,961,537,280
1622111568055,973,437,100
1622111568185,960,402,150
1622111568375,1003,485,260
1622111568685,928,395,569
1622111570334,1133,708,110
1622111570843,1054,391,60
1622111571053,1134,341,110
1622111572033,1043,626,180
1622111572312,827,471,310
1622111573492,924,489,160
1622111573662,883,559,809
1622111574501,894,569,60
1622111574591,899,626,560
1622111575790,725,460,320
1622111577249,955,378,120
1622111577399,966,297,210
1622111577639,965,345,350
1622111577999,1007,347,90
1622111578119,1068,401,230
1622111578379,1057,389,200
1622111578609,1067,464,149
1622111579588,1073,556,290
1622111580018,1084,759,160
1622111580357,1023,689,120
1622111580767,1079,610,140
1622111580957,1152,542,190
1622111581177,1080,514,120
1622111581357,965,483,210
1622111581577,946,501,170
1622111581767,914,490,110
1622111581966,847,547,510
1622111582506,761,592,170
1622111583555,867,620,970
1622111584535,873,638,630
1622111585204,940,588,390
1622111585624,896,615,390
1622111586124,959,600,140
1622111586274,967,614,190
1622111586494,908,636,250
1622111586773,889,665,269
1622111587963,874,544,150
1622111588173,853,635,249
1622111588472,988,629,260
1622111588782,1099,632,80
1622111589602,976,415,60
1622111589672,927,423,160
1622111589862,871,421,179
1622111590081,899,515,110
1622111590211,933,490,250
1622111590491,893,453,430
1622111590961,933,502,280
1622111591271,910,545,180
1622111591481,904,517,519
1622111592030,919,525,360
1622111592420,884,481,240
1622111592680,859,522,250
1622111592970,989,528,220
1622111593200,1065,548,579
1622111593809,1070,586,150
1622111593969,1106,584,60
1622111594569,854,609,120
1622111594719,862,563,70
1622111595958,954,630,170
1622111596248,1157,585,100
1622111596408,913,560,249
1622111596707,1035,462,190
1622111597207,1020,488,90
1622111597337,951,565,300
1622111597677,1000,601,300
1622111598027,1197,563,229
1622111598316,967,569,320
1622111598656,955,599,110
1622111599016,1173,270,90
1622111599206,995,580,80
1622111599376,986,620,60
1622111599486,987,631,70
1622111599576,980,609,60
1622111599676,972,544,219
1622111599925,1005,590,210
1622111600675,819,220,190
1622111600895,815,280,200
1622111601125,828,274,629
1622111602324,898,683,220
1622111603043,1121,601,110
1622111603263,937,584,180
1622111603473,977,602,290
1622111603783,996,634,290
1622111604093,980,635,429
1622111604552,944,656,219
1622111604822,1009,559,210
1622111605062,1058,556,180
1622111605702,846,264,90
1622111605802,873,303,200
1622111606651,587,180,150
1622111608500,965,553,180
1622111608720,926,493,270
1622111609100,982,532,110
1622111609240,1016,568,229
1622111609539,1099,602,160
1622111609759,977,460,200
1622111610059,1240,384,130
1622111610249,973,376,210
1622111610489,951,446,240
1622111610789,686,473,190
1622111611038,1006,475,260
