timestamp,x,y,duration
1621937587547,952,69,110
1621937589036,1074,173,60
1621937616379,1257,175,90
1621937617028,1214,27,70
1621937617208,1147,71,160
1621937619167,948,6,120
1621937623305,1464,302,80
1621937628252,1158,292,69
1621937632379,703,35,110
1621937636147,1118,140,90
1621937636926,1037,142,70
1621937637146,987,189,110
1621937637486,1126,539,70
1621937638475,821,362,60
1621937639405,998,541,70
1621937640094,893,589,80
1621937640344,792,613,60
1621937642753,952,295,70
1621937642853,930,233,89
1621937643502,1278,118,190
1621937646890,930,296,100
1621937648299,1006,707,70
1621937648709,1006,594,70
1621937648849,948,615,110
1621937650968,857,671,89
1621937651257,913,726,200
1621937651547,898,754,210
1621937652127,925,773,130
1621937652277,931,737,270
1621937652666,1017,658,60
1621937653136,944,790,160
1621937653496,857,856,110
1621937653836,944,806,100
1621937654216,916,794,79
1621937654425,887,800,150
1621937656234,934,761,60
1621937656444,925,758,120
1621937657194,995,688,170
1621937659432,1029,745,60
1621937659552,1016,765,70
1621937660142,947,855,60
1621937660622,950,877,60
1621937660881,919,798,90
1621937661251,919,724,60
1621937661341,935,786,70
1621937664079,974,331,120
1621937664369,988,333,150
1621937667018,1106,374,60
1621937668467,972,56,80
1621937669366,704,713,120
1621937670186,1041,467,90
1621937671365,940,679,90
1621937671535,930,697,220
1621937671825,980,722,60
1621937671965,996,719,70
1621937672254,1048,641,170
1621937672614,1050,661,320
1621937673414,928,714,90
1621937673694,888,62,69
1621937676022,1163,664,60
1621937676562,1052,194,60
1621937676752,1150,69,60
1621937676872,1149,52,60
1621937677561,878,68,120
1621937677711,777,86,140
1621937677911,823,81,250
1621937678790,947,190,160
1621937680589,958,144,120
1621937680729,937,160,60
1621937680849,926,169,200
1621937681699,987,673,80
1621937682108,1007,39,80
1621937682298,981,108,100
1621937682558,963,170,60
1621937682898,983,191,160
1621937683627,879,172,60
1621937683817,951,169,90
1621937684197,852,140,190
1621937684517,860,122,150
1621937685656,903,111,130
1621937685951,873,16,165
1621937689224,540,212,60
1621937689454,1110,128,90
1621937690063,1084,59,80
1621937690463,1040,176,60
1621937691173,947,102,100
1621937691812,582,147,100
1621937692132,1080,56,90
1621937692492,993,80,70
1621937692882,949,109,279
1621937693191,911,91,230
1621937693451,949,75,100
1621937693671,930,76,100
1621937694381,940,103,170
1621937694820,702,260,140
1621937695760,994,247,160
1621937696709,1004,166,250
1621937696969,1001,196,160
1621937697249,1040,184,90
1621937699008,1002,250,80
1621937699717,959,103,150
1621937699917,922,112,150
1621937700147,925,116,80
1621937700287,927,132,150
1621937700627,1018,722,160
1621937701077,1032,755,80
1621937701187,1033,772,149
1621937701416,1023,764,230
1621937701706,1023,750,60
1621937701866,1014,682,230
1621937703525,1002,291,80
1621937703995,945,818,90
1621937704415,911,107,60
1621937704604,980,94,70
1621937704774,783,300,70
1621937705044,978,201,80
1621937705604,883,210,70
1621937705864,857,182,80
1621937706853,1028,795,60
1621937707143,885,123,80
1621937707433,915,100,339
1621937708002,902,116,90
1621937708832,1019,853,90
1621937708942,1006,826,80
1621937709531,901,116,280
1621937709871,878,110,310
1621937711680,977,784,90
1621937711830,971,756,70
1621937712090,929,765,60
1621937712500,979,756,80
1621937712879,1190,763,110
1621937713469,813,61,70
1621937717516,901,140,90
1621937717666,928,148,80
1621937717846,1304,224,60
1621937718206,1192,165,90
1621937718556,980,794,160
1621937718916,965,689,90
1621937719105,993,768,189
1621937719355,987,739,210
1621937719665,977,721,160
1621937719975,983,696,180
