timestamp,x,y,duration
1621934315012,1017,140,110
1621934315182,1033,132,190
1621934315432,1032,111,350
1621934315861,990,118,160
1621934319449,889,189,60
1621934320679,970,97,150
1621934320858,940,95,90
1621934320968,947,177,60
1621934321208,926,62,60
1621934323337,898,162,90
1621934324037,826,68,90
1621934325666,679,247,80
1621934325806,700,251,70
1621934325936,780,188,109
1621934326405,1065,223,80
1621934326545,1076,208,80
1621934326735,1299,222,130
1621934327145,971,179,100
1621934327385,1083,217,110
1621934328784,740,207,60
1621934328874,778,190,130
1621934329523,881,163,140
1621934329733,1039,173,70
1621934329913,982,306,580
1621934330503,984,318,480
1621934331002,932,289,429
1621934331512,971,411,110
1621934331662,957,495,170
1621934331922,920,382,280
1621934332412,939,201,439
1621934332911,933,223,60
1621934333191,933,309,60
1621934334580,700,53,70
1621934335420,832,51,260
1621934338378,972,120,60
1621934338818,956,110,70
1621934339238,964,121,100
1621934339467,879,133,80
1621934339787,905,137,320
1621934340207,998,122,150
1621934341027,1085,278,249
1621934342386,1319,197,380
1621934342965,1073,214,150
1621934344335,825,583,90
1621934344774,962,758,80
1621934344894,977,817,130
1621934345154,927,776,240
1621934345474,1046,753,80
1621934346653,1035,415,170
1621934347373,1066,392,180
1621934347912,994,407,60
1621934348302,879,421,180
1621934348532,1091,437,170
1621934348712,1056,417,80
1621934349022,930,344,230
1621934349312,920,343,130
1621934349741,1139,338,110
1621934349911,1067,376,260
1621934350221,1249,307,190
1621934350471,1024,293,160
1621934350641,1064,295,570
1621934351380,1312,254,70
1621934351790,1033,398,210
1621934352040,963,502,100
1621934352480,958,514,180
1621934352690,908,520,349
1621934353079,913,452,150
1621934353289,906,460,220
1621934353579,1061,354,70
1621934353709,1013,384,490
1621934355408,961,521,470
1621934356377,840,392,590
1621934357197,832,319,70
1621934357367,802,399,180
1621934357607,784,404,60
1621934358026,1024,468,210
1621934358586,792,219,180
1621934359266,1125,300,70
1621934360615,787,200,120
1621934360815,788,215,310
1621934361195,803,223,239
1621934361584,675,232,350
1621934362034,740,211,70
1621934362164,750,204,480
1621934362724,760,170,779
1621934363843,1193,228,120
1621934364353,1266,248,120
1621934364742,1169,219,140
1621934365052,989,251,150
1621934365302,1032,210,410
1621934365892,1080,277,100
1621934366062,1128,392,270
1621934366342,1026,421,299
1621934366651,974,418,60
1621934366831,1020,411,180
1621934367341,915,256,110
1621934367851,1089,490,80
1621934368400,920,197,170
1621934369330,989,249,110
1621934371578,865,410,120
