timestamp,x,y,duration
1622109309944,1035,629,70
1622109310244,965,561,80
1622109312563,1221,513,79
1622109312722,1152,535,270
1622109313902,1153,413,240
1622109314241,1072,457,199
1622109314531,1217,469,320
1622109315811,1347,846,60
1622109316120,1251,727,270
1622109316440,1327,754,60
1622109316530,1394,751,90
1622109316670,1299,711,310
1622109317030,1353,705,180
1622109317270,1395,721,70
1622109318849,1084,203,140
1622109319039,1177,178,60
1622109319199,1359,148,289
1622109319528,1211,160,440
1622109319978,1176,195,60
1622109320048,1158,195,80
1622109320138,1118,203,170
1622109320338,1029,184,530
1622109320908,1085,176,319
1622109321237,1072,169,470
1622109321727,1090,195,70
1622109321947,944,477,160
1622109323066,894,546,60
1622109323416,1040,435,160
1622109323586,1083,401,210
1622109323886,1134,415,60
1622109324216,1230,481,80
1622109324575,1088,388,80
1622109324695,1121,389,110
1622109324825,1093,409,130
1622109326214,947,465,130
1622109327404,992,590,60
1622109327504,986,512,100
1622109327773,794,402,280
1622109328293,1153,657,70
1622109328553,1298,552,120
1622109328823,932,498,60
1622109328893,939,489,70
1622109329073,943,513,90
1622109329472,1163,777,190
1622109330722,1130,389,140
1622109331061,1078,375,120
1622109331261,862,349,400
1622109331771,936,401,120
1622109332351,1334,311,80
1622109332451,1330,292,120
1622109332611,1345,291,90
1622109332820,911,539,110
1622109333060,668,386,70
1622109333230,748,339,60
1622109333360,773,303,170
1622109333560,775,320,70
1622109334090,1055,651,60
1622109334619,1117,462,90
1622109335169,1404,947,70
1622109335889,879,671,110
1622109336158,1282,392,180
1622109338717,1231,312,240
1622109339327,1401,283,70
1622109339586,1371,262,150
1622109339766,1360,285,70
1622109340046,1431,285,110
1622109340326,1338,181,170
1622109340736,979,595,70
1622109340826,971,617,160
1622109341006,997,593,89
1622109342685,1211,245,149
1622109342864,1265,261,220
1622109343094,1238,341,230
1622109343364,1226,430,140
1622109343514,1204,470,60
1622109344653,1201,549,130
1622109345933,1326,495,229
1622109347512,990,985,349
1622109348881,1282,428,70
1622109349930,790,706,80
1622109350690,1033,1074,60
1622109351589,1233,652,120
1622109353328,985,869,180
1622109354318,1044,705,110
1622109354527,1045,776,70
1622109354647,1045,839,70
1622109354997,874,676,110
1622109356127,909,338,119
1622109356266,922,310,120
1622109356486,1208,350,110
1622109356856,1038,462,110
1622109357066,958,534,370
1622109358225,864,471,80
1622109358795,906,578,230
1622109359035,916,540,210
1622109359295,952,423,110
1622109360704,891,737,60
1622109361124,892,630,109
1622109362962,937,947,70
1622109363722,934,341,80
1622109363982,1112,243,210
1622109364591,1170,312,109
1622109364771,890,623,70
1622109364981,932,677,90
1622109365091,961,650,70
1622109367690,1024,430,60
1622109367850,980,511,79
1622109368169,915,288,60
1622109368259,915,340,90
1622109368419,1182,443,70
1622109368579,1130,410,70
1622109368769,1024,437,90
1622109369608,773,403,100
1622109370358,1059,360,360
1622109372317,943,141,230
1622109375055,780,758,300
1622109376514,1055,249,110
1622109376784,1175,814,70
1622109379043,1025,784,130
1622109379293,977,771,160
1622109380962,751,993,60
1622109381481,894,688,80
1622109381901,984,185,60
1622109381971,973,197,70
1622109382531,1042,261,90
1622109382691,975,287,379
1622109383490,976,224,260
1622109383780,942,245,60
1622109385419,1114,304,150
1622109385649,1046,302,160
1622109385839,1089,295,559
1622109386438,1070,289,90
1622109386708,715,334,60
1622109386988,1189,292,60
1622109387108,1222,282,190
1622109388037,895,615,300
1622109388367,862,571,300
1622109388727,940,626,200
1622109388957,906,629,110
1622109390066,1178,256,220
1622109390296,1138,276,260
1622109392025,923,1059,80
1622109392155,941,1001,80
1622109392905,859,1044,129
1622109393054,901,1052,79
1622109393144,921,1064,260
