timestamp,x,y,duration
1622112102266,1064,70,330
1622112102696,1173,40,80
1622112102896,1198,7,120
1622112103325,838,387,60
1622112103465,960,438,90
1622112103565,974,425,60
1622112103675,1014,297,250
1622112104105,869,426,60
1622112104545,676,473,60
1622112104625,703,456,70
1622112105104,1110,156,280
1622112105444,1100,212,100
1622112105574,1103,262,80
1622112105914,1043,243,100
1622112106034,1044,222,60
1622112106144,1035,250,180
1622112106364,1023,286,80
1622112106523,1049,316,430
1622112107143,1152,14,70
1622112107363,1028,365,230
1622112108023,822,472,209
1622112108262,856,484,90
1622112108442,805,452,70
1622112108812,719,112,80
1622112108962,794,133,100
1622112109192,965,144,100
1622112109302,1010,159,110
1622112109442,1092,161,589
1622112110051,1127,127,230
1622112110321,1193,110,110
1622112110501,1171,50,80
1622112111041,566,86,60
1622112111141,551,114,80
1622112111400,666,86,190
1622112111720,736,56,250
1622112112480,1008,241,160
1622112112720,1041,295,70
1622112113189,1162,145,90
1622112113359,1131,124,190
1622112113579,1161,33,80
1622112113759,1173,75,60
1622112114059,934,95,60
1622112114139,980,89,90
1622112114269,1023,70,100
1622112114389,1039,98,90
1622112114688,1076,75,200
1622112114918,1083,33,70
1622112115018,1058,39,130
1622112115178,1045,35,110
1622112116987,1077,342,210
1622112117527,1129,44,130
1622112117667,1099,76,359
1622112118036,1081,81,440
1622112118726,1318,164,130
1622112118996,1255,108,280
1622112119565,1036,112,110
1622112119705,862,160,110
1622112119885,1008,84,330
1622112120315,1192,219,290
1622112120905,1279,77,109
1622112121134,1184,209,170
1622112121324,1192,217,120
1622112121574,928,54,290
1622112123563,1139,140,70
1622112124842,875,5,60
1622112125102,921,146,60
1622112125172,938,170,220
1622112125532,1081,144,110
1622112125672,1121,95,110
1622112125802,1127,45,99
1622112125971,1233,123,280
1622112126671,1277,77,120
1622112126801,1262,70,160
1622112127001,1260,24,70
1622112127171,1236,31,220
1622112127490,982,97,120
1622112127770,1007,41,450
1622112128230,1017,20,80
1622112128330,996,40,150
1622112128580,1223,127,170
1622112128800,1244,88,130
1622112129019,1024,230,409
1622112129619,1179,102,80
1622112129779,1225,41,100
1622112129909,1260,32,180
1622112130169,1211,239,410
1622112130768,991,62,70
1622112130998,1033,62,140
1622112131368,1209,126,60
1622112131678,1270,99,280
1622112132048,1049,78,419
1622112132497,963,133,100
1622112132617,1056,91,90
1622112132847,1075,85,230
1622112133307,956,245,60
1622112134836,1294,162,80
1622112135246,1122,100,60
1622112135685,982,93,60
1622112135805,1122,54,60
1622112136235,788,175,100
1622112136955,1280,117,139
1622112137194,1244,91,150
1622112137464,1194,57,180
1622112137774,1011,17,240
1622112138024,1031,14,150
1622112138294,993,286,200
1622112138584,1063,27,119
1622112139383,1010,14,130
1622112139603,1007,20,90
1622112139823,1095,28,729
1622112140562,1080,51,380
1622112140962,1073,66,100
1622112141112,1053,35,70
1622112141202,1038,43,120
1622112142371,1085,163,110
1622112142551,1035,218,110
1622112142811,1035,160,150
1622112142971,1023,184,140
1622112143211,1010,164,90
1622112143311,952,131,729
1622112145239,1322,113,70
1622112147578,1019,205,340
1622112147928,991,203,110
1622112148048,963,225,140
1622112148268,882,234,209
1622112149247,714,127,210
1622112149477,724,85,80
1622112149617,600,105,110
1622112149947,736,126,189
1622112150836,761,57,60
1622112151076,769,244,150
1622112151965,684,39,90
1622112152665,977,131,130
1622112152835,832,187,140
1622112153244,1314,299,100
1622112153444,951,190,90
1622112153564,996,208,60
1622112153674,1028,238,60
1622112154933,1124,195,70
1622112156582,894,320,170
1622112156852,1007,628,60
1622112157242,1019,245,60
1622112157312,987,269,270
1622112157602,1012,294,340
1622112158371,804,587,80
1622112158711,1081,473,150
1622112158881,1060,442,170
1622112159121,850,353,180
1622112159611,937,751,99
1622112160270,1278,155,60
1622112160350,1224,157,170
1622112160630,1203,149,60
1622112160790,1168,147,290
1622112161210,1145,159,279
1622112161499,1097,180,330
1622112161939,1101,205,770
1622112162729,1075,223,80
1622112162908,1095,228,130
1622112163128,1214,255,970
1622112164967,1289,117,410
1622112165447,1256,99,60
1622112165557,1210,91,90
1622112166027,994,248,79
1622112166356,790,117,70
1622112166576,977,185,80
1622112166706,1101,104,60
1622112167396,1157,156,70
1622112167636,1086,157,299
1622112168035,1079,192,60
1622112168315,1244,253,200
1622112168935,752,409,120
1622112169155,1018,476,399
1622112169624,819,386,200
1622112170204,1261,210,60
1622112170334,1202,206,709
1622112171223,1076,200,60
1622112171303,1113,224,240
1622112171613,1178,236,500
1622112172123,1167,234,469
1622112173422,879,317,320
1622112174012,1370,170,70
1622112174351,730,343,110
1622112174511,666,365,200
1622112175061,1297,212,70
1622112175291,810,383,180
1622112175561,1233,229,329
1622112175900,1239,247,100
1622112176150,1196,227,440
1622112176600,1168,225,360
1622112176990,1200,177,60
1622112177809,840,311,320
1622112178159,872,357,60
1622112178229,882,361,80
1622112178339,897,345,130
1622112178639,1418,116,60
1622112178739,1386,116,100
1622112178869,1331,137,159
1622112179198,1304,131,100
1622112179308,1322,151,100
1622112179568,1249,273,240
1622112180158,665,351,110
1622112180278,694,336,60
1622112180428,997,396,140
1622112181597,871,792,180
1622112182097,888,134,109
1622112182216,903,114,180
1622112182706,1141,332,60
1622112182936,1180,192,590
1622112183556,1165,269,70
1622112183736,1163,241,289
1622112184635,1043,541,100
1622112184885,1057,396,300
1622112185335,778,305,269
1622112186014,1189,224,550
