timestamp,x,y,duration
1622112844751,875,329,210
1622112845021,880,299,110
1622112846440,896,227,70
1622112846570,909,248,80
1622112847139,794,436,69
1622112847459,761,368,160
1622112849078,854,437,380
1622112849698,786,541,70
1622112850008,945,293,70
1622112850907,895,335,80
1622112851077,843,305,70
1622112851207,821,307,60
1622112852936,867,407,60
1622112853156,880,447,80
1622112853336,893,454,60
1622112853496,810,427,189
1622112853795,874,461,300
1622112854155,885,455,470
1622112854705,883,454,330
1622112855994,824,397,100
1622112856274,817,325,60
1622112856674,872,276,120
1622112857423,954,344,300
1622112857793,936,402,90
1622112858073,894,396,80
1622112858223,878,370,90
1622112858373,871,378,70
1622112858502,883,370,300
1622112858822,847,352,160
1622112859502,788,458,60
1622112859702,803,395,150
1622112859912,819,374,100
1622112860071,832,357,180
1622112860261,842,328,70
1622112860571,949,285,60
1622112861740,886,294,180
1622112862000,863,266,60
1622112862260,754,141,70
1622112862410,708,120,70
1622112862570,693,118,80
1622112863809,782,307,60
1622112864089,727,269,60
1622112864509,713,492,60
1622112864928,855,458,60
1622112865788,790,70,60
1622112865978,1010,281,140
1622112866388,924,205,169
1622112866647,722,132,190
1622112866937,952,254,190
1622112867257,945,239,140
1622112867587,966,245,100
1622112867757,975,238,70
1622112868027,841,472,90
1622112868176,768,434,70
1622112869725,878,327,69
1622112869855,858,316,60
1622112869995,819,318,170
1622112870405,935,337,210
1622112870675,942,329,220
1622112870955,955,328,210
1622112871225,962,319,60
1622112871394,976,317,220
1622112871674,984,310,220
1622112872094,1035,316,80
1622112872804,971,322,209
1622112873073,967,334,60
1622112873443,1262,300,130
1622112873663,944,323,530
1622112874433,990,371,129
1622112874642,983,352,310
1622112875042,983,344,60
1622112875202,984,347,140
1622112876301,795,284,160
1622112876591,789,293,110
1622112876781,573,207,180
1622112877341,563,356,150
1622112877591,664,185,60
1622112877761,556,131,199
1622112878560,441,99,80
1622112878790,750,259,120
1622112878970,739,254,90
1622112879300,628,196,189
1622112879719,635,194,470
1622112880329,841,233,300
1622112880969,772,219,129
1622112881158,788,228,320
1622112881638,804,261,100
1622112881838,817,238,60
1622112881958,832,241,90
1622112882158,854,249,210
1622112882428,995,260,449
1622112882957,843,265,140
1622112883337,896,275,130
1622112883657,1050,317,130
1622112884227,648,298,69
1622112884386,554,248,260
1622112884776,570,312,90
1622112885346,871,589,70
1622112885526,800,607,70
1622112887514,1005,424,60
1622112887604,1009,463,70
1622112889553,1063,306,80
1622112890273,883,559,140
1622112890523,934,559,130
1622112891392,934,309,60
1622112891582,921,329,60
1622112892371,840,394,90
1622112892971,784,497,60
1622112893091,786,513,140
1622112893701,793,632,319
1622112894120,831,630,320
1622112894520,810,611,80
1622112894790,803,651,70
1622112894920,785,651,90
1622112895090,792,649,70
1622112895220,824,650,60
1622112895420,866,596,129
1622112897049,965,305,109
1622112897218,961,323,80
1622112897358,975,336,370
1622112897818,953,328,320
1622112898218,933,320,70
1622112898388,1035,358,190
1622112898638,1019,348,199
1622112898967,652,432,60
1622112899037,684,424,100
1622112899197,631,351,180
1622112899487,1107,374,80
1622112899767,1130,339,80
1622112899927,1099,370,60
1622112900327,982,343,119
1622112900646,1072,320,200
1622112901336,968,345,60
1622112901476,949,370,90
1622112901636,937,362,70
1622112901906,870,316,89
1622112902125,1054,363,270
1622112902505,1106,387,170
1622112902905,1098,384,80
1622112903604,681,276,130
1622112903744,665,253,170
1622112904254,964,462,60
1622112904894,936,483,180
1622112906852,897,311,190
1622112907552,695,653,70
1622112907712,550,467,60
1622112907842,587,482,80
1622112908402,886,336,69
1622112908591,851,280,140
1622112909571,567,362,120
1622112909781,885,425,130
1622112909971,858,425,89
1622112910820,954,287,80
1622112911090,867,261,90
1622112911240,880,249,270
1622112912009,698,504,100
1622112912229,662,432,70
1622112912629,1027,272,220
1622112912909,984,280,90
1622112913059,973,282,70
1622112913798,795,310,280
1622112914368,976,398,150
1622112914917,942,450,80
1622112915387,630,290,100
1622112916087,1246,339,70
1622112916756,952,306,340
1622112917176,1011,288,100
1622112918205,641,339,210
1622112918515,754,344,130
1622112918745,838,348,180
1622112919435,670,273,80
1622112919704,532,289,80
1622112919984,612,366,60
1622112920114,695,358,70
1622112920404,693,364,80
1622112920624,864,329,110
1622112921653,789,368,180
1622112921973,947,220,90
1622112922123,927,240,70
1622112922293,848,243,150
1622112922703,1004,258,90
1622112922972,700,390,180
1622112923382,764,372,130
1622112923682,668,361,70
1622112923972,819,395,230
1622112924222,849,381,120
1622112924482,917,249,79
1622112924571,915,279,139
1622112924791,826,420,90
1622112924941,826,403,80
1622112925111,850,379,210
1622112925441,781,410,170
1622112925731,759,423,160
1622112925931,841,411,80
1622112926091,833,413,79
1622112926240,781,358,60
1622112926460,693,339,170
1622112926690,724,343,600
1622112927410,901,375,170
1622112927640,890,379,90
1622112927799,788,355,230
1622112928079,893,375,180
1622112928359,887,380,100
1622112928509,788,374,400
1622112928949,864,429,190
1622112929249,737,371,279
1622112929618,870,373,150
1622112930718,1045,413,120
1622112930928,909,401,189
1622112931267,866,376,60
1622112931507,773,304,90
1622112934026,710,545,199
1622112935455,945,396,110
1622112935844,827,385,159
1622112936804,833,363,140
1622112937044,873,309,60
1622112938703,791,542,90
1622112938983,825,314,99
1622112939252,830,284,110
1622112939612,755,350,160
1622112940122,717,349,70
1622112940242,618,383,100
1622112940572,622,456,60
1622112940821,751,454,220
1622112941201,782,561,60
1622112941661,732,643,80
1622112941961,782,646,210
1622112942640,897,84,60
1622112942800,813,97,180
1622112943420,825,657,170
1622112943630,836,645,70
1622112943790,856,685,159
1622112944389,859,636,120
1622112944909,832,671,250
1622112945259,798,649,160
1622112945588,846,661,80
1622112945808,847,590,80
1622112946268,881,624,240
1622112946688,893,598,70
1622112946848,848,602,150
1622112947157,779,627,60
1622112948507,757,312,80
1622112950725,631,369,100
1622112950915,605,410,70
1622112952464,887,541,150
1622112953633,960,281,140
1622112954553,724,281,120
1622112955862,823,640,60
1622112956002,815,604,90
1622112956692,766,178,90
1622112958400,850,634,70
1622112958710,731,584,60
1622112959080,899,285,90
1622112962228,648,361,180
1622112962528,637,339,140
1622112962768,772,359,80
1622112962958,663,327,110
1622112964107,639,329,180
1622112964437,596,191,389
1622112964886,603,170,500
1622112965466,610,135,320
1622112965886,599,102,200
1622112966306,664,153,70
1622112966435,680,163,160
1622112967785,1004,412,80
1622112968244,966,540,130
1622112969683,678,420,60
1622112969883,706,372,60
1622112970243,950,405,80
1622112970973,625,195,70
1622112971103,657,193,60
1622112971243,749,200,299
1622112971632,795,243,60
1622112971942,792,293,70
1622112972092,645,312,210
1622112972422,777,269,160
1622112972682,641,329,200
1622112972981,795,296,180
1622112973231,850,275,210
1622112973891,813,265,70
1622112974151,634,282,90
1622112974341,645,285,80
1622112975030,835,636,80
1622112975400,742,517,80
1622112975790,810,309,90
1622112976000,1001,340,159
1622112976419,649,129,70
1622112976669,589,127,520
1622112977249,729,193,160
1622112977549,932,497,80
1622112977988,760,495,100
1622112978238,690,494,270
1622112978678,696,496,90
1622112979288,768,365,79
1622112979647,956,410,150
