timestamp,x,y,duration
1622114442735,799,365,80
1622114445953,1078,537,60
1622114449331,1312,994,110
1622114449961,807,239,60
1622114450031,781,263,100
1622114450470,940,281,80
1622114451390,1360,321,130
1622114451890,1072,473,449
1622114452839,922,466,180
1622114453169,1177,408,170
1622114453399,1160,396,260
1622114453718,1130,385,190
1622114453918,1116,396,150
1622114454138,1115,457,90
1622114454288,1106,444,260
1622114454848,1110,410,350
1622114455457,1107,452,150
1622114455687,1101,457,110
1622114455867,932,543,380
1622114457566,1108,524,80
1622114457716,998,545,130
1622114458456,847,613,89
1622114458605,875,614,100
1622114458805,931,576,570
1622114459435,953,583,90
1622114459715,788,381,400
1622114461624,999,405,70
1622114464092,787,808,80
1622114464542,1136,242,170
1622114465421,935,315,80
1622114465591,830,404,150
1622114465911,973,356,110
1622114467500,985,514,110
1622114467850,891,501,190
1622114468339,814,526,70
1622114468849,937,277,70
1622114469739,1125,497,70
1622114469918,1118,469,180
1622114470168,1113,483,150
1622114470718,940,465,190
1622114471168,800,475,60
1622114471338,822,443,70
1622114471517,750,498,90
1622114471717,780,462,230
1622114472577,902,457,150
1622114474506,615,222,60
1622114474636,662,242,69
1622114475735,908,369,170
1622114476025,944,279,70
1622114479213,786,503,70
1622114479682,776,430,170
1622114479972,685,497,260
1622114481491,690,502,200
1622114481761,680,457,80
1622114482091,573,356,120
1622114482790,796,387,380
1622114483250,771,359,280
1622114483570,768,283,120
1622114483930,813,512,90
1622114484100,813,521,90
1622114484389,782,367,70
1622114484539,778,368,180
1622114484789,785,435,80
1622114486138,741,569,70
1622114486228,745,543,60
1622114486348,737,510,60
1622114486438,784,464,130
1622114486578,788,434,210
1622114486798,786,417,110
1622114487048,765,402,110
1622114487238,765,393,160
1622114487418,755,412,110
1622114487657,715,433,330
1622114488047,760,417,90
1622114488337,757,374,130
1622114488477,767,381,80
1622114488617,769,391,70
1622114489926,1132,387,60
1622114490016,1095,387,60
1622114490446,721,663,70
1622114492844,706,316,130
1622114494143,887,864,100
1622114494323,877,880,350
1622114494773,885,873,90
1622114494883,877,862,60
1622114495023,891,830,90
1622114495313,882,795,60
1622114496212,1010,747,120
1622114496752,908,552,260
1622114497022,871,579,60
1622114497102,856,612,60
1622114497182,838,631,120
1622114499440,814,511,90
1622114499730,850,539,90
1622114500400,940,982,90
1622114501479,964,508,60
1622114501549,958,489,170
1622114502508,886,822,150
1622114502738,883,812,220
1622114503038,898,819,110
1622114503178,928,790,60
1622114503358,935,717,110
1622114503488,950,741,160
1622114503787,917,621,190
1622114504037,896,596,200
1622114505317,803,132,69
1622114506546,1056,454,120
1622114506826,1027,551,60
1622114507025,980,470,110
1622114507595,972,313,120
1622114509044,982,584,70
1622114509184,959,530,70
1622114509294,941,529,80
1622114509744,1022,535,60
1622114511253,918,657,70
1622114511403,991,884,120
1622114511553,927,878,160
1622114511763,942,961,99
1622114512262,1023,942,180
1622114512592,988,900,100
1622114513022,876,886,60
1622114513142,895,877,150
1622114513302,904,858,129
1622114513661,930,888,100
1622114513831,944,886,80
1622114514631,900,777,170
1622114514821,875,749,120
1622114515490,891,731,180
1622114515680,855,781,160
1622114515870,807,816,350
1622114516290,841,918,90
1622114516540,830,932,100
1622114516680,840,938,119
1622114516899,874,1027,150
1622114517099,1005,1010,70
1622114517439,879,861,60
1622114517589,857,852,210
1622114518139,834,963,80
1622114518418,954,866,80
1622114518508,924,878,130
1622114518718,915,876,200
1622114518998,908,896,320
