timestamp,x,y,duration
1622113724320,892,230,70
1622113724400,905,255,160
1622113724880,1104,397,90
1622113725250,1136,366,60
1622113725459,1114,557,150
1622113726919,1114,488,120
1622113728108,1079,403,410
1622113728618,1112,328,99
1622113729147,1000,324,70
1622113729727,1032,279,60
1622113730926,1205,359,100
1622113731066,1241,343,150
1622113731276,1218,290,60
1622113731446,1198,322,70
1622113731906,958,362,99
1622113732035,964,415,150
1622113732235,972,445,110
1622113732895,753,360,150
1622113733065,768,373,60
1622113733185,788,376,260
1622113733525,711,304,369
1622113733944,747,310,120
1622113734074,745,325,530
1622113734744,910,508,60
1622113734874,894,484,70
1622113735303,724,453,80
1622113735753,628,183,230
1622113736253,618,218,240
1622113736603,794,402,60
1622113736842,757,395,99
1622113737422,562,189,400
1622113738012,790,332,70
1622113738152,787,306,230
1622113738481,780,310,60
1622113738871,1302,180,60
1622113739351,1048,101,80
1622113739461,1073,56,300
1622113740180,1097,99,80
1622113740470,1083,148,90
1622113740830,380,509,80
1622113741110,1064,179,80
1622113742139,957,398,70
1622113743638,1237,94,90
1622113744038,997,202,60
1622113744468,955,167,110
1622113744848,967,192,219
1622113745417,1002,185,60
1622113746327,972,424,80
1622113746417,953,401,249
1622113746686,919,399,60
1622113746756,906,385,130
1622113746956,886,362,70
1622113747046,874,342,260
1622113747316,880,351,200
1622113747636,1146,374,270
1622113748275,1224,185,100
1622113748595,995,576,190
1622113749075,1107,382,80
1622113749365,952,640,230
1622113749874,895,313,70
1622113750204,1121,255,180
1622113750414,1103,317,250
1622113751154,1222,504,250
1622113751853,1062,524,90
1622113752673,533,510,80
1622113753682,886,419,80
1622113753852,815,405,170
1622113754112,732,454,60
1622113756430,1094,403,120
1622113756830,824,263,100
1622113757010,1102,470,130
1622113758779,807,383,250
1622113759499,869,103,189
1622113760628,1230,77,200
1622113760848,1196,79,100
1622113760998,1164,186,160
1622113762087,678,360,90
1622113762377,740,557,60
1622113762647,1011,504,200
1622113763216,1250,390,80
1622113764386,839,507,139
1622113765565,962,268,60
1622113765755,874,261,70
1622113765925,910,345,80
1622113766025,818,270,179
1622113766724,1321,585,70
1622113767204,1371,488,60
1622113767294,1383,513,230
1622113768273,819,190,90
1622113768393,840,196,70
1622113768553,839,219,240
1622113775239,1344,323,230
1622113775629,1300,372,180
1622113775968,1300,507,70
1622113776058,1306,547,100
1622113776178,1290,535,160
1622113777957,96,142,120
1622113778257,432,336,130
1622113778647,1264,505,110
1622113778917,1182,575,100
1622113779077,1191,633,109
1622113779816,970,578,300
1622113780136,920,542,190
1622113780366,985,488,80
1622113781225,1197,458,130
1622113781375,1222,459,130
1622113781555,1269,486,90
1622113782185,1077,673,130
1622113782375,841,669,79
1622113782494,849,630,90
1622113782914,940,538,130
1622113783164,1139,488,130
1622113783514,945,641,80
1622113783634,1020,537,100
1622113783814,892,357,110
1622113783984,831,364,109
1622113784203,1090,267,160
1622113784463,902,449,70
1622113784593,969,470,70
1622113785433,1213,328,100
1622113785583,1319,271,159
1622113785762,1275,236,110
1622113786312,1407,455,80
1622113786812,629,453,130
1622113787771,819,306,60
1622113787971,903,422,130
1622113788141,856,386,140
1622113788291,876,415,80
1622113788431,802,428,60
1622113788521,833,482,60
1622113788671,871,559,170
1622113788861,876,540,109
1622113789150,826,439,90
1622113789390,794,454,70
1622113789830,699,545,130
1622113790330,1237,448,100
1622113793088,931,310,190
1622113793498,935,369,260
1622113793857,1229,502,110
1622113793977,1205,503,150
1622113794187,1112,512,160
1622113794527,563,325,70
1622113794917,1066,610,60
1622113795387,1044,515,69
1622113795686,1079,476,80
1622113795936,988,1065,60
1622113796366,902,690,70
1622113796456,922,656,100
1622113797315,146,509,70
1622113797425,105,516,100
1622113798115,658,519,80
1622113799164,1012,705,60
1622113799564,1199,302,70
1622113800264,839,395,89
1622113800493,1169,483,160
1622113800673,1137,466,60
1622113800753,1133,483,240
1622113801063,1091,468,80
1622113802562,714,591,100
1622113802982,547,664,130
1622113803801,1385,334,90
1622113803951,1363,291,90
1622113805111,1106,694,239
1622113805370,1084,703,60
1622113805660,955,827,70
1622113805800,862,829,160
1622113805970,794,850,370
1622113806400,768,917,70
1622113806630,701,704,60
1622113807989,758,790,70
1622113808069,793,753,379
1622113808518,904,680,210
1622113808888,969,791,80
1622113809898,1161,385,100
1622113810038,1201,352,79
1622113811027,909,723,160
1622113811207,938,662,120
1622113811667,1045,558,119
1622113811846,1154,541,70
1622113812006,1012,616,150
1622113812426,920,945,80
1622113812556,907,913,80
1622113812696,917,899,80
1622113812866,850,862,130
1622113813156,888,554,60
1622113813335,910,638,120
1622113813545,921,558,70
1622113814125,974,893,170
1622113814325,925,917,100
1622113814885,927,508,209
1622113815154,1123,547,80
1622113816534,933,1063,99
1622113817053,898,450,70
1622113817133,883,445,90
1622113817383,1078,461,160
1622113817773,912,519,70
1622113817973,941,1076,140
1622113818792,1098,777,120
1622113818962,856,813,100
1622113819072,866,778,120
1622113819222,885,748,110
1622113819352,886,718,300
1622113820411,1274,373,60
1622113820561,1226,346,60
1622113820631,1218,330,180
1622113820891,1226,338,120
1622113821500,901,757,120
1622113822160,1129,634,60
1622113823020,897,479,99
1622113823339,1031,876,60
1622113823529,1006,867,70
1622113823619,1014,830,100
1622113824099,989,153,70
1622113825608,760,416,70
1622113826278,1031,942,69
1622113826517,1030,811,140
1622113826887,886,606,80
1622113827127,1050,898,70
1622113827707,846,742,100
1622113828086,1234,738,110
1622113828336,1109,725,120
1622113828496,1142,686,140
1622113828946,1004,777,90
1622113829366,1150,1012,110
1622113830175,986,767,70
1622113830345,936,395,90
1622113830535,992,844,140
1622113830685,1007,856,70
1622113831874,1096,954,150
1622113832284,1078,1003,90
1622113833673,963,1004,70
1622113834133,1068,101,60
1622113834562,1102,407,450
1622113835062,1252,425,230
1622113836141,1042,790,140
1622113836301,1014,748,390
1622113837980,992,569,140
1622113838270,893,712,80
1622113838450,753,606,160
1622113838630,746,539,100
1622113839729,1034,489,60
1622113840569,1040,907,200
1622113840879,1088,734,449
1622113842448,1029,923,60
1622113842607,1045,820,100
1622113844117,1126,252,209
1622113844356,1178,246,210
1622113844676,1162,280,130
1622113846975,809,462,90
1622113847155,747,670,90
1622113849343,972,142,60
1622113849413,982,165,160
1622113849923,1196,401,60
1622113850073,1127,427,200
1622113850403,841,365,90
1622113850563,839,348,479
1622113852212,967,843,129
1622113852401,1119,707,90
1622113854190,1030,412,60
1622113855929,1079,812,210
1622113856259,849,592,70
1622113856609,813,788,370
1622113856989,831,753,60
1622113857069,828,767,90
1622113857328,1098,851,100
1622113857888,990,250,60
1622113858837,890,907,300
1622113859927,1174,468,80
1622113861066,888,277,110
1622113861946,926,967,239
1622113862205,908,927,160
1622113862375,927,937,200
1622113862585,926,915,80
1622113862925,955,982,70
1622113863315,955,890,180
1622113863505,946,879,130
1622113863734,959,879,260
1622113864104,1020,856,110
1622113864324,1145,850,70
1622113866763,761,159,60
1622113866992,741,66,160
1622113867452,740,471,110
1622113869011,838,670,110
1622113869741,1104,727,60
1622113870890,1196,567,90
1622113872379,1098,432,60
1622113872449,1081,411,120
1622113873259,615,587,60
1622113874168,1035,486,160
1622113875107,788,632,120
1622113875507,982,406,250
1622113876267,810,746,90
1622113876397,822,809,130
1622113878166,923,668,169
1622113878365,951,636,70
1622113878655,1117,600,60
1622113878725,1138,554,220
1622113878965,1188,516,120
1622113879115,1244,461,270
