timestamp,x,y,duration
1621852735535,786,491,100
1621852735675,787,410,90
1621852736435,1022,239,90
1621852736834,928,272,70
1621852737314,889,202,90
1621852737494,884,134,480
1621852738124,1196,359,190
1621852740552,1029,336,60
1621852740782,940,349,90
1621852740902,1000,293,250
1621852741642,972,278,70
1621852741762,985,284,120
1621852742191,1055,340,110
1621852742771,555,19,100
1621852743001,610,126,130
1621852743181,640,159,180
1621852744990,729,596,140
1621852745190,740,580,99
1621852745379,922,584,310
1621852745869,1001,523,80
1621852746799,1194,386,140
1621852747048,1200,418,110
1621852747258,1170,357,190
1621852747858,888,400,70
1621852748028,919,370,80
1621852748558,878,280,119
1621852749377,1157,577,290
1621852750706,871,173,130
1621852751306,191,433,100
1621852753465,1079,89,80
1621852759431,861,281,110
1621852761640,559,625,80
1621852765727,989,398,80
1621852767806,1409,502,70
1621852769415,790,502,100
1621852769815,690,546,710
1621852770585,700,555,159
1621852771164,700,600,70
1621852771574,670,543,90
1621852771784,682,548,220
1621852772344,655,544,729
1621852774832,945,875,80
1621852775242,951,787,60
1621852775442,998,791,60
1621852775532,980,767,140
1621852776801,1102,175,100
1621852777161,1140,217,90
1621852777980,1040,794,140
1621852778420,1185,376,60
1621852779429,1070,1008,90
1621852781248,1014,652,90
1621852781648,970,687,90
1621852781878,951,651,180
1621852782068,945,664,70
1621852782148,934,668,130
1621852782328,956,705,190
1621852782528,946,701,129
1621852782797,978,656,140
1621852783307,939,595,110
1621852783517,884,639,110
1621852783677,861,627,220
1621852783927,892,646,70
1621852784077,851,723,60
1621852784217,937,751,709
1621852785576,795,716,210
1621852785806,780,700,90
1621852786305,806,676,80
1621852786445,848,616,80
1621852786605,928,697,190
1621852786965,868,807,230
1621852787205,891,767,260
1621852787515,907,705,189
1621852787814,931,692,80
1621852789753,1062,713,110
1621852791302,636,763,70
1621852793101,695,403,250
1621852794920,1559,452,120
1621852795120,1388,608,110
1621852796839,956,53,60
1621852798008,636,271,90
1621852798218,643,284,340
1621852798588,629,208,340
1621852799118,754,54,70
1621852799418,739,232,99
1621852800027,878,205,100
1621852800237,715,446,400
1621852800697,783,365,90
1621852800847,964,537,170
1621852801127,757,693,199
1621852801356,808,684,100
1621852801466,832,662,110
1621852801586,879,630,330
1621852801956,807,639,570
1621852802676,968,584,200
1621852802906,934,550,359
1621852803315,793,592,440
1621852803805,753,541,290
1621852804125,742,555,230
1621852804854,1215,851,80
1621852805324,720,383,110
1621852805814,1112,159,70
1621852806513,1150,50,60
1621852806633,1137,22,60
1621852806963,1127,29,80
1621852807103,635,482,230
1621852807353,643,530,180
1621852807573,762,418,320
1621852807923,808,416,189
1621852808332,814,422,570
1621852808912,829,464,180
1621852809192,801,526,430
1621852809652,751,523,79
1621852809741,746,505,620
1621852810401,636,566,140
1621852810781,657,566,80
1621852810951,653,564,180
1621852811151,603,524,389
1621852811560,615,540,190
1621852811760,644,547,90
1621852812120,759,572,90
1621852812220,792,568,110
1621852812370,885,548,200
1621852812590,931,522,60
1621852813509,1100,1062,80
1621852813629,1089,1022,100
1621852813779,1035,1034,60
1621852815078,732,84,110
1621852816158,1534,348,60
1621852817147,998,160,100
1621852817567,1014,164,280
1621852818246,1012,173,220
1621852818556,1005,174,150
1621852819116,1016,226,80
1621852819786,894,195,60
1621852820135,784,256,60
1621852820705,987,712,110
1621852820825,1002,717,80
1621852821005,1021,682,709
1621852822734,1297,216,120
1621852822904,1143,177,80
1621852823124,1124,219,299
1621852823763,1215,253,60
1621852823893,1221,281,140
1621852824643,1184,333,70
1621852824753,1196,339,419
1621852826362,884,289,170
1621852826552,918,284,89
1621852826651,949,303,290
1621852826961,936,323,370
1621852827471,756,416,140
1621852827651,873,413,729
1621852828600,887,388,90
1621852829200,1305,79,60
1621852830829,751,340,60
1621852830989,1185,601,100
1621852831159,901,320,160
1621852831359,917,348,70
1621852831599,819,371,159
1621852831788,826,428,60
1621852832028,870,381,280
1621852832558,820,480,160
1621852832728,839,483,90
1621852832888,913,469,190
1621852833108,902,448,729
1621852833967,886,422,70
1621852834237,830,415,140
1621852834407,844,413,110
1621852834567,921,426,140
1621852834747,896,489,110
1621852834957,925,541,339
1621852835506,880,524,1489
1621852837005,811,515,180
1621852837305,728,484,70
1621852837385,726,499,140
1621852838125,1210,886,70
1621852838305,816,407,120
1621852839014,718,499,90
1621852839194,760,465,170
1621852839504,768,503,360
1621852840084,722,471,79
1621852840493,1010,605,70
1621852842112,892,372,260
1621852842712,983,245,60
1621852843621,1128,727,90
1621852844701,1017,322,60
1621852845290,1148,816,70
1621852845410,1091,788,60
1621852849658,1041,874,100
1621852849768,1042,967,90
1621852851127,1336,98,130
1621852851337,1340,74,460
1621852851887,1338,74,89
1621852851997,1351,79,89
1621852852766,1014,805,110
1621852853975,1078,235,70
1621852854055,1065,254,140
1621852855774,1547,207,390
1621852859222,1174,773,80
1621852862760,736,631,130
1621852863160,720,629,60
1621852863230,697,636,70
1621852863340,658,637,110
1621852864329,1130,955,100
1621852864479,1129,1003,190
1621852864679,1127,1048,70
1621852865369,967,309,199
1621852865758,1051,922,70
1621852866248,1642,303,70
1621852866528,1012,1038,160
1621852866758,1061,1043,90
1621852867407,696,384,190
1621852867857,415,731,110
1621852868127,780,452,60
1621852868207,808,437,210
1621852869926,377,730,90
1621852870226,813,1058,220
1621852871265,1097,893,220
1621852871665,1074,796,140
1621852871825,1035,764,60
1621852871915,1011,748,70
1621852872005,983,750,339
1621852872874,992,740,90
1621852872974,993,727,80
1621852873324,988,610,140
1621852877381,1212,579,80
1621852877581,1180,555,290
1621852878271,1112,585,70
1621852879410,863,470,100
1621852879580,873,510,250
1621852879890,928,661,90
1621852880000,934,631,140
1621852880340,932,621,90
1621852880450,934,609,299
1621852880809,913,618,130
1621852880959,916,657,60
1621852881139,921,710,200
1621852881549,859,495,410
1621852882059,962,817,70
1621852882438,989,775,60
1621852882748,986,674,60
1621852882828,1006,675,70
1621852882928,990,639,130
1621852883088,989,626,500
1621852883598,955,662,400
1621852884008,911,666,89
1621852884127,873,669,60
1621852884337,805,833,90
1621852884477,652,659,70
1621852885017,971,742,140
1621852885207,932,776,130
1621852885447,909,661,110
1621852885617,985,513,259
1621852885886,976,566,110
1621852886096,983,596,190
1621852886626,830,824,60
1621852886706,851,820,160
1621852886886,815,774,120
1621852887036,816,801,140
1621852887316,815,681,89
1621852888405,906,1071,70
1621852888565,945,1048,140
1621852888865,951,905,80
1621852889075,1100,297,199
1621852889284,1077,307,90
1621852889384,1063,318,110
1621852889584,939,795,130
1621852889894,1071,290,120
1621852890094,991,294,100
1621852890244,988,372,160
1621852890444,1009,437,220
1621852890714,1051,438,70
1621852891903,744,907,60
1621852892772,1112,629,90
1621852892942,1171,616,80
1621852893082,1191,560,70
1621852893582,655,756,110
1621852894481,1122,694,340
1621852895301,1153,915,190
1621852896730,722,849,110
1621852897210,721,325,170
1621852897390,699,362,90
1621852898599,1107,903,70
1621852898809,1080,756,90
1621852898919,1052,718,80
1621852899169,1083,723,60
1621852899388,1069,552,440
1621852900338,766,319,80
1621852900518,855,299,140
1621852900878,714,340,539
1621852901547,826,388,220
1621852903666,998,615,60
1621852904655,921,529,140
1621852905095,817,214,90
1621852906104,1017,534,120
1621852906234,1005,527,70
1621852906524,946,753,410
1621852910412,1031,338,120
1621852911091,960,291,90
1621852911491,949,233,250
1621852911901,694,412,110
1621852912311,550,536,120
1621852912471,523,567,60
1621852912760,770,550,69
1621852912910,769,575,80
1621852913080,782,543,100
1621852913230,765,486,140
1621852913600,627,520,90
1621852913920,702,580,80
1621852914070,880,514,340
1621852914529,852,517,330
1621852914929,729,537,80
1621852915039,734,556,480
1621852915569,871,495,430
1621852916208,755,522,730
1621852916998,854,482,240
1621852917278,882,659,60
1621852917438,859,482,1169
1621852918747,803,470,60
1621852918847,921,503,240
1621852919237,666,448,190
1621852920066,857,525,250
1621852920676,1151,550,60
1621852920826,1459,797,290
1621852921295,1609,778,60
1621852921405,1720,696,90
1621852921565,1694,698,140
1621852922765,994,721,100
1621852922974,978,748,60
1621852924204,810,1015,70
1621852925033,1240,399,80
1621852925133,1203,405,70
1621852925363,1153,530,80
1621852925713,1178,405,200
1621852925933,1177,431,100
1621852926093,1179,447,100
1621852926932,1053,573,60
1621852927262,1048,608,130
1621852927412,1031,594,60
1621852927492,1063,623,60
1621852927572,1090,668,459
1621852928611,580,420,110
1621852928821,666,496,260
1621852929111,675,509,100
1621852929261,715,568,379
1621852929710,688,608,580
1621852930300,731,540,70
1621852930400,687,541,500
1621852931000,687,512,220
1621852931250,741,561,119
1621852931399,690,514,1100
1621852932529,696,497,120
1621852932889,688,489,70
1621852932989,711,494,289
1621852934178,795,622,100
1621852934398,786,611,120
1621852940644,958,714,60
1621852940714,940,697,70
1621852940794,953,702,729
1621852941683,965,678,400
1621852942093,974,688,220
1621852943432,821,811,210
1621852944082,1444,623,60
1621852944652,1133,771,120
1621852944951,1082,796,210
1621852945581,1066,780,60
1621852946031,1074,762,170
1621852946291,1065,747,120
1621852946570,1051,763,100
1621852946710,1004,735,90
1621852946810,1010,763,110
1621852948050,766,139,259
1621852949599,1001,645,110
1621852949978,1007,559,60
1621852950058,1027,587,100
1621852950188,993,575,170
1621852950428,984,621,380
1621852951048,1022,625,120
1621852951198,1036,658,60
1621852951438,1005,637,179
1621852951667,996,649,150
1621852951897,1004,617,160
1621852952077,1017,645,90
1621852952477,1011,626,80
1621852952637,1033,662,80
1621852952737,1005,641,180
1621852953237,857,349,99
1621852953716,748,385,60
1621852953806,783,388,100
1621852953946,887,363,540
1621852954526,824,408,330
1621852955315,1193,951,80
1621852955655,769,443,140
1621852955845,699,323,70
1621852956594,1013,352,60
1621852956684,926,370,480
1621852957184,904,389,820
1621852958583,955,275,190
1621852958993,873,302,280
1621852960212,937,569,380
1621852960882,774,558,100
1621852961002,792,535,80
1621852961951,1403,460,120
1621852962231,1197,386,210
1621852962661,786,864,60
1621852963011,968,633,110
1621852963161,961,597,150
1621852963350,959,583,79
1621852963490,982,589,280
1621852964190,1001,620,60
1621852964430,961,669,240
1621852964760,974,709,90
1621852964860,959,694,90
1621852964990,945,689,119
1621852965139,954,703,110
1621852965289,932,690,550
1621852965879,954,722,60
1621852965989,918,692,160
1621852966379,924,715,110
1621852966509,946,740,60
1621852966669,943,732,159
1621852968377,1156,514,130
1621852969147,630,855,480
1621852972425,1009,667,370
1621852972855,1009,679,70
1621852973504,1275,127,60
1621852973694,1251,227,60
1621852973824,1273,131,110
1621852973974,1282,112,60
1621852974054,1320,132,60
1621852974814,972,676,969
1621852975813,987,695,110
1621852975943,965,729,160
1621852976293,1012,783,110
1621852977622,799,555,70
1621852977822,799,609,290
1621852978122,774,604,90
1621852978222,778,614,70
1621852978302,761,609,70
1621852978671,1125,44,120
1621852978811,1097,134,60
1621852978991,1039,120,80
1621852979121,992,76,210
1621852979481,978,101,120
1621852980021,1396,484,60
1621852980560,770,92,280
1621852981010,748,83,220
1621852981909,1188,1068,100
1621852983518,819,539,109
1621852983668,887,571,130
1621852983888,894,575,280
1621852984268,883,593,140
1621852984498,841,590,250
1621852984758,811,582,90
1621852984858,805,568,150
1621852985597,1085,793,80
1621852986017,1057,694,620
1621852986847,1115,273,219
1621852987746,1017,708,80
1621852988536,1288,916,69
1621852989985,983,681,479
1621852990494,984,710,360
1621852991824,1018,430,110
1621852992113,1097,473,60
1621852992273,1062,482,60
1621852994192,1064,245,210
1621852994452,1222,397,70
1621852994892,1289,97,340
1621852996571,919,885,150
1621852998769,1013,770,420
1621852999279,960,800,360
1621852999929,1096,713,190
1621853000169,1070,724,170
1621853000438,1045,734,150
1621853001158,969,829,110
1621853001318,982,801,160
1621853001548,945,794,160
1621853002307,914,753,290
1621853002667,1050,719,80
1621853002937,1013,751,190
1621853003417,954,719,299
1621853003746,922,732,460
1621853004946,1070,633,70
1621853005236,1148,701,70
1621853005785,986,745,90
1621853006145,954,438,100
1621853006265,961,468,60
1621853006335,973,485,70
1621853006665,969,583,80
1621853006955,850,692,90
1621853007454,781,710,80
1621853011492,449,783,80
1621853012501,906,409,180
1621853013960,636,505,110
1621853014120,699,454,70
1621853014250,727,463,90
1621853014350,746,445,240
1621853014630,635,422,270
1621853014920,655,420,230
1621853015839,963,705,60
1621853016669,1432,457,80
1621853017428,1067,428,70
1621853017548,1176,259,70
1621853018128,777,175,70
1621853018448,723,185,60
1621853019047,866,325,220
1621853019317,871,339,280
1621853019627,872,299,130
1621853019817,860,329,360
1621853020856,1143,244,290
1621853021176,1163,303,180
1621853021776,1011,824,200
1621853022006,947,831,60
1621853024864,1166,751,80
1621853025014,1158,801,160
1621853025583,1041,319,110
1621853025893,1048,233,90
1621853025993,1050,254,80
1621853026203,1027,300,110
1621853026693,542,476,320
1621853027033,534,443,70
1621853027302,1004,352,70
1621853028202,1012,376,150
1621853028382,932,331,130
1621853030341,1116,283,60
1621853030551,1013,281,69
1621853030820,1136,300,120
1621853031880,1098,551,110
1621853032060,1040,605,70
1621853032439,998,655,130
1621853032579,1018,674,130
1621853033849,989,644,60
1621853034178,992,671,220
1621853034468,989,639,310
1621853034818,997,660,90
1621853034938,1011,687,230
1621853035188,1007,697,280
1621853035478,978,686,1529
1621853037037,998,670,90
1621853037187,1025,693,60
1621853037486,1009,699,100
1621853037656,1006,675,60
1621853038086,977,663,340
1621853038526,982,664,290
1621853038826,983,646,100
1621853039015,998,631,370
1621853039705,964,343,80
1621853040085,1010,326,130
1621853040734,1014,884,150
1621853040904,973,822,290
1621853041284,1015,827,140
1621853041464,1030,837,120
1621853042723,1281,966,100
1621853044502,1064,1066,80
1621853045302,902,381,90
1621853045452,965,550,250
1621853045771,1009,662,150
1621853046001,1167,858,160
1621853046231,914,631,140
1621853046451,963,623,230
1621853046711,978,705,60
1621853047131,922,622,130
1621853047321,949,619,1509
1621853049169,1044,799,240
1621853049489,991,694,290
1621853049849,959,651,240
1621853050229,995,300,70
1621853050339,984,315,130
1621853050778,971,431,200
1621853051508,684,344,230
1621853052877,995,824,90
1621853053057,1073,932,160
1621853053227,1070,902,200
1621853054426,971,104,510
1621853055216,959,203,80
1621853055356,948,251,80
1621853055726,878,314,299
1621853056155,949,305,220
1621853056445,952,345,170
1621853056845,976,393,200
1621853057055,955,437,80
1621853057215,956,504,60
1621853057285,931,518,160
1621853057484,936,558,250
1621853057844,905,494,480
1621853058454,912,535,120
1621853058584,906,544,110
1621853059203,901,276,210
1621853059443,909,329,410
1621853060353,967,697,469
1621853060842,991,704,190
1621853062561,952,629,70
1621853062651,979,634,80
1621853062791,972,593,200
1621853063111,963,585,130
1621853063261,985,604,70
1621853063351,975,595,80
1621853063511,1002,655,80
1621853063681,991,679,150
1621853063841,1012,703,120
1621853064150,1052,713,129
1621853064660,1002,669,90
1621853064770,984,643,220
1621853065030,996,646,60
1621853065200,986,638,210
1621853065610,985,560,329
1621853066089,987,564,130
1621853066249,997,581,100
1621853066449,1010,593,60
1621853066659,993,565,170
1621853066869,1027,592,340
1621853067439,1036,585,539
1621853068138,1015,582,110
1621853068438,996,597,60
1621853068588,998,589,160
1621853068758,1004,611,270
1621853069068,1032,661,60
1621853069567,992,674,80
1621853069827,984,634,60
1621853070097,1027,645,60
1621853070527,972,598,200
1621853071296,982,655,200
1621853071896,1089,649,130
1621853072486,1001,624,60
1621853072645,1001,607,90
1621853072775,1021,625,70
1621853073185,1007,626,330
1621853073685,998,613,160
1621853073905,978,606,110
1621853074045,994,630,170
1621853074494,978,630,620
1621853075384,972,654,110
1621853075594,980,683,60
1621853075764,976,689,139
1621853076003,1008,676,80
1621853076153,979,650,200
1621853076453,977,636,1000
1621853077553,978,671,1159
1621853078732,978,656,90
1621853079042,969,700,219
1621853079271,971,671,210
1621853079561,969,659,390
1621853080181,972,693,270
1621853080711,955,661,249
1621853080980,967,673,360
1621853081390,992,710,210
1621853081620,1018,726,230
1621853081870,991,704,70
1621853082230,978,672,310
1621853082589,999,685,449
1621853083059,1021,717,70
1621853083359,1026,714,140
1621853083519,995,698,70
1621853083759,969,698,80
1621853085088,963,548,140
1621853085238,948,533,340
1621853085638,983,549,60
1621853085858,1011,554,60
1621853089915,1000,813,70
1621853090145,1036,765,210
1621853091414,941,799,80
1621853091724,945,673,150
1621853091884,948,659,130
1621853092923,982,720,140
1621853093133,1014,818,70
1621853093283,983,770,180
1621853093513,976,777,140
1621853093893,867,883,190
1621853094263,991,773,69
1621853094462,1037,744,150
1621853094632,1063,754,60
1621853095022,1005,718,110
1621853096051,1078,814,140
1621853096521,1090,825,130
1621853099379,1008,626,70
1621853104187,1473,775,60
1621853104586,1433,789,220
1621853105026,1306,891,70
1621853106105,938,436,60
1621853106525,1035,861,60
1621853106605,1020,829,60
1621853107015,1119,948,80
1621853107155,1083,1068,310
1621853108734,1116,916,130
1621853109473,1034,757,100
1621853109753,1173,651,70
1621853109953,954,523,110
1621853110343,1022,534,90
1621853113641,1134,585,70
1621853114101,1186,583,80
1621853114640,1202,587,80
1621853114900,1103,479,60
1621853115180,1092,403,60
1621853115690,1125,439,240
1621853116129,1089,399,100
1621853116249,1120,385,70
1621853119438,1070,668,69
1621853125914,1097,14,100
1621853126953,1461,152,90
1621853127053,1414,171,220
