timestamp,x,y,pupil_left,pupil_right,validity_left,validity_right
1621928817778,-1,-1,5,5,5,5
1621928817787,-1,-1,5,3,5,5
1621928817797,-1,-1,4,3,5,5
1621928817807,-1,-1,5,5,5,5
1621928817817,-1,-1,5,5,5,5
1621928817827,-1,-1,4,3,5,5
1621928817837,-1,-1,4,3,5,5
1621928817847,-1,-1,4,4,5,5
1621928817857,-1,-1,4,3,5,5
1621928817867,-1,-1,4,3,5,5
1621928817877,-1,-1,4,3,5,5
1621928817887,-1,-1,4,3,5,5
1621928817897,-1,-1,4,3,5,5
1621928817907,-1,-1,4,3,5,5
1621928817917,-1,-1,4,3,5,5
1621928817927,-1,-1,5,5,5,5
1621928817937,-1,-1,5,5,5,5
1621928817947,917,438,3,3,0,0
1621928817957,1095,444,3,4,0,0
1621928817967,1074,378,4,4,0,0
1621928817977,1037,345,3,4,0,0
1621928817987,1063,345,4,4,0,0
1621928817997,1169,368,3,3,0,0
1621928818001,-1,-1,-1,-1,-1,-1
1621928818007,1262,390,4,4,0,0
1621928818017,1350,421,3,3,0,0
1621928818027,1431,457,5,3,0,0
1621928818037,1558,499,3,3,0,0
1621928818047,-1,-1,5,3,5,5
1621928818057,1515,795,3,3,0,0
1621928818067,1712,498,5,3,0,0
1621928818077,-1,-1,5,5,5,5
1621928818087,-1,-1,5,5,5,5
1621928818097,1610,623,3,3,0,0
1621928818107,1468,1057,5,3,0,0
1621928818117,1450,1044,3,5,0,0
1621928818127,1502,857,5,4,0,0
1621928818137,1492,743,3,3,0,0
1621928818147,1517,523,3,4,0,0
1621928818157,1529,506,3,3,0,0
1621928818167,1594,464,3,4,0,0
1621928818177,1571,448,3,3,0,0
1621928818187,1530,451,3,3,0,0
1621928818197,1505,451,3,3,0,0
1621928818207,1486,438,3,3,0,0
1621928818217,1469,441,3,3,0,0
1621928818227,1447,449,3,3,0,0
1621928818237,1424,442,3,3,0,0
1621928818247,1404,449,3,3,0,0
1621928818257,1382,452,3,3,0,0
1621928818267,1357,450,3,3,0,0
1621928818277,-1,-1,5,5,5,5
1621928818287,-1,-1,5,5,5,5
1621928818297,1318,450,3,3,0,0
1621928818307,1300,455,3,3,0,0
1621928818317,1283,455,3,3,0,0
1621928818327,1272,456,3,3,0,0
1621928818337,-1,-1,5,5,5,5
1621928818347,-1,-1,5,5,5,5
1621928818357,1229,443,3,3,0,0
1621928818367,1218,438,3,3,0,0
1621928818377,1203,388,3,3,0,0
1621928818387,1200,411,3,3,0,0
1621928818397,1180,473,3,3,0,0
1621928818407,1164,467,3,3,0,0
1621928818417,1159,520,3,3,0,0
1621928818427,1142,510,3,3,0,0
1621928818437,1134,420,3,3,0,0
1621928818447,1127,398,3,3,0,0
1621928818457,1113,390,3,3,0,0
1621928818467,1099,389,3,3,0,0
1621928818477,1089,389,3,3,0,0
1621928818487,1083,391,3,4,0,0
1621928818497,1067,389,3,3,0,0
1621928818507,1048,393,3,4,0,0
1621928818517,1039,387,3,3,0,0
1621928818527,1027,376,3,3,0,0
1621928818537,1011,412,3,3,0,0
1621928818547,1046,484,3,3,0,0
1621928818557,1063,512,3,3,0,0
1621928818567,-1,-1,5,5,5,5
1621928818577,-1,-1,5,5,5,5
1621928818587,-1,-1,5,5,5,5
1621928818597,-1,-1,5,5,5,5
1621928818607,-1,-1,5,5,5,5
1621928818617,-1,-1,5,5,5,5
1621928818627,-1,-1,5,5,5,5
1621928818637,-1,-1,5,5,5,5
1621928818647,-1,-1,5,5,5,5
1621928818657,-1,-1,5,5,5,5
1621928818667,1379,403,5,3,0,0
1621928818677,1492,821,3,5,0,0
1621928818687,1332,791,3,3,0,0
1621928818697,958,690,5,3,0,0
1621928818707,-1,-1,4,4,5,5
1621928818717,-1,-1,3,3,5,5
1621928818727,-1,-1,5,3,5,5
1621928818737,-1,-1,3,3,5,5
1621928818747,-1,-1,5,5,5,5
1621928818757,-1,-1,5,5,5,5
1621928818767,891,905,5,3,0,0
1621928818777,1637,62,3,3,0,0
1621928818787,-1,-1,4,3,5,5
1621928818797,-1,-1,3,3,5,5
1621928818807,1442,395,5,4,0,0
1621928818817,1358,502,3,3,0,0
1621928818827,1468,199,3,3,0,0
1621928818837,1414,295,3,3,0,0
1621928818847,1394,405,3,3,0,0
1621928818857,1411,364,3,3,0,0
1621928818867,1378,374,3,3,0,0
1621928818877,1321,445,3,3,0,0
1621928818887,-1,-1,5,5,5,5
1621928818897,-1,-1,5,5,5,5
1621928818907,-1,-1,5,5,5,5
1621928818917,-1,-1,5,5,5,5
1621928818927,1286,510,3,4,0,0
1621928818937,1344,369,3,3,0,0
1621928818947,1353,355,3,4,0,0
1621928818957,1354,352,3,4,0,0
1621928818967,1344,353,3,4,0,0
1621928818977,1335,360,3,4,0,0
1621928818987,1329,364,3,4,0,0
1621928818997,1328,371,3,4,0,0
1621928819007,1326,386,3,4,0,0
1621928819009,-1,-1,-1,-1,-1,-1
1621928819017,1319,395,3,4,0,0
1621928819027,1313,405,3,4,0,0
1621928819037,1303,418,3,4,0,0
1621928819047,1298,426,3,4,0,0
1621928819057,1293,428,3,4,0,0
1621928819067,1285,437,3,4,0,0
1621928819077,1274,441,3,3,0,0
1621928819087,1263,440,3,4,0,0
1621928819097,1254,442,3,3,0,0
1621928819107,1246,445,3,4,0,0
1621928819117,1248,446,3,3,0,0
1621928819127,1248,448,3,4,0,0
1621928819137,1243,451,3,3,0,0
1621928819147,1245,461,4,4,0,0
1621928819157,1222,475,3,3,0,0
1621928819167,1197,485,4,4,0,0
1621928819177,-1,-1,5,5,5,5
1621928819187,-1,-1,5,5,5,5
1621928819197,1170,478,3,3,0,0
1621928819207,1165,483,4,4,0,0
1621928819217,1152,484,3,3,0,0
1621928819227,1142,488,4,4,0,0
1621928819237,1127,504,3,3,0,0
1621928819247,1106,526,3,4,0,0
1621928819257,-1,-1,5,5,5,5
1621928819267,-1,-1,5,5,5,5
1621928819277,1068,515,3,4,0,0
1621928819287,-1,-1,5,5,5,5
1621928819297,-1,-1,5,5,5,5
1621928819307,-1,-1,5,5,5,5
1621928819317,-1,-1,5,5,5,5
1621928819327,1070,488,3,4,0,0
1621928819337,1058,493,3,3,0,0
1621928819347,1055,490,3,3,0,0
1621928819357,1047,488,3,3,0,0
1621928819366,1038,485,3,3,0,0
1621928819376,1032,485,3,3,0,0
1621928819386,1027,485,3,3,0,0
1621928819396,1025,482,3,3,0,0
1621928819406,999,469,3,3,0,0
1621928819416,946,445,3,3,0,0
1621928819426,-1,-1,5,5,5,5
1621928819436,-1,-1,5,5,5,5
1621928819446,825,396,3,3,0,0
1621928819456,848,392,3,3,0,0
1621928819466,841,385,3,4,0,0
1621928819476,842,383,3,3,0,0
1621928819486,843,381,3,4,0,0
1621928819496,845,380,3,3,0,0
1621928819506,-1,-1,5,5,5,5
1621928819516,-1,-1,5,5,5,5
1621928819526,834,365,3,4,0,0
1621928819536,842,369,3,4,0,0
1621928819546,847,366,3,4,0,0
1621928819556,-1,-1,5,5,5,5
1621928819566,-1,-1,5,5,5,5
1621928819576,853,359,3,3,0,0
1621928819586,861,356,3,4,0,0
1621928819596,867,352,3,3,0,0
1621928819606,878,346,3,4,0,0
1621928819616,876,344,3,3,0,0
1621928819626,871,353,3,4,0,0
1621928819636,845,357,3,3,0,0
1621928819646,792,364,3,5,0,0
1621928819656,811,369,3,4,0,0
1621928819666,840,372,3,5,0,0
1621928819676,-1,-1,5,5,5,5
1621928819686,-1,-1,5,5,5,5
1621928819696,-1,-1,5,5,5,5
1621928819706,-1,-1,5,5,5,5
1621928819716,839,367,3,4,0,0
1621928819726,898,368,3,4,0,0
1621928819736,914,359,3,3,0,0
1621928819746,922,353,3,3,0,0
1621928819756,930,349,3,3,0,0
1621928819766,933,343,3,3,0,0
1621928819776,937,335,3,3,0,0
1621928819786,943,327,3,3,0,0
1621928819796,946,328,3,3,0,0
1621928819806,948,330,3,3,0,0
1621928819816,957,332,3,3,0,0
1621928819826,920,346,3,3,0,0
1621928819836,858,360,3,3,0,0
1621928819846,-1,-1,5,5,5,5
1621928819856,-1,-1,5,5,5,5
1621928819866,749,356,3,3,0,0
1621928819876,675,413,2,3,0,0
1621928819886,-1,-1,5,5,5,5
1621928819896,665,445,5,3,0,0
1621928819906,-1,-1,5,5,5,5
1621928819916,688,393,5,3,0,0
1621928819926,703,370,3,5,0,0
1621928819936,711,345,5,3,0,0
