timestamp,x,y,pupil_left,pupil_right,validity_left,validity_right
1621844310612,-1,-1,5,5,5,5
1621844310621,955,332,3,3,0,0
1621844310631,956,331,3,3,0,0
1621844310641,956,330,3,3,0,0
1621844310651,956,329,3,3,0,0
1621844310661,957,329,3,3,0,0
1621844310671,957,327,3,3,0,0
1621844310681,957,325,3,3,0,0
1621844310691,-1,-1,5,5,5,5
1621844310701,-1,-1,5,5,5,5
1621844310711,-1,-1,5,5,5,5
1621844310721,-1,-1,5,5,5,5
1621844310731,957,325,3,3,0,0
1621844310741,957,324,3,3,0,0
1621844310751,957,323,3,3,0,0
1621844310761,958,321,3,3,0,0
1621844310771,958,320,3,3,0,0
1621844310781,957,319,3,3,0,0
1621844310791,957,319,3,3,0,0
1621844310801,-1,-1,5,5,5,5
1621844310811,-1,-1,5,5,5,5
1621844310821,-1,-1,5,5,5,5
1621844310831,-1,-1,5,5,5,5
1621844310841,958,321,3,3,0,0
1621844310851,957,321,3,3,0,0
1621844310861,956,322,3,3,0,0
1621844310871,955,321,3,3,0,0
1621844310881,955,321,3,3,0,0
1621844310891,955,321,3,3,0,0
1621844310901,954,322,3,3,0,0
1621844310911,953,322,3,3,0,0
1621844310921,953,322,3,3,0,0
1621844310931,953,322,3,3,0,0
1621844310941,954,321,3,3,0,0
1621844310951,-1,-1,5,5,5,5
1621844310961,-1,-1,5,5,5,5
1621844310971,-1,-1,5,5,5,5
1621844310981,-1,-1,5,5,5,5
1621844310991,954,321,3,3,0,0
1621844311001,954,321,3,3,0,0
1621844311011,954,321,3,3,0,0
1621844311021,955,321,3,3,0,0
1621844311031,955,320,3,3,0,0
1621844311041,955,320,3,3,0,0
1621844311051,956,319,3,3,0,0
1621844311061,957,318,3,3,0,0
1621844311071,957,317,3,3,0,0
1621844311081,957,317,3,3,0,0
1621844311091,958,316,3,3,0,0
1621844311101,959,315,3,3,0,0
1621844311111,959,314,3,3,0,0
1621844311121,959,313,3,3,0,0
1621844311131,959,313,3,3,0,0
1621844311141,959,314,3,3,0,0
1621844311151,958,314,3,3,0,0
1621844311161,958,314,3,3,0,0
1621844311171,957,315,3,3,0,0
1621844311181,958,314,3,3,0,0
1621844311191,957,313,3,3,0,0
1621844311201,957,314,3,3,0,0
1621844311211,957,314,3,3,0,0
1621844311221,956,314,3,3,0,0
1621844311231,955,314,3,3,0,0
1621844311241,955,313,3,3,0,0
1621844311251,954,312,3,3,0,0
1621844311261,954,311,3,3,0,0
1621844311271,954,311,3,3,0,0
1621844311281,953,312,3,3,0,0
1621844311291,953,311,3,3,0,0
1621844311301,953,311,3,3,0,0
1621844311311,953,311,3,3,0,0
1621844311321,953,311,3,3,0,0
1621844311331,953,311,3,3,0,0
1621844311341,954,310,3,3,0,0
1621844311351,954,310,3,3,0,0
1621844311361,953,311,3,3,0,0
1621844311371,954,311,3,3,0,0
1621844311381,955,311,3,3,0,0
1621844311391,956,311,3,3,0,0
1621844311401,956,311,3,3,0,0
1621844311411,952,312,3,3,0,0
1621844311421,927,326,3,3,0,0
1621844311431,911,333,3,3,0,0
1621844311441,909,333,3,3,0,0
1621844311451,908,334,3,3,0,0
1621844311461,908,334,3,3,0,0
1621844311471,908,335,3,3,0,0
1621844311481,907,335,3,3,0,0
1621844311491,908,336,3,3,0,0
1621844311501,908,336,3,3,0,0
1621844311511,908,337,3,3,0,0
1621844311521,-1,-1,5,5,5,5
1621844311531,-1,-1,5,5,5,5
1621844311541,908,338,3,3,0,0
1621844311551,909,338,3,3,0,0
1621844311561,909,339,3,3,0,0
1621844311571,910,339,3,3,0,0
1621844311581,909,339,3,3,0,0
1621844311591,909,338,3,3,0,0
1621844311601,909,338,3,3,0,0
1621844311611,909,337,3,3,0,0
1621844311621,908,336,3,3,0,0
1621844311631,908,336,3,3,0,0
1621844311641,908,335,3,3,0,0
1621844311651,908,334,3,3,0,0
1621844311661,907,334,3,3,0,0
1621844311671,907,334,3,3,0,0
1621844311681,907,334,3,3,0,0
1621844311691,908,334,3,3,0,0
1621844311701,908,334,3,3,0,0
1621844311711,908,334,3,3,0,0
1621844311721,908,334,3,3,0,0
1621844311731,908,333,3,3,0,0
1621844311741,907,332,3,3,0,0
1621844311751,907,333,3,3,0,0
1621844311761,907,333,3,3,0,0
1621844311771,906,332,3,3,0,0
1621844311781,906,332,3,3,0,0
1621844311791,906,332,3,3,0,0
1621844311801,906,332,3,3,0,0
1621844311811,906,332,3,3,0,0
1621844311821,906,332,3,3,0,0
1621844311831,906,333,3,3,0,0
1621844311841,906,333,3,3,0,0
1621844311851,906,333,3,3,0,0
1621844311861,905,332,3,3,0,0
1621844311871,906,331,3,3,0,0
1621844311881,906,331,3,3,0,0
1621844311891,906,331,3,3,0,0
1621844311901,906,331,3,3,0,0
1621844311911,906,330,3,3,0,0
1621844311921,906,330,3,3,0,0
1621844311931,905,330,3,3,0,0
1621844311941,905,329,3,3,0,0
1621844311951,905,328,3,3,0,0
1621844311961,905,328,3,3,0,0
1621844311971,906,328,3,3,0,0
1621844311981,906,327,3,3,0,0
1621844311991,906,328,3,3,0,0
1621844312001,905,327,3,3,0,0
1621844312011,905,326,3,3,0,0
1621844312021,906,325,3,3,0,0
1621844312031,906,325,3,3,0,0
1621844312041,906,324,3,3,0,0
1621844312051,907,323,3,3,0,0
1621844312061,907,322,3,3,0,0
1621844312071,-1,-1,5,5,5,5
1621844312081,-1,-1,5,5,5,5
1621844312091,906,321,3,3,0,0
1621844312101,907,321,3,3,0,0
1621844312111,906,320,3,3,0,0
1621844312121,906,319,3,3,0,0
1621844312131,906,319,3,3,0,0
1621844312141,906,318,3,3,0,0
1621844312151,907,317,3,3,0,0
1621844312161,906,317,3,3,0,0
1621844312171,906,317,3,3,0,0
1621844312181,-1,-1,5,5,5,5
1621844312190,-1,-1,5,5,5,5
1621844312200,-1,-1,5,5,5,5
1621844312210,-1,-1,5,5,5,5
1621844312220,-1,-1,5,5,5,5
1621844312230,-1,-1,5,5,5,5
1621844312240,906,317,3,3,0,0
1621844312250,906,317,3,3,0,0
1621844312260,906,318,3,3,0,0
1621844312270,906,318,3,3,0,0
1621844312280,906,319,3,3,0,0
1621844312290,906,319,3,3,0,0
1621844312300,906,319,3,3,0,0
1621844312310,906,319,3,3,0,0
1621844312320,906,319,3,3,0,0
1621844312330,906,320,3,3,0,0
1621844312340,906,321,3,3,0,0
1621844312350,905,322,3,3,0,0
1621844312360,-1,-1,5,5,5,5
1621844312370,-1,-1,5,5,5,5
1621844312380,906,320,3,3,0,0
1621844312390,906,320,3,3,0,0
1621844312400,907,318,3,3,0,0
1621844312410,912,315,3,3,0,0
1621844312420,914,316,3,3,0,0
1621844312430,929,368,3,3,0,0
1621844312440,943,415,3,5,0,0
1621844312450,-1,-1,5,5,5,5
1621844312460,-1,-1,5,5,5,5
1621844312470,-1,-1,5,5,5,5
1621844312480,-1,-1,5,5,5,5
1621844312490,-1,-1,5,5,5,5
1621844312500,-1,-1,5,5,5,5
1621844312510,-1,-1,5,5,5,5
1621844312520,953,358,3,3,0,0
1621844312530,963,326,3,3,0,0
1621844312540,958,292,3,3,0,0
1621844312550,958,288,3,3,0,0
1621844312560,957,287,3,3,0,0
1621844312570,954,285,3,3,0,0
1621844312580,954,284,3,3,0,0
1621844312590,954,284,3,3,0,0
1621844312600,953,286,3,3,0,0
1621844312610,951,288,3,3,0,0
1621844312620,-1,-1,5,5,5,5
1621844312630,-1,-1,5,5,5,5
1621844312640,952,288,3,3,0,0
1621844312650,952,288,3,3,0,0
1621844312660,952,288,3,3,0,0
1621844312670,952,288,3,3,0,0
1621844312680,951,288,3,3,0,0
1621844312690,952,287,3,3,0,0
1621844312700,954,286,3,3,0,0
1621844312710,954,285,3,3,0,0
1621844312720,954,283,3,3,0,0
1621844312730,953,284,3,3,0,0
1621844312740,952,284,3,3,0,0
1621844312750,-1,-1,5,5,5,5
1621844312760,-1,-1,5,5,5,5
1621844312770,-1,-1,5,5,5,5
1621844312780,-1,-1,5,5,5,5
1621844312790,952,284,3,3,0,0
1621844312800,951,284,3,3,0,0
1621844312810,950,285,3,3,0,0
1621844312820,950,286,3,3,0,0
1621844312830,948,287,3,3,0,0
1621844312840,947,287,3,3,0,0
1621844312850,946,289,3,3,0,0
1621844312860,944,289,3,3,0,0
1621844312870,944,290,3,3,0,0
1621844312880,943,290,3,3,0,0
1621844312890,943,290,3,3,0,0
1621844312900,943,291,3,3,0,0
1621844312910,-1,-1,5,5,5,5
1621844312920,-1,-1,5,5,5,5
1621844312930,945,290,3,3,0,0
1621844312940,945,291,3,3,0,0
1621844312950,946,291,3,3,0,0
1621844312960,948,291,3,3,0,0
1621844312970,949,290,3,3,0,0
1621844312980,950,290,3,3,0,0
1621844312990,952,291,3,3,0,0
1621844313000,953,291,3,3,0,0
1621844313010,956,292,3,3,0,0
1621844313020,958,291,3,3,0,0
1621844313030,961,291,3,3,0,0
1621844313040,964,291,3,3,0,0
1621844313050,967,292,3,3,0,0
1621844313060,971,294,3,3,0,0
1621844313070,976,296,3,3,0,0
1621844313080,981,297,3,3,0,0
1621844313090,987,301,3,3,0,0
1621844313100,991,303,3,3,0,0
1621844313110,994,305,3,3,0,0
1621844313120,998,308,3,3,0,0
1621844313130,1002,310,3,3,0,0
1621844313140,1008,312,3,3,0,0
1621844313150,1013,314,3,3,0,0
1621844313160,1017,316,3,3,0,0
1621844313170,1021,319,3,3,0,0
1621844313180,1027,323,3,3,0,0
1621844313190,1032,327,3,3,0,0
1621844313200,1037,331,3,3,0,0
1621844313210,1042,334,3,3,0,0
1621844313220,1047,339,3,3,0,0
1621844313230,1052,345,3,3,0,0
1621844313240,1055,348,3,3,0,0
1621844313250,1059,352,3,3,0,0
1621844313260,1064,354,3,3,0,0
1621844313270,1067,355,3,3,0,0
1621844313280,1070,356,3,3,0,0
1621844313290,1075,357,3,3,0,0
1621844313300,1082,362,3,3,0,0
1621844313310,1090,368,3,3,0,0
1621844313320,-1,-1,5,5,5,5
1621844313330,-1,-1,5,5,5,5
1621844313340,1097,371,3,3,0,0
1621844313350,1102,376,3,3,0,0
1621844313360,1106,380,3,3,0,0
1621844313370,1110,382,3,3,0,0
1621844313380,1115,384,3,3,0,0
1621844313390,1120,387,3,3,0,0
1621844313400,1123,387,3,3,0,0
1621844313410,1127,388,3,3,0,0
1621844313420,1131,390,3,3,0,0
1621844313430,1137,395,3,3,0,0
1621844313440,1146,402,3,3,0,0
1621844313450,-1,-1,5,5,5,5
1621844313460,-1,-1,5,5,5,5
1621844313470,-1,-1,5,5,5,5
1621844313480,-1,-1,5,5,5,5
1621844313490,1163,415,3,3,0,0
1621844313500,1139,412,3,3,0,0
1621844313510,1097,419,3,3,0,0
1621844313520,1069,430,3,3,0,0
1621844313530,1070,433,3,3,0,0
1621844313540,1069,434,3,3,0,0
1621844313550,1067,435,3,3,0,0
1621844313560,1068,437,3,3,0,0
1621844313570,1069,440,3,3,0,0
1621844313580,1070,441,3,3,0,0
1621844313590,1071,443,3,3,0,0
1621844313600,1072,446,3,3,0,0
1621844313610,1074,449,3,3,0,0
1621844313620,1075,451,3,3,0,0
1621844313630,1076,454,3,3,0,0
1621844313640,1077,459,3,3,0,0
1621844313650,1078,462,3,3,0,0
1621844313660,1079,464,3,3,0,0
1621844313670,1079,465,3,3,0,0
1621844313680,1079,467,3,3,0,0
1621844313690,1078,470,3,3,0,0
1621844313700,1078,472,3,3,0,0
1621844313710,1078,474,3,3,0,0
1621844313720,1078,477,3,3,0,0
1621844313730,-1,-1,5,5,5,5
1621844313740,-1,-1,5,5,5,5
1621844313750,-1,-1,5,5,5,5
1621844313760,-1,-1,5,5,5,5
1621844313770,-1,-1,5,5,5,5
1621844313780,-1,-1,5,5,5,5
1621844313790,1080,480,3,3,0,0
1621844313800,1083,482,3,3,0,0
1621844313810,1085,482,3,3,0,0
1621844313820,1088,483,3,3,0,0
1621844313830,1093,487,3,3,0,0
1621844313840,1097,491,3,3,0,0
1621844313850,1100,495,3,3,0,0
1621844313859,1101,495,3,3,0,0
1621844313869,1102,496,3,3,0,0
1621844313879,1103,497,3,3,0,0
1621844313889,1104,498,3,3,0,0
1621844313899,1104,499,3,3,0,0
1621844313909,1105,501,3,3,0,0
1621844313919,1105,503,3,3,0,0
1621844313929,1105,505,3,3,0,0
1621844313939,1104,508,3,3,0,0
1621844313949,1105,510,3,3,0,0
1621844313959,1105,515,3,3,0,0
1621844313969,1104,520,3,3,0,0
