timestamp,x,y,pupil_left,pupil_right,validity_left,validity_right
1622102973395,-1,-1,5,5,5,5
1622102974044,-1,-1,5,5,5,5
1622102974054,-1,-1,5,5,5,5
1622102974064,-1,-1,5,5,5,5
1622102974074,-1,-1,5,5,5,5
1622102974084,-1,-1,5,5,5,5
1622102974094,-1,-1,5,5,5,5
1622102974104,-1,-1,5,5,5,5
1622102974114,619,265,5,4,0,0
1622102974124,529,199,3,5,0,0
1622102974134,501,202,5,5,0,0
1622102974144,-1,-1,5,5,5,5
1622102974154,-1,-1,5,5,5,5
1622102974164,498,4,4,5,0,0
1622102974174,490,210,4,5,0,0
1622102974184,469,309,4,5,0,0
1622102974194,502,362,4,5,0,0
1622102974204,533,393,4,5,0,0
1622102974214,529,396,4,5,0,0
1622102974224,524,400,4,5,0,0
1622102974234,555,421,4,5,0,0
1622102974244,589,451,4,4,0,0
1622102974254,-1,-1,5,5,5,5
1622102974264,-1,-1,5,5,5,5
1622102974274,-1,-1,5,5,5,5
1622102974284,-1,-1,5,5,5,5
1622102974294,-1,-1,4,5,5,5
1622102974304,565,414,4,4,0,0
1622102974314,-1,-1,4,5,5,5
1622102974324,-1,-1,4,3,5,5
1622102974334,584,518,4,4,0,0
1622102974344,610,185,4,4,0,0
1622102974354,-1,-1,4,5,5,5
1622102974364,-1,-1,5,4,5,5
1622102974374,-1,-1,5,5,5,5
1622102974384,-1,-1,5,5,5,5
1622102974394,854,354,4,5,0,0
1622102974404,-1,-1,5,5,5,5
1622102974414,-1,-1,5,5,5,5
1622102974424,-1,-1,5,5,5,5
1622102974434,-1,-1,5,5,5,5
1622102974444,-1,-1,5,5,5,5
1622102974454,-1,-1,5,5,5,5
1622102974464,790,224,4,4,0,0
1622102974474,801,553,5,5,0,0
1622102974484,796,573,4,4,0,0
1622102974494,798,599,5,5,0,0
1622102974504,818,589,4,4,0,0
1622102974514,742,212,4,5,0,0
1622102974524,781,155,4,4,0,0
1622102974534,821,97,4,5,0,0
1622102974544,-1,-1,5,5,5,5
1622102974554,-1,-1,5,5,5,5
1622102974564,767,102,4,4,0,0
1622102974574,761,97,4,5,0,0
