timestamp,x,y,pupil_left,pupil_right,validity_left,validity_right
1622101066987,-1,-1,5,5,5,5
1622101066996,1000,359,4,4,0,0
1622101067006,999,358,3,4,0,0
1622101067016,999,358,4,4,0,0
1622101067026,999,358,3,4,0,0
1622101067036,999,360,4,4,0,0
1622101067046,998,360,3,4,0,0
1622101067056,999,360,4,4,0,0
1622101067066,999,360,3,4,0,0
1622101067076,999,360,4,4,0,0
1622101067086,1000,359,3,4,0,0
1622101067096,1000,358,4,4,0,0
1622101067106,1000,358,3,4,0,0
1622101067116,1001,359,4,4,0,0
1622101067126,1001,358,3,4,0,0
1622101067136,1001,358,4,4,0,0
1622101067146,1001,357,3,4,0,0
1622101067156,1001,357,4,4,0,0
1622101067166,1002,356,3,4,0,0
1622101067176,1002,356,4,4,0,0
1622101067186,1001,356,3,4,0,0
1622101067196,1001,357,4,4,0,0
1622101067206,1001,357,3,4,0,0
1622101067216,1001,358,4,4,0,0
1622101067226,1000,358,3,4,0,0
1622101067236,1001,357,4,4,0,0
1622101067246,1001,356,3,4,0,0
1622101067256,1002,357,4,4,0,0
1622101067266,1002,358,3,4,0,0
1622101067276,1003,357,4,4,0,0
1622101067286,1003,357,3,4,0,0
1622101067296,1003,358,4,4,0,0
1622101067306,1004,358,3,4,0,0
1622101067316,1006,358,4,4,0,0
1622101067326,1007,358,3,4,0,0
1622101067336,1007,359,4,4,0,0
1622101067346,1007,360,3,4,0,0
1622101067356,1007,360,4,4,0,0
1622101067366,1008,360,3,4,0,0
1622101067376,1007,361,4,4,0,0
1622101067386,1008,362,3,4,0,0
1622101067396,1008,361,4,4,0,0
1622101067406,1009,361,3,4,0,0
1622101067416,1008,360,4,4,0,0
1622101067426,1007,359,3,4,0,0
1622101067436,1007,357,4,4,0,0
1622101067446,1007,355,3,4,0,0
1622101067456,1007,354,4,4,0,0
1622101067466,1007,353,3,4,0,0
1622101067476,1007,351,4,4,0,0
1622101067486,1007,351,3,4,0,0
1622101067496,1006,351,4,4,0,0
1622101067506,1005,351,3,4,0,0
1622101067516,1006,351,4,4,0,0
1622101067526,1006,351,3,4,0,0
1622101067536,1006,352,4,4,0,0
1622101067546,1005,353,3,4,0,0
1622101067556,1004,354,4,4,0,0
1622101067566,1003,354,4,4,0,0
1622101067576,1003,355,4,4,0,0
1622101067586,1003,356,4,4,0,0
1622101067596,1002,355,4,4,0,0
1622101067606,1003,353,3,4,0,0
1622101067616,1001,352,4,4,0,0
1622101067626,1001,352,4,4,0,0
1622101067636,1001,351,4,4,0,0
1622101067646,1001,349,4,4,0,0
1622101067656,1001,349,4,4,0,0
1622101067666,1001,349,3,4,0,0
1622101067676,1000,348,4,4,0,0
1622101067686,999,347,3,4,0,0
1622101067696,999,348,4,4,0,0
1622101067706,999,349,3,4,0,0
1622101067716,998,350,4,4,0,0
1622101067726,997,351,3,4,0,0
1622101067736,997,352,4,4,0,0
1622101067746,998,353,3,4,0,0
1622101067756,997,353,4,4,0,0
1622101067766,997,353,3,4,0,0
1622101067776,997,354,4,4,0,0
1622101067786,997,354,3,4,0,0
1622101067796,997,353,4,4,0,0
1622101067806,996,353,3,4,0,0
1622101067816,996,353,4,4,0,0
1622101067826,996,352,3,4,0,0
1622101067836,995,351,4,4,0,0
1622101067846,995,353,3,4,0,0
1622101067856,994,354,4,4,0,0
1622101067866,994,353,3,4,0,0
1622101067876,993,353,4,4,0,0
1622101067886,992,357,3,4,0,0
1622101067896,991,358,3,4,0,0
1622101067906,990,357,3,4,0,0
1622101067916,990,357,3,4,0,0
1622101067926,991,359,3,4,0,0
1622101067936,991,360,3,4,0,0
