timestamp,x,y,pupil_left,pupil_right,validity_left,validity_right
1621584731019,-1,-1,5,5,5,5
1621584731028,-1,-1,5,5,5,5
1621584731038,1053,480,3,2,0,0
1621584731048,1052,477,3,2,0,0
1621584731058,1051,475,3,2,0,0
1621584731068,1049,469,3,2,0,0
1621584731078,1051,472,3,2,0,0
1621584731088,1056,483,3,2,0,0
1621584731098,1057,490,3,2,0,0
1621584731108,1056,489,3,2,0,0
1621584731118,1055,488,3,2,0,0
1621584731128,-1,-1,5,5,5,5
1621584731138,-1,-1,5,5,5,5
1621584731148,-1,-1,5,5,5,5
1621584731158,-1,-1,5,5,5,5
1621584731168,1055,490,3,2,0,0
1621584731178,1054,489,3,2,0,0
1621584731188,1054,491,3,2,0,0
1621584731198,1055,494,3,2,0,0
1621584731208,1055,494,3,2,0,0
1621584731218,1055,495,3,2,0,0
1621584731228,1055,497,3,2,0,0
1621584731238,1055,497,3,2,0,0
1621584731248,1055,496,3,2,0,0
1621584731258,1055,496,3,2,0,0
1621584731268,1055,496,3,2,0,0
1621584731278,1055,496,3,2,0,0
1621584731288,1055,495,3,2,0,0
1621584731298,1056,495,3,2,0,0
1621584731308,1056,495,3,2,0,0
1621584731318,1056,494,3,2,0,0
1621584731328,1057,493,3,2,0,0
1621584731338,1057,494,3,2,0,0
1621584731348,1057,494,3,2,0,0
1621584731358,1057,494,3,2,0,0
1621584731368,1057,494,3,2,0,0
1621584731378,1057,495,3,2,0,0
1621584731388,1057,496,3,2,0,0
1621584731398,1057,496,3,2,0,0
1621584731408,1057,496,3,2,0,0
1621584731418,1057,496,3,2,0,0
1621584731428,1057,497,3,2,0,0
1621584731438,1057,497,3,2,0,0
1621584731448,-1,-1,5,5,5,5
1621584731458,-1,-1,5,5,5,5
1621584731468,1058,496,3,2,0,0
1621584731478,1057,497,3,2,0,0
1621584731488,1058,497,3,2,0,0
1621584731498,1058,496,3,2,0,0
1621584731508,1058,496,3,2,0,0
1621584731518,1058,496,3,2,0,0
1621584731528,1057,496,3,2,0,0
1621584731538,1058,496,3,2,0,0
1621584731548,1057,495,3,2,0,0
1621584731558,1057,496,3,2,0,0
1621584731568,1057,496,3,2,0,0
1621584731578,1058,495,3,2,0,0
1621584731588,1057,495,3,2,0,0
1621584731598,1057,494,3,2,0,0
1621584731608,1058,494,3,2,0,0
1621584731618,1058,493,3,2,0,0
1621584731628,1058,492,3,2,0,0
1621584731638,1058,491,3,2,0,0
1621584731648,1059,491,3,2,0,0
1621584731658,1059,489,3,2,0,0
1621584731668,1060,487,3,2,0,0
1621584731678,1060,487,3,2,0,0
1621584731688,1061,487,3,2,0,0
1621584731698,1062,486,3,2,0,0
1621584731708,1062,486,3,2,0,0
1621584731718,1062,486,3,2,0,0
1621584731728,1063,486,3,2,0,0
1621584731738,1062,486,3,2,0,0
1621584731748,1062,485,3,2,0,0
1621584731758,1062,485,3,2,0,0
1621584731768,1062,488,3,2,0,0
1621584731778,1063,489,3,2,0,0
1621584731788,1062,489,3,2,0,0
1621584731798,1061,489,3,2,0,0
1621584731808,1061,490,3,2,0,0
1621584731818,1060,490,3,2,0,0
1621584731828,1059,490,3,2,0,0
1621584731838,1059,491,3,2,0,0
1621584731848,1059,492,3,2,0,0
1621584731858,-1,-1,5,5,5,5
1621584731868,-1,-1,5,5,5,5
1621584731878,-1,-1,5,5,5,5
1621584731888,-1,-1,5,5,5,5
1621584731898,-1,-1,5,5,5,5
1621584731908,-1,-1,5,5,5,5
1621584731918,1059,491,3,2,0,0
1621584731928,1059,490,3,3,0,0
1621584731938,1058,490,3,2,0,0
1621584731948,1058,490,3,2,0,0
1621584731958,1058,490,3,2,0,0
1621584731968,1058,490,3,2,0,0
1621584731978,1058,489,3,2,0,0
1621584731988,1058,489,3,2,0,0
1621584731998,1058,489,3,2,0,0
1621584732008,-1,-1,5,5,5,5
1621584732018,-1,-1,5,5,5,5
1621584732028,-1,-1,5,5,5,5
1621584732038,-1,-1,5,5,5,5
1621584732048,1058,488,3,2,0,0
1621584732058,1058,488,3,2,0,0
1621584732068,1058,488,3,2,0,0
1621584732078,1057,488,3,2,0,0
1621584732088,1058,488,3,2,0,0
1621584732098,1058,490,3,2,0,0
1621584732108,1057,490,3,2,0,0
1621584732118,1067,492,3,2,0,0
1621584732128,1126,476,3,3,0,0
1621584732138,1190,479,3,2,0,0
1621584732148,1234,511,3,2,0,0
1621584732158,1303,555,3,5,0,0
1621584732168,-1,-1,5,5,5,5
1621584732178,-1,-1,5,5,5,5
1621584732188,-1,-1,5,5,5,5
1621584732198,1478,574,3,5,0,0
1621584732208,-1,-1,5,5,5,5
1621584732218,-1,-1,5,5,5,5
1621584732228,-1,-1,5,5,5,5
1621584732238,1630,610,3,5,0,0
1621584732248,1612,573,3,3,0,0
1621584732258,1651,578,3,5,0,0
1621584732268,1675,586,3,3,0,0
1621584732278,-1,-1,5,5,5,5
1621584732288,-1,-1,5,5,5,5
1621584732298,1579,577,3,5,0,0
1621584732308,1586,572,3,3,0,0
1621584732318,1555,563,3,3,0,0
1621584732328,1551,573,3,3,0,0
1621584732338,1560,574,3,3,0,0
1621584732348,1514,539,3,3,0,0
1621584732358,1492,537,3,3,0,0
1621584732368,1466,538,3,3,0,0
1621584732378,1440,528,3,3,0,0
1621584732388,1420,536,3,3,0,0
1621584732398,1443,574,3,3,0,0
1621584732408,1313,542,3,3,0,0
1621584732418,1263,532,3,3,0,0
1621584732428,-1,-1,5,5,5,5
1621584732438,-1,-1,5,5,5,5
1621584732448,1184,533,3,3,0,0
1621584732458,1133,539,3,3,0,0
1621584732468,1105,535,3,3,0,0
1621584732478,1098,530,3,3,0,0
1621584732488,1089,529,3,3,0,0
1621584732498,1082,534,3,3,0,0
1621584732507,1078,537,3,3,0,0
1621584732517,1075,539,3,3,0,0
1621584732527,1068,540,3,3,0,0
1621584732538,1059,542,3,3,0,0
1621584732547,-1,-1,5,5,5,5
1621584732557,-1,-1,5,5,5,5
1621584732567,1042,555,3,3,0,0
1621584732577,1043,550,3,3,0,0
1621584732587,1039,550,3,3,0,0
1621584732597,1032,553,3,3,0,0
1621584732607,1023,556,3,3,0,0
1621584732617,-1,-1,5,5,5,5
1621584732627,-1,-1,5,5,5,5
1621584732637,1020,551,3,3,0,0
1621584732647,1016,553,3,3,0,0
1621584732657,1014,551,3,3,0,0
1621584732667,1013,552,3,3,0,0
1621584732677,1011,553,3,3,0,0
