timestamp,x,y,pupil_left,pupil_right,validity_left,validity_right
1621927882030,-1,-1,5,5,5,5
1621927882039,931,361,4,4,0,0
1621927882049,930,361,4,4,0,0
1621927882059,930,361,4,4,0,0
1621927882069,931,361,4,4,0,0
1621927882079,931,361,4,4,0,0
1621927882089,931,361,4,4,0,0
1621927882099,931,361,4,4,0,0
1621927882109,932,361,4,4,0,0
1621927882119,932,360,4,4,0,0
1621927882129,932,359,4,4,0,0
1621927882139,932,359,4,4,0,0
1621927882149,932,358,4,4,0,0
1621927882159,932,358,4,4,0,0
1621927882169,932,358,4,4,0,0
1621927882179,931,359,4,4,0,0
1621927882189,932,358,4,4,0,0
1621927882199,932,358,4,4,0,0
1621927882209,932,358,4,4,0,0
1621927882219,932,358,4,4,0,0
1621927882229,932,359,4,4,0,0
1621927882239,932,359,4,4,0,0
1621927882249,932,359,4,4,0,0
1621927882259,932,360,4,4,0,0
1621927882269,932,360,4,4,0,0
1621927882279,933,360,4,4,0,0
1621927882289,932,360,4,4,0,0
1621927882299,931,361,4,4,0,0
1621927882309,-1,-1,5,5,5,5
1621927882319,-1,-1,5,5,5,5
1621927882329,-1,-1,5,5,5,5
1621927882339,-1,-1,5,5,5,5
1621927882349,931,361,4,4,0,0
1621927882359,930,361,4,4,0,0
1621927882369,930,360,4,4,0,0
1621927882379,930,360,4,4,0,0
1621927882389,930,361,4,4,0,0
1621927882399,930,361,4,4,0,0
1621927882409,931,361,4,4,0,0
1621927882419,931,362,4,4,0,0
1621927882429,931,363,4,4,0,0
1621927882439,932,363,4,4,0,0
1621927882449,933,363,4,4,0,0
1621927882459,933,364,4,4,0,0
1621927882469,932,365,4,4,0,0
1621927882479,-1,-1,5,5,5,5
1621927882489,-1,-1,5,5,5,5
1621927882499,934,365,4,4,0,0
1621927882509,933,366,4,4,0,0
1621927882519,933,366,4,4,0,0
1621927882529,931,367,4,4,0,0
1621927882539,931,367,4,4,0,0
1621927882549,931,367,4,4,0,0
1621927882559,930,368,4,4,0,0
1621927882569,929,368,4,4,0,0
1621927882579,929,368,4,4,0,0
1621927882589,930,369,4,4,0,0
1621927882599,-1,-1,5,5,5,5
1621927882609,-1,-1,5,5,5,5
1621927882619,929,370,4,4,0,0
1621927882629,928,370,4,4,0,0
1621927882639,928,370,4,4,0,0
1621927882649,929,369,4,4,0,0
1621927882659,928,369,4,4,0,0
1621927882669,928,369,4,4,0,0
1621927882679,928,369,4,4,0,0
1621927882689,929,367,4,4,0,0
1621927882699,928,367,4,4,0,0
1621927882709,927,367,4,4,0,0
1621927882719,928,366,4,4,0,0
1621927882729,928,366,4,4,0,0
1621927882739,927,369,4,4,0,0
1621927882749,926,373,4,4,0,0
1621927882759,926,372,4,4,0,0
1621927882769,927,370,4,4,0,0
1621927882779,927,370,4,4,0,0
1621927882789,926,371,4,4,0,0
1621927882799,926,372,4,4,0,0
1621927882809,925,373,4,4,0,0
1621927882819,924,375,4,4,0,0
1621927882829,924,375,4,4,0,0
1621927882839,924,374,4,4,0,0
1621927882849,924,372,4,4,0,0
1621927882859,-1,-1,5,5,5,5
1621927882869,-1,-1,5,5,5,5
1621927882879,923,372,4,4,0,0
1621927882889,923,369,4,4,0,0
1621927882899,923,366,4,4,0,0
1621927882909,922,364,4,4,0,0
1621927882919,920,361,4,4,0,0
1621927882929,919,359,4,4,0,0
1621927882939,919,356,4,4,0,0
1621927882949,918,355,4,4,0,0
1621927882959,917,354,4,4,0,0
1621927882969,916,354,4,4,0,0
1621927882979,917,352,4,4,0,0
1621927882989,916,350,4,4,0,0
1621927882999,916,351,4,4,0,0
1621927883009,915,350,4,4,0,0
1621927883019,915,350,4,4,0,0
1621927883029,914,351,4,4,0,0
1621927883039,913,353,4,4,0,0
1621927883049,913,353,4,4,0,0
1621927883059,913,353,4,4,0,0
1621927883069,913,356,4,4,0,0
1621927883079,910,353,4,4,0,0
1621927883089,906,345,3,4,0,0
1621927883099,905,344,4,4,0,0
1621927883109,905,344,3,4,0,0
1621927883119,905,346,4,4,0,0
1621927883129,904,346,3,4,0,0
1621927883139,905,348,4,4,0,0
1621927883149,906,353,3,4,0,0
1621927883159,905,352,4,4,0,0
1621927883169,902,348,3,4,0,0
1621927883179,903,350,4,4,0,0
1621927883189,904,355,3,4,0,0
1621927883199,903,354,4,4,0,0
1621927883209,901,353,3,4,0,0
1621927883219,900,352,4,4,0,0
1621927883229,899,352,3,4,0,0
1621927883239,899,353,4,4,0,0
1621927883249,899,353,3,4,0,0
1621927883259,900,353,3,4,0,0
1621927883269,900,354,3,4,0,0
1621927883279,899,353,3,4,0,0
1621927883289,899,353,3,4,0,0
1621927883299,899,353,3,4,0,0
1621927883309,899,353,3,4,0,0
1621927883319,899,353,3,4,0,0
1621927883329,899,352,3,4,0,0
1621927883339,899,353,3,4,0,0
1621927883349,899,353,3,4,0,0
1621927883359,899,353,3,4,0,0
1621927883369,899,353,3,4,0,0
1621927883379,899,353,3,4,0,0
1621927883389,900,354,3,4,0,0
1621927883399,900,354,3,4,0,0
1621927883409,900,355,3,4,0,0
1621927883419,899,355,3,4,0,0
1621927883429,-1,-1,5,5,5,5
1621927883439,-1,-1,5,5,5,5
1621927883449,900,357,3,4,0,0
1621927883459,900,357,3,4,0,0
1621927883469,901,358,3,4,0,0
1621927883479,902,359,3,4,0,0
1621927883489,904,359,3,4,0,0
1621927883499,904,360,3,4,0,0
1621927883509,905,361,3,4,0,0
1621927883519,906,362,3,4,0,0
1621927883529,908,363,3,4,0,0
1621927883539,909,364,3,4,0,0
1621927883549,-1,-1,5,5,5,5
1621927883559,-1,-1,5,5,5,5
1621927883569,910,364,3,4,0,0
1621927883579,911,365,3,4,0,0
1621927883589,912,366,3,4,0,0
1621927883599,913,366,3,4,0,0
1621927883609,913,367,3,4,0,0
1621927883619,914,367,3,4,0,0
1621927883629,914,367,3,4,0,0
1621927883638,914,367,3,4,0,0
1621927883649,915,366,3,4,0,0
1621927883659,-1,-1,5,5,5,5
1621927883668,-1,-1,5,5,5,5
1621927883678,915,366,3,4,0,0
1621927883688,917,368,3,4,0,0
1621927883698,918,370,4,4,0,0
1621927883708,921,371,3,4,0,0
1621927883718,924,374,4,4,0,0
1621927883728,928,376,3,4,0,0
1621927883738,930,377,4,4,0,0
1621927883748,933,378,3,4,0,0
1621927883758,935,374,4,4,0,0
1621927883768,936,368,3,4,0,0
1621927883778,939,367,4,4,0,0
1621927883788,941,367,3,4,0,0
1621927883798,943,365,4,4,0,0
1621927883808,943,364,3,4,0,0
1621927883818,944,365,4,4,0,0
1621927883828,945,365,3,4,0,0
1621927883838,947,365,4,4,0,0
1621927883848,-1,-1,5,5,5,5
1621927883858,-1,-1,5,5,5,5
1621927883868,949,364,3,4,0,0
1621927883878,950,365,4,4,0,0
1621927883888,952,366,3,4,0,0
1621927883898,953,367,4,4,0,0
1621927883908,953,367,3,4,0,0
1621927883918,954,368,4,4,0,0
1621927883928,956,370,3,4,0,0
1621927883938,957,371,4,4,0,0
1621927883948,959,372,3,4,0,0
1621927883958,960,372,4,4,0,0
1621927883968,961,373,3,4,0,0
1621927883978,962,374,4,4,0,0
1621927883988,964,376,3,4,0,0
1621927883998,967,376,4,4,0,0
1621927884008,968,381,3,4,0,0
1621927884018,969,387,4,4,0,0
1621927884028,971,391,3,4,0,0
1621927884038,972,398,4,4,0,0
1621927884048,972,401,3,4,0,0
1621927884058,973,406,4,4,0,0
1621927884068,974,412,3,4,0,0
1621927884078,-1,-1,5,5,5,5
1621927884088,-1,-1,5,5,5,5
1621927884098,974,417,4,4,0,0
1621927884108,974,420,3,4,0,0
1621927884118,975,426,4,4,0,0
1621927884128,977,434,3,4,0,0
1621927884138,976,435,4,4,0,0
1621927884148,975,437,3,4,0,0
1621927884158,975,438,4,4,0,0
1621927884168,975,438,3,4,0,0
1621927884178,974,439,4,4,0,0
1621927884188,972,440,3,4,0,0
1621927884198,972,441,4,4,0,0
1621927884208,-1,-1,5,5,5,5
1621927884218,-1,-1,5,5,5,5
1621927884228,969,442,4,4,0,0
1621927884238,940,447,4,4,0,0
1621927884248,901,453,3,3,0,0
1621927884258,778,432,3,3,0,0
1621927884268,665,407,3,3,0,0
1621927884278,575,396,3,3,0,0
1621927884288,477,395,3,4,0,0
1621927884298,447,352,3,3,0,0
1621927884308,448,334,3,3,0,0
1621927884318,450,333,3,3,0,0
1621927884328,452,332,3,3,0,0
1621927884338,462,335,4,3,0,0
1621927884348,486,342,3,3,0,0
1621927884358,509,348,3,3,0,0
1621927884368,519,350,3,4,0,0
1621927884378,526,343,4,4,0,0
1621927884388,542,343,4,4,0,0
1621927884398,547,346,4,4,0,0
1621927884408,548,340,4,4,0,0
1621927884418,568,338,4,4,0,0
1621927884428,587,346,4,4,0,0
1621927884438,628,350,4,4,0,0
1621927884448,631,359,4,4,0,0
1621927884458,624,372,4,4,0,0
1621927884468,-1,-1,5,5,5,5
1621927884478,-1,-1,5,5,5,5
1621927884488,-1,-1,5,5,5,5
1621927884498,-1,-1,5,5,5,5
1621927884508,-1,-1,5,5,5,5
1621927884518,-1,-1,5,5,5,5
1621927884528,-1,-1,5,5,5,5
1621927884538,-1,-1,5,5,5,5
1621927884548,915,514,4,4,0,0
1621927884558,902,500,4,4,0,0
1621927884568,946,522,4,4,0,0
1621927884578,958,527,4,4,0,0
1621927884588,962,528,4,4,0,0
1621927884598,967,531,4,4,0,0
1621927884608,-1,-1,5,5,5,5
1621927884618,-1,-1,5,5,5,5
1621927884628,972,527,4,4,0,0
1621927884638,973,530,4,4,0,0
1621927884648,975,530,4,4,0,0
1621927884658,977,529,4,4,0,0
1621927884668,979,529,4,4,0,0
1621927884678,982,529,4,4,0,0
1621927884688,985,531,4,4,0,0
1621927884698,988,532,4,4,0,0
1621927884708,990,532,4,4,0,0
1621927884718,993,533,4,4,0,0
1621927884728,995,535,3,4,0,0
1621927884738,997,535,4,4,0,0
1621927884748,998,534,3,4,0,0
1621927884758,999,533,4,4,0,0
1621927884768,1001,533,3,4,0,0
1621927884778,-1,-1,5,5,5,5
1621927884788,-1,-1,5,5,5,5
1621927884798,-1,-1,5,5,5,5
1621927884808,-1,-1,5,5,5,5
1621927884818,1001,532,4,4,0,0
1621927884828,1001,532,3,4,0,0
1621927884838,1002,530,4,4,0,0
1621927884848,1001,527,3,4,0,0
1621927884858,1001,527,4,4,0,0
1621927884868,1000,526,3,4,0,0
1621927884878,999,525,4,4,0,0
1621927884888,-1,-1,5,5,5,5
1621927884898,-1,-1,5,5,5,5
1621927884908,-1,-1,5,5,5,5
1621927884918,-1,-1,5,5,5,5
1621927884928,995,523,3,4,0,0
1621927884938,988,516,4,4,0,0
1621927884948,984,512,3,4,0,0
1621927884958,983,512,4,4,0,0
1621927884968,982,511,3,4,0,0
1621927884978,979,510,4,4,0,0
1621927884988,975,507,3,4,0,0
1621927884998,973,504,4,4,0,0
1621927885008,971,500,3,4,0,0
1621927885018,969,496,4,4,0,0
1621927885028,967,494,4,4,0,0
1621927885038,964,493,4,4,0,0
1621927885048,960,491,4,4,0,0
1621927885058,958,489,4,4,0,0
1621927885068,955,488,4,4,0,0
1621927885078,954,487,4,4,0,0
1621927885088,953,486,4,4,0,0
1621927885098,951,485,4,4,0,0
1621927885108,949,485,4,4,0,0
1621927885118,948,484,4,4,0,0
1621927885128,947,483,4,4,0,0
1621927885138,945,482,4,4,0,0
1621927885148,944,480,4,4,0,0
1621927885158,943,479,4,4,0,0
1621927885168,941,478,4,4,0,0
1621927885178,940,478,4,4,0,0
1621927885188,939,477,4,4,0,0
1621927885198,938,477,4,4,0,0
1621927885208,937,476,4,4,0,0
1621927885218,936,477,4,4,0,0
1621927885228,936,477,4,4,0,0
1621927885238,936,476,4,4,0,0
1621927885248,936,475,4,4,0,0
1621927885258,937,475,4,4,0,0
1621927885268,938,473,4,4,0,0
1621927885278,942,470,4,4,0,0
1621927885288,942,469,4,4,0,0
1621927885298,945,462,4,4,0,0
1621927885308,951,454,4,4,0,0
1621927885318,-1,-1,5,5,5,5
1621927885328,-1,-1,5,5,5,5
1621927885338,-1,-1,5,5,5,5
1621927885348,-1,-1,5,5,5,5
1621927885358,-1,-1,5,5,5,5
1621927885368,-1,-1,5,5,5,5
1621927885377,966,447,4,4,0,0
1621927885387,969,438,4,4,0,0
1621927885397,973,437,4,4,0,0
1621927885407,974,439,4,4,0,0
1621927885417,974,438,4,4,0,0
1621927885427,975,437,4,4,0,0
1621927885437,976,437,4,4,0,0
1621927885447,976,438,4,4,0,0
1621927885457,-1,-1,5,5,5,5
1621927885467,-1,-1,5,5,5,5
1621927885477,-1,-1,5,5,5,5
1621927885487,-1,-1,5,5,5,5
1621927885497,975,442,4,4,0,0
1621927885507,975,442,4,4,0,0
1621927885517,975,443,4,4,0,0
1621927885527,975,443,4,4,0,0
1621927885537,973,442,4,4,0,0
1621927885547,973,441,4,4,0,0
1621927885557,972,441,4,4,0,0
1621927885567,970,441,4,4,0,0
1621927885577,968,441,4,4,0,0
1621927885587,-1,-1,5,5,5,5
1621927885597,-1,-1,5,5,5,5
1621927885607,-1,-1,5,5,5,5
1621927885617,-1,-1,5,5,5,5
1621927885627,962,447,4,4,0,0
1621927885637,960,445,4,4,0,0
1621927885647,956,444,4,4,0,0
1621927885657,955,444,4,4,0,0
1621927885667,953,444,4,4,0,0
1621927885677,952,444,4,4,0,0
1621927885687,952,443,4,4,0,0
1621927885697,949,442,4,4,0,0
1621927885707,943,445,4,4,0,0
1621927885717,935,449,4,4,0,0
1621927885727,932,450,4,4,0,0
1621927885737,931,452,4,4,0,0
1621927885747,929,454,4,4,0,0
1621927885757,-1,-1,5,5,5,5
1621927885767,-1,-1,5,5,5,5
1621927885777,929,454,4,4,0,0
1621927885787,927,456,4,4,0,0
1621927885797,925,457,4,4,0,0
1621927885807,924,458,4,4,0,0
1621927885817,923,460,4,4,0,0
1621927885827,923,461,4,4,0,0
