timestamp,x,y,pupil_left,pupil_right,validity_left,validity_right
1621597361215,-1,-1,5,5,5,5
1621597361224,949,355,2,3,0,0
1621597361234,951,358,2,3,0,0
1621597361244,950,357,2,3,0,0
1621597361254,948,355,2,3,0,0
1621597361264,948,355,2,3,0,0
1621597361274,949,357,2,3,0,0
1621597361284,949,356,2,3,0,0
1621597361294,947,355,2,3,0,0
1621597361304,948,355,3,3,0,0
1621597361314,949,356,2,3,0,0
1621597361324,948,356,2,3,0,0
1621597361334,947,356,2,3,0,0
1621597361344,948,356,3,3,0,0
1621597361354,949,357,2,3,0,0
1621597361364,949,357,3,3,0,0
1621597361374,949,357,2,3,0,0
1621597361384,949,358,2,3,0,0
1621597361394,951,360,2,3,0,0
1621597361404,951,360,2,3,0,0
1621597361414,951,359,2,3,0,0
1621597361424,951,359,2,3,0,0
1621597361434,951,359,2,3,0,0
1621597361444,952,359,2,3,0,0
1621597361454,952,359,2,3,0,0
1621597361464,952,360,2,3,0,0
1621597361474,953,360,2,3,0,0
1621597361484,954,360,2,3,0,0
1621597361494,955,360,2,3,0,0
1621597361504,955,361,2,3,0,0
1621597361514,955,361,2,3,0,0
1621597361524,955,360,2,3,0,0
1621597361534,956,360,2,3,0,0
1621597361544,956,360,2,3,0,0
1621597361554,956,359,2,3,0,0
1621597361564,953,354,3,3,0,0
1621597361574,947,339,5,3,0,0
1621597361584,947,343,3,3,0,0
1621597361594,948,353,2,3,0,0
1621597361604,950,355,3,3,0,0
1621597361614,953,357,2,3,0,0
1621597361624,953,358,2,3,0,0
1621597361634,950,358,2,3,0,0
1621597361644,949,358,2,3,0,0
1621597361654,949,358,2,3,0,0
1621597361664,949,360,2,3,0,0
1621597361674,950,364,2,3,0,0
1621597361684,950,365,2,3,0,0
1621597361694,951,368,2,3,0,0
1621597361704,951,368,2,3,0,0
1621597361714,951,367,2,3,0,0
1621597361724,951,367,2,3,0,0
1621597361734,950,367,2,3,0,0
1621597361744,951,368,2,3,0,0
1621597361754,953,371,2,3,0,0
1621597361764,953,370,2,3,0,0
1621597361774,952,367,2,3,0,0
1621597361784,952,367,2,3,0,0
1621597361794,953,368,2,3,0,0
1621597361804,952,368,2,3,0,0
1621597361814,952,369,2,3,0,0
1621597361824,938,355,2,3,0,0
1621597361834,923,336,3,3,0,0
1621597361844,908,334,3,3,0,0
1621597361854,887,326,3,3,0,0
1621597361864,883,317,3,3,0,0
1621597361874,880,315,3,3,0,0
1621597361884,878,314,3,3,0,0
1621597361894,876,313,3,3,0,0
1621597361904,877,312,3,3,0,0
1621597361914,878,311,3,3,0,0
1621597361924,890,314,3,3,0,0
1621597361934,913,317,3,3,0,0
1621597361944,924,333,3,3,0,0
1621597361954,949,362,3,3,0,0
1621597361964,951,364,3,3,0,0
1621597361974,953,367,3,3,0,0
1621597361984,954,369,3,3,0,0
1621597361994,954,369,3,3,0,0
1621597362004,953,369,3,3,0,0
1621597362014,953,370,3,3,0,0
1621597362024,952,368,3,3,0,0
1621597362034,952,367,3,3,0,0
1621597362044,949,360,3,3,0,0
1621597362054,943,344,5,3,0,0
1621597362064,944,349,3,3,0,0
1621597362074,950,360,3,3,0,0
1621597362084,950,362,3,3,0,0
1621597362094,951,365,2,3,0,0
1621597362104,950,360,3,3,0,0
1621597362114,942,345,5,3,0,0
1621597362124,943,350,3,3,0,0
1621597362134,950,362,2,3,0,0
1621597362144,951,363,2,3,0,0
1621597362154,951,363,2,3,0,0
1621597362164,951,363,2,3,0,0
1621597362174,951,363,2,3,0,0
1621597362184,952,363,2,3,0,0
1621597362194,951,361,2,3,0,0
1621597362204,951,361,2,3,0,0
1621597362214,952,362,2,3,0,0
1621597362224,952,362,2,3,0,0
1621597362234,953,362,2,3,0,0
1621597362244,953,362,2,3,0,0
1621597362254,954,363,2,3,0,0
1621597362264,955,364,2,3,0,0
1621597362274,955,366,2,3,0,0
1621597362284,954,366,2,3,0,0
1621597362294,953,365,2,3,0,0
1621597362304,954,367,2,3,0,0
1621597362314,954,368,2,3,0,0
1621597362324,955,369,2,3,0,0
1621597362334,956,370,2,3,0,0
1621597362344,956,370,2,3,0,0
1621597362354,956,370,2,3,0,0
1621597362364,956,370,2,3,0,0
1621597362374,956,370,2,3,0,0
1621597362384,956,371,2,3,0,0
1621597362394,957,373,2,3,0,0
1621597362404,957,372,2,3,0,0
1621597362414,956,370,2,3,0,0
1621597362424,956,370,2,3,0,0
1621597362434,955,368,2,3,0,0
1621597362444,954,369,2,3,0,0
1621597362454,955,370,2,3,0,0
1621597362464,955,369,2,3,0,0
1621597362474,954,367,2,3,0,0
1621597362484,953,365,2,3,0,0
1621597362494,953,364,2,3,0,0
1621597362504,954,364,2,3,0,0
1621597362514,954,364,2,3,0,0
1621597362524,954,365,2,3,0,0
1621597362534,955,366,2,3,0,0
1621597362544,954,365,2,3,0,0
1621597362554,952,362,2,3,0,0
1621597362564,953,363,2,3,0,0
1621597362574,954,365,2,3,0,0
1621597362584,954,365,2,3,0,0
1621597362594,955,364,2,3,0,0
