timestamp,x,y,pupil_left,pupil_right,validity_left,validity_right
1622109985396,-1,-1,5,5,5,5
1622109985405,1051,183,3,4,0,0
1622109985415,1068,182,3,4,0,0
1622109985425,1087,181,3,4,0,0
1622109985435,-1,-1,5,5,5,5
1622109985445,-1,-1,5,5,5,5
1622109985455,1122,177,3,4,0,0
1622109985465,1128,186,3,4,0,0
1622109985475,1142,189,3,4,0,0
1622109985485,1118,174,3,4,0,0
1622109985495,1041,172,3,3,0,0
1622109985505,959,184,3,3,0,0
1622109985515,851,172,3,3,0,0
1622109985525,760,163,3,3,0,0
1622109985535,667,168,3,3,0,0
1622109985545,452,139,3,5,0,0
1622109985555,-1,-1,5,5,5,5
1622109985565,-1,-1,5,5,5,5
1622109985575,-1,-1,5,5,5,5
1622109985585,-1,-1,5,5,5,5
1622109985595,-1,-1,5,5,5,5
1622109985605,-1,-1,5,5,5,5
1622109985615,-1,-1,5,5,5,5
1622109985625,-1,-1,5,5,5,5
1622109985635,496,248,5,3,0,0
1622109985645,-1,-1,5,5,5,5
1622109985655,417,222,5,3,0,0
1622109985665,-1,-1,5,5,5,5
1622109985675,364,191,5,4,0,0
1622109985685,-1,-1,5,5,5,5
1622109985695,-1,-1,5,5,5,5
1622109985705,-1,-1,5,5,5,5
1622109985715,-1,-1,5,5,5,5
1622109985725,-1,-1,5,5,5,5
1622109985735,-1,-1,5,5,5,5
1622109985745,-1,-1,5,5,5,5
1622109985755,324,179,5,4,0,0
1622109985765,-1,-1,5,5,5,5
1622109985775,352,191,5,4,0,0
1622109985785,247,194,3,5,0,0
1622109985795,325,221,5,4,0,0
1622109985805,269,195,3,3,0,0
1622109985815,280,201,3,4,0,0
1622109985825,421,227,4,4,0,0
1622109985835,449,226,3,4,0,0
1622109985845,458,238,3,4,0,0
1622109985855,512,271,3,4,0,0
1622109985865,559,234,4,4,0,0
1622109985875,577,224,4,4,0,0
1622109985885,602,215,4,4,0,0
1622109985895,646,210,4,4,0,0
1622109985905,636,215,4,4,0,0
1622109985915,539,227,3,4,0,0
1622109985925,431,203,3,4,0,0
1622109985935,325,188,5,4,0,0
1622109985945,-1,-1,5,5,5,5
1622109985955,204,195,5,4,0,0
1622109985965,199,196,4,3,0,0
1622109985975,204,196,5,4,0,0
1622109985985,248,188,3,3,0,0
1622109985995,306,188,5,4,0,0
1622109986005,-1,-1,5,5,5,5
1622109986015,-1,-1,5,5,5,5
1622109986025,276,156,3,3,0,0
1622109986035,337,145,5,4,0,0
1622109986045,338,111,3,4,0,0
1622109986055,360,122,3,4,0,0
1622109986065,432,172,3,4,0,0
1622109986075,412,189,3,4,0,0
1622109986085,476,190,3,4,0,0
1622109986095,508,190,3,4,0,0
1622109986105,504,185,3,4,0,0
1622109986115,502,179,4,4,0,0
1622109986125,538,186,4,4,0,0
1622109986135,562,180,3,4,0,0
1622109986145,568,169,3,4,0,0
1622109986155,592,209,3,4,0,0
1622109986165,636,249,3,4,0,0
1622109986175,-1,-1,5,5,5,5
1622109986185,-1,-1,5,5,5,5
1622109986195,681,213,3,4,0,0
1622109986205,700,216,3,4,0,0
1622109986215,711,221,3,4,0,0
1622109986225,721,228,3,4,0,0
1622109986235,731,231,3,4,0,0
1622109986245,751,239,3,4,0,0
1622109986255,760,240,3,4,0,0
1622109986265,778,249,3,4,0,0
1622109986275,802,248,3,4,0,0
1622109986285,802,253,3,4,0,0
1622109986295,784,269,3,3,0,0
1622109986305,706,279,3,3,0,0
1622109986315,527,329,3,3,0,0
1622109986325,517,349,3,4,0,0
1622109986335,506,373,3,4,0,0
1622109986345,472,427,3,4,0,0
1622109986355,516,409,3,4,0,0
1622109986365,539,383,3,4,0,0
1622109986375,542,387,3,4,0,0
1622109986385,621,380,3,4,0,0
1622109986395,755,343,3,4,0,0
1622109986405,773,374,3,3,0,0
1622109986415,691,447,3,3,0,0
1622109986425,724,460,3,3,0,0
1622109986435,-1,-1,5,5,5,5
1622109986445,-1,-1,5,5,5,5
1622109986455,-1,-1,5,5,5,5
1622109986465,-1,-1,5,5,5,5
1622109986475,713,407,3,3,0,0
1622109986485,716,418,3,3,0,0
1622109986495,717,415,3,3,0,0
1622109986505,724,425,3,3,0,0
1622109986515,737,509,3,3,0,0
1622109986525,746,589,3,3,0,0
1622109986535,-1,-1,5,5,5,5
1622109986545,-1,-1,5,5,5,5
1622109986555,-1,-1,5,5,5,5
1622109986565,-1,-1,5,5,5,5
1622109986575,891,489,3,3,0,0
1622109986585,-1,-1,5,5,5,5
1622109986595,-1,-1,5,5,5,5
1622109986605,955,423,3,3,0,0
1622109986615,971,412,3,3,0,0
1622109986625,988,391,3,3,0,0
1622109986635,985,333,3,3,0,0
1622109986645,986,319,3,3,0,0
1622109986655,982,312,3,3,0,0
1622109986665,983,317,3,3,0,0
1622109986675,984,322,3,3,0,0
1622109986685,-1,-1,5,5,5,5
1622109986695,-1,-1,5,5,5,5
1622109986705,982,338,3,3,0,0
1622109986715,984,336,3,3,0,0
1622109986725,985,340,3,3,0,0
1622109986735,984,338,3,3,0,0
1622109986745,982,336,3,3,0,0
1622109986755,983,335,3,3,0,0
1622109986765,983,329,3,3,0,0
1622109986775,982,325,3,3,0,0
1622109986785,982,326,3,3,0,0
1622109986795,981,328,3,3,0,0
1622109986805,981,322,3,3,0,0
1622109986815,981,315,3,3,0,0
1622109986825,-1,-1,5,5,5,5
1622109986835,-1,-1,5,5,5,5
1622109986845,993,288,3,3,0,0
1622109986855,1016,253,3,3,0,0
1622109986865,1035,224,3,3,0,0
1622109986875,1045,206,3,3,0,0
1622109986885,1047,194,3,3,0,0
1622109986895,1047,188,3,3,0,0
1622109986905,1046,186,3,3,0,0
1622109986915,1045,189,3,3,0,0
1622109986924,1042,193,3,3,0,0
1622109986934,1038,196,3,3,0,0
1622109986944,1037,206,3,3,0,0
1622109986954,1036,211,3,3,0,0
1622109986964,1034,212,3,3,0,0
1622109986974,1032,214,3,3,0,0
1622109986984,-1,-1,5,5,5,5
1622109986994,-1,-1,5,5,5,5
1622109987004,-1,-1,5,5,5,5
1622109987014,-1,-1,5,5,5,5
1622109987024,1005,185,3,3,0,0
1622109987034,1016,201,3,3,0,0
1622109987044,1013,205,3,3,0,0
1622109987054,1013,204,3,3,0,0
1622109987064,1012,210,3,3,0,0
1622109987074,1009,212,3,3,0,0
1622109987084,1006,213,3,3,0,0
1622109987094,1003,214,3,3,0,0
1622109987104,1000,213,3,3,0,0
1622109987114,997,213,3,3,0,0
1622109987124,993,214,3,3,0,0
1622109987134,987,216,3,3,0,0
1622109987144,984,218,3,3,0,0
1622109987154,983,220,3,3,0,0
1622109987164,979,223,3,3,0,0
1622109987174,976,222,3,3,0,0
1622109987184,965,226,3,3,0,0
1622109987194,954,232,3,3,0,0
1622109987204,888,261,3,3,0,0
1622109987214,791,290,3,3,0,0
1622109987224,758,307,3,3,0,0
1622109987234,747,311,3,3,0,0
1622109987244,742,317,3,3,0,0
1622109987254,741,317,3,3,0,0
1622109987264,742,317,3,3,0,0
1622109987274,745,317,3,3,0,0
1622109987284,749,315,3,3,0,0
1622109987294,754,316,3,3,0,0
1622109987304,759,318,3,3,0,0
1622109987314,768,320,3,3,0,0
1622109987324,774,317,3,3,0,0
1622109987334,782,313,3,3,0,0
1622109987344,787,312,3,3,0,0
1622109987354,791,311,3,3,0,0
1622109987364,797,309,3,3,0,0
1622109987374,799,307,3,3,0,0
1622109987384,808,309,3,3,0,0
1622109987394,820,308,3,3,0,0
1622109987404,824,308,3,3,0,0
1622109987414,830,307,3,3,0,0
1622109987424,834,305,3,3,0,0
1622109987434,842,305,3,3,0,0
1622109987444,850,302,3,3,0,0
1622109987454,855,297,3,3,0,0
1622109987464,862,296,3,3,0,0
1622109987474,869,291,3,3,0,0
1622109987484,878,285,3,3,0,0
1622109987494,885,283,3,3,0,0
1622109987504,886,281,3,3,0,0
1622109987514,879,282,3,3,0,0
1622109987524,846,284,3,3,0,0
1622109987534,830,281,3,3,0,0
1622109987544,830,280,3,3,0,0
1622109987554,832,276,3,3,0,0
1622109987564,832,272,3,3,0,0
1622109987574,832,271,3,3,0,0
1622109987584,834,271,3,3,0,0
1622109987594,836,271,3,3,0,0
1622109987604,837,271,3,3,0,0
1622109987614,839,271,3,3,0,0
1622109987624,840,271,3,3,0,0
1622109987634,841,271,3,3,0,0
1622109987644,842,271,3,3,0,0
1622109987654,-1,-1,5,5,5,5
1622109987664,-1,-1,5,5,5,5
1622109987674,843,270,3,3,0,0
1622109987684,844,268,3,3,0,0
1622109987694,845,264,3,3,0,0
1622109987704,835,272,3,3,0,0
1622109987714,880,267,3,3,0,0
1622109987724,928,248,3,3,0,0
1622109987734,-1,-1,5,5,5,5
1622109987744,-1,-1,5,5,5,5
1622109987754,-1,-1,5,5,5,5
1622109987764,-1,-1,5,5,5,5
1622109987774,-1,-1,5,5,5,5
1622109987784,-1,-1,5,5,5,5
1622109987794,-1,-1,5,5,5,5
1622109987804,-1,-1,5,5,5,5
1622109987814,1111,318,3,5,0,0
1622109987824,1154,361,5,3,0,0
1622109987834,1181,353,3,5,0,0
1622109987844,1193,341,5,3,0,0
1622109987854,1194,331,3,5,0,0
1622109987864,1205,332,5,3,0,0
1622109987874,1197,329,3,5,0,0
1622109987884,1184,306,3,3,0,0
