timestamp,x,y,pupil_left,pupil_right,validity_left,validity_right
1621850397249,-1,-1,5,5,5,5
1621850397258,538,290,3,4,0,0
1621850397268,546,296,3,3,0,0
1621850397278,548,295,3,3,0,0
1621850397288,548,295,3,3,0,0
1621850397298,550,299,3,3,0,0
1621850397308,547,321,3,3,0,0
1621850397318,538,349,3,3,0,0
1621850397328,558,328,3,3,0,0
1621850397338,568,315,3,3,0,0
1621850397348,573,316,3,3,0,0
1621850397358,582,315,3,3,0,0
1621850397368,591,314,3,3,0,0
1621850397378,604,315,3,3,0,0
1621850397388,613,320,3,3,0,0
1621850397398,610,348,3,3,0,0
1621850397408,613,359,3,3,0,0
1621850397418,620,355,3,3,0,0
1621850397428,630,354,3,3,0,0
1621850397438,640,352,3,3,0,0
1621850397448,648,353,3,3,0,0
1621850397458,656,357,3,3,0,0
1621850397468,660,358,3,3,0,0
1621850397478,663,358,3,3,0,0
1621850397488,667,359,3,3,0,0
1621850397498,672,362,3,3,0,0
1621850397508,676,366,3,3,0,0
1621850397518,678,370,3,3,0,0
1621850397528,685,372,3,3,0,0
1621850397538,711,388,3,3,0,0
1621850397548,758,406,3,3,0,0
1621850397558,799,356,3,3,0,0
1621850397568,814,341,3,3,0,0
1621850397578,828,348,3,3,0,0
1621850397588,838,357,3,3,0,0
1621850397598,845,362,3,3,0,0
1621850397608,858,361,3,3,0,0
1621850397618,868,369,3,3,0,0
1621850397628,843,352,3,3,0,0
1621850397638,809,327,3,3,0,0
1621850397648,783,318,3,3,0,0
1621850397658,1336,593,3,3,0,0
1621850397668,589,190,3,3,0,0
1621850397678,560,171,3,3,0,0
1621850397688,550,164,3,3,0,0
1621850397698,550,166,3,3,0,0
1621850397708,564,174,3,3,0,0
1621850397718,591,179,3,3,0,0
1621850397728,605,190,3,3,0,0
1621850397738,618,204,3,3,0,0
1621850397748,631,209,3,3,0,0
1621850397758,640,210,3,3,0,0
1621850397768,651,214,3,3,0,0
1621850397778,660,216,3,3,0,0
1621850397788,666,220,3,3,0,0
1621850397798,671,225,3,3,0,0
1621850397808,678,229,3,3,0,0
1621850397818,687,233,3,3,0,0
1621850397828,687,234,3,3,0,0
1621850397838,687,235,3,3,0,0
1621850397848,686,239,3,3,0,0
1621850397858,672,281,3,3,0,0
1621850397868,668,346,3,3,0,0
1621850397878,682,305,3,3,0,0
1621850397888,689,292,3,3,0,0
1621850397898,699,284,3,3,0,0
1621850397908,701,284,3,3,0,0
1621850397918,711,278,3,3,0,0
1621850397928,725,263,3,3,0,0
1621850397938,727,266,3,3,0,0
1621850397948,731,267,3,3,0,0
1621850397958,736,265,3,3,0,0
1621850397968,742,265,3,3,0,0
1621850397978,747,265,3,3,0,0
1621850397988,751,268,3,3,0,0
1621850397998,755,268,3,3,0,0
1621850398008,758,267,3,3,0,0
1621850398018,763,268,3,3,0,0
1621850398028,767,268,3,3,0,0
1621850398038,770,270,3,3,0,0
