timestamp,x,y,pupil_left,pupil_right,validity_left,validity_right
1621937574980,-1,-1,5,5,5,5
1621937575629,-1,-1,3,3,5,5
1621937575639,-1,-1,3,3,5,5
1621937575649,-1,-1,5,3,5,5
1621937575659,-1,-1,3,3,5,5
1621937575669,857,38,2,2,0,0
1621937575679,-1,-1,5,5,5,5
1621937575689,-1,-1,5,5,5,5
1621937575699,-1,-1,5,5,5,5
1621937575709,-1,-1,5,5,5,5
1621937575719,-1,-1,3,3,5,5
1621937575729,-1,-1,5,2,5,5
1621937575739,-1,-1,3,3,5,5
1621937575749,-1,-1,3,3,5,5
1621937575759,-1,-1,3,3,5,5
1621937575769,-1,-1,5,3,5,5
1621937575779,-1,-1,3,3,5,5
1621937575789,-1,-1,2,3,5,5
1621937575799,-1,-1,3,3,5,5
1621937575809,-1,-1,2,3,5,5
1621937575819,-1,-1,3,3,5,5
1621937575829,-1,-1,5,5,5,5
1621937575839,-1,-1,5,5,5,5
1621937575849,-1,-1,5,5,5,5
1621937575859,-1,-1,5,5,5,5
1621937575869,-1,-1,3,3,5,5
1621937575879,-1,-1,3,3,5,5
1621937575889,-1,-1,3,3,5,5
1621937575899,-1,-1,3,3,5,5
1621937575909,-1,-1,5,5,5,5
1621937575919,-1,-1,5,5,5,5
1621937575929,-1,-1,5,3,5,5
1621937575939,-1,-1,5,5,5,5
1621937575949,-1,-1,5,5,5,5
1621937575959,-1,-1,5,5,5,5
1621937575969,-1,-1,5,5,5,5
1621937575979,-1,-1,5,5,5,5
1621937575989,-1,-1,5,5,5,5
1621937575999,-1,-1,5,5,5,5
1621937576009,-1,-1,5,5,5,5
1621937576019,-1,-1,5,5,5,5
1621937576029,-1,-1,3,5,5,5
1621937576039,929,24,3,5,0,0
1621937576049,958,2,3,3,0,0
1621937576059,-1,-1,5,5,5,5
1621937576069,-1,-1,5,5,5,5
1621937576079,-1,-1,5,5,5,5
1621937576089,-1,-1,5,5,5,5
1621937576099,-1,-1,3,3,5,5
1621937576109,-1,-1,5,5,5,5
1621937576119,-1,-1,5,5,5,5
1621937576129,-1,-1,5,5,5,5
1621937576139,-1,-1,5,5,5,5
1621937576149,1035,125,5,3,0,0
1621937576159,1027,70,3,3,0,0
1621937576169,1060,99,5,3,0,0
1621937576179,1070,108,3,3,0,0
1621937576189,1084,111,5,3,0,0
1621937576199,1075,98,3,3,0,0
1621937576209,1081,99,5,3,0,0
1621937576219,1015,59,3,3,0,0
1621937576229,959,25,2,3,0,0
1621937576239,-1,-1,5,5,5,5
1621937576249,-1,-1,5,5,5,5
1621937576259,-1,-1,5,5,5,5
1621937576269,-1,-1,5,5,5,5
1621937576279,996,30,3,3,0,0
1621937576289,1036,56,5,3,0,0
1621937576299,1006,30,3,3,0,0
1621937576309,-1,-1,2,3,5,5
1621937576319,-1,-1,3,3,5,5
1621937576329,-1,-1,5,3,5,5
1621937576339,-1,-1,3,3,5,5
1621937576349,1010,5,2,3,0,0
1621937576359,-1,-1,5,5,5,5
1621937576369,-1,-1,5,5,5,5
1621937576379,1083,141,2,3,0,0
1621937576389,-1,-1,5,5,5,5
1621937576399,-1,-1,5,5,5,5
1621937576409,-1,-1,5,5,5,5
1621937576419,-1,-1,5,5,5,5
1621937576428,1006,105,3,3,0,0
1621937576438,1046,51,3,3,0,0
1621937576448,1092,43,2,3,0,0
1621937576458,1114,152,3,3,0,0
1621937576468,1082,146,3,3,0,0
1621937576478,1033,18,3,3,0,0
1621937576488,1030,6,3,3,0,0
1621937576498,1029,0,3,3,0,0
1621937576508,-1,-1,5,5,5,5
1621937576518,-1,-1,5,5,5,5
1621937576528,-1,-1,5,5,5,5
1621937576538,-1,-1,5,5,5,5
1621937576548,-1,-1,3,3,5,5
1621937576558,-1,-1,3,3,5,5
1621937576568,1075,26,2,3,0,0
1621937576578,1126,142,3,3,0,0
1621937576588,1125,163,3,3,0,0
1621937576598,1048,10,3,3,0,0
1621937576608,-1,-1,3,3,5,5
1621937576618,1037,10,3,3,0,0
1621937576628,1004,37,2,3,0,0
1621937576638,-1,-1,5,5,5,5
1621937576648,-1,-1,5,5,5,5
1621937576658,-1,-1,5,5,5,5
1621937576668,-1,-1,5,5,5,5
1621937576678,-1,-1,5,5,5,5
1621937576688,-1,-1,5,5,5,5
1621937576698,1015,38,3,3,0,0
1621937576708,1008,59,2,3,0,0
1621937576718,1006,65,3,3,0,0
1621937576728,999,59,2,3,0,0
1621937576738,1001,55,3,3,0,0
1621937576748,1009,42,3,3,0,0
1621937576758,1011,68,3,3,0,0
1621937576768,1030,68,3,3,0,0
1621937576778,1043,4,3,3,0,0
1621937576788,-1,-1,2,3,5,5
1621937576798,-1,-1,5,5,5,5
1621937576808,-1,-1,5,5,5,5
1621937576818,-1,-1,3,3,5,5
1621937576828,-1,-1,2,3,5,5
1621937576838,-1,-1,3,3,5,5
1621937576848,-1,-1,2,3,5,5
1621937576858,1138,58,3,3,0,0
1621937576868,1152,112,3,3,0,0
1621937576878,-1,-1,3,3,5,5
1621937576888,-1,-1,3,3,5,5
1621937576898,-1,-1,3,3,5,5
1621937576908,-1,-1,5,5,5,5
1621937576918,-1,-1,5,5,5,5
1621937576928,-1,-1,5,5,5,5
1621937576938,-1,-1,5,5,5,5
1621937576948,-1,-1,5,5,5,5
1621937576958,-1,-1,5,5,5,5
1621937576968,-1,-1,3,3,5,5
1621937576978,-1,-1,3,3,5,5
1621937576988,-1,-1,5,3,5,5
1621937576998,-1,-1,3,3,5,5
1621937577008,-1,-1,3,3,5,5
1621937577018,989,23,3,5,0,0
1621937577028,910,44,3,5,0,0
1621937577038,-1,-1,5,5,5,5
1621937577048,660,98,3,5,0,0
1621937577058,-1,-1,5,5,5,5
1621937577068,-1,-1,5,5,5,5
1621937577078,-1,-1,5,5,5,5
1621937577088,-1,-1,5,5,5,5
1621937577098,-1,-1,5,5,5,5
1621937577108,-1,-1,5,5,5,5
1621937577118,-1,-1,3,3,5,5
1621937577128,507,43,3,5,0,0
1621937577138,476,37,2,3,0,0
1621937577148,-1,-1,3,5,5,5
1621937577158,469,17,2,3,0,0
1621937577168,482,82,3,5,0,0
1621937577178,481,96,2,3,0,0
1621937577188,520,17,3,2,0,0
1621937577198,561,1,3,3,0,0
1621937577208,-1,-1,5,5,5,5
1621937577218,-1,-1,5,5,5,5
1621937577228,-1,-1,5,5,5,5
1621937577238,-1,-1,5,5,5,5
1621937577248,551,153,3,3,0,0
1621937577258,588,44,3,3,0,0
1621937577268,594,45,3,3,0,0
1621937577278,589,55,2,3,0,0
1621937577288,596,48,3,3,0,0
1621937577298,609,37,2,3,0,0
1621937577308,618,33,3,3,0,0
1621937577318,635,29,2,3,0,0
1621937577328,661,25,3,2,0,0
1621937577338,681,39,2,3,0,0
1621937577348,670,114,3,2,0,0
