timestamp,x,y,pupil_left,pupil_right,validity_left,validity_right
1621934314358,-1,-1,5,5,5,5
1621934315007,1020,140,3,4,0,0
1621934315017,1019,139,3,4,0,0
1621934315027,1018,140,3,4,0,0
1621934315037,1018,141,3,4,0,0
1621934315047,1017,140,3,4,0,0
1621934315057,1016,139,3,4,0,0
1621934315067,1016,141,3,4,0,0
1621934315077,1016,142,3,4,0,0
1621934315087,1016,143,3,4,0,0
1621934315097,1016,141,3,4,0,0
1621934315107,1018,141,3,4,0,0
1621934315117,1020,141,3,4,0,0
1621934315127,1021,141,3,4,0,0
1621934315137,-1,-1,5,5,5,5
1621934315147,-1,-1,5,5,5,5
1621934315157,-1,-1,5,5,5,5
1621934315167,-1,-1,5,5,5,5
1621934315177,1025,139,3,4,0,0
1621934315187,1025,140,3,4,0,0
1621934315197,1028,140,3,4,0,0
1621934315207,1030,138,3,4,0,0
1621934315217,1031,136,3,4,0,0
1621934315227,1032,136,3,4,0,0
1621934315237,1033,136,3,4,0,0
1621934315247,1033,136,3,4,0,0
1621934315257,1034,135,3,4,0,0
1621934315267,1034,133,3,4,0,0
1621934315277,1034,133,3,4,0,0
1621934315287,1034,132,3,4,0,0
1621934315297,1033,131,3,4,0,0
1621934315307,1033,131,3,4,0,0
1621934315317,1034,129,3,4,0,0
1621934315327,1036,128,3,4,0,0
1621934315337,1037,126,3,4,0,0
1621934315347,1038,124,3,4,0,0
1621934315357,1038,123,3,4,0,0
1621934315367,1039,122,3,4,0,0
1621934315377,1040,122,3,4,0,0
1621934315387,-1,-1,5,5,5,5
1621934315397,-1,-1,5,5,5,5
1621934315407,-1,-1,5,5,5,5
1621934315417,-1,-1,5,5,5,5
1621934315427,1039,120,3,4,0,0
1621934315437,1040,120,3,4,0,0
1621934315447,1041,120,3,4,0,0
1621934315457,1039,120,3,4,0,0
1621934315467,1038,119,3,4,0,0
1621934315477,1037,118,3,4,0,0
1621934315487,1036,118,3,4,0,0
1621934315497,1036,117,3,4,0,0
1621934315507,1035,115,3,4,0,0
1621934315517,1034,114,3,4,0,0
1621934315527,1034,115,3,4,0,0
1621934315537,1034,115,3,4,0,0
1621934315547,1034,115,3,4,0,0
1621934315557,1035,116,3,4,0,0
1621934315567,1035,117,3,4,0,0
1621934315577,1035,118,3,4,0,0
1621934315587,1035,120,3,4,0,0
1621934315597,1035,122,3,4,0,0
1621934315607,1034,122,3,4,0,0
1621934315617,1034,122,3,4,0,0
1621934315627,1032,121,3,4,0,0
1621934315637,1030,119,3,4,0,0
1621934315647,1029,118,3,4,0,0
1621934315657,1027,115,3,4,0,0
1621934315667,1027,113,3,4,0,0
1621934315677,1027,107,3,4,0,0
1621934315687,1028,105,3,4,0,0
1621934315697,1030,99,3,4,0,0
1621934315707,-1,-1,5,5,5,5
1621934315717,-1,-1,5,5,5,5
1621934315727,1027,100,3,4,0,0
1621934315737,1026,95,3,4,0,0
1621934315747,1027,94,3,4,0,0
1621934315757,1030,92,3,4,0,0
1621934315767,1028,92,3,4,0,0
1621934315777,1028,92,3,4,0,0
1621934315787,1024,93,3,4,0,0
1621934315797,1015,97,3,4,0,0
1621934315806,1011,101,3,4,0,0
1621934315816,-1,-1,5,5,5,5
1621934315826,-1,-1,5,5,5,5
1621934315836,-1,-1,5,5,5,5
1621934315846,-1,-1,5,5,5,5
1621934315856,1002,118,3,4,0,0
1621934315866,1003,112,3,4,0,0
1621934315876,1001,114,3,4,0,0
1621934315886,996,115,3,4,0,0
1621934315896,994,116,3,4,0,0
1621934315906,994,118,3,4,0,0
1621934315916,993,119,3,4,0,0
1621934315926,991,120,3,4,0,0
1621934315936,991,122,3,4,0,0
1621934315946,989,120,3,4,0,0
1621934315956,987,117,3,4,0,0
1621934315966,986,118,3,4,0,0
1621934315976,986,119,3,4,0,0
1621934315986,986,120,3,4,0,0
1621934315996,985,121,3,4,0,0
1621934316006,-1,-1,5,5,5,5
1621934316016,-1,-1,5,5,5,5
1621934316026,988,116,3,4,0,0
1621934316036,995,131,3,4,0,0
1621934316046,994,143,5,4,0,0
1621934316056,990,149,3,4,0,0
1621934316066,-1,-1,5,5,5,5
1621934316076,-1,-1,5,5,5,5
1621934316086,974,94,3,4,0,0
1621934316096,991,127,3,4,0,0
1621934316106,990,129,2,3,0,0
1621934316116,971,96,3,3,0,0
1621934316126,949,68,2,5,0,0
1621934316136,-1,-1,5,5,5,5
1621934316146,-1,-1,5,5,5,5
1621934316156,980,92,3,3,0,0
1621934316166,996,120,5,3,0,0
1621934316176,999,122,3,3,0,0
1621934316186,-1,-1,5,5,5,5
1621934316196,1009,103,3,3,0,0
1621934316206,1009,120,5,3,0,0
1621934316216,1017,123,3,3,0,0
1621934316226,1032,112,5,4,0,0
1621934316236,1039,106,3,3,0,0
1621934316246,-1,-1,5,5,5,5
1621934316256,1050,101,3,3,0,0
1621934316266,1054,66,5,3,0,0
1621934316276,1059,61,3,3,0,0
1621934316286,-1,-1,5,5,5,5
1621934316296,1058,39,3,3,0,0
1621934316306,1087,6,5,3,0,0
1621934316316,-1,-1,3,3,5,5
1621934316326,-1,-1,5,5,5,5
1621934316336,-1,-1,5,3,5,5
1621934316346,-1,-1,5,5,5,5
1621934316356,-1,-1,3,3,5,5
1621934316366,-1,-1,5,5,5,5
1621934316376,-1,-1,3,3,5,5
1621934316386,-1,-1,5,5,5,5
1621934316396,-1,-1,5,5,5,5
1621934316406,-1,-1,5,5,5,5
1621934316416,-1,-1,5,5,5,5
1621934316426,-1,-1,5,5,5,5
1621934316436,-1,-1,3,4,5,5
1621934316446,-1,-1,5,5,5,5
1621934316456,-1,-1,5,5,5,5
1621934316466,-1,-1,5,5,5,5
1621934316476,-1,-1,3,4,5,5
1621934316486,-1,-1,5,5,5,5
1621934316496,-1,-1,3,4,5,5
1621934316506,-1,-1,5,5,5,5
1621934316516,-1,-1,3,4,5,5
1621934316526,-1,-1,5,5,5,5
1621934316536,-1,-1,5,5,5,5
1621934316546,-1,-1,5,5,5,5
1621934316556,-1,-1,3,4,5,5
1621934316566,-1,-1,5,5,5,5
1621934316576,-1,-1,3,4,5,5
1621934316586,-1,-1,5,5,5,5
1621934316596,-1,-1,5,5,5,5
1621934316606,-1,-1,5,5,5,5
1621934316616,-1,-1,5,3,5,5
1621934316626,-1,-1,5,5,5,5
1621934316636,-1,-1,3,3,5,5
1621934316646,-1,-1,5,5,5,5
1621934316656,-1,-1,3,3,5,5
1621934316666,-1,-1,5,5,5,5
1621934316676,-1,-1,3,3,5,5
1621934316686,-1,-1,5,5,5,5
1621934316696,-1,-1,5,5,5,5
1621934316706,-1,-1,5,5,5,5
1621934316716,-1,-1,3,3,5,5
1621934316726,-1,-1,5,5,5,5
1621934316736,-1,-1,3,3,5,5
1621934316746,-1,-1,5,5,5,5
1621934316756,-1,-1,3,3,5,5
1621934316766,-1,-1,5,5,5,5
1621934316776,-1,-1,3,3,5,5
1621934316786,-1,-1,5,5,5,5
1621934316796,-1,-1,3,3,5,5
1621934316806,-1,-1,5,3,5,5
1621934316816,-1,-1,5,5,5,5
1621934316826,-1,-1,5,5,5,5
1621934316836,-1,-1,3,3,5,5
1621934316846,-1,-1,5,5,5,5
1621934316856,-1,-1,3,3,5,5
1621934316866,-1,-1,5,5,5,5
1621934316876,-1,-1,3,3,5,5
1621934316886,-1,-1,5,5,5,5
1621934316896,-1,-1,3,3,5,5
1621934316906,-1,-1,5,3,5,5
1621934316916,984,3,2,3,0,0
1621934316926,1005,13,5,3,0,0
1621934316936,991,33,5,3,0,0
1621934316946,-1,-1,5,5,5,5
1621934316956,965,57,5,4,0,0
1621934316966,-1,-1,5,3,5,5
1621934316976,-1,-1,5,3,5,5
1621934316986,-1,-1,5,5,5,5
1621934316996,-1,-1,5,3,5,5
1621934317006,-1,-1,5,3,5,5
1621934317016,-1,-1,5,3,5,5
1621934317026,-1,-1,5,3,5,5
1621934317036,-1,-1,5,3,5,5
1621934317046,-1,-1,5,3,5,5
1621934317056,-1,-1,5,3,5,5
1621934317066,-1,-1,5,5,5,5
1621934317076,-1,-1,3,3,5,5
1621934317086,-1,-1,5,3,5,5
1621934317096,-1,-1,5,3,5,5
1621934317106,-1,-1,5,5,5,5
1621934317116,-1,-1,3,3,5,5
1621934317126,-1,-1,5,5,5,5
1621934317136,-1,-1,3,3,5,5
1621934317146,-1,-1,5,5,5,5
1621934317156,-1,-1,3,3,5,5
1621934317166,-1,-1,5,5,5,5
1621934317176,-1,-1,3,3,5,5
1621934317186,-1,-1,5,5,5,5
1621934317196,-1,-1,3,3,5,5
1621934317206,-1,-1,5,5,5,5
1621934317216,-1,-1,5,5,5,5
1621934317226,-1,-1,5,5,5,5
1621934317236,-1,-1,3,3,5,5
1621934317246,1357,43,5,3,0,0
1621934317256,-1,-1,5,5,5,5
1621934317266,-1,-1,5,5,5,5
1621934317276,-1,-1,3,3,5,5
1621934317286,-1,-1,5,5,5,5
1621934317296,-1,-1,5,5,5,5
1621934317306,-1,-1,5,5,5,5
1621934317316,-1,-1,3,3,5,5
1621934317326,-1,-1,5,5,5,5
1621934317336,-1,-1,5,5,5,5
1621934317346,-1,-1,5,5,5,5
1621934317356,-1,-1,5,5,5,5
1621934317366,-1,-1,5,5,5,5
1621934317376,-1,-1,3,3,5,5
1621934317386,-1,-1,5,5,5,5
1621934317396,-1,-1,5,3,5,5
1621934317406,-1,-1,5,5,5,5
1621934317416,-1,-1,3,3,5,5
1621934317426,-1,-1,5,5,5,5
1621934317436,-1,-1,3,3,5,5
1621934317446,-1,-1,5,5,5,5
1621934317456,-1,-1,3,3,5,5
1621934317466,-1,-1,5,5,5,5
1621934317476,-1,-1,3,3,5,5
1621934317486,-1,-1,5,5,5,5
1621934317496,-1,-1,3,3,5,5
1621934317506,-1,-1,5,5,5,5
1621934317515,-1,-1,3,3,5,5
1621934317525,-1,-1,5,5,5,5
1621934317535,-1,-1,3,3,5,5
1621934317545,-1,-1,5,5,5,5
1621934317555,-1,-1,5,5,5,5
1621934317565,-1,-1,5,5,5,5
1621934317575,-1,-1,3,3,5,5
1621934317585,-1,-1,5,5,5,5
1621934317595,-1,-1,3,3,5,5
1621934317605,-1,-1,5,5,5,5
1621934317615,-1,-1,5,5,5,5
1621934317625,-1,-1,5,5,5,5
1621934317635,-1,-1,3,3,5,5
1621934317645,-1,-1,5,5,5,5
1621934317655,-1,-1,5,3,5,5
1621934317665,-1,-1,5,5,5,5
1621934317675,1179,36,5,3,0,0
1621934317685,-1,-1,5,5,5,5
1621934317695,1041,63,5,3,0,0
1621934317705,-1,-1,5,5,5,5
1621934317715,988,48,5,3,0,0
1621934317725,-1,-1,5,5,5,5
1621934317735,991,64,5,3,0,0
1621934317745,-1,-1,5,5,5,5
1621934317755,1018,62,5,4,0,0
1621934317765,882,55,3,3,0,0
1621934317775,861,10,5,3,0,0
1621934317785,-1,-1,5,3,5,5
1621934317795,-1,-1,5,3,5,5
1621934317805,808,39,3,3,0,0
1621934317815,-1,-1,2,3,5,5
1621934317825,-1,-1,5,2,5,5
1621934317835,-1,-1,2,3,5,5
1621934317845,-1,-1,5,5,5,5
1621934317855,-1,-1,5,3,5,5
1621934317865,-1,-1,5,5,5,5
1621934317875,-1,-1,5,5,5,5
1621934317885,-1,-1,5,3,5,5
1621934317895,-1,-1,5,3,5,5
1621934317905,-1,-1,5,5,5,5
1621934317915,-1,-1,5,3,5,5
1621934317925,-1,-1,5,5,5,5
1621934317935,-1,-1,5,3,5,5
1621934317945,-1,-1,5,5,5,5
1621934317955,-1,-1,5,3,5,5
1621934317965,-1,-1,5,3,5,5
1621934317975,-1,-1,5,3,5,5
1621934317985,-1,-1,5,3,5,5
1621934317995,-1,-1,5,3,5,5
1621934318005,-1,-1,5,5,5,5
1621934318015,-1,-1,5,5,5,5
1621934318025,-1,-1,5,5,5,5
1621934318035,-1,-1,5,3,5,5
1621934318045,-1,-1,5,5,5,5
1621934318055,-1,-1,5,3,5,5
1621934318065,-1,-1,5,5,5,5
1621934318075,-1,-1,5,3,5,5
1621934318085,-1,-1,5,5,5,5
1621934318095,-1,-1,5,3,5,5
1621934318105,-1,-1,5,5,5,5
1621934318115,-1,-1,5,3,5,5
1621934318125,-1,-1,5,5,5,5
1621934318135,-1,-1,5,3,5,5
1621934318145,-1,-1,5,5,5,5
1621934318155,-1,-1,5,3,5,5
1621934318165,-1,-1,5,5,5,5
1621934318175,-1,-1,5,3,5,5
1621934318185,-1,-1,5,5,5,5
1621934318195,-1,-1,5,3,5,5
1621934318205,-1,-1,5,3,5,5
1621934318215,-1,-1,5,3,5,5
1621934318225,-1,-1,5,5,5,5
1621934318235,-1,-1,5,3,5,5
1621934318245,-1,-1,5,3,5,5
1621934318255,-1,-1,5,3,5,5
1621934318265,-1,-1,5,3,5,5
1621934318275,-1,-1,5,3,5,5
1621934318285,-1,-1,5,3,5,5
1621934318295,-1,-1,5,3,5,5
1621934318305,-1,-1,5,5,5,5
1621934318315,-1,-1,5,5,5,5
1621934318325,-1,-1,5,5,5,5
1621934318335,-1,-1,5,3,5,5
1621934318345,-1,-1,5,5,5,5
1621934318355,-1,-1,5,3,5,5
1621934318365,-1,-1,5,5,5,5
1621934318375,-1,-1,5,3,5,5
1621934318385,-1,-1,5,5,5,5
1621934318395,-1,-1,5,3,5,5
1621934318405,-1,-1,5,2,5,5
1621934318415,-1,-1,5,3,5,5
1621934318425,-1,-1,5,3,5,5
1621934318435,-1,-1,5,3,5,5
1621934318445,-1,-1,5,3,5,5
1621934318455,-1,-1,5,5,5,5
1621934318465,-1,-1,5,5,5,5
1621934318475,-1,-1,5,3,5,5
1621934318485,-1,-1,5,5,5,5
1621934318495,-1,-1,5,3,5,5
1621934318505,-1,-1,5,5,5,5
1621934318515,-1,-1,3,3,5,5
1621934318525,-1,-1,3,5,5,5
1621934318535,-1,-1,5,3,5,5
1621934318545,-1,-1,5,5,5,5
1621934318555,-1,-1,5,5,5,5
1621934318565,-1,-1,5,5,5,5
1621934318575,-1,-1,5,5,5,5
1621934318585,-1,-1,5,5,5,5
1621934318595,-1,-1,5,5,5,5
1621934318605,-1,-1,5,5,5,5
1621934318615,-1,-1,5,5,5,5
1621934318625,-1,-1,5,5,5,5
1621934318635,-1,-1,5,5,5,5
1621934318645,-1,-1,5,5,5,5
1621934318655,-1,-1,5,5,5,5
1621934318665,-1,-1,5,5,5,5
1621934318675,-1,-1,5,5,5,5
1621934318685,-1,-1,5,5,5,5
1621934318695,-1,-1,5,5,5,5
1621934318705,-1,-1,5,5,5,5
1621934318715,-1,-1,5,5,5,5
1621934318725,-1,-1,5,5,5,5
1621934318735,-1,-1,5,5,5,5
1621934318745,-1,-1,5,2,5,5
1621934318755,-1,-1,5,5,5,5
1621934318765,-1,-1,5,5,5,5
1621934318775,-1,-1,5,2,5,5
1621934318785,-1,-1,3,5,5,5
1621934318795,554,21,5,3,0,0
1621934318805,-1,-1,5,5,5,5
1621934318815,-1,-1,5,5,5,5
1621934318825,698,8,5,2,0,0
1621934318835,610,45,5,3,0,0
1621934318845,-1,-1,5,5,5,5
1621934318855,631,110,5,3,0,0
1621934318865,-1,-1,5,5,5,5
1621934318875,-1,-1,5,5,5,5
1621934318885,657,23,3,3,0,0
1621934318895,640,37,2,3,0,0
1621934318905,-1,-1,5,3,5,5
1621934318915,644,18,2,3,0,0
1621934318925,619,190,2,3,0,0
1621934318935,684,41,2,3,0,0
1621934318945,702,26,5,3,0,0
1621934318955,705,21,2,3,0,0
1621934318965,704,14,5,3,0,0
1621934318975,702,7,2,3,0,0
1621934318985,-1,-1,5,5,5,5
1621934318995,723,67,2,3,0,0
1621934319005,686,82,2,5,0,0
1621934319015,-1,-1,5,5,5,5
1621934319025,-1,-1,5,5,5,5
1621934319035,735,89,2,3,0,0
1621934319045,751,94,2,3,0,0
1621934319055,503,75,2,3,0,0
1621934319065,-1,-1,5,5,5,5
1621934319075,-1,-1,3,3,5,5
1621934319085,-1,-1,5,5,5,5
1621934319095,398,3,2,3,0,0
1621934319105,-1,-1,5,5,5,5
1621934319115,430,58,2,3,0,0
1621934319125,-1,-1,5,5,5,5
1621934319135,441,78,2,3,0,0
1621934319145,857,111,2,5,0,0
1621934319155,858,110,2,3,0,0
1621934319165,-1,-1,5,5,5,5
