timestamp,x,y,pupil_left,pupil_right,validity_left,validity_right
1621936777309,-1,-1,5,5,5,5
1621936777948,1009,230,3,3,0,0
1621936777958,1010,232,3,3,0,0
1621936777968,1011,233,3,3,0,0
1621936777978,1011,233,3,3,0,0
1621936777988,1011,232,3,3,0,0
1621936777998,1011,231,3,3,0,0
1621936778008,1011,230,3,3,0,0
1621936778018,1011,227,3,3,0,0
1621936778028,1010,228,3,3,0,0
1621936778038,1007,234,3,3,0,0
1621936778048,1007,234,3,3,0,0
1621936778058,1009,225,3,3,0,0
1621936778068,1009,223,3,3,0,0
1621936778078,1009,221,3,3,0,0
1621936778088,1009,219,3,3,0,0
1621936778098,1009,217,3,3,0,0
1621936778108,1008,218,3,3,0,0
1621936778118,1006,223,3,3,0,0
1621936778128,1007,222,3,3,0,0
1621936778138,1009,213,3,3,0,0
1621936778148,1009,213,3,3,0,0
1621936778158,1008,219,3,3,0,0
1621936778168,1007,217,3,3,0,0
1621936778178,1009,214,3,3,0,0
1621936778188,1008,249,3,3,0,0
1621936778198,969,376,3,3,0,0
1621936778208,977,335,3,3,0,0
1621936778218,1003,230,3,3,0,0
1621936778228,1006,222,3,3,0,0
1621936778238,1008,215,3,3,0,0
1621936778248,1009,214,3,3,0,0
1621936778258,1010,213,3,3,0,0
1621936778268,1011,213,3,3,0,0
1621936778278,1010,214,3,3,0,0
1621936778288,1011,214,3,3,0,0
1621936778298,1011,214,3,3,0,0
1621936778308,1011,213,3,3,0,0
1621936778318,1011,213,3,3,0,0
1621936778328,1012,212,3,3,0,0
1621936778338,1012,212,3,3,0,0
1621936778348,1012,215,3,3,0,0
1621936778358,1011,219,3,3,0,0
1621936778368,1012,220,3,3,0,0
1621936778378,1012,221,3,3,0,0
1621936778388,1012,221,3,3,0,0
1621936778398,1012,222,3,3,0,0
1621936778408,1013,221,3,3,0,0
1621936778418,1014,219,3,3,0,0
1621936778428,1014,220,3,3,0,0
1621936778438,1013,223,3,3,0,0
1621936778448,1013,224,3,3,0,0
1621936778458,1014,222,3,3,0,0
1621936778468,1013,221,3,3,0,0
1621936778478,1013,221,3,3,0,0
1621936778488,1014,221,3,3,0,0
1621936778498,1013,222,3,3,0,0
1621936778508,1013,222,3,3,0,0
1621936778518,1013,222,3,3,0,0
1621936778528,1013,224,3,3,0,0
1621936778538,1013,223,3,3,0,0
1621936778548,1013,223,3,3,0,0
1621936778558,1014,224,3,3,0,0
1621936778568,1014,225,3,3,0,0
1621936778578,1015,226,3,3,0,0
1621936778588,1015,226,3,3,0,0
1621936778598,1015,226,3,3,0,0
1621936778608,1015,227,3,3,0,0
1621936778618,1015,228,3,3,0,0
1621936778628,1015,228,3,3,0,0
1621936778638,1015,229,3,3,0,0
1621936778648,1016,229,3,3,0,0
1621936778658,1016,228,3,3,0,0
1621936778668,1016,227,3,3,0,0
1621936778678,1016,226,3,3,0,0
1621936778688,1016,224,3,3,0,0
1621936778698,1016,223,3,3,0,0
1621936778708,1016,222,3,3,0,0
1621936778718,1016,221,3,3,0,0
1621936778728,1015,219,3,3,0,0
1621936778738,1015,217,3,3,0,0
1621936778748,1015,216,3,3,0,0
1621936778758,1015,216,3,3,0,0
1621936778768,1015,216,3,3,0,0
1621936778778,1015,216,3,3,0,0
1621936778788,1015,215,3,3,0,0
1621936778797,1016,214,3,3,0,0
1621936778807,1016,214,3,3,0,0
1621936778818,1016,214,3,3,0,0
1621936778828,1017,214,3,3,0,0
1621936778837,1017,215,3,3,0,0
1621936778847,1017,216,3,3,0,0
1621936778857,1017,217,3,3,0,0
1621936778867,1018,218,3,3,0,0
1621936778877,1019,218,3,3,0,0
1621936778887,1019,219,3,3,0,0
1621936778897,1019,220,3,3,0,0
1621936778907,1020,221,3,3,0,0
1621936778917,1022,222,3,3,0,0
1621936778927,1022,223,3,3,0,0
1621936778937,1023,224,3,3,0,0
1621936778947,1024,224,3,3,0,0
1621936778957,1025,223,3,3,0,0
1621936778967,1026,224,3,3,0,0
1621936778977,1025,229,3,3,0,0
1621936778987,1026,230,3,3,0,0
1621936778997,1026,229,3,3,0,0
1621936779007,1026,228,3,3,0,0
1621936779017,1026,227,3,3,0,0
1621936779027,1027,226,3,3,0,0
1621936779037,1028,226,3,3,0,0
1621936779047,1028,226,3,3,0,0
1621936779057,1010,212,3,3,0,0
1621936779067,957,230,2,3,0,0
1621936779077,875,330,3,4,0,0
1621936779087,783,367,3,3,0,0
1621936779097,688,212,3,4,0,0
1621936779107,654,186,3,3,0,0
1621936779117,600,190,3,4,0,0
1621936779127,538,252,5,3,0,0
1621936779137,506,286,3,5,0,0
1621936779147,472,330,5,3,0,0
1621936779157,-1,-1,5,5,5,5
1621936779167,-1,-1,5,5,5,5
1621936779177,-1,-1,5,5,5,5
1621936779187,-1,-1,5,5,5,5
1621936779197,-1,-1,5,5,5,5
1621936779207,-1,-1,5,5,5,5
1621936779217,-1,-1,5,5,5,5
1621936779227,-1,-1,5,5,5,5
1621936779237,-1,-1,5,5,5,5
1621936779247,-1,-1,5,5,5,5
1621936779257,-1,-1,5,5,5,5
1621936779267,-1,-1,5,5,5,5
1621936779277,-1,-1,5,5,5,5
1621936779287,-1,-1,5,5,5,5
1621936779297,-1,-1,5,5,5,5
1621936779307,-1,-1,5,5,5,5
1621936779317,-1,-1,5,5,5,5
1621936779327,-1,-1,5,5,5,5
1621936779337,-1,-1,5,5,5,5
