timestamp,x,y,pupil_left,pupil_right,validity_left,validity_right
1621849160697,-1,-1,5,5,5,5
1621849161346,1117,135,2,2,0,0
1621849161356,-1,-1,2,1,5,5
1621849161366,-1,-1,2,2,5,5
1621849161376,1154,241,2,2,0,0
1621849161386,1127,166,2,2,0,0
1621849161396,1124,123,2,2,0,0
1621849161406,1120,140,2,2,0,0
1621849161416,1075,149,2,2,0,0
1621849161426,1141,71,2,2,0,0
1621849161436,1212,112,5,2,0,0
1621849161446,1327,197,5,2,0,0
1621849161456,1384,219,5,2,0,0
1621849161466,1344,232,2,2,0,0
1621849161476,1356,267,2,2,0,0
1621849161486,1367,275,5,2,0,0
1621849161496,1357,306,2,2,0,0
1621849161506,1286,236,2,2,0,0
1621849161516,1312,239,2,2,0,0
1621849161526,1276,231,2,2,0,0
1621849161536,1268,230,2,2,0,0
1621849161546,1268,230,3,2,0,0
1621849161556,-1,-1,5,5,5,5
1621849161566,-1,-1,5,5,5,5
1621849161576,-1,-1,5,5,5,5
1621849161586,1213,275,5,3,0,0
1621849161596,-1,-1,5,5,5,5
1621849161606,-1,-1,5,5,5,5
1621849161616,-1,-1,5,5,5,5
1621849161626,1215,288,5,4,0,0
1621849161636,1186,192,3,5,0,0
1621849161646,-1,-1,3,3,5,5
1621849161656,-1,-1,5,5,5,5
1621849161666,-1,-1,5,5,5,5
1621849161676,-1,-1,5,5,5,5
1621849161686,-1,-1,5,5,5,5
1621849161696,1259,208,3,3,0,0
1621849161706,1279,327,3,3,0,0
1621849161716,1278,317,3,2,0,0
1621849161726,1264,307,3,2,0,0
1621849161736,1257,303,3,2,0,0
1621849161746,1252,307,3,2,0,0
1621849161756,1244,309,3,2,0,0
1621849161766,1242,307,3,2,0,0
1621849161776,1236,307,3,2,0,0
1621849161786,1228,303,3,2,0,0
1621849161796,1215,299,3,2,0,0
1621849161806,1218,307,3,2,0,0
1621849161816,1143,233,2,2,0,0
1621849161826,1186,298,3,2,0,0
1621849161836,1186,294,2,2,0,0
1621849161846,1171,291,2,2,0,0
1621849161856,1160,288,2,2,0,0
1621849161866,1160,289,3,2,0,0
1621849161876,1182,353,2,2,0,0
1621849161886,1231,282,2,2,0,0
1621849161896,1300,270,2,2,0,0
1621849161906,1350,256,3,2,0,0
1621849161916,1361,256,2,2,0,0
1621849161926,1357,251,3,2,0,0
1621849161936,1360,246,2,2,0,0
1621849161946,1334,248,3,2,0,0
1621849161956,1325,247,2,2,0,0
1621849161966,1331,248,2,2,0,0
1621849161976,1289,215,2,2,0,0
1621849161986,1322,256,2,2,0,0
1621849161996,1311,251,2,2,0,0
1621849162006,1298,251,2,2,0,0
1621849162016,1130,183,2,2,0,0
1621849162026,1242,231,2,2,0,0
1621849162036,1238,229,2,2,0,0
1621849162046,1241,233,2,2,0,0
1621849162056,1225,208,2,2,0,0
1621849162066,1239,264,2,2,0,0
1621849162076,1385,385,2,2,0,0
1621849162086,1191,215,2,2,0,0
1621849162096,1184,206,2,2,0,0
1621849162106,1174,211,2,2,0,0
1621849162116,1159,216,2,2,0,0
1621849162126,1165,214,2,2,0,0
1621849162136,1224,243,2,2,0,0
