timestamp,x,y,pupil_left,pupil_right,validity_left,validity_right
1622112844097,-1,-1,5,5,5,5
1622112844746,877,327,3,3,0,0
1622112844756,877,329,3,3,0,0
1622112844766,876,329,3,3,0,0
1622112844776,876,329,3,3,0,0
1622112844786,876,329,3,3,0,0
1622112844796,875,328,3,3,0,0
1622112844806,875,329,3,3,0,0
1622112844816,875,330,3,3,0,0
1622112844826,874,330,3,3,0,0
1622112844836,874,329,3,3,0,0
1622112844846,874,329,3,3,0,0
1622112844856,874,329,3,3,0,0
1622112844866,-1,-1,5,5,5,5
1622112844876,-1,-1,5,5,5,5
1622112844886,875,331,3,3,0,0
1622112844896,875,331,3,3,0,0
1622112844906,876,335,3,3,0,0
1622112844916,877,334,3,3,0,0
1622112844926,876,332,3,3,0,0
1622112844936,876,331,3,3,0,0
1622112844946,-1,-1,5,5,5,5
1622112844956,-1,-1,5,5,5,5
1622112844966,873,323,3,3,0,0
1622112844976,-1,-1,5,5,5,5
1622112844986,-1,-1,5,5,5,5
1622112844996,-1,-1,5,5,5,5
1622112845006,-1,-1,5,5,5,5
1622112845016,880,303,3,3,0,0
1622112845026,877,303,3,3,0,0
1622112845036,-1,-1,5,5,5,5
1622112845046,-1,-1,5,5,5,5
1622112845056,883,297,3,3,0,0
1622112845066,881,299,3,3,0,0
1622112845076,884,299,3,3,0,0
1622112845086,883,299,3,3,0,0
1622112845096,880,300,3,3,0,0
1622112845106,879,301,3,3,0,0
1622112845116,880,300,3,3,0,0
1622112845126,881,300,3,3,0,0
1622112845136,-1,-1,5,5,5,5
1622112845146,-1,-1,5,5,5,5
1622112845156,881,326,3,3,0,0
1622112845166,795,317,3,3,0,0
1622112845176,749,330,3,3,0,0
1622112845186,706,361,3,3,0,0
1622112845196,-1,-1,5,5,5,5
1622112845206,512,654,4,5,0,0
1622112845216,-1,-1,5,5,5,5
1622112845226,-1,-1,5,5,5,5
1622112845236,-1,-1,5,5,5,5
1622112845246,-1,-1,5,5,5,5
1622112845256,-1,-1,5,5,5,5
1622112845266,-1,-1,5,5,5,5
1622112845276,-1,-1,5,5,5,5
1622112845286,-1,-1,5,5,5,5
1622112845296,-1,-1,5,5,5,5
1622112845306,-1,-1,5,5,5,5
1622112845316,-1,-1,5,4,5,5
1622112845326,-1,-1,5,5,5,5
