timestamp,x,y,pupil_left,pupil_right,validity_left,validity_right
1621592509929,-1,-1,5,5,5,5
1621592510578,1400,271,5,2,0,0
1621592510588,1390,329,3,3,0,0
1621592510598,1468,369,5,3,0,0
1621592510608,1470,369,3,3,0,0
1621592510618,1453,369,5,3,0,0
1621592510628,1423,349,3,3,0,0
1621592510638,1413,348,5,2,0,0
1621592510648,1346,334,3,3,0,0
1621592510658,1300,299,2,3,0,0
1621592510668,1282,311,3,3,0,0
1621592510678,1252,321,3,3,0,0
1621592510688,-1,-1,5,5,5,5
1621592510698,-1,-1,5,5,5,5
1621592510708,-1,-1,5,5,5,5
1621592510718,-1,-1,5,5,5,5
1621592510728,1195,329,3,3,0,0
1621592510738,1174,307,3,3,0,0
1621592510748,1154,274,3,3,0,0
1621592510758,1143,268,3,3,0,0
1621592510768,1137,271,3,3,0,0
1621592510778,1130,271,3,3,0,0
1621592510788,1124,271,3,3,0,0
1621592510798,1118,271,3,3,0,0
1621592510808,1103,267,3,3,0,0
1621592510818,1143,278,3,3,0,0
1621592510828,1218,298,2,5,0,0
1621592510838,-1,-1,5,5,5,5
1621592510848,-1,-1,5,5,5,5
1621592510858,-1,-1,5,5,5,5
1621592510868,-1,-1,5,5,5,5
1621592510878,1433,393,5,3,0,0
1621592510888,1488,386,3,5,0,0
1621592510898,1617,377,5,3,0,0
1621592510908,-1,-1,5,5,5,5
1621592510918,-1,-1,5,5,5,5
1621592510928,1667,400,3,5,0,0
1621592510938,1774,413,5,3,0,0
1621592510948,-1,-1,5,5,5,5
1621592510958,1848,425,5,3,0,0
1621592510968,-1,-1,5,5,5,5
1621592510978,-1,-1,5,5,5,5
1621592510988,-1,-1,5,5,5,5
1621592510998,-1,-1,5,5,5,5
1621592511008,-1,-1,5,5,5,5
1621592511018,1826,417,5,3,0,0
1621592511028,1760,394,3,5,0,0
1621592511038,1760,387,5,3,0,0
1621592511048,1809,331,3,3,0,0
1621592511058,1784,313,5,3,0,0
1621592511068,1777,312,3,3,0,0
1621592511078,1773,306,5,3,0,0
1621592511088,-1,-1,5,5,5,5
1621592511098,1702,331,5,3,0,0
1621592511108,-1,-1,5,5,5,5
1621592511118,-1,-1,5,5,5,5
1621592511128,-1,-1,5,5,5,5
1621592511138,-1,-1,5,5,5,5
1621592511148,-1,-1,5,5,5,5
1621592511158,1793,373,5,3,0,0
1621592511168,-1,-1,5,5,5,5
1621592511178,1855,378,5,2,0,0
