timestamp,x,y,pupil_left,pupil_right,validity_left,validity_right
1622114439323,-1,-1,5,5,5,5
1622114439972,447,539,4,4,0,0
1622114439982,464,538,4,4,0,0
1622114439992,450,559,4,4,0,0
1622114440002,440,602,4,4,0,0
1622114440012,515,534,4,4,0,0
1622114440022,579,492,3,4,0,0
1622114440032,-1,-1,5,5,5,5
1622114440042,-1,-1,5,5,5,5
1622114440052,671,441,4,4,0,0
1622114440062,666,449,4,4,0,0
1622114440072,686,445,4,4,0,0
1622114440082,707,442,4,4,0,0
1622114440092,713,439,4,4,0,0
1622114440102,718,439,4,4,0,0
1622114440112,728,440,4,4,0,0
1622114440122,733,440,4,4,0,0
1622114440132,743,438,4,4,0,0
1622114440142,755,434,4,4,0,0
1622114440152,765,431,4,4,0,0
1622114440162,776,421,4,4,0,0
1622114440172,776,416,4,4,0,0
1622114440182,778,418,3,4,0,0
1622114440192,795,412,4,4,0,0
1622114440202,816,400,4,4,0,0
1622114440212,-1,-1,5,5,5,5
1622114440222,-1,-1,5,5,5,5
1622114440232,825,384,4,4,0,0
1622114440242,844,353,4,4,0,0
1622114440252,856,330,4,4,0,0
1622114440262,860,318,4,4,0,0
1622114440272,-1,-1,5,5,5,5
1622114440282,-1,-1,5,5,5,5
1622114440292,-1,-1,5,5,5,5
1622114440302,-1,-1,5,5,5,5
1622114440312,881,320,4,4,0,0
1622114440322,884,313,4,4,0,0
1622114440332,886,306,4,4,0,0
1622114440342,889,306,4,4,0,0
1622114440352,894,308,4,4,0,0
1622114440362,890,313,4,4,0,0
1622114440372,887,322,4,4,0,0
1622114440382,887,329,4,4,0,0
1622114440392,884,334,4,4,0,0
1622114440402,882,344,4,4,0,0
1622114440412,-1,-1,5,5,5,5
1622114440422,-1,-1,5,5,5,5
1622114440432,876,351,4,4,0,0
1622114440442,886,354,4,4,0,0
1622114440452,885,340,4,4,0,0
1622114440462,882,340,4,4,0,0
1622114440472,880,351,4,4,0,0
1622114440482,875,358,4,4,0,0
1622114440492,877,361,4,4,0,0
1622114440502,877,362,4,4,0,0
1622114440512,870,373,4,4,0,0
1622114440522,870,378,4,4,0,0
1622114440532,870,377,4,4,0,0
1622114440542,868,378,4,4,0,0
1622114440552,867,382,4,4,0,0
1622114440562,876,392,4,4,0,0
1622114440572,880,400,4,4,0,0
1622114440582,-1,-1,5,5,5,5
1622114440592,-1,-1,5,5,5,5
1622114440602,890,384,4,4,0,0
1622114440612,891,405,4,4,0,0
1622114440622,899,440,4,4,0,0
1622114440632,903,443,4,4,0,0
1622114440642,905,449,4,4,0,0
1622114440652,906,454,4,4,0,0
