timestamp,x,y,pupil_left,pupil_right,validity_left,validity_right
1622113723896,-1,-1,5,5,5,5
1622113723905,-1,-1,3,4,5,5
1622113723915,636,315,4,4,0,0
1622113723925,-1,-1,4,4,5,5
1622113723935,-1,-1,5,5,5,5
1622113723945,-1,-1,5,5,5,5
1622113723955,-1,-1,4,4,5,5
1622113723965,-1,-1,4,4,5,5
1622113723975,-1,-1,3,4,5,5
1622113723985,-1,-1,3,4,5,5
1622113723995,468,319,5,4,0,0
1622113724005,542,368,4,4,0,0
1622113724015,546,371,5,4,0,0
1622113724025,501,324,4,4,0,0
1622113724035,463,184,5,4,0,0
1622113724045,448,162,4,4,0,0
1622113724055,469,106,4,4,0,0
1622113724065,489,44,4,4,0,0
1622113724075,499,66,4,4,0,0
1622113724085,-1,-1,3,5,5,5
1622113724095,592,135,4,4,0,0
1622113724105,616,75,4,4,0,0
1622113724115,619,94,5,4,0,0
1622113724125,619,163,4,4,0,0
1622113724135,607,143,5,4,0,0
1622113724145,600,128,3,4,0,0
1622113724155,637,118,4,4,0,0
1622113724165,669,74,4,4,0,0
1622113724175,-1,-1,5,5,5,5
1622113724185,-1,-1,5,5,5,5
1622113724195,-1,-1,5,5,5,5
1622113724205,-1,-1,5,5,5,5
1622113724215,-1,-1,4,4,5,5
1622113724225,799,130,4,4,0,0
1622113724235,797,141,4,4,0,0
1622113724245,817,141,4,4,0,0
1622113724255,815,170,5,4,0,0
1622113724265,805,205,4,4,0,0
1622113724275,819,174,4,4,0,0
1622113724285,835,168,4,4,0,0
1622113724295,840,192,4,4,0,0
1622113724305,855,208,4,4,0,0
1622113724315,870,230,4,4,0,0
1622113724325,-1,-1,5,5,5,5
1622113724335,-1,-1,5,5,5,5
1622113724345,-1,-1,5,5,5,5
1622113724355,-1,-1,5,5,5,5
1622113724365,900,230,4,4,0,0
1622113724375,898,233,4,4,0,0
1622113724385,906,231,4,4,0,0
1622113724395,906,242,5,4,0,0
1622113724405,898,254,4,4,0,0
1622113724415,906,250,4,4,0,0
1622113724425,918,246,4,4,0,0
1622113724435,919,259,5,4,0,0
1622113724445,928,278,4,4,0,0
1622113724455,910,265,5,4,0,0
1622113724465,893,256,4,4,0,0
